ABNB,Date
144.7100067138672,2020-12-10
139.25,2020-12-11
130.0,2020-12-14
124.80000305175781,2020-12-15
137.99000549316406,2020-12-16
147.0500030517578,2020-12-17
157.3000030517578,2020-12-18
163.02000427246094,2020-12-21
163.19000244140625,2020-12-22
158.00999450683594,2020-12-23
154.83999633789062,2020-12-24
149.0,2020-12-28
150.0,2020-12-29
148.42999267578125,2020-12-30
146.8000030517578,2020-12-31
139.14999389648438,2021-01-04
148.3000030517578,2021-01-05
142.77000427246094,2021-01-06
151.27000427246094,2021-01-07
149.77000427246094,2021-01-08
148.1300048828125,2021-01-11
160.8000030517578,2021-01-12
169.99000549316406,2021-01-13
180.5,2021-01-14
169.27000427246094,2021-01-15
173.69000244140625,2021-01-19
161.8300018310547,2021-01-20
180.39999389648438,2021-01-21
181.8699951171875,2021-01-22
177.52999877929688,2021-01-25
192.74000549316406,2021-01-26
201.25,2021-01-27
187.3699951171875,2021-01-28
183.6300048828125,2021-01-29
180.44000244140625,2021-02-01
179.1699981689453,2021-02-02
185.72000122070312,2021-02-03
195.8000030517578,2021-02-04
195.30999755859375,2021-02-05
200.42999267578125,2021-02-08
199.8800048828125,2021-02-09
211.66000366210938,2021-02-10
216.83999633789062,2021-02-11
212.67999267578125,2021-02-12
209.86000061035156,2021-02-16
201.9600067138672,2021-02-17
198.0399932861328,2021-02-18
201.07000732421875,2021-02-19
195.33999633789062,2021-02-22
187.58999633789062,2021-02-23
200.1999969482422,2021-02-24
182.05999755859375,2021-02-25
206.35000610351562,2021-02-26
196.4199981689453,2021-03-01
189.89999389648438,2021-03-02
180.39999389648438,2021-03-03
180.22999572753906,2021-03-04
179.80999755859375,2021-03-05
180.80999755859375,2021-03-08
183.11000061035156,2021-03-09
183.7899932861328,2021-03-10
197.8699951171875,2021-03-11
206.74000549316406,2021-03-12
209.99000549316406,2021-03-15
200.00999450683594,2021-03-16
201.36000061035156,2021-03-17
191.4499969482422,2021-03-18
194.38999938964844,2021-03-19
195.0,2021-03-22
187.13999938964844,2021-03-23
178.85000610351562,2021-03-24
176.16000366210938,2021-03-25
174.39999389648438,2021-03-26
182.5,2021-03-29
183.10000610351562,2021-03-30
187.94000244140625,2021-03-31
188.24000549316406,2021-04-01
186.69000244140625,2021-04-05
190.02999877929688,2021-04-06
179.94000244140625,2021-04-07
180.17999267578125,2021-04-08
179.5,2021-04-09
176.49000549316406,2021-04-12
177.9499969482422,2021-04-13
176.42999267578125,2021-04-14
175.35000610351562,2021-04-15
178.69000244140625,2021-04-16
174.5800018310547,2021-04-19
169.57000732421875,2021-04-20
167.07000732421875,2021-04-21
170.7100067138672,2021-04-22
174.25,2021-04-23
174.8800048828125,2021-04-26
177.94000244140625,2021-04-27
180.0,2021-04-28
177.67999267578125,2021-04-29
172.7100067138672,2021-04-30
168.11000061035156,2021-05-03
168.89999389648438,2021-05-04
162.3300018310547,2021-05-05
153.63999938964844,2021-05-06
151.2100067138672,2021-05-07
146.72999572753906,2021-05-10
142.72999572753906,2021-05-11
140.25,2021-05-12
135.75,2021-05-13
141.1999969482422,2021-05-14
132.5,2021-05-17
135.02000427246094,2021-05-18
138.19000244140625,2021-05-19
136.1999969482422,2021-05-20
134.7100067138672,2021-05-21
135.91000366210938,2021-05-24
133.99000549316406,2021-05-25
134.75,2021-05-26
143.1699981689453,2021-05-27
140.39999389648438,2021-05-28
144.30999755859375,2021-06-01
151.0,2021-06-02
144.19000244140625,2021-06-03
150.72999572753906,2021-06-04
148.97000122070312,2021-06-07
147.00999450683594,2021-06-08
144.85000610351562,2021-06-09
146.1199951171875,2021-06-10
148.44000244140625,2021-06-11
149.2100067138672,2021-06-14
151.77999877929688,2021-06-15
149.14999389648438,2021-06-16
150.6999969482422,2021-06-17
152.52000427246094,2021-06-18
149.6999969482422,2021-06-21
149.67999267578125,2021-06-22
151.5800018310547,2021-06-23
150.72999572753906,2021-06-24
149.6699981689453,2021-06-25
149.94000244140625,2021-06-28
146.0800018310547,2021-06-29
153.13999938964844,2021-06-30
153.0800018310547,2021-07-01
150.22999572753906,2021-07-02
148.3699951171875,2021-07-06
143.72000122070312,2021-07-07
142.52999877929688,2021-07-08
149.63999938964844,2021-07-09
146.69000244140625,2021-07-12
143.41000366210938,2021-07-13
139.08999633789062,2021-07-14
137.5,2021-07-15
134.30999755859375,2021-07-16
131.8800048828125,2021-07-19
136.08999633789062,2021-07-20
139.25,2021-07-21
139.47000122070312,2021-07-22
138.72999572753906,2021-07-23
142.0,2021-07-26
141.5800018310547,2021-07-27
143.3000030517578,2021-07-28
143.47000122070312,2021-07-29
144.00999450683594,2021-07-30
145.49000549316406,2021-08-02
145.64999389648438,2021-08-03
147.39999389648438,2021-08-04
150.32000732421875,2021-08-05
149.99000549316406,2021-08-06
149.44000244140625,2021-08-09
147.9499969482422,2021-08-10
148.16000366210938,2021-08-11
151.14999389648438,2021-08-12
152.75999450683594,2021-08-13
148.57000732421875,2021-08-16
143.89999389648438,2021-08-17
146.74000549316406,2021-08-18
142.64999389648438,2021-08-19
143.6999969482422,2021-08-20
146.7899932861328,2021-08-23
161.4199981689453,2021-08-24
160.35000610351562,2021-08-25
152.72999572753906,2021-08-26
154.17999267578125,2021-08-27
156.02000427246094,2021-08-30
154.99000549316406,2021-08-31
156.58999633789062,2021-09-01
157.1999969482422,2021-09-02
158.0,2021-09-03
165.0,2021-09-07
163.92999267578125,2021-09-08
166.0,2021-09-09
165.1999969482422,2021-09-10
160.32000732421875,2021-09-13
163.3000030517578,2021-09-14
166.3699951171875,2021-09-15
168.14999389648438,2021-09-16
166.58999633789062,2021-09-17
161.63999938964844,2021-09-20
169.2899932861328,2021-09-21
169.9600067138672,2021-09-22
175.1300048828125,2021-09-23
175.8800048828125,2021-09-24
174.25999450683594,2021-09-27
168.5800018310547,2021-09-28
168.07000732421875,2021-09-29
167.75,2021-09-30
173.00999450683594,2021-10-01
164.5,2021-10-04
164.74000549316406,2021-10-05
167.25,2021-10-06
169.60000610351562,2021-10-07
169.97000122070312,2021-10-08
166.6699981689453,2021-10-11
172.75,2021-10-12
173.5800018310547,2021-10-13
170.5,2021-10-14
169.17999267578125,2021-10-15
172.32000732421875,2021-10-18
170.74000549316406,2021-10-19
169.75999450683594,2021-10-20
170.5,2021-10-21
166.63999938964844,2021-10-22
169.24000549316406,2021-10-25
171.13999938964844,2021-10-26
169.10000610351562,2021-10-27
171.6999969482422,2021-10-28
170.66000366210938,2021-10-29
174.60000610351562,2021-11-01
172.8699951171875,2021-11-02
172.8699951171875,2021-11-03
178.4499969482422,2021-11-04
201.6199951171875,2021-11-05
