CCEP,Date
1.604468584060669,1986-11-24
1.5668630599975586,1986-11-25
1.5292590856552124,1986-11-26
1.5543287992477417,1986-11-28
1.5292590856552124,1986-12-01
1.4665848016738892,1986-12-02
1.5041887760162354,1986-12-03
1.4916539192199707,1986-12-04
1.4791185855865479,1986-12-05
1.4540494680404663,1986-12-08
1.4039099216461182,1986-12-09
1.4415148496627808,1986-12-10
1.4540494680404663,1986-12-11
1.4665848016738892,1986-12-12
1.4540494680404663,1986-12-15
1.4665848016738892,1986-12-16
1.4540494680404663,1986-12-17
1.4415148496627808,1986-12-18
1.4540494680404663,1986-12-19
1.4415148496627808,1986-12-22
1.4289785623550415,1986-12-23
1.4540494680404663,1986-12-24
1.4415148496627808,1986-12-26
1.4415148496627808,1986-12-29
1.4164447784423828,1986-12-30
1.4289785623550415,1986-12-31
1.4540494680404663,1987-01-02
1.4791185855865479,1987-01-05
1.5041887760162354,1987-01-06
1.5041887760162354,1987-01-07
1.5041887760162354,1987-01-08
1.5167231559753418,1987-01-09
1.5167231559753418,1987-01-12
1.5041887760162354,1987-01-13
1.5543287992477417,1987-01-14
1.5793980360031128,1987-01-15
1.5793980360031128,1987-01-16
1.5793980360031128,1987-01-19
1.5543287992477417,1987-01-20
1.541793704032898,1987-01-21
1.5543287992477417,1987-01-22
1.541793704032898,1987-01-23
1.5041887760162354,1987-01-26
1.5292590856552124,1987-01-27
1.4916539192199707,1987-01-28
1.4916539192199707,1987-01-29
1.4916539192199707,1987-01-30
1.4916539192199707,1987-02-02
1.4916539192199707,1987-02-03
1.5292590856552124,1987-02-04
1.5292590856552124,1987-02-05
1.5543287992477417,1987-02-06
1.5793980360031128,1987-02-09
1.5668630599975586,1987-02-10
1.604468584060669,1987-02-11
1.604468584060669,1987-02-12
1.6170028448104858,1987-02-13
1.6420726776123047,1987-02-17
1.692213535308838,1987-02-18
1.7047470808029175,1987-02-19
1.692213535308838,1987-02-20
1.654608130455017,1987-02-23
1.6796774864196777,1987-02-24
1.6796774864196777,1987-02-25
1.6796774864196777,1987-02-26
1.7172824144363403,1987-02-27
1.7423523664474487,1987-03-02
1.7172824144363403,1987-03-03
1.7423523664474487,1987-03-04
1.7548869848251343,1987-03-05
1.8300961256027222,1987-03-06
1.8050261735916138,1987-03-09
1.7924917936325073,1987-03-10
1.7548869848251343,1987-03-11
1.7799568176269531,1987-03-12
1.7799568176269531,1987-03-13
1.7686177492141724,1987-03-16
1.7811610698699951,1987-03-17
1.7560744285583496,1987-03-18
1.7184444665908813,1987-03-19
1.743530511856079,1987-03-20
1.7937047481536865,1987-03-23
1.7811610698699951,1987-03-24
1.7560744285583496,1987-03-25
1.7560744285583496,1987-03-26
1.7309879064559937,1987-03-27
1.6431835889816284,1987-03-30
1.6933579444885254,1987-03-31
1.7059009075164795,1987-04-01
1.7059009075164795,1987-04-02
1.7059009075164795,1987-04-03
1.7184444665908813,1987-04-06
1.7560744285583496,1987-04-07
1.6682708263397217,1987-04-08
1.6808136701583862,1987-04-09
1.6808136701583862,1987-04-10
1.6055539846420288,1987-04-13
1.5679229497909546,1987-04-14
1.5930095911026,1987-04-15
1.5930095911026,1987-04-16
1.580466389656067,1987-04-20
1.580466389656067,1987-04-21
1.6055539846420288,1987-04-22
1.6055539846420288,1987-04-23
1.580466389656067,1987-04-24
1.580466389656067,1987-04-27
1.6306411027908325,1987-04-28
1.6557272672653198,1987-04-29
1.6431835889816284,1987-04-30
1.6682708263397217,1987-05-01
1.7309879064559937,1987-05-04
1.7560744285583496,1987-05-05
1.7309879064559937,1987-05-06
1.7686177492141724,1987-05-07
1.7937047481536865,1987-05-08
1.7811610698699951,1987-05-11
1.7686177492141724,1987-05-12
1.7560744285583496,1987-05-13
1.7560744285583496,1987-05-14
1.7184444665908813,1987-05-15
1.6808136701583862,1987-05-18
1.6557272672653198,1987-05-19
1.6808136701583862,1987-05-20
1.6933579444885254,1987-05-21
1.6808136701583862,1987-05-22
1.743530511856079,1987-05-26
1.7309879064559937,1987-05-27
1.743530511856079,1987-05-28
1.743530511856079,1987-05-29
1.7309879064559937,1987-06-01
1.7184444665908813,1987-06-02
1.743530511856079,1987-06-03
1.743530511856079,1987-06-04
1.7686177492141724,1987-06-05
1.7560744285583496,1987-06-08
1.7560744285583496,1987-06-09
1.806247353553772,1987-06-10
1.8313344717025757,1987-06-11
1.956768274307251,1987-06-12
1.9830747842788696,1987-06-15
1.970524549484253,1987-06-16
1.9579740762710571,1987-06-17
1.9579740762710571,1987-06-18
1.9454220533370972,1987-06-19
1.9454220533370972,1987-06-22
1.970524549484253,1987-06-23
1.970524549484253,1987-06-24
1.9579740762710571,1987-06-25
1.9579740762710571,1987-06-26
1.9579740762710571,1987-06-29
1.9328718185424805,1987-06-30
1.9328718185424805,1987-07-01
1.9454220533370972,1987-07-02
1.8826662302017212,1987-07-06
1.9328718185424805,1987-07-07
1.9328718185424805,1987-07-08
1.9328718185424805,1987-07-09
1.9077692031860352,1987-07-10
1.8826662302017212,1987-07-13
1.9077692031860352,1987-07-14
1.8826662302017212,1987-07-15
1.8952176570892334,1987-07-16
1.9077692031860352,1987-07-17
1.8952176570892334,1987-07-20
1.9077692031860352,1987-07-21
1.9579740762710571,1987-07-22
1.9328718185424805,1987-07-23
1.92031991481781,1987-07-24
1.9579740762710571,1987-07-27
1.970524549484253,1987-07-28
2.0458316802978516,1987-07-29
2.058382034301758,1987-07-30
1.9956272840499878,1987-07-31
1.9328718185424805,1987-08-03
1.9328718185424805,1987-08-04
1.970524549484253,1987-08-05
1.9956272840499878,1987-08-06
2.0081770420074463,1987-08-07
2.058382034301758,1987-08-10
2.121137857437134,1987-08-11
2.0458316802978516,1987-08-12
2.0458316802978516,1987-08-13
2.033280372619629,1987-08-14
2.033280372619629,1987-08-17
1.9956272840499878,1987-08-18
1.9830747842788696,1987-08-19
2.058382034301758,1987-08-20
2.0458316802978516,1987-08-21
2.0458316802978516,1987-08-24
2.0458316802978516,1987-08-25
1.970524549484253,1987-08-26
1.9328718185424805,1987-08-27
1.92031991481781,1987-08-28
1.9956272840499878,1987-08-31
1.9454220533370972,1987-09-01
1.970524549484253,1987-09-02
1.9328718185424805,1987-09-03
1.9077692031860352,1987-09-04
1.85756516456604,1987-09-08
1.8450130224227905,1987-09-09
1.9328718185424805,1987-09-10
1.9956272840499878,1987-09-11
1.9454220533370972,1987-09-14
1.921510100364685,1987-09-15
1.8963922262191772,1987-09-16
1.8712739944458008,1987-09-17
1.8335975408554077,1987-09-18
1.8210386037826538,1987-09-21
1.8587167263031006,1987-09-22
1.8712739944458008,1987-09-23
1.8587167263031006,1987-09-24
1.846156358718872,1987-09-25
1.8335975408554077,1987-09-28
1.8210386037826538,1987-09-29
1.8335975408554077,1987-09-30
1.8963922262191772,1987-10-01
1.8838330507278442,1987-10-02
1.8712739944458008,1987-10-05
1.846156358718872,1987-10-06
1.8335975408554077,1987-10-07
1.8587167263031006,1987-10-08
1.8587167263031006,1987-10-09
1.8587167263031006,1987-10-12
1.8587167263031006,1987-10-13
1.8587167263031006,1987-10-14
1.7833622694015503,1987-10-15
1.645214319229126,1987-10-16
1.3312432765960693,1987-10-19
1.368919849395752,1987-10-20
1.5447437763214111,1987-10-21
1.5196259021759033,1987-10-22
1.4693903923034668,1987-10-23
1.2558895349502563,1987-10-26
1.3814784288406372,1987-10-27
1.368919849395752,1987-10-28
1.4693903923034668,1987-10-29
1.5447437763214111,1987-10-30
1.4945075511932373,1987-11-02
1.4317127466201782,1987-11-03
1.406595230102539,1987-11-04
1.4693903923034668,1987-11-05
1.4317127466201782,1987-11-06
1.368919849395752,1987-11-09
1.3563607931137085,1987-11-10
1.3814784288406372,1987-11-11
1.3814784288406372,1987-11-12
1.368919849395752,1987-11-13
1.3438016176223755,1987-11-16
1.3061243295669556,1987-11-17
1.368919849395752,1987-11-18
1.368919849395752,1987-11-19
1.3814784288406372,1987-11-20
1.4191540479660034,1987-11-23
1.4693903923034668,1987-11-24
1.4693903923034668,1987-11-25
1.444272756576538,1987-11-27
1.406595230102539,1987-11-30
1.3940362930297852,1987-12-01
1.4693903923034668,1987-12-02
1.444272756576538,1987-12-03
1.368919849395752,1987-12-04
1.3814784288406372,1987-12-07
