AES,Date
2.2588515281677246,1991-06-26
2.2867374420166016,1991-06-27
2.272793769836426,1991-06-28
2.2867374420166016,1991-07-01
2.314624786376953,1991-07-02
2.2867374420166016,1991-07-03
2.2030768394470215,1991-07-05
2.2030768394470215,1991-07-08
2.37039852142334,1991-07-09
2.565608501434326,1991-07-10
2.607438087463379,1991-07-11
2.565608501434326,1991-07-12
2.565608501434326,1991-07-15
2.7050440311431885,1991-07-16
2.8444790840148926,1991-07-17
2.8444790840148926,1991-07-18
2.7050440311431885,1991-07-19
2.7050440311431885,1991-07-22
2.5795514583587646,1991-07-23
2.5098342895507812,1991-07-24
2.481947422027588,1991-07-25
2.5098342895507812,1991-07-26
2.537721872329712,1991-07-29
2.7329297065734863,1991-07-30
2.7887039184570312,1991-07-31
2.81659197807312,1991-08-01
2.7887039184570312,1991-08-02
2.7329297065734863,1991-08-05
2.760817527770996,1991-08-06
2.760817527770996,1991-08-07
2.760817527770996,1991-08-08
2.718987464904785,1991-08-09
2.7050440311431885,1991-08-12
2.7050440311431885,1991-08-13
2.7329297065734863,1991-08-14
2.7329297065734863,1991-08-15
2.7050440311431885,1991-08-16
2.5795514583587646,1991-08-19
2.677157163619995,1991-08-20
2.677157163619995,1991-08-21
2.7329297065734863,1991-08-22
2.760817527770996,1991-08-23
2.7887039184570312,1991-08-26
2.9002528190612793,1991-08-27
2.983914375305176,1991-08-28
2.9420828819274902,1991-08-29
2.956026554107666,1991-08-30
2.956026554107666,1991-09-03
2.928140163421631,1991-09-04
2.928140163421631,1991-09-05
2.928140163421631,1991-09-06
2.956026554107666,1991-09-09
2.928140163421631,1991-09-10
2.983914375305176,1991-09-11
2.983914375305176,1991-09-12
3.01180100440979,1991-09-13
3.01180100440979,1991-09-16
3.01180100440979,1991-09-17
2.983914375305176,1991-09-18
2.983914375305176,1991-09-19
2.983914375305176,1991-09-20
3.0396878719329834,1991-09-23
3.01180100440979,1991-09-24
3.0396878719329834,1991-09-25
3.0954627990722656,1991-09-26
3.0396878719329834,1991-09-27
3.01180100440979,1991-09-30
2.983914375305176,1991-10-01
3.01180100440979,1991-10-02
2.872365951538086,1991-10-03
2.8444790840148926,1991-10-04
2.760817527770996,1991-10-07
2.7887039184570312,1991-10-08
2.872365951538086,1991-10-09
2.928140163421631,1991-10-10
2.9002528190612793,1991-10-11
3.01180100440979,1991-10-14
3.0954627990722656,1991-10-15
3.12334942817688,1991-10-16
3.151235342025757,1991-10-17
3.12334942817688,1991-10-18
3.151235342025757,1991-10-21
3.0675745010375977,1991-10-22
3.151235342025757,1991-10-23
3.0396878719329834,1991-10-24
2.956026554107666,1991-10-25
3.01180100440979,1991-10-28
3.01180100440979,1991-10-29
2.983914375305176,1991-10-30
3.01180100440979,1991-10-31
2.983914375305176,1991-11-01
3.01180100440979,1991-11-04
2.983914375305176,1991-11-05
3.0396878719329834,1991-11-06
2.983914375305176,1991-11-07
3.0396878719329834,1991-11-08
3.0396878719329834,1991-11-11
3.01180100440979,1991-11-12
3.0675745010375977,1991-11-13
3.0396878719329834,1991-11-14
3.01180100440979,1991-11-15
2.9420828819274902,1991-11-18
2.9002528190612793,1991-11-19
2.9002528190612793,1991-11-20
2.928140163421631,1991-11-21
2.956026554107666,1991-11-22
2.872365951538086,1991-11-25
2.81659197807312,1991-11-26
2.872365951538086,1991-11-27
2.830535650253296,1991-11-29
2.928140163421631,1991-12-02
2.928140163421631,1991-12-03
2.9002528190612793,1991-12-04
2.928140163421631,1991-12-05
2.983914375305176,1991-12-06
3.0675745010375977,1991-12-09
3.0396878719329834,1991-12-10
2.956026554107666,1991-12-11
3.0675745010375977,1991-12-12
3.0954627990722656,1991-12-13
3.0954627990722656,1991-12-16
3.0954627990722656,1991-12-17
3.262784719467163,1991-12-18
3.3464460372924805,1991-12-19
3.4301066398620605,1991-12-20
3.4440512657165527,1991-12-23
3.3743321895599365,1991-12-24
3.3743321895599365,1991-12-26
3.457993984222412,1991-12-27
3.6532020568847656,1991-12-30
3.820526599884033,1991-12-31
3.681091547012329,1992-01-02
3.7089781761169434,1992-01-03
3.7647509574890137,1992-01-06
3.7368643283843994,1992-01-07
3.7647509574890137,1992-01-08
3.7089781761169434,1992-01-09
3.7647509574890137,1992-01-10
3.7647509574890137,1992-01-13
3.7926392555236816,1992-01-14
3.7926392555236816,1992-01-15
3.7368643283843994,1992-01-16
3.7368643283843994,1992-01-17
3.7647509574890137,1992-01-20
3.7368643283843994,1992-01-21
3.7926392555236816,1992-01-22
3.848412036895752,1992-01-23
3.820526599884033,1992-01-24
3.7089781761169434,1992-01-27
3.7926392555236816,1992-01-28
3.7089781761169434,1992-01-29
3.6950340270996094,1992-01-30
3.681091547012329,1992-01-31
3.7089781761169434,1992-02-03
3.7368643283843994,1992-02-04
3.7368643283843994,1992-02-05
3.7089781761169434,1992-02-06
3.5695416927337646,1992-02-07
3.48587965965271,1992-02-10
3.402218818664551,1992-02-11
3.541654109954834,1992-02-12
3.48587965965271,1992-02-13
3.48587965965271,1992-02-14
3.48587965965271,1992-02-18
3.5695416927337646,1992-02-19
3.7368643283843994,1992-02-20
3.7368643283843994,1992-02-21
3.6253156661987305,1992-02-24
3.5974302291870117,1992-02-25
3.5834853649139404,1992-02-26
3.5695416927337646,1992-02-27
3.6253156661987305,1992-02-28
3.667147159576416,1992-03-02
3.8344690799713135,1992-03-03
3.7229204177856445,1992-03-04
3.7368643283843994,1992-03-05
3.681091547012329,1992-03-06
3.681091547012329,1992-03-09
3.820526599884033,1992-03-10
3.7647509574890137,1992-03-11
3.7368643283843994,1992-03-12
3.681091547012329,1992-03-13
3.7368643283843994,1992-03-16
3.681091547012329,1992-03-17
3.7926392555236816,1992-03-18
3.9878480434417725,1992-03-19
4.04362154006958,1992-03-20
4.04362154006958,1992-03-23
3.9878480434417725,1992-03-24
4.099395275115967,1992-03-25
4.1691155433654785,1992-03-26
4.099395275115967,1992-03-27
4.183056831359863,1992-03-30
4.155170440673828,1992-03-31
4.04362154006958,1992-04-01
3.876298666000366,1992-04-02
3.7926392555236816,1992-04-03
3.9599623680114746,1992-04-06
3.9041860103607178,1992-04-07
3.9041860103607178,1992-04-08
3.9320735931396484,1992-04-09
3.9041860103607178,1992-04-10
3.9320735931396484,1992-04-13
3.946017026901245,1992-04-14
4.015735626220703,1992-04-15
3.820526599884033,1992-04-16
3.750807523727417,1992-04-20
3.7926392555236816,1992-04-21
3.806581735610962,1992-04-22
3.820526599884033,1992-04-23
3.820526599884033,1992-04-24
3.820526599884033,1992-04-27
3.820526599884033,1992-04-28
3.946017026901245,1992-04-29
3.9599623680114746,1992-04-30
3.9599623680114746,1992-05-01
4.015735626220703,1992-05-04
3.4440512657165527,1992-05-05
3.262784719467163,1992-05-06
2.9699697494506836,1992-05-07
3.151235342025757,1992-05-08
3.1791229248046875,1992-05-11
3.2070107460021973,1992-05-12
3.234898328781128,1992-05-13
3.234898328781128,1992-05-14
3.151235342025757,1992-05-15
3.0675745010375977,1992-05-18
2.956026554107666,1992-05-19
3.0396878719329834,1992-05-20
2.956026554107666,1992-05-21
3.0396878719329834,1992-05-22
3.0954627990722656,1992-05-26
3.2070107460021973,1992-05-27
3.2070107460021973,1992-05-28
3.234898328781128,1992-05-29
3.3185579776763916,1992-06-01
3.234898328781128,1992-06-02
3.1791229248046875,1992-06-03
3.12334942817688,1992-06-04
3.12334942817688,1992-06-05
2.928140163421631,1992-06-08
2.872365951538086,1992-06-09
2.872365951538086,1992-06-10
2.983914375305176,1992-06-11
2.983914375305176,1992-06-12
3.025744676589966,1992-06-15
3.0954627990722656,1992-06-16
2.872365951538086,1992-06-17
2.983914375305176,1992-06-18
3.01180100440979,1992-06-19
2.956026554107666,1992-06-22
1.8963196277618408,1992-06-23
1.9939240217208862,1992-06-24
1.9660370349884033,1992-06-25
2.0078675746917725,1992-06-26
2.1473031044006348,1992-06-29
2.1473031044006348,1992-06-30
2.1751902103424072,1992-07-01
2.2588515281677246,1992-07-02
2.314624786376953,1992-07-06
2.2867374420166016,1992-07-07
2.2867374420166016,1992-07-08
2.37039852142334,1992-07-09
2.37039852142334,1992-07-10
2.4261724948883057,1992-07-13
2.537721872329712,1992-07-14
2.5237772464752197,1992-07-15
2.5098342895507812,1992-07-16
2.1751902103424072,1992-07-17
2.1473031044006348,1992-07-20
1.9799809455871582,1992-07-21
2.0357537269592285,1992-07-22
2.119415521621704,1992-07-23
2.1473031044006348,1992-07-24
2.217020273208618,1992-07-27
2.2030768394470215,1992-07-28
2.1751902103424072,1992-07-29
2.1473031044006348,1992-07-30
2.384342670440674,1992-07-31
2.3982856273651123,1992-08-03
2.2867374420166016,1992-08-04
2.1751902103424072,1992-08-05
2.1473031044006348,1992-08-06
2.1751902103424072,1992-08-07
2.119415521621704,1992-08-10
2.2030768394470215,1992-08-11
2.314624786376953,1992-08-12
2.3564560413360596,1992-08-13
2.481947422027588,1992-08-14
2.37039852142334,1992-08-17
2.2867374420166016,1992-08-18
2.314624786376953,1992-08-19
2.314624786376953,1992-08-20
2.2588515281677246,1992-08-21
2.1612467765808105,1992-08-24
2.119415521621704,1992-08-25
2.119415521621704,1992-08-26
2.1473031044006348,1992-08-27
2.1473031044006348,1992-08-28
2.2030768394470215,1992-08-31
2.230964183807373,1992-09-01
2.4383647441864014,1992-09-02
2.3542826175689697,1992-09-03
2.3542826175689697,1992-09-04
2.2702016830444336,1992-09-08
2.2982287406921387,1992-09-09
2.410337448120117,1992-09-10
2.5084328651428223,1992-09-11
2.550473690032959,1992-09-14
2.522446393966675,1992-09-15
2.522446393966675,1992-09-16
2.494419574737549,1992-09-17
2.494419574737549,1992-09-18
2.522446393966675,1992-09-21
2.522446393966675,1992-09-22
2.4663925170898438,1992-09-23
2.550473690032959,1992-09-24
2.4663925170898438,1992-09-25
2.326256275177002,1992-09-28
2.326256275177002,1992-09-29
2.3542826175689697,1992-09-30
2.3542826175689697,1992-10-01
2.3402700424194336,1992-10-02
2.2982287406921387,1992-10-05
2.4663925170898438,1992-10-06
2.424351692199707,1992-10-07
2.4663925170898438,1992-10-08
2.4383647441864014,1992-10-09
2.4663925170898438,1992-10-12
2.4663925170898438,1992-10-13
2.48040509223938,1992-10-14
2.5364596843719482,1992-10-15
2.494419574737549,1992-10-16
2.4383647441864014,1992-10-19
2.3542826175689697,1992-10-20
2.4663925170898438,1992-10-21
2.4383647441864014,1992-10-22
2.494419574737549,1992-10-23
2.4383647441864014,1992-10-26
2.410337448120117,1992-10-27
2.410337448120117,1992-10-28
2.494419574737549,1992-10-29
2.494419574737549,1992-10-30
2.494419574737549,1992-11-02
2.382310152053833,1992-11-03
2.382310152053833,1992-11-04
2.3963241577148438,1992-11-05
2.410337448120117,1992-11-06
2.382310152053833,1992-11-09
2.3542826175689697,1992-11-10
2.424351692199707,1992-11-11
2.410337448120117,1992-11-12
2.634554624557495,1992-11-13
2.662581443786621,1992-11-16
2.578500747680664,1992-11-17
2.60652756690979,1992-11-18
2.578500747680664,1992-11-19
2.60652756690979,1992-11-20
2.7186365127563477,1992-11-23
2.8307454586029053,1992-11-24
2.8307454586029053,1992-11-25
2.8867998123168945,1992-11-27
2.900813341140747,1992-11-30
2.7186365127563477,1992-12-01
2.662581443786621,1992-12-02
2.6906094551086426,1992-12-03
2.7466626167297363,1992-12-04
2.8587727546691895,1992-12-07
2.8307454586029053,1992-12-08
2.8587727546691895,1992-12-09
2.802717447280884,1992-12-10
2.7887039184570312,1992-12-11
2.802717447280884,1992-12-14
2.7746903896331787,1992-12-15
2.802717447280884,1992-12-16
2.8587727546691895,1992-12-17
2.8587727546691895,1992-12-18
2.942854166030884,1992-12-21
3.0269358158111572,1992-12-22
2.984894275665283,1992-12-23
3.0269358158111572,1992-12-24
3.0269358158111572,1992-12-28
3.054962396621704,1992-12-29
3.0269358158111572,1992-12-30
3.111017942428589,1992-12-31
2.984894275665283,1993-01-04
3.054962396621704,1993-01-05
3.054962396621704,1993-01-06
2.998908519744873,1993-01-07
3.111017942428589,1993-01-08
3.139045000076294,1993-01-11
3.068976402282715,1993-01-12
3.111017942428589,1993-01-13
3.111017942428589,1993-01-14
3.1670711040496826,1993-01-15
3.195098400115967,1993-01-18
3.1670711040496826,1993-01-19
3.1670711040496826,1993-01-20
3.2791800498962402,1993-01-21
3.2231264114379883,1993-01-22
3.2231264114379883,1993-01-25
3.2511541843414307,1993-01-26
3.195098400115967,1993-01-27
3.068976402282715,1993-01-28
3.054962396621704,1993-01-29
3.139045000076294,1993-02-01
3.139045000076294,1993-02-02
3.111017942428589,1993-02-03
3.111017942428589,1993-02-04
3.0269358158111572,1993-02-05
3.0829896926879883,1993-02-08
2.970881700515747,1993-02-09
2.998908519744873,1993-02-10
3.111017942428589,1993-02-11
3.2651665210723877,1993-02-12
3.0829896926879883,1993-02-16
3.0829896926879883,1993-02-17
3.0829896926879883,1993-02-18
3.054962396621704,1993-02-19
3.0829896926879883,1993-02-22
3.0717175006866455,1993-02-23
3.128080368041992,1993-02-24
3.2126219272613525,1993-02-25
3.2408032417297363,1993-02-26
3.1844406127929688,1993-03-01
3.1562607288360596,1993-03-02
3.2126219272613525,1993-03-03
3.1844406127929688,1993-03-04
3.2126219272613525,1993-03-05
3.2971651554107666,1993-03-08
3.1985316276550293,1993-03-09
3.2408032417297363,1993-03-10
3.2126219272613525,1993-03-11
3.2971651554107666,1993-03-12
3.2126219272613525,1993-03-15
3.2971651554107666,1993-03-16
3.2126219272613525,1993-03-17
3.2971651554107666,1993-03-18
3.325345277786255,1993-03-19
3.2689850330352783,1993-03-22
3.3535261154174805,1993-03-23
3.4098875522613525,1993-03-24
3.4098875522613525,1993-03-25
3.381706953048706,1993-03-26
3.381706953048706,1993-03-29
3.46625018119812,1993-03-30
3.46625018119812,1993-03-31
3.5226123332977295,1993-04-01
3.508521318435669,1993-04-02
3.5226123332977295,1993-04-05
3.550793409347534,1993-04-06
3.550793409347534,1993-04-07
3.5789737701416016,1993-04-08
