ADCT,Date
30.0,2020-05-18
31.139999389648438,2020-05-19
32.380001068115234,2020-05-20
34.33000183105469,2020-05-21
35.29999923706055,2020-05-22
36.400001525878906,2020-05-26
36.13999938964844,2020-05-27
37.95000076293945,2020-05-28
36.95000076293945,2020-05-29
36.22999954223633,2020-06-01
36.81999969482422,2020-06-02
35.849998474121094,2020-06-03
34.9900016784668,2020-06-04
34.95000076293945,2020-06-05
35.25,2020-06-08
36.650001525878906,2020-06-09
37.560001373291016,2020-06-10
38.59000015258789,2020-06-11
40.31999969482422,2020-06-12
39.66999816894531,2020-06-15
39.63999938964844,2020-06-16
39.099998474121094,2020-06-17
40.29999923706055,2020-06-18
41.5,2020-06-19
42.09000015258789,2020-06-22
43.22999954223633,2020-06-23
42.959999084472656,2020-06-24
42.709999084472656,2020-06-25
43.150001525878906,2020-06-26
45.939998626708984,2020-06-29
46.810001373291016,2020-06-30
48.77000045776367,2020-07-01
51.04999923706055,2020-07-02
48.93000030517578,2020-07-06
47.5099983215332,2020-07-07
44.619998931884766,2020-07-08
44.31999969482422,2020-07-09
43.400001525878906,2020-07-10
43.310001373291016,2020-07-13
42.369998931884766,2020-07-14
45.130001068115234,2020-07-15
47.4900016784668,2020-07-16
49.0,2020-07-17
48.689998626708984,2020-07-20
48.369998931884766,2020-07-21
47.0,2020-07-22
48.81999969482422,2020-07-23
48.650001525878906,2020-07-24
48.689998626708984,2020-07-27
48.599998474121094,2020-07-28
48.33000183105469,2020-07-29
48.209999084472656,2020-07-30
46.5,2020-07-31
46.83000183105469,2020-08-03
48.959999084472656,2020-08-04
51.029998779296875,2020-08-05
46.7400016784668,2020-08-06
48.130001068115234,2020-08-07
49.779998779296875,2020-08-10
43.25,2020-08-11
43.0,2020-08-12
42.29999923706055,2020-08-13
39.529998779296875,2020-08-14
38.619998931884766,2020-08-17
39.0,2020-08-18
39.70000076293945,2020-08-19
40.2400016784668,2020-08-20
42.52000045776367,2020-08-21
44.11000061035156,2020-08-24
45.72999954223633,2020-08-25
44.06999969482422,2020-08-26
43.959999084472656,2020-08-27
45.849998474121094,2020-08-28
44.16999816894531,2020-08-31
41.189998626708984,2020-09-01
39.84000015258789,2020-09-02
40.040000915527344,2020-09-03
36.939998626708984,2020-09-04
36.09000015258789,2020-09-08
38.0,2020-09-09
38.08000183105469,2020-09-10
38.68000030517578,2020-09-11
40.93000030517578,2020-09-14
40.709999084472656,2020-09-15
42.4900016784668,2020-09-16
45.040000915527344,2020-09-17
45.5,2020-09-18
45.25,2020-09-21
35.90999984741211,2020-09-22
34.15999984741211,2020-09-23
33.5,2020-09-24
33.58000183105469,2020-09-25
33.0,2020-09-28
32.869998931884766,2020-09-29
32.9900016784668,2020-09-30
32.150001525878906,2020-10-01
32.25,2020-10-02
33.34000015258789,2020-10-05
33.5099983215332,2020-10-06
33.36000061035156,2020-10-07
35.63999938964844,2020-10-08
33.84000015258789,2020-10-09
34.43000030517578,2020-10-12
33.09000015258789,2020-10-13
30.809999465942383,2020-10-14
27.260000228881836,2020-10-15
27.729999542236328,2020-10-16
28.649999618530273,2020-10-19
28.040000915527344,2020-10-20
25.260000228881836,2020-10-21
27.700000762939453,2020-10-22
27.510000228881836,2020-10-23
26.719999313354492,2020-10-26
27.09000015258789,2020-10-27
28.81999969482422,2020-10-28
29.0,2020-10-29
28.690000534057617,2020-10-30
29.010000228881836,2020-11-02
29.260000228881836,2020-11-03
30.8700008392334,2020-11-04
32.13999938964844,2020-11-05
32.5,2020-11-06
33.25,2020-11-09
32.66999816894531,2020-11-10
34.66999816894531,2020-11-11
33.959999084472656,2020-11-12
33.70000076293945,2020-11-13
34.15999984741211,2020-11-16
34.189998626708984,2020-11-17
33.5,2020-11-18
33.720001220703125,2020-11-19
35.849998474121094,2020-11-20
36.16999816894531,2020-11-23
35.7400016784668,2020-11-24
35.689998626708984,2020-11-25
34.5,2020-11-27
37.310001373291016,2020-11-30
38.02000045776367,2020-12-01
37.970001220703125,2020-12-02
35.61000061035156,2020-12-03
35.849998474121094,2020-12-04
34.66999816894531,2020-12-07
35.630001068115234,2020-12-08
34.34000015258789,2020-12-09
33.869998931884766,2020-12-10
34.400001525878906,2020-12-11
34.2400016784668,2020-12-14
32.08000183105469,2020-12-15
31.479999542236328,2020-12-16
32.81999969482422,2020-12-17
33.5099983215332,2020-12-18
33.70000076293945,2020-12-21
36.0,2020-12-22
36.5,2020-12-23
36.9900016784668,2020-12-24
35.310001373291016,2020-12-28
32.560001373291016,2020-12-29
31.959999084472656,2020-12-30
32.0099983215332,2020-12-31
32.220001220703125,2021-01-04
29.860000610351562,2021-01-05
30.360000610351562,2021-01-06
31.600000381469727,2021-01-07
32.68000030517578,2021-01-08
32.099998474121094,2021-01-11
31.09000015258789,2021-01-12
31.780000686645508,2021-01-13
33.0,2021-01-14
32.540000915527344,2021-01-15
32.099998474121094,2021-01-19
31.600000381469727,2021-01-20
31.75,2021-01-21
33.36000061035156,2021-01-22
34.04999923706055,2021-01-25
33.84000015258789,2021-01-26
32.4900016784668,2021-01-27
30.100000381469727,2021-01-28
28.56999969482422,2021-01-29
27.530000686645508,2021-02-01
28.260000228881836,2021-02-02
27.5,2021-02-03
29.1200008392334,2021-02-04
30.299999237060547,2021-02-05
30.65999984741211,2021-02-08
30.31999969482422,2021-02-09
30.280000686645508,2021-02-10
30.549999237060547,2021-02-11
30.469999313354492,2021-02-12
31.43000030517578,2021-02-16
31.56999969482422,2021-02-17
31.0,2021-02-18
30.940000534057617,2021-02-19
30.670000076293945,2021-02-22
29.290000915527344,2021-02-23
28.59000015258789,2021-02-24
28.479999542236328,2021-02-25
26.59000015258789,2021-02-26
27.31999969482422,2021-03-01
27.079999923706055,2021-03-02
25.420000076293945,2021-03-03
23.760000228881836,2021-03-04
22.75,2021-03-05
23.459999084472656,2021-03-08
25.809999465942383,2021-03-09
24.850000381469727,2021-03-10
25.190000534057617,2021-03-11
25.280000686645508,2021-03-12
25.010000228881836,2021-03-15
29.25,2021-03-16
29.399999618530273,2021-03-17
29.18000030517578,2021-03-18
28.06999969482422,2021-03-19
28.700000762939453,2021-03-22
27.8700008392334,2021-03-23
25.020000457763672,2021-03-24
26.40999984741211,2021-03-25
25.110000610351562,2021-03-26
24.829999923706055,2021-03-29
24.25,2021-03-30
24.40999984741211,2021-03-31
25.520000457763672,2021-04-01
27.040000915527344,2021-04-05
26.950000762939453,2021-04-06
25.290000915527344,2021-04-07
25.81999969482422,2021-04-08
23.989999771118164,2021-04-09
22.760000228881836,2021-04-12
22.729999542236328,2021-04-13
24.34000015258789,2021-04-14
23.610000610351562,2021-04-15
23.290000915527344,2021-04-16
21.899999618530273,2021-04-19
22.969999313354492,2021-04-20
23.8799991607666,2021-04-21
24.399999618530273,2021-04-22
23.25,2021-04-23
25.670000076293945,2021-04-26
26.700000762939453,2021-04-27
26.290000915527344,2021-04-28
25.399999618530273,2021-04-29
24.540000915527344,2021-04-30
23.8700008392334,2021-05-03
22.549999237060547,2021-05-04
22.0,2021-05-05
22.610000610351562,2021-05-06
23.59000015258789,2021-05-07
22.479999542236328,2021-05-10
21.600000381469727,2021-05-11
21.690000534057617,2021-05-12
20.889999389648438,2021-05-13
21.229999542236328,2021-05-14
21.420000076293945,2021-05-17
21.040000915527344,2021-05-18
20.3799991607666,2021-05-19
20.479999542236328,2021-05-20
20.940000534057617,2021-05-21
20.899999618530273,2021-05-24
20.709999084472656,2021-05-25
21.350000381469727,2021-05-26
22.25,2021-05-27
21.649999618530273,2021-05-28
22.15999984741211,2021-06-01
22.540000915527344,2021-06-02
22.219999313354492,2021-06-03
22.0,2021-06-04
21.770000457763672,2021-06-07
21.75,2021-06-08
21.639999389648438,2021-06-09
22.219999313354492,2021-06-10
22.209999084472656,2021-06-11
23.18000030517578,2021-06-14
23.059999465942383,2021-06-15
23.010000228881836,2021-06-16
23.0,2021-06-17
23.25,2021-06-18
25.34000015258789,2021-06-21
24.950000762939453,2021-06-22
24.770000457763672,2021-06-23
24.799999237060547,2021-06-24
25.079999923706055,2021-06-25
24.559999465942383,2021-06-28
24.200000762939453,2021-06-29
24.350000381469727,2021-06-30
24.690000534057617,2021-07-01
24.18000030517578,2021-07-02
24.3700008392334,2021-07-06
23.84000015258789,2021-07-07
24.15999984741211,2021-07-08
24.459999084472656,2021-07-09
24.100000381469727,2021-07-12
23.299999237060547,2021-07-13
22.920000076293945,2021-07-14
22.719999313354492,2021-07-15
22.75,2021-07-16
22.239999771118164,2021-07-19
22.549999237060547,2021-07-20
22.510000228881836,2021-07-21
22.040000915527344,2021-07-22
21.549999237060547,2021-07-23
21.040000915527344,2021-07-26
20.450000762939453,2021-07-27
21.270000457763672,2021-07-28
21.190000534057617,2021-07-29
21.040000915527344,2021-07-30
20.709999084472656,2021-08-02
22.549999237060547,2021-08-03
23.809999465942383,2021-08-04
24.440000534057617,2021-08-05
25.780000686645508,2021-08-06
27.270000457763672,2021-08-09
27.18000030517578,2021-08-10
27.010000228881836,2021-08-11
26.5,2021-08-12
26.780000686645508,2021-08-13
26.110000610351562,2021-08-16
27.229999542236328,2021-08-17
26.799999237060547,2021-08-18
25.0,2021-08-19
25.25,2021-08-20
25.56999969482422,2021-08-23
25.31999969482422,2021-08-24
25.860000610351562,2021-08-25
28.5,2021-08-26
29.489999771118164,2021-08-27
28.81999969482422,2021-08-30
29.170000076293945,2021-08-31
29.31999969482422,2021-09-01
30.0,2021-09-02
27.950000762939453,2021-09-03
26.979999542236328,2021-09-07
26.989999771118164,2021-09-08
27.139999389648438,2021-09-09
