VZ,Date
1.200454831123352,1983-11-21
1.1961835622787476,1983-11-22
1.1897752285003662,1983-11-23
1.1769591569900513,1983-11-25
1.1449178457260132,1983-11-28
1.13210129737854,1983-11-29
1.13210129737854,1983-11-30
1.13210129737854,1983-12-01
1.1299657821655273,1983-12-02
1.1171492338180542,1983-12-05
1.1214210987091064,1983-12-06
1.13210129737854,1983-12-07
1.134237289428711,1983-12-08
1.1363736391067505,1983-12-09
1.13850998878479,1983-12-12
1.155597448348999,1983-12-13
1.1598701477050781,1983-12-14
1.1513258218765259,1983-12-15
1.1577340364456177,1983-12-16
1.153463363647461,1983-12-19
1.1470537185668945,1983-12-20
1.1406453847885132,1983-12-21
1.1256935596466064,1983-12-22
1.1192853450775146,1983-12-23
1.112877607345581,1983-12-27
1.1214210987091064,1983-12-28
1.1192853450775146,1983-12-29
1.1150133609771729,1983-12-30
1.1470537185668945,1984-01-03
1.181230902671814,1984-01-04
1.1919108629226685,1984-01-05
1.2132703065872192,1984-01-06
1.1983187198638916,1984-01-09
1.2025909423828125,1984-01-10
1.2047263383865356,1984-01-11
1.2132703065872192,1984-01-12
1.221815824508667,1984-01-13
1.232495903968811,1984-01-16
1.2431761026382446,1984-01-17
1.2474483251571655,1984-01-18
1.2474483251571655,1984-01-19
1.2559921741485596,1984-01-20
1.2495834827423096,1984-01-23
1.2474483251571655,1984-01-24
1.2495834827423096,1984-01-25
1.2431761026382446,1984-01-26
1.2602635622024536,1984-01-27
1.2559921741485596,1984-01-30
1.2624003887176514,1984-01-31
1.2666722536087036,1984-02-01
1.277352213859558,1984-02-02
1.258128046989441,1984-02-03
1.251719355583191,1984-02-06
1.2495834827423096,1984-02-07
1.2047263383865356,1984-02-08
1.2068625688552856,1984-02-09
1.200454831123352,1984-02-10
1.1983187198638916,1984-02-13
1.2132703065872192,1984-02-14
1.221815824508667,1984-02-15
1.2389038801193237,1984-02-16
1.2389038801193237,1984-02-17
1.2260873317718506,1984-02-21
1.2111353874206543,1984-02-22
1.1983187198638916,1984-02-23
1.2154072523117065,1984-02-24
1.2111353874206543,1984-02-27
1.1897752285003662,1984-02-28
1.2089991569519043,1984-02-29
1.2282235622406006,1984-03-01
1.2453114986419678,1984-03-02
1.221815824508667,1984-03-05
1.2239515781402588,1984-03-06
1.219679594039917,1984-03-07
1.2175428867340088,1984-03-08
1.2068625688552856,1984-03-09
1.2068625688552856,1984-03-12
1.2089991569519043,1984-03-13
1.2111353874206543,1984-03-14
1.2089991569519043,1984-03-15
1.2239515781402588,1984-03-16
1.2111353874206543,1984-03-19
1.219679594039917,1984-03-20
1.2154072523117065,1984-03-21
1.2132703065872192,1984-03-22
1.219679594039917,1984-03-23
1.225797414779663,1984-03-26
1.225797414779663,1984-03-27
1.2279826402664185,1984-03-28
1.2323518991470337,1984-03-29
1.2301676273345947,1984-03-30
1.2148720026016235,1984-04-02
1.2148720026016235,1984-04-03
1.201762080192566,1984-04-04
1.1864666938781738,1984-04-05
1.1930227279663086,1984-04-06
1.175541877746582,1984-04-09
1.175541877746582,1984-04-10
1.1646171808242798,1984-04-11
1.1646171808242798,1984-04-12
1.16024649143219,1984-04-13
1.1580613851547241,1984-04-16
1.1733567714691162,1984-04-17
1.1689865589141846,1984-04-18
1.16680109500885,1984-04-19
1.17117178440094,1984-04-23
1.1886518001556396,1984-04-24
1.2039481401443481,1984-04-25
1.2236130237579346,1984-04-26
1.210502028465271,1984-04-27
1.2039481401443481,1984-04-30
1.2214267253875732,1984-05-01
1.2345370054244995,1984-05-02
1.238907814025879,1984-05-03
1.225797414779663,1984-05-04
1.2192424535751343,1984-05-07
1.2323518991470337,1984-05-08
1.2410918474197388,1984-05-09
1.243277907371521,1984-05-10
1.2367228269577026,1984-05-11
1.2279826402664185,1984-05-14
1.225797414779663,1984-05-15
1.2192424535751343,1984-05-16
1.2061322927474976,1984-05-17
1.201762080192566,1984-05-18
1.201762080192566,1984-05-21
1.1973929405212402,1984-05-22
1.1995779275894165,1984-05-23
1.2192424535751343,1984-05-24
1.1995779275894165,1984-05-25
1.1842817068099976,1984-05-29
1.1864666938781738,1984-05-30
1.1930227279663086,1984-05-31
1.2148720026016235,1984-06-01
1.2126871347427368,1984-06-04
1.2039481401443481,1984-06-05
1.2214267253875732,1984-06-06
1.2170575857162476,1984-06-07
1.2345370054244995,1984-06-08
1.2236130237579346,1984-06-11
1.2236130237579346,1984-06-12
1.2279826402664185,1984-06-13
1.2192424535751343,1984-06-14
1.2236130237579346,1984-06-15
1.2367228269577026,1984-06-18
1.2323518991470337,1984-06-19
1.2301676273345947,1984-06-20
1.2236130237579346,1984-06-21
1.2236130237579346,1984-06-22
1.2321105003356934,1984-06-25
1.2321105003356934,1984-06-26
1.211984634399414,1984-06-27
1.2164570093154907,1984-06-28
1.2142205238342285,1984-06-29
1.2209299802780151,1984-07-02
1.2365821599960327,1984-07-03
1.229873538017273,1984-07-05
1.2432900667190552,1984-07-06
1.2634152173995972,1984-07-09
1.2813048362731934,1984-07-10
1.2723603248596191,1984-07-11
1.2880134582519531,1984-07-12
1.2880134582519531,1984-07-13
1.2813048362731934,1984-07-16
1.292484998703003,1984-07-17
1.2745956182479858,1984-07-18
1.2745956182479858,1984-07-19
1.2768328189849854,1984-07-20
1.3014307022094727,1984-07-23
1.2969578504562378,1984-07-24
1.2969578504562378,1984-07-25
