BMC,Date
2380.0,2014-01-31
2380.0,2014-02-03
2380.0,2014-02-04
2380.0,2014-02-05
2380.0,2014-02-06
2380.0,2014-02-07
2380.0,2014-02-10
2380.0,2014-02-11
2380.0,2014-02-12
2380.0,2014-02-13
2380.0,2014-02-14
2380.0,2014-02-18
2380.0,2014-02-19
2380.0,2014-02-20
2380.0,2014-02-21
2380.0,2014-02-24
2380.0,2014-02-25
2380.0,2014-02-26
2380.0,2014-02-27
2380.0,2014-02-28
2380.0,2014-03-03
2380.0,2014-03-04
2380.0,2014-03-05
2380.0,2014-03-06
2380.0,2014-03-07
2380.0,2014-03-10
2380.0,2014-03-11
2380.0,2014-03-12
2380.0,2014-03-13
2380.0,2014-03-14
2380.0,2014-03-17
2380.0,2014-03-18
2380.0,2014-03-19
2380.0,2014-03-20
2380.0,2014-03-21
2380.0,2014-03-24
2380.0,2014-03-25
2380.0,2014-03-26
2380.0,2014-03-27
2380.0,2014-03-28
2380.0,2014-03-31
2380.0,2014-04-01
2380.0,2014-04-02
2380.0,2014-04-03
909.0,2014-04-04
909.0,2014-04-07
909.0,2014-04-08
909.0,2014-04-09
909.0,2014-04-10
909.0,2014-04-11
909.0,2014-04-14
909.0,2014-04-15
909.0,2014-04-16
909.0,2014-04-17
909.0,2014-04-21
909.0,2014-04-22
909.0,2014-04-23
909.0,2014-04-24
909.0,2014-04-25
909.0,2014-04-28
909.0,2014-04-29
909.0,2014-04-30
909.0,2014-05-01
909.0,2014-05-02
909.0,2014-05-05
909.0,2014-05-06
909.0,2014-05-07
909.0,2014-05-08
909.0,2014-05-09
909.0,2014-05-12
909.0,2014-05-13
909.0,2014-05-14
909.0,2014-05-15
909.0,2014-05-16
909.0,2014-05-19
909.0,2014-05-20
909.0,2014-05-21
909.0,2014-05-22
909.0,2014-05-23
909.0,2014-05-27
909.0,2014-05-28
909.0,2014-05-29
909.0,2014-05-30
909.0,2014-06-02
909.0,2014-06-03
909.0,2014-06-04
909.0,2014-06-05
909.0,2014-06-06
909.0,2014-06-09
909.0,2014-06-10
909.0,2014-06-11
909.0,2014-06-12
909.0,2014-06-13
909.0,2014-06-16
909.0,2014-06-17
909.0,2014-06-18
909.0,2014-06-19
909.0,2014-06-20
909.0,2014-06-23
909.0,2014-06-24
909.0,2014-06-25
909.0,2014-06-26
909.0,2014-06-27
909.0,2014-06-30
909.0,2014-07-01
909.0,2014-07-02
909.0,2014-07-03
909.0,2014-07-07
909.0,2014-07-08
909.0,2014-07-09
909.0,2014-07-10
909.0,2014-07-11
909.0,2014-07-14
909.0,2014-07-15
909.0,2014-07-16
909.0,2014-07-17
909.0,2014-07-18
909.0,2014-07-21
909.0,2014-07-22
909.0,2014-07-23
909.0,2014-07-24
909.0,2014-07-25
909.0,2014-07-28
909.0,2014-07-29
909.0,2014-07-30
909.0,2014-07-31
909.0,2014-08-01
909.0,2014-08-04
909.0,2014-08-05
909.0,2014-08-06
909.0,2014-08-07
909.0,2014-08-08
909.0,2014-08-11
909.0,2014-08-12
909.0,2014-08-13
909.0,2014-08-14
909.0,2014-08-15
909.0,2014-08-18
909.0,2014-08-19
909.0,2014-08-20
909.0,2014-08-21
909.0,2014-08-22
909.0,2014-08-25
909.0,2014-08-26
909.0,2014-08-27
909.0,2014-08-28
909.0,2014-08-29
909.0,2014-09-02
909.0,2014-09-03
909.0,2014-09-04
909.0,2014-09-05
909.0,2014-09-08
909.0,2014-09-09
909.0,2014-09-10
909.0,2014-09-11
909.0,2014-09-12
909.0,2014-09-15
909.0,2014-09-16
909.0,2014-09-17
909.0,2014-09-18
909.0,2014-09-19
909.0,2014-09-22
909.0,2014-09-23
909.0,2014-09-24
909.0,2014-09-25
909.0,2014-09-26
909.0,2014-09-29
909.0,2014-09-30
909.0,2014-10-01
909.0,2014-10-02
909.0,2014-10-03
909.0,2014-10-06
909.0,2014-10-07
909.0,2014-10-08
909.0,2014-10-09
909.0,2014-10-10
909.0,2014-10-13
909.0,2014-10-14
909.0,2014-10-15
909.0,2014-10-16
909.0,2014-10-17
909.0,2014-10-20
909.0,2014-10-21
909.0,2014-10-22
909.0,2014-10-23
909.0,2014-10-24
909.0,2014-10-27
909.0,2014-10-28
909.0,2014-10-29
909.0,2014-10-30
909.0,2014-10-31
909.0,2014-11-03
909.0,2014-11-04
909.0,2014-11-05
909.0,2014-11-06
909.0,2014-11-07
909.0,2014-11-10
909.0,2014-11-11
909.0,2014-11-12
909.0,2014-11-13
909.0,2014-11-14
909.0,2014-11-17
909.0,2014-11-18
909.0,2014-11-19
909.0,2014-11-20
909.0,2014-11-21
909.0,2014-11-24
909.0,2014-11-25
909.0,2014-11-26
909.0,2014-11-28
909.0,2014-12-01
909.0,2014-12-02
909.0,2014-12-03
909.0,2014-12-04
909.0,2014-12-05
909.0,2014-12-08
909.0,2014-12-09
909.0,2014-12-10
909.0,2014-12-11
909.0,2014-12-12
909.0,2014-12-15
909.0,2014-12-16
909.0,2014-12-17
909.0,2014-12-18
909.0,2014-12-19
909.0,2014-12-22
909.0,2014-12-23
909.0,2014-12-24
909.0,2014-12-26
909.0,2014-12-29
909.0,2014-12-30
909.0,2014-12-31
909.0,2015-01-02
909.0,2015-01-05
909.0,2015-01-06
909.0,2015-01-07
909.0,2015-01-08
909.0,2015-01-09
909.0,2015-01-12
909.0,2015-01-13
909.0,2015-01-14
909.0,2015-01-15
909.0,2015-01-16
909.0,2015-01-20
909.0,2015-01-21
909.0,2015-01-22
909.0,2015-01-23
909.0,2015-01-26
909.0,2015-01-27
909.0,2015-01-28
909.0,2015-01-29
909.0,2015-01-30
909.0,2015-02-02
909.0,2015-02-03
909.0,2015-02-04
909.0,2015-02-05
909.0,2015-02-06
909.0,2015-02-09
909.0,2015-02-10
909.0,2015-02-11
909.0,2015-02-12
909.0,2015-02-13
909.0,2015-02-17
909.0,2015-02-18
909.0,2015-02-19
909.0,2015-02-20
909.0,2015-02-23
909.0,2015-02-24
909.0,2015-02-25
909.0,2015-02-26
909.0,2015-02-27
909.0,2015-03-02
909.0,2015-03-03
909.0,2015-03-04
909.0,2015-03-05
909.0,2015-03-06
909.0,2015-03-09
909.0,2015-03-10
909.0,2015-03-11
909.0,2015-03-12
909.0,2015-03-13
909.0,2015-03-16
909.0,2015-03-17
909.0,2015-03-18
909.0,2015-03-19
909.0,2015-03-20
909.0,2015-03-23
909.0,2015-03-24
909.0,2015-03-25
909.0,2015-03-26
909.0,2015-03-27
909.0,2015-03-30
909.0,2015-03-31
909.0,2015-04-01
909.0,2015-04-02
909.0,2015-04-06
909.0,2015-04-07
909.0,2015-04-08
909.0,2015-04-09
909.0,2015-04-10
909.0,2015-04-13
909.0,2015-04-14
909.0,2015-04-15
909.0,2015-04-16
909.0,2015-04-17
909.0,2015-04-20
909.0,2015-04-21
909.0,2015-04-22
909.0,2015-04-23
909.0,2015-04-24
909.0,2015-04-27
909.0,2015-04-28
841.0,2015-04-29
841.0,2015-04-30
841.0,2015-05-01
841.0,2015-05-04
841.0,2015-05-05
841.0,2015-05-06
841.0,2015-05-07
841.0,2015-05-08
841.0,2015-05-11
841.0,2015-05-12
841.0,2015-05-13
841.0,2015-05-14
841.0,2015-05-15
841.0,2015-05-18
841.0,2015-05-19
841.0,2015-05-20
841.0,2015-05-21
841.0,2015-05-22
841.0,2015-05-26
841.0,2015-05-27
841.0,2015-05-28
841.0,2015-05-29
841.0,2015-06-01
841.0,2015-06-02
841.0,2015-06-03
841.0,2015-06-04
22700.0,2015-06-05
23100.0,2015-06-08
22900.0,2015-06-09
22500.0,2015-06-10
22600.0,2015-06-11
22700.0,2015-06-12
22900.0,2015-06-15
22800.0,2015-06-16
22700.0,2015-06-17
22600.0,2015-06-18
22500.0,2015-06-19
22500.0,2015-06-22
22500.0,2015-06-23
22500.0,2015-06-24
22500.0,2015-06-25
22400.0,2015-06-26
22400.0,2015-06-29
22100.0,2015-06-30
22000.0,2015-07-01
22100.0,2015-07-02
22800.0,2015-07-06
22800.0,2015-07-07
22800.0,2015-07-08
22200.0,2015-07-09
22500.0,2015-07-10
22500.0,2015-07-13
22000.0,2015-07-14
22200.0,2015-07-15
22100.0,2015-07-16
22000.0,2015-07-17
21900.0,2015-07-20
21600.0,2015-07-21
21500.0,2015-07-22
21400.0,2015-07-23
21300.0,2015-07-24
21200.0,2015-07-27
21200.0,2015-07-28
20700.0,2015-07-29
20900.0,2015-07-30
21000.0,2015-07-31
20000.0,2015-08-03
20500.0,2015-08-04
20500.0,2015-08-05
20100.0,2015-08-06
20100.0,2015-08-07
20100.0,2015-08-10
20100.0,2015-08-11
20000.0,2015-08-12
19900.0,2015-08-13
19700.0,2015-08-14
19400.0,2015-08-17
19000.0,2015-08-18
18600.0,2015-08-19
18300.0,2015-08-20
17100.0,2015-08-21
16000.0,2015-08-24
15300.0,2015-08-25
16300.0,2015-08-26
16600.0,2015-08-27
16200.0,2015-08-28
15100.0,2015-08-31
15400.0,2015-09-01
15400.0,2015-09-02
15900.0,2015-09-03
15900.0,2015-09-04
16200.0,2015-09-08
15500.0,2015-09-09
16400.0,2015-09-10
16300.0,2015-09-11
15600.0,2015-09-14
15700.0,2015-09-15
15800.0,2015-09-16
16300.0,2015-09-17
16000.0,2015-09-18
15700.0,2015-09-21
16000.0,2015-09-22
16000.0,2015-09-23
15900.0,2015-09-24
15800.0,2015-09-25
15800.0,2015-09-28
15800.0,2015-09-29
15800.0,2015-09-30
15800.0,2015-10-01
15800.0,2015-10-02
15900.0,2015-10-05
15900.0,2015-10-06
15800.0,2015-10-07
15900.0,2015-10-08
16000.0,2015-10-09
15900.0,2015-10-12
15800.0,2015-10-13
15900.0,2015-10-14
15900.0,2015-10-15
15900.0,2015-10-16
15800.0,2015-10-19
15900.0,2015-10-20
17000.0,2015-10-21
18100.0,2015-10-22
19200.0,2015-10-23
18200.0,2015-10-26
18500.0,2015-10-27
18200.0,2015-10-28
18800.0,2015-10-29
18500.0,2015-10-30
18400.0,2015-11-02
18300.0,2015-11-03
18300.0,2015-11-04
18500.0,2015-11-05
18700.0,2015-11-06
18700.0,2015-11-09
18500.0,2015-11-10
18200.0,2015-11-11
18000.0,2015-11-12
18300.0,2015-11-13
18000.0,2015-11-16
17900.0,2015-11-17
18200.0,2015-11-18
18000.0,2015-11-19
18200.0,2015-11-20
18200.0,2015-11-23
17700.0,2015-11-24
17900.0,2015-11-25
17500.0,2015-11-27
17500.0,2015-11-30
17800.0,2015-12-01
17600.0,2015-12-02
17600.0,2015-12-03
17800.0,2015-12-04
18000.0,2015-12-07
18100.0,2015-12-08
18000.0,2015-12-09
17500.0,2015-12-10
17700.0,2015-12-11
18000.0,2015-12-14
18200.0,2015-12-15
18200.0,2015-12-16
18200.0,2015-12-17
18000.0,2015-12-18
18100.0,2015-12-21
16600.0,2015-12-22
16700.0,2015-12-23
16600.0,2015-12-24
16400.0,2015-12-28
16600.0,2015-12-29
16800.0,2015-12-30
16700.0,2015-12-31
16600.0,2016-01-04
15600.0,2016-01-05
15800.0,2016-01-06
14800.0,2016-01-07
14700.0,2016-01-08
14700.0,2016-01-11
15000.0,2016-01-12
14600.0,2016-01-13
14100.0,2016-01-14
13300.0,2016-01-15
13900.0,2016-01-19
13900.0,2016-01-20
13000.0,2016-01-21
13000.0,2016-01-22
12900.0,2016-01-25
12600.0,2016-01-26
13300.0,2016-01-27
13900.0,2016-01-28
14500.0,2016-01-29
14400.0,2016-02-01
14000.0,2016-02-02
14400.0,2016-02-03
14400.0,2016-02-04
14500.0,2016-02-05
14500.0,2016-02-08
14500.0,2016-02-09
14500.0,2016-02-10
14500.0,2016-02-11
14500.0,2016-02-12
14400.0,2016-02-16
14000.0,2016-02-17
14400.0,2016-02-18
14400.0,2016-02-19
14700.0,2016-02-22
14700.0,2016-02-23
14700.0,2016-02-24
14500.0,2016-02-25
14500.0,2016-02-26
15500.0,2016-02-29
16500.0,2016-03-01
17600.0,2016-03-02
18100.0,2016-03-03
17500.0,2016-03-04
17400.0,2016-03-07
18000.0,2016-03-08
18100.0,2016-03-09
17300.0,2016-03-10
17000.0,2016-03-11
17000.0,2016-03-14
16900.0,2016-03-15
16600.0,2016-03-16
17000.0,2016-03-17
17000.0,2016-03-18
16600.0,2016-03-21
16900.0,2016-03-22
16900.0,2016-03-23
16900.0,2016-03-24
16800.0,2016-03-28
17900.0,2016-03-29
19100.0,2016-03-30
19400.0,2016-03-31
18100.0,2016-04-01
17100.0,2016-04-04
18100.0,2016-04-05
18100.0,2016-04-06
17900.0,2016-04-07
17500.0,2016-04-08
17800.0,2016-04-11
17700.0,2016-04-12
17500.0,2016-04-13
17700.0,2016-04-14
17500.0,2016-04-15
17500.0,2016-04-18
17200.0,2016-04-19
17100.0,2016-04-20
17000.0,2016-04-21
16700.0,2016-04-22
16700.0,2016-04-25
16700.0,2016-04-26
16500.0,2016-04-27
16000.0,2016-04-28
17000.0,2016-04-29
17000.0,2016-05-02
17000.0,2016-05-03
16200.0,2016-05-04
16400.0,2016-05-05
16400.0,2016-05-06
16300.0,2016-05-09
16200.0,2016-05-10
16000.0,2016-05-11
15800.0,2016-05-12
16000.0,2016-05-13
16200.0,2016-05-16
15900.0,2016-05-17
16300.0,2016-05-18
16300.0,2016-05-19
16800.0,2016-05-20
16700.0,2016-05-23
16500.0,2016-05-24
16500.0,2016-05-25
16300.0,2016-05-26
16400.0,2016-05-27
16800.0,2016-05-31
16400.0,2016-06-01
15900.0,2016-06-02
15900.0,2016-06-03
15600.0,2016-06-06
15900.0,2016-06-07
15800.0,2016-06-08
15900.0,2016-06-09
15800.0,2016-06-10
15800.0,2016-06-13
16000.0,2016-06-14
15800.0,2016-06-15
15600.0,2016-06-16
15300.0,2016-06-17
15800.0,2016-06-20
15900.0,2016-06-21
15900.0,2016-06-22
15900.0,2016-06-23
15800.0,2016-06-24
15500.0,2016-06-27
15800.0,2016-06-28
16000.0,2016-06-29
15600.0,2016-06-30
16000.0,2016-07-01
15800.0,2016-07-05
15900.0,2016-07-06
15900.0,2016-07-07
16000.0,2016-07-08
15800.0,2016-07-11
15800.0,2016-07-12
16500.0,2016-07-13
17600.0,2016-07-14
17600.0,2016-07-15
17600.0,2016-07-18
17100.0,2016-07-19
17200.0,2016-07-20
16200.0,2016-07-21
16600.0,2016-07-22
16500.0,2016-07-25
16000.0,2016-07-26
16000.0,2016-07-27
15700.0,2016-07-28
15900.0,2016-07-29
15800.0,2016-08-01
15700.0,2016-08-02
15500.0,2016-08-03
15500.0,2016-08-04
15200.0,2016-08-05
15300.0,2016-08-08
15200.0,2016-08-09
15200.0,2016-08-10
15600.0,2016-08-11
15900.0,2016-08-12
15700.0,2016-08-15
15500.0,2016-08-16
15300.0,2016-08-17
15000.0,2016-08-18
14900.0,2016-08-19
14500.0,2016-08-22
14200.0,2016-08-23
14100.0,2016-08-24
14000.0,2016-08-25
14000.0,2016-08-26
13900.0,2016-08-29
13900.0,2016-08-30
14000.0,2016-08-31
14300.0,2016-09-01
14300.0,2016-09-02
14100.0,2016-09-06
14200.0,2016-09-07
13900.0,2016-09-08
14600.0,2016-09-09
14700.0,2016-09-12
14600.0,2016-09-13
14500.0,2016-09-14
14300.0,2016-09-15
14000.0,2016-09-16
14300.0,2016-09-19
14300.0,2016-09-20
14300.0,2016-09-21
15100.0,2016-09-22
15000.0,2016-09-23
15000.0,2016-09-26
14600.0,2016-09-27
14950.0,2016-09-28
15200.0,2016-09-29
15800.0,2016-09-30
16800.0,2016-10-03
16300.0,2016-10-04
15200.0,2016-10-05
14600.0,2016-10-06
15000.0,2016-10-07
15000.0,2016-10-10
14700.0,2016-10-11
15200.0,2016-10-12
14750.0,2016-10-13
15000.0,2016-10-14
15000.0,2016-10-17
14600.0,2016-10-18
14600.0,2016-10-19
15000.0,2016-10-20
14800.0,2016-10-21
14500.0,2016-10-24
14500.0,2016-10-25
14500.0,2016-10-26
14200.0,2016-10-27
14800.0,2016-10-28
14300.0,2016-10-31
14200.0,2016-11-01
14200.0,2016-11-02
14500.0,2016-11-03
13950.0,2016-11-04
14400.0,2016-11-07
14300.0,2016-11-08
14300.0,2016-11-09
14800.0,2016-11-10
15700.0,2016-11-11
15700.0,2016-11-14
14700.0,2016-11-15
15400.0,2016-11-16
15700.0,2016-11-17
15400.0,2016-11-18
15400.0,2016-11-21
15300.0,2016-11-22
15200.0,2016-11-23
14800.0,2016-11-25
14750.0,2016-11-28
15200.0,2016-11-29
15400.0,2016-11-30
15200.0,2016-12-01
15200.0,2016-12-02
15100.0,2016-12-05
15100.0,2016-12-06
15000.0,2016-12-07
15100.0,2016-12-08
15000.0,2016-12-09
14800.0,2016-12-12
14250.0,2016-12-13
15100.0,2016-12-14
15000.0,2016-12-15
15000.0,2016-12-16
15200.0,2016-12-19
15200.0,2016-12-20
15300.0,2016-12-21
15200.0,2016-12-22
15300.0,2016-12-23
15000.0,2016-12-27
15200.0,2016-12-28
15200.0,2016-12-29
15200.0,2016-12-30
15200.0,2017-01-03
14700.0,2017-01-04
15100.0,2017-01-05
15000.0,2017-01-06
15000.0,2017-01-09
15100.0,2017-01-10
15000.0,2017-01-11
15000.0,2017-01-12
15000.0,2017-01-13
15000.0,2017-01-17
15000.0,2017-01-18
15300.0,2017-01-19
14500.0,2017-01-20
15000.0,2017-01-23
15000.0,2017-01-24
15200.0,2017-01-25
15200.0,2017-01-26
15200.0,2017-01-27
15200.0,2017-01-30
15200.0,2017-01-31
15200.0,2017-02-01
15200.0,2017-02-02
15250.0,2017-02-03
15200.0,2017-02-06
14800.0,2017-02-07
14700.0,2017-02-08
14700.0,2017-02-09
14700.0,2017-02-10
14700.0,2017-02-13
14850.0,2017-02-14
14750.0,2017-02-15
15000.0,2017-02-16
14900.0,2017-02-17
15950.0,2017-02-21
16300.0,2017-02-22
16150.0,2017-02-23
16000.0,2017-02-24
15900.0,2017-02-27
15900.0,2017-02-28
15900.0,2017-03-01
17000.0,2017-03-02
17000.0,2017-03-03
16800.0,2017-03-06
16400.0,2017-03-07
16600.0,2017-03-08
17100.0,2017-03-09
17300.0,2017-03-10
17300.0,2017-03-13
17100.0,2017-03-14
17200.0,2017-03-15
17200.0,2017-03-16
18200.0,2017-03-17
18100.0,2017-03-20
19000.0,2017-03-21
