OGN,Date
29.644237518310547,2021-05-14
30.402057647705078,2021-05-17
33.433349609375,2021-05-18
33.433349609375,2021-05-19
33.6562385559082,2021-05-20
33.52250289916992,2021-05-21
33.879119873046875,2021-05-24
32.9429931640625,2021-05-25
32.83600616455078,2021-05-26
31.650238037109375,2021-05-27
31.873125076293945,2021-05-28
32.09602355957031,2021-06-01
31.43625831604004,2021-06-02
32.987571716308594,2021-06-03
30.446640014648438,2021-06-04
28.01268768310547,2021-06-07
25.77488136291504,2021-06-08
25.364765167236328,2021-06-09
27.040891647338867,2021-06-10
26.434635162353516,2021-06-11
26.996315002441406,2021-06-14
28.360395431518555,2021-06-15
27.37076759338379,2021-06-16
28.048349380493164,2021-06-17
26.728845596313477,2021-06-18
26.220659255981445,2021-06-21
26.327648162841797,2021-06-22
26.300901412963867,2021-06-23
26.5416202545166,2021-06-24
26.91607666015625,2021-06-25
27.58474349975586,2021-06-28
27.23703384399414,2021-06-29
26.978483200073242,2021-06-30
27.477754592895508,2021-07-01
27.513418197631836,2021-07-02
27.638233184814453,2021-07-06
26.853668212890625,2021-07-07
26.434635162353516,2021-07-08
26.835830688476562,2021-07-09
26.51487159729004,2021-07-12
25.944276809692383,2021-07-13
26.158252716064453,2021-07-14
25.77488136291504,2021-07-15
25.739221572875977,2021-07-16
25.97994041442871,2021-07-19
26.39897346496582,2021-07-20
27.156797409057617,2021-07-21
27.56690788269043,2021-07-22
26.5683650970459,2021-07-23
26.443546295166016,2021-07-26
25.96211051940918,2021-07-27
26.51487159729004,2021-07-28
26.060178756713867,2021-07-29
25.864038467407227,2021-07-30
26.327648162841797,2021-08-02
26.309816360473633,2021-08-03
25.52524757385254,2021-08-04
26.354394912719727,2021-08-05
26.300901412963867,2021-08-06
25.944276809692383,2021-08-09
27.058725357055664,2021-08-10
26.68427085876465,2021-08-11
29.867124557495117,2021-08-12
30.50012969970703,2021-08-13
30.60711669921875,2021-08-16
31.543251037597656,2021-08-17
29.947362899780273,2021-08-18
30.402057647705078,2021-08-19
29.86269760131836,2021-08-20
29.88067626953125,2021-08-23
29.808761596679688,2021-08-24
29.934608459472656,2021-08-25
30.52791404724121,2021-08-26
30.788599014282227,2021-08-27
30.312164306640625,2021-08-30
30.464982986450195,2021-08-31
31.067270278930664,2021-09-01
32.01115417480469,2021-09-02
32.01115417480469,2021-09-03
32.03812026977539,2021-09-07
31.435836791992188,2021-09-08
31.175146102905273,2021-09-09
30.455995559692383,2021-09-10
30.411046981811523,2021-09-13
30.042482376098633,2021-09-14
30.312164306640625,2021-09-15
30.34811782836914,2021-09-16
30.59083366394043,2021-09-17
29.610994338989258,2021-09-20
29.566043853759766,2021-09-21
29.35030174255371,2021-09-22
30.00652503967285,2021-09-23
30.285198211669922,2021-09-24
30.150354385375977,2021-09-27
29.700889587402344,2021-09-28
30.545886993408203,2021-09-29
29.476154327392578,2021-09-30
29.961580276489258,2021-10-01
29.610994338989258,2021-10-04
29.242429733276367,2021-10-05
29.727853775024414,2021-10-06
29.521100997924805,2021-10-07
29.278385162353516,2021-10-08
29.853702545166016,2021-10-11
29.521100997924805,2021-10-12
29.799772262573242,2021-10-13
30.24024772644043,2021-10-14
31.363916397094727,2021-10-15
31.28301239013672,2021-10-18
31.516742706298828,2021-10-19
32.14599609375,2021-10-20
31.786420822143555,2021-10-21
