CIEN,Date
129.5,1997-02-07
120.75,1997-02-10
114.625,1997-02-11
121.1875,1997-02-12
137.375,1997-02-13
134.75,1997-02-14
127.75,1997-02-18
116.8125,1997-02-19
124.25,1997-02-20
128.625,1997-02-21
140.0,1997-02-24
149.625,1997-02-25
148.75,1997-02-26
135.625,1997-02-27
137.375,1997-02-28
135.625,1997-03-03
133.0,1997-03-04
141.75,1997-03-05
140.875,1997-03-06
143.5,1997-03-07
141.3125,1997-03-10
131.25,1997-03-11
126.875,1997-03-12
124.25,1997-03-13
122.5,1997-03-14
114.625,1997-03-17
109.8125,1997-03-18
101.9375,1997-03-19
98.0,1997-03-20
107.625,1997-03-21
110.6875,1997-03-24
107.625,1997-03-25
108.71875,1997-03-26
101.71875,1997-03-27
99.53125,1997-03-31
104.125,1997-04-01
109.375,1997-04-02
112.875,1997-04-03
128.1875,1997-04-04
124.6875,1997-04-07
118.5625,1997-04-08
123.59375,1997-04-09
116.375,1997-04-10
105.0,1997-04-11
101.28125,1997-04-14
97.5625,1997-04-15
87.5,1997-04-16
85.3125,1997-04-17
89.90625,1997-04-18
87.5,1997-04-21
83.5625,1997-04-22
78.75,1997-04-23
81.59375,1997-04-24
83.5625,1997-04-25
87.5,1997-04-28
87.5,1997-04-29
109.375,1997-04-30
101.5,1997-05-01
105.875,1997-05-02
102.8125,1997-05-05
115.5,1997-05-06
116.375,1997-05-07
115.0625,1997-05-08
112.875,1997-05-09
119.0,1997-05-12
121.1875,1997-05-13
120.53125,1997-05-14
122.9375,1997-05-15
119.0,1997-05-16
122.5,1997-05-19
129.0625,1997-05-20
140.4375,1997-05-21
136.0625,1997-05-22
161.0,1997-05-23
147.875,1997-05-27
156.1875,1997-05-28
158.8125,1997-05-29
163.625,1997-05-30
165.375,1997-06-02
158.8125,1997-06-03
161.875,1997-06-04
163.1875,1997-06-05
177.40625,1997-06-06
173.90625,1997-06-09
180.25,1997-06-10
166.6875,1997-06-11
161.65625,1997-06-12
165.375,1997-06-13
151.375,1997-06-16
159.6875,1997-06-17
166.6875,1997-06-18
166.25,1997-06-19
176.3125,1997-06-20
176.96875,1997-06-23
175.0,1997-06-24
172.8125,1997-06-25
160.125,1997-06-26
157.9375,1997-06-27
164.9375,1997-06-30
158.375,1997-07-01
158.15625,1997-07-02
161.65625,1997-07-03
166.03125,1997-07-07
166.25,1997-07-08
174.34375,1997-07-09
177.1875,1997-07-10
185.9375,1997-07-11
185.28125,1997-07-14
180.90625,1997-07-15
194.25,1997-07-16
189.875,1997-07-17
179.8125,1997-07-18
171.5,1997-07-21
177.1875,1997-07-22
181.125,1997-07-23
196.0,1997-07-24
192.5,1997-07-25
190.3125,1997-07-28
189.875,1997-07-29
189.875,1997-07-30
196.4375,1997-07-31
202.453125,1997-08-01
193.375,1997-08-04
202.5625,1997-08-05
189.65625,1997-08-06
172.8125,1997-08-07
172.8125,1997-08-08
173.25,1997-08-11
170.1875,1997-08-12
164.0625,1997-08-13
161.65625,1997-08-14
156.625,1997-08-15
164.71875,1997-08-18
175.4375,1997-08-19
175.21875,1997-08-20
182.875,1997-08-21
182.0,1997-08-22
176.96875,1997-08-25
168.765625,1997-08-26
164.28125,1997-08-27
163.84375,1997-08-28
167.125,1997-08-29
174.34375,1997-09-02
172.375,1997-09-03
172.375,1997-09-04
175.4375,1997-09-05
167.125,1997-09-08
168.875,1997-09-09
171.171875,1997-09-10
173.90625,1997-09-11
173.90625,1997-09-12
166.03125,1997-09-15
162.3125,1997-09-16
168.875,1997-09-17
163.625,1997-09-18
168.0,1997-09-19
167.125,1997-09-22
168.4375,1997-09-23
166.25,1997-09-24
162.96875,1997-09-25
157.5,1997-09-26
162.75,1997-09-29
173.359375,1997-09-30
185.0625,1997-10-01
193.703125,1997-10-02
194.25,1997-10-03
192.5,1997-10-06
195.671875,1997-10-07
196.4375,1997-10-08
206.5,1997-10-09
206.0625,1997-10-10
202.125,1997-10-13
195.5625,1997-10-14
197.96875,1997-10-15
206.28125,1997-10-16
201.6875,1997-10-17
203.4375,1997-10-20
206.9375,1997-10-21
217.0,1997-10-22
213.28125,1997-10-23
202.125,1997-10-24
180.6875,1997-10-27
192.9375,1997-10-28
192.0625,1997-10-29
185.0625,1997-10-30
192.5,1997-10-31
199.71875,1997-11-03
200.375,1997-11-04
206.9375,1997-11-05
212.1875,1997-11-06
214.59375,1997-11-07
203.21875,1997-11-10
196.4375,1997-11-11
189.4375,1997-11-12
194.6875,1997-11-13
206.5,1997-11-14
207.375,1997-11-17
201.90625,1997-11-18
198.84375,1997-11-19
199.28125,1997-11-20
192.71875,1997-11-21
181.34375,1997-11-24
189.0,1997-11-25
190.75,1997-11-26
189.0,1997-11-28
196.4375,1997-12-01
195.5625,1997-12-02
195.125,1997-12-03
197.75,1997-12-04
207.375,1997-12-05
210.4375,1997-12-08
202.125,1997-12-09
192.5,1997-12-10
197.75,1997-12-11
194.25,1997-12-12
196.21875,1997-12-15
202.125,1997-12-16
203.875,1997-12-17
199.28125,1997-12-18
200.375,1997-12-19
206.0625,1997-12-22
201.46875,1997-12-23
199.0625,1997-12-24
203.21875,1997-12-26
213.9375,1997-12-29
213.0625,1997-12-30
213.9375,1997-12-31
215.25,1998-01-02
214.375,1998-01-05
212.625,1998-01-06
210.0,1998-01-07
211.09375,1998-01-08
201.6875,1998-01-09
201.90625,1998-01-12
210.65625,1998-01-13
215.03125,1998-01-14
207.59375,1998-01-15
210.21875,1998-01-16
215.6875,1998-01-20
209.34375,1998-01-21
212.1875,1998-01-22
206.0625,1998-01-23
190.75,1998-01-26
180.90625,1998-01-27
196.0,1998-01-28
192.71875,1998-01-29
192.71875,1998-01-30
193.8125,1998-02-02
188.5625,1998-02-03
182.21875,1998-02-04
181.78125,1998-02-05
182.21875,1998-02-06
189.21875,1998-02-09
189.875,1998-02-10
189.0,1998-02-11
192.609375,1998-02-12
195.78125,1998-02-13
195.671875,1998-02-17
192.5,1998-02-18
203.4375,1998-02-19
147.0,1998-02-20
140.4375,1998-02-23
132.5625,1998-02-24
141.53125,1998-02-25
145.03125,1998-02-26
146.78125,1998-02-27
146.78125,1998-03-02
145.140625,1998-03-03
148.3125,1998-03-04
147.65625,1998-03-05
147.546875,1998-03-06
140.21875,1998-03-09
143.5,1998-03-10
151.375,1998-03-11
154.21875,1998-03-12
157.0625,1998-03-13
167.5625,1998-03-16
170.625,1998-03-17
168.0,1998-03-18
168.0,1998-03-19
164.5,1998-03-20
162.3125,1998-03-23
168.0,1998-03-24
169.96875,1998-03-25
165.484375,1998-03-26
159.03125,1998-03-27
158.8125,1998-03-30
149.1875,1998-03-31
148.3125,1998-04-01
141.75,1998-04-02
142.625,1998-04-03
134.09375,1998-04-06
147.0,1998-04-07
145.578125,1998-04-08
146.125,1998-04-09
144.375,1998-04-13
162.75,1998-04-14
162.09375,1998-04-15
157.5,1998-04-16
159.6875,1998-04-17
169.75,1998-04-20
169.3125,1998-04-21
168.109375,1998-04-22
169.75,1998-04-23
169.75,1998-04-24
162.53125,1998-04-27
169.53125,1998-04-28
182.4375,1998-04-29
195.125,1998-04-30
192.0625,1998-05-01
193.8125,1998-05-04
189.4375,1998-05-05
189.0,1998-05-06
188.5625,1998-05-07
189.4375,1998-05-08
189.0,1998-05-11
188.78125,1998-05-12
192.0625,1998-05-13
195.125,1998-05-14
189.65625,1998-05-15
185.9375,1998-05-18
184.1875,1998-05-19
180.90625,1998-05-20
182.21875,1998-05-21
172.375,1998-05-22
167.5625,1998-05-26
175.0,1998-05-27
180.25,1998-05-28
182.0,1998-05-29
179.8125,1998-06-01
201.46875,1998-06-02
216.125,1998-06-03
215.25,1998-06-04
217.21875,1998-06-05
216.125,1998-06-08
216.78125,1998-06-09
216.34375,1998-06-10
211.3125,1998-06-11
214.375,1998-06-12
218.75,1998-06-15
216.78125,1998-06-16
217.0,1998-06-17
215.46875,1998-06-18
220.5,1998-06-19
225.3125,1998-06-22
238.21875,1998-06-23
250.6875,1998-06-24
245.21875,1998-06-25
246.75,1998-06-26
248.390625,1998-06-29
243.6875,1998-06-30
250.46875,1998-07-01
245.4375,1998-07-02
247.625,1998-07-06
253.75,1998-07-07
257.90625,1998-07-08
260.75,1998-07-09
255.9375,1998-07-10
261.1875,1998-07-13
258.5625,1998-07-14
270.375,1998-07-15
294.0,1998-07-16
300.78125,1998-07-17
310.1875,1998-07-20
307.78125,1998-07-21
309.09375,1998-07-22
299.90625,1998-07-23
290.71875,1998-07-24
296.1875,1998-07-27
292.25,1998-07-28
281.53125,1998-07-29
277.8125,1998-07-30
259.21875,1998-07-31
257.25,1998-08-03
250.03125,1998-08-04
243.140625,1998-08-05
252.4375,1998-08-06
264.90625,1998-08-07
252.65625,1998-08-10
255.0625,1998-08-11
249.375,1998-08-12
249.15625,1998-08-13
189.4375,1998-08-14
196.4375,1998-08-17
204.09375,1998-08-18
204.53125,1998-08-19
198.734375,1998-08-20
109.375,1998-08-21
126.4375,1998-08-24
119.4375,1998-08-25
119.875,1998-08-26
107.84375,1998-08-27
123.59375,1998-08-28
98.4375,1998-08-31
117.6875,1998-09-01
99.640625,1998-09-02
91.65625,1998-09-03
87.5,1998-09-04
98.984375,1998-09-08
69.125,1998-09-09
57.09375,1998-09-10
55.78125,1998-09-11
46.15625,1998-09-14
45.5,1998-09-15
43.3125,1998-09-16
41.34375,1998-09-17
40.46875,1998-09-18
38.5,1998-09-21
54.46875,1998-09-22
52.0625,1998-09-23
48.5625,1998-09-24
49.875,1998-09-25
50.75,1998-09-28
48.5625,1998-09-29
50.09375,1998-09-30
45.9375,1998-10-01
43.96875,1998-10-02
39.59375,1998-10-05
36.75,1998-10-06
32.8125,1998-10-07
32.59375,1998-10-08
29.96875,1998-10-09
29.96875,1998-10-12
29.421875,1998-10-13
28.65625,1998-10-14
31.71875,1998-10-15
32.59375,1998-10-16
42.4375,1998-10-19
44.84375,1998-10-20
47.03125,1998-10-21
45.9375,1998-10-22
45.71875,1998-10-23
45.71875,1998-10-26
44.84375,1998-10-27
42.875,1998-10-28
54.03125,1998-10-29
60.15625,1998-10-30
76.34375,1998-11-02
63.875,1998-11-03
61.90625,1998-11-04
60.375,1998-11-05
59.9375,1998-11-06
63.65625,1998-11-09
62.34375,1998-11-10
60.8125,1998-11-11
62.5625,1998-11-12
59.9375,1998-11-13
58.40625,1998-11-16
57.3125,1998-11-17
56.65625,1998-11-18
56.21875,1998-11-19
64.75,1998-11-20
64.53125,1998-11-23
61.25,1998-11-24
63.0,1998-11-25
63.0,1998-11-27
59.5,1998-11-30
60.59375,1998-12-01
64.75,1998-12-02
61.6875,1998-12-03
62.5625,1998-12-04
62.5625,1998-12-07
64.96875,1998-12-08
61.6875,1998-12-09
60.8125,1998-12-10
54.6875,1998-12-11
50.75,1998-12-14
50.09375,1998-12-15
48.125,1998-12-16
49.21875,1998-12-17
48.125,1998-12-18
45.71875,1998-12-21
45.0625,1998-12-22
50.3125,1998-12-23
50.09375,1998-12-24
49.21875,1998-12-28
47.90625,1998-12-29
48.125,1998-12-30
51.1875,1998-12-31
50.09375,1999-01-04
55.125,1999-01-05
54.25,1999-01-06
54.25,1999-01-07
