EVRG,Date
1.742902398109436,1973-02-21
1.7262240648269653,1973-02-22
1.6845287084579468,1973-02-23
1.7095457315444946,1973-02-26
1.7095457315444946,1973-02-27
1.70920729637146,1973-02-28
1.7007458209991455,1973-03-01
1.6668996810913086,1973-03-02
1.6753623485565186,1973-03-05
1.6753623485565186,1973-03-06
1.6922842264175415,1973-03-07
1.7007458209991455,1973-03-08
1.6753623485565186,1973-03-09
1.6922842264175415,1973-03-12
1.6753623485565186,1973-03-13
1.6668996810913086,1973-03-14
1.6668996810913086,1973-03-15
1.6499764919281006,1973-03-16
1.6922842264175415,1973-03-19
1.6922842264175415,1973-03-20
1.6838234663009644,1973-03-21
1.6753623485565186,1973-03-22
1.6753623485565186,1973-03-23
1.6753623485565186,1973-03-26
1.6838234663009644,1973-03-27
1.6753623485565186,1973-03-28
1.6668996810913086,1973-03-29
1.6668996810913086,1973-03-30
1.6330540180206299,1973-04-02
1.6668996810913086,1973-04-03
1.6753623485565186,1973-04-04
1.6753623485565186,1973-04-05
1.6668996810913086,1973-04-06
1.6415159702301025,1973-04-09
1.6668996810913086,1973-04-10
1.6838234663009644,1973-04-11
1.6668996810913086,1973-04-12
1.6668996810913086,1973-04-13
1.7007458209991455,1973-04-16
1.6922842264175415,1973-04-17
1.6838234663009644,1973-04-18
1.7007458209991455,1973-04-19
1.6922842264175415,1973-04-23
1.6753623485565186,1973-04-24
1.6499764919281006,1973-04-25
1.6668996810913086,1973-04-26
1.6753623485565186,1973-04-27
1.6753623485565186,1973-04-30
1.6753623485565186,1973-05-01
1.658439040184021,1973-05-02
1.6838234663009644,1973-05-03
1.6668996810913086,1973-05-04
1.6753623485565186,1973-05-07
1.6838234663009644,1973-05-08
1.6753623485565186,1973-05-09
1.658439040184021,1973-05-10
1.658439040184021,1973-05-11
1.6753623485565186,1973-05-14
1.6838234663009644,1973-05-15
1.6753623485565186,1973-05-16
1.6753623485565186,1973-05-17
1.6753623485565186,1973-05-18
1.6415159702301025,1973-05-21
1.6330540180206299,1973-05-22
1.6161316633224487,1973-05-23
1.6245931386947632,1973-05-24
1.6330540180206299,1973-05-25
1.6330540180206299,1973-05-29
1.6245931386947632,1973-05-30
1.6415159702301025,1973-05-31
1.6330540180206299,1973-06-01
1.6245931386947632,1973-06-04
1.6499764919281006,1973-06-05
1.6668996810913086,1973-06-06
1.6838234663009644,1973-06-07
1.6753623485565186,1973-06-08
1.6499764919281006,1973-06-11
1.6753623485565186,1973-06-12
1.6838234663009644,1973-06-13
1.6838234663009644,1973-06-14
1.6499764919281006,1973-06-15
1.6499764919281006,1973-06-18
1.6668996810913086,1973-06-19
1.6499764919281006,1973-06-20
1.6499764919281006,1973-06-21
1.6838234663009644,1973-06-22
1.6668996810913086,1973-06-25
1.658439040184021,1973-06-26
1.6499764919281006,1973-06-27
1.6499764919281006,1973-06-28
1.6245931386947632,1973-06-29
1.5907468795776367,1973-07-02
1.6076701879501343,1973-07-03
1.6245931386947632,1973-07-05
1.6330540180206299,1973-07-06
1.6668996810913086,1973-07-09
1.658439040184021,1973-07-10
1.6922842264175415,1973-07-11
1.6668996810913086,1973-07-12
1.6668996810913086,1973-07-13
1.6330540180206299,1973-07-16
1.658439040184021,1973-07-17
1.6415159702301025,1973-07-18
1.6753623485565186,1973-07-19
1.658439040184021,1973-07-20
1.6838234663009644,1973-07-23
1.6415159702301025,1973-07-24
1.6415159702301025,1973-07-25
1.6499764919281006,1973-07-26
1.6330540180206299,1973-07-27
1.6330540180206299,1973-07-30
1.599209189414978,1973-07-31
1.573824405670166,1973-08-01
1.5484400987625122,1973-08-02
1.5399779081344604,1973-08-03
1.489209532737732,1973-08-06
1.489209532737732,1973-08-07
1.4722869396209717,1973-08-08
1.489209532737732,1973-08-09
1.4638266563415527,1973-08-10
1.4553638696670532,1973-08-13
1.4638266563415527,1973-08-14
1.4638266563415527,1973-08-15
1.4807485342025757,1973-08-16
1.4807485342025757,1973-08-17
1.4722869396209717,1973-08-20
1.4807485342025757,1973-08-21
1.4638266563415527,1973-08-22
1.4469025135040283,1973-08-23
1.4553638696670532,1973-08-24
1.4638266563415527,1973-08-27
1.4638266563415527,1973-08-28
1.5061331987380981,1973-08-29
1.4976712465286255,1973-08-30
1.4638266563415527,1973-08-31
1.4722869396209717,1973-09-04
1.4553638696670532,1973-09-05
1.4976712465286255,1973-09-06
1.5061331987380981,1973-09-07
1.5230549573898315,1973-09-10
1.5399779081344604,1973-09-11
1.5145952701568604,1973-09-12
1.5230549573898315,1973-09-13
1.5230549573898315,1973-09-14
1.4807485342025757,1973-09-17
1.5230549573898315,1973-09-18
1.5145952701568604,1973-09-19
1.489209532737732,1973-09-20
1.5061331987380981,1973-09-21
1.5907468795776367,1973-09-24
1.6245931386947632,1973-09-25
1.6076701879501343,1973-09-26
1.599209189414978,1973-09-27
1.556901454925537,1973-09-28
1.573824405670166,1973-10-01
1.5907468795776367,1973-10-02
1.556901454925537,1973-10-03
1.5399779081344604,1973-10-04
1.5484400987625122,1973-10-05
1.5145952701568604,1973-10-08
1.5230549573898315,1973-10-09
1.556901454925537,1973-10-10
1.556901454925537,1973-10-11
1.556901454925537,1973-10-12
1.5822863578796387,1973-10-15
1.556901454925537,1973-10-16
1.4976712465286255,1973-10-17
1.5230549573898315,1973-10-18
1.489209532737732,1973-10-19
1.4807485342025757,1973-10-22
1.4722869396209717,1973-10-23
1.4638266563415527,1973-10-24
1.4722869396209717,1973-10-25
1.4469025135040283,1973-10-26
1.4722869396209717,1973-10-29
1.4638266563415527,1973-10-30
1.4384416341781616,1973-10-31
1.4215179681777954,1973-11-01
1.4384416341781616,1973-11-02
1.4215179681777954,1973-11-05
1.413057565689087,1973-11-06
1.413057565689087,1973-11-07
1.4384416341781616,1973-11-08
1.4215179681777954,1973-11-09
1.4215179681777954,1973-11-12
1.4384416341781616,1973-11-13
1.3961342573165894,1973-11-14
