VICI,Date
14.935279846191406,2018-01-02
14.9798583984375,2018-01-03
15.009586334228516,2018-01-04
15.009586334228516,2018-01-05
15.009586334228516,2018-01-08
15.017007827758789,2018-01-09
14.86097240447998,2018-01-10
14.86097240447998,2018-01-11
14.853547096252441,2018-01-12
15.975547790527344,2018-01-16
15.812080383300781,2018-01-17
15.604022026062012,2018-01-18
15.418262481689453,2018-01-19
17.082691192626953,2018-01-22
15.604022026062012,2018-01-23
15.604022026062012,2018-01-24
15.552009582519531,2018-01-25
15.678328514099121,2018-01-26
15.678328514099121,2018-01-29
15.641179084777832,2018-01-30
16.347068786621094,2018-01-31
15.522285461425781,2018-02-01
15.611454010009766,2018-02-02
15.31423568725586,2018-02-05
15.232498168945312,2018-02-06
15.425690650939941,2018-02-07
14.86097240447998,2018-02-08
14.794100761413574,2018-02-09
14.548894882202148,2018-02-12
14.638060569763184,2018-02-13
14.600903511047363,2018-02-14
14.749517440795898,2018-02-15
14.853547096252441,2018-02-16
14.86097240447998,2018-02-20
14.615768432617188,2018-02-21
14.742082595825195,2018-02-22
14.727226257324219,2018-02-23
14.638060569763184,2018-02-26
14.459726333618164,2018-02-27
14.526602745056152,2018-02-28
14.482017517089844,2018-03-01
14.415144920349121,2018-03-02
14.467158317565918,2018-03-05
14.571187973022461,2018-03-06
14.571187973022461,2018-03-07
14.333415031433105,2018-03-08
14.563755989074707,2018-03-09
14.407713890075684,2018-03-12
14.563755989074707,2018-03-13
14.586047172546387,2018-03-14
14.430004119873047,2018-03-15
14.430004119873047,2018-03-16
14.288826942443848,2018-03-19
14.140219688415527,2018-03-20
14.095635414123535,2018-03-21
13.969315528869629,2018-03-22
13.72410774230957,2018-03-23
13.86528491973877,2018-03-26
13.731541633605957,2018-03-27
13.694064140319824,2018-03-28
13.731537818908691,2018-03-29
13.709054946899414,2018-04-02
13.694064140319824,2018-04-03
13.58912467956543,2018-04-04
13.626604080200195,2018-04-05
13.70156192779541,2018-04-06
13.596625328063965,2018-04-09
13.611614227294922,2018-04-10
13.619109153747559,2018-04-11
13.619109153747559,2018-04-12
13.641595840454102,2018-04-13
13.664083480834961,2018-04-16
13.694064140319824,2018-04-17
13.776514053344727,2018-04-18
13.664083480834961,2018-04-19
13.626604080200195,2018-04-20
13.55914306640625,2018-04-23
13.521669387817383,2018-04-24
13.521669387817383,2018-04-25
13.499185562133789,2018-04-26
13.52916431427002,2018-04-27
13.626604080200195,2018-04-30
13.649091720581055,2018-05-01
13.394250869750977,2018-05-02
13.379258155822754,2018-05-03
13.506681442260742,2018-05-04
13.611614227294922,2018-05-07
13.798996925354004,2018-05-08
14.158780097961426,2018-05-09
14.331170082092285,2018-05-10
14.241226196289062,2018-05-11
14.466092109680176,2018-05-14
14.503562927246094,2018-05-15
14.728425979614258,2018-05-16
14.765900611877441,2018-05-17
14.660971641540527,2018-05-18
14.810876846313477,2018-05-21
14.803382873535156,2018-05-22
14.915810585021973,2018-05-23
14.87833309173584,2018-05-24
14.885828971862793,2018-05-25
14.945794105529785,2018-05-29
14.953290939331055,2018-05-30
14.518555641174316,2018-05-31
14.900815963745117,2018-06-01
15.268095970153809,2018-06-04
15.073213577270508,2018-06-05
14.975774765014648,2018-06-06
14.998257637023926,2018-06-07
15.320560455322266,2018-06-08
15.388018608093262,2018-06-11
15.440491676330566,2018-06-12
15.440491676330566,2018-06-13
15.388018608093262,2018-06-14
15.380524635314941,2018-06-15
15.440491676330566,2018-06-18
15.477961540222168,2018-06-19
15.695331573486328,2018-06-20
15.717816352844238,2018-06-21
15.725314140319824,2018-06-22
15.620377540588379,2018-06-25
15.582901000976562,2018-06-26
15.547220230102539,2018-06-27
15.539628982543945,2018-06-28
15.668681144714355,2018-06-29
15.714229583740234,2018-07-02
15.83569622039795,2018-07-03
15.934380531311035,2018-07-05
16.01788902282715,2018-07-06
16.025484085083008,2018-07-09
16.048250198364258,2018-07-10
15.911605834960938,2018-07-11
15.896428108215332,2018-07-12
16.071025848388672,2018-07-13
16.071025848388672,2018-07-16
15.904014587402344,2018-07-17
15.744597434997559,2018-07-18
15.767372131347656,2018-07-19
15.737006187438965,2018-07-20
15.638320922851562,2018-07-23
15.547220230102539,2018-07-24
15.607951164245605,2018-07-25
15.562398910522461,2018-07-26
15.425758361816406,2018-07-27
15.4940767288208,2018-07-30
15.448533058166504,2018-07-31
15.182830810546875,2018-08-01
14.917131423950195,2018-08-02
14.833629608154297,2018-08-03
14.993048667907715,2018-08-06
15.076553344726562,2018-08-07
15.387801170349121,2018-08-08
15.273926734924316,2018-08-09
15.296704292297363,2018-08-10
15.243561744689941,2018-08-13
15.258744239807129,2018-08-14
15.4940767288208,2018-08-15
15.691457748413086,2018-08-16
15.691457748413086,2018-08-17
15.532035827636719,2018-08-20
15.691457748413086,2018-08-21
15.585177421569824,2018-08-22
15.70663833618164,2018-08-23
15.714229583740234,2018-08-24
15.797738075256348,2018-08-27
15.888833045959473,2018-08-28
15.866060256958008,2018-08-29
15.668681144714355,2018-08-30
15.873651504516602,2018-08-31
15.888833045959473,2018-09-04
15.866060256958008,2018-09-05
15.797738075256348,2018-09-06
15.820507049560547,2018-09-07
15.949568748474121,2018-09-10
15.919197082519531,2018-09-11
15.919197082519531,2018-09-12
16.025484085083008,2018-09-13
16.146942138671875,2018-09-14
16.336727142333984,2018-09-17
16.397457122802734,2018-09-18
16.313949584960938,2018-09-19
16.260812759399414,2018-09-20
16.268400192260742,2018-09-21
16.146942138671875,2018-09-24
16.169719696044922,2018-09-25
16.010297775268555,2018-09-26
16.278133392333984,2018-09-27
16.639875411987305,2018-09-28
16.347402572631836,2018-10-01
16.562908172607422,2018-10-02
16.393585205078125,2018-10-03
16.308921813964844,2018-10-04
16.13959503173828,2018-10-05
16.447460174560547,2018-10-08
16.547510147094727,2018-10-09
16.324310302734375,2018-10-10
15.877915382385254,2018-10-11
15.885611534118652,2018-10-12
16.070327758789062,2018-10-15
16.231956481933594,2018-10-16
16.509033203125,2018-10-17
16.547510147094727,2018-10-18
16.65526580810547,2018-10-19
16.362794876098633,2018-10-22
16.432065963745117,2018-10-23
16.562908172607422,2018-10-24
16.916948318481445,2018-10-25
16.778406143188477,2018-10-26
16.585996627807617,2018-10-29
16.555208206176758,2018-10-30
16.61678123474121,2018-10-31
16.79380226135254,2018-11-01
16.493637084960938,2018-11-02
16.562908172607422,2018-11-05
16.778406143188477,2018-11-06
17.032394409179688,2018-11-07
16.739925384521484,2018-11-08
16.701446533203125,2018-11-09
16.555208206176758,2018-11-12
16.524423599243164,2018-11-13
16.50133514404297,2018-11-14
16.262739181518555,2018-11-15
16.393585205078125,2018-11-16
16.485939025878906,2018-11-19
16.339704513549805,2018-11-20
16.485939025878906,2018-11-21
16.662961959838867,2018-11-23
16.839975357055664,2018-11-26
16.99390983581543,2018-11-27
16.963130950927734,2018-11-28
16.98621940612793,2018-11-29
16.755319595336914,2018-11-30
16.747621536254883,2018-12-03
16.47824478149414,2018-12-04
16.847675323486328,2018-12-06
16.570606231689453,2018-12-07
16.101118087768555,2018-12-10
16.116512298583984,2018-12-11
15.893308639526367,2018-12-12
15.901004791259766,2018-12-13
15.885611534118652,2018-12-14
15.192926406860352,2018-12-17
15.239104270935059,2018-12-18
15.085175514221191,2018-12-19
14.700353622436523,2018-12-20
14.354009628295898,2018-12-21
13.869128227233887,2018-12-24
14.307826042175293,2018-12-26
14.345353126525879,2018-12-27
14.517341613769531,2018-12-28
14.681510925292969,2018-12-31
14.446977615356445,2019-01-02
14.673690795898438,2019-01-03
14.837862968444824,2019-01-04
14.876949310302734,2019-01-07
15.33037281036377,2019-01-08
15.533635139465332,2019-01-09
15.689980506896973,2019-01-10
15.869790077209473,2019-01-11
15.987051963806152,2019-01-14
16.08868408203125,2019-01-15
16.315397262573242,2019-01-16
16.40920639038086,2019-01-17
16.503015518188477,2019-01-18
16.385753631591797,2019-01-22
16.432661056518555,2019-01-23
16.518651962280273,2019-01-24
16.76881980895996,2019-01-25
16.77663230895996,2019-01-28
16.815725326538086,2019-01-29
16.721904754638672,2019-01-30
16.831356048583984,2019-01-31
16.917354583740234,2019-02-01
16.82354164123535,2019-02-04
16.82354164123535,2019-02-05
16.77663230895996,2019-02-06
16.77663230895996,2019-02-07
16.95644187927246,2019-02-08
16.972076416015625,2019-02-11
16.854808807373047,2019-02-12
16.862628936767578,2019-02-13
16.932987213134766,2019-02-14
16.714096069335938,2019-02-15
16.667184829711914,2019-02-19
16.80008888244629,2019-02-20
16.932987213134766,2019-02-21
16.784454345703125,2019-02-22
16.698455810546875,2019-02-25
16.620283126831055,2019-02-26
16.596830368041992,2019-02-27
16.659372329711914,2019-02-28
16.46392822265625,2019-03-01
16.659372329711914,2019-03-04
16.495203018188477,2019-03-05
16.440479278564453,2019-03-06
16.3701171875,2019-03-07
16.5421085357666,2019-03-08
16.784454345703125,2019-03-11
16.77663230895996,2019-03-12
16.792272567749023,2019-03-13
16.745365142822266,2019-03-14
16.839176177978516,2019-03-15
16.792272567749023,2019-03-18
16.721904754638672,2019-03-19
16.76881980895996,2019-03-20
17.011165618896484,2019-03-21
17.12061309814453,2019-03-22
17.128427505493164,2019-03-25
17.269145965576172,2019-03-26
17.16751480102539,2019-03-27
17.268909454345703,2019-03-28
17.33228302001953,2019-03-29
17.260990142822266,2019-04-01
17.260990142822266,2019-04-02
17.363971710205078,2019-04-03
17.371889114379883,2019-04-04
17.52239990234375,2019-04-05
17.490713119506836,2019-04-08
17.451107025146484,2019-04-09
17.61745834350586,2019-04-10
17.569927215576172,2019-04-11
17.54616355895996,2019-04-12
17.625377655029297,2019-04-15
17.427339553833008,2019-04-16
17.31644058227539,2019-04-17
17.348129272460938,2019-04-18
17.22930335998535,2019-04-22
17.530319213867188,2019-04-23
17.807573318481445,2019-04-24
17.894710540771484,2019-04-25
18.021453857421875,2019-04-26
17.902631759643555,2019-04-29
18.061059951782227,2019-04-30
18.084827423095703,2019-05-01
18.084827423095703,2019-05-02
18.108592987060547,2019-05-03
18.021453857421875,2019-05-06
17.74420166015625,2019-05-07
17.601612091064453,2019-05-08
17.4827938079834,2019-05-09
17.760046005249023,2019-05-10
17.783809661865234,2019-05-13
17.633302688598633,2019-05-14
17.66498374938965,2019-05-15
17.934316635131836,2019-05-16
17.926395416259766,2019-05-17
17.66498374938965,2019-05-20
17.720439910888672,2019-05-21
17.807573318481445,2019-05-22
17.902631759643555,2019-05-23
18.03730010986328,2019-05-24
17.878870010375977,2019-05-28
17.72835922241211,2019-05-29
17.71251678466797,2019-05-30
17.569927215576172,2019-05-31
17.506561279296875,2019-06-03
17.308517456054688,2019-06-04
