BF-B,Date
0.19618263840675354,1980-03-17
0.19618263840675354,1980-03-18
0.19880719482898712,1980-03-19
0.1994629204273224,1980-03-20
0.1968385875225067,1980-03-21
0.18568436801433563,1980-03-24
0.18371613323688507,1980-03-25
0.18371613323688507,1980-03-26
0.18043528497219086,1980-03-27
0.18371613323688507,1980-03-28
0.18699657917022705,1980-03-31
0.18502844870090485,1980-04-01
0.18896514177322388,1980-04-02
0.1876530945301056,1980-04-03
0.18502844870090485,1980-04-07
0.18502844870090485,1980-04-08
0.18634070456027985,1980-04-09
0.1902775913476944,1980-04-10
0.1896211802959442,1980-04-11
0.18896514177322388,1980-04-14
0.1883089542388916,1980-04-15
0.18371613323688507,1980-04-16
0.18371613323688507,1980-04-17
0.18568436801433563,1980-04-18
0.18568436801433563,1980-04-21
0.19158977270126343,1980-04-22
0.19290213286876678,1980-04-23
0.18634070456027985,1980-04-24
0.18502844870090485,1980-04-25
0.18896514177322388,1980-04-28
0.1883089542388916,1980-04-29
0.18502844870090485,1980-04-30
0.18502844870090485,1980-05-01
0.18109163641929626,1980-05-02
0.18109163641929626,1980-05-05
0.18896514177322388,1980-05-06
0.18896514177322388,1980-05-07
0.19158977270126343,1980-05-08
0.194214329123497,1980-05-09
0.19355803728103638,1980-05-12
0.19355803728103638,1980-05-13
0.194214329123497,1980-05-14
0.194214329123497,1980-05-15
0.194214329123497,1980-05-16
0.20077523589134216,1980-05-19
0.20339974761009216,1980-05-20
0.20405615866184235,1980-05-21
0.20405615866184235,1980-05-22
0.20733675360679626,1980-05-23
0.2060244232416153,1980-05-27
0.20733675360679626,1980-05-28
0.20930525660514832,1980-05-29
0.20536845922470093,1980-05-30
0.2060244232416153,1980-06-02
0.20208755135536194,1980-06-03
0.1994629204273224,1980-06-04
0.20077523589134216,1980-06-05
0.20208755135536194,1980-06-06
0.2001195251941681,1980-06-09
0.21652249991893768,1980-06-10
0.21783483028411865,1980-06-11
0.20996122062206268,1980-06-12
0.21127358078956604,1980-06-13
0.21061749756336212,1980-06-16
0.21455393731594086,1980-06-17
0.21521039307117462,1980-06-18
0.21652249991893768,1980-06-19
0.21783483028411865,1980-06-20
0.21455393731594086,1980-06-23
0.22177162766456604,1980-06-24
0.22045937180519104,1980-06-25
0.22045937180519104,1980-06-26
0.21652249991893768,1980-06-27
0.22045937180519104,1980-06-30
0.22177162766456604,1980-07-01
0.22177162766456604,1980-07-02
0.2257084846496582,1980-07-03
0.23161360621452332,1980-07-07
0.23095719516277313,1980-07-08
0.22833295166492462,1980-07-09
0.22833295166492462,1980-07-10
0.22767668962478638,1980-07-11
0.23095719516277313,1980-07-14
0.22964531183242798,1980-07-15
0.23095719516277313,1980-07-16
0.23095719516277313,1980-07-17
0.23358169198036194,1980-07-18
0.23358169198036194,1980-07-21
0.2329258918762207,1980-07-22
0.23095719516277313,1980-07-23
0.22833295166492462,1980-07-24
0.2270207554101944,1980-07-25
0.22767668962478638,1980-07-28
0.24014319479465485,1980-07-29
0.2388308197259903,1980-07-30
0.2375185489654541,1980-07-31
0.24276761710643768,1980-08-01
0.24276761710643768,1980-08-04
0.2434239536523819,1980-08-05
0.24145537614822388,1980-08-06
0.24670448899269104,1980-08-07
0.24736085534095764,1980-08-08
0.24736085534095764,1980-08-11
0.24604853987693787,1980-08-12
0.24276761710643768,1980-08-13
0.24145537614822388,1980-08-14
0.23948724567890167,1980-08-15
0.23948724567890167,1980-08-18
0.24276761710643768,1980-08-19
0.24473626911640167,1980-08-20
0.25129711627960205,1980-08-21
0.2585149109363556,1980-08-22
0.2617954611778259,1980-08-25
0.26113948225975037,1980-08-26
0.257858544588089,1980-08-27
0.25720274448394775,1980-08-28
0.26113948225975037,1980-08-29
0.25982725620269775,1980-09-02
0.2637641429901123,1980-09-03
0.2657322585582733,1980-09-04
0.2703250050544739,1980-09-05
0.27623048424720764,1980-09-08
0.2768864333629608,1980-09-09
0.27623048424720764,1980-09-10
0.2749183177947998,1980-09-11
0.27819857001304626,1980-09-12
0.27819857001304626,1980-09-15
0.27819857001304626,1980-09-16
0.27754274010658264,1980-09-17
0.2814794182777405,1980-09-18
0.28082308173179626,1980-09-19
0.2854158878326416,1980-09-22
0.2854158878326416,1980-09-23
0.2821354269981384,1980-09-24
0.28082308173179626,1980-09-25
0.27819857001304626,1980-09-26
0.2768864333629608,1980-09-29
0.2768864333629608,1980-09-30
0.27557405829429626,1980-10-01
0.2729496657848358,1980-10-02
0.2716372311115265,1980-10-03
0.27754274010658264,1980-10-06
0.2788549065589905,1980-10-07
0.2821354269981384,1980-10-08
0.2834477126598358,1980-10-09
0.2834477126598358,1980-10-10
0.28016728162765503,1980-10-13
0.27557405829429626,1980-10-14
0.2722935974597931,1980-10-15
0.2742617428302765,1980-10-16
0.2722935974597931,1980-10-17
0.2703250050544739,1980-10-20
0.2722935974597931,1980-10-21
0.2742617428302765,1980-10-22
0.2729496657848358,1980-10-23
