TCOM,Date
2.085371732711792,2003-12-09
1.9975086450576782,2003-12-10
2.0706257820129395,2003-12-11
2.4140913486480713,2003-12-12
2.1197800636291504,2003-12-15
2.031916618347168,2003-12-16
1.9692449569702148,2003-12-17
1.8494311571121216,2003-12-18
1.7511227130889893,2003-12-19
1.990135669708252,2003-12-22
2.0024242401123047,2003-12-23
2.02700138092041,2003-12-24
2.082914352416992,2003-12-26
1.9772324562072754,2003-12-29
2.0239288806915283,2003-12-30
2.0896730422973633,2003-12-31
2.3348300457000732,2004-01-02
2.4097907543182373,2004-01-05
2.297964334487915,2004-01-06
2.3225417137145996,2004-01-07
2.2543399333953857,2004-01-08
2.1646335124969482,2004-01-09
2.104419231414795,2004-01-12
2.13022518157959,2004-01-13
2.1609463691711426,2004-01-14
2.132068395614624,2004-01-15
2.0915162563323975,2004-01-16
2.1498870849609375,2004-01-20
2.02700138092041,2004-01-21
1.9864487648010254,2004-01-22
1.9968940019607544,2004-01-23
2.038675308227539,2004-01-26
1.9581851959228516,2004-01-27
1.7621822357177734,2004-01-28
1.7873737812042236,2004-01-29
1.7818440198898315,2004-01-30
1.7800006866455078,2004-02-02
1.738834023475647,2004-02-03
1.6804633140563965,2004-02-04
1.6048885583877563,2004-02-05
1.61594820022583,2004-02-06
1.756037950515747,2004-02-09
1.7511227130889893,2004-02-10
1.7818440198898315,2004-02-11
1.7498936653137207,2004-02-12
1.7474360466003418,2004-02-13
1.771398663520813,2004-02-17
1.9821478128433228,2004-02-18
2.00180983543396,2004-02-19
1.9096453189849854,2004-02-20
2.013483762741089,2004-02-23
1.738834023475647,2004-02-24
1.7253166437149048,2004-02-25
1.8002768754959106,2004-02-26
1.794746994972229,2004-02-27
1.7818440198898315,2004-03-01
1.8586477041244507,2004-03-02
1.8482023477554321,2004-03-03
1.8740084171295166,2004-03-04
1.9188616275787354,2004-03-05
1.9078019857406616,2004-03-08
1.907187581062317,2004-03-09
1.8832247257232666,2004-03-10
1.7879884243011475,2004-03-11
1.8807671070098877,2004-03-12
1.824239730834961,2004-03-15
1.8021200895309448,2004-03-16
1.863563060760498,2004-03-17
1.8733940124511719,2004-03-18
1.845130205154419,2004-03-19
1.7886027097702026,2004-03-22
1.7879884243011475,2004-03-23
1.689679741859436,2004-03-24
1.7511227130889893,2004-03-25
1.7425205707550049,2004-03-26
1.7351473569869995,2004-03-29
1.7253166437149048,2004-03-30
1.7480504512786865,2004-03-31
1.7652543783187866,2004-04-01
1.7603390216827393,2004-04-02
1.7302318811416626,2004-04-05
1.7050403356552124,2004-04-06
1.6952096223831177,2004-04-07
1.7603390216827393,2004-04-08
1.8002768754959106,2004-04-12
1.7535803318023682,2004-04-13
1.7007393836975098,2004-04-14
1.7204011678695679,2004-04-15
1.7197866439819336,2004-04-16
1.70749831199646,2004-04-19
1.7081124782562256,2004-04-20
1.7081124782562256,2004-04-21
1.72593092918396,2004-04-22
1.737605333328247,2004-04-23
1.7062692642211914,2004-04-26
1.8690929412841797,2004-04-27
1.8924411535263062,2004-04-28
1.6927517652511597,2004-04-29
1.7818440198898315,2004-04-30
1.758495807647705,2004-05-03
1.7652543783187866,2004-05-04
1.7326897382736206,2004-05-05
1.5545053482055664,2004-05-06
1.474629521369934,2004-05-07
1.4439080953598022,2004-05-10
1.5256271362304688,2004-05-11
1.5207116603851318,2004-05-12
1.505350947380066,2004-05-13
1.4869182109832764,2004-05-14
1.474629521369934,2004-05-17
1.4893757104873657,2004-05-18
1.5495898723602295,2004-05-19
1.5330003499984741,2004-05-20
1.5360723733901978,2004-05-21
1.5422167778015137,2004-05-24
1.6196348667144775,2004-05-25
1.6282368898391724,2004-05-26
1.6435974836349487,2004-05-27
1.6577292680740356,2004-05-28
1.6565004587173462,2004-06-01
1.7511227130889893,2004-06-02
1.6786199808120728,2004-06-03
1.6780054569244385,2004-06-04
1.7136424779891968,2004-06-07
1.7283886671066284,2004-06-08
