EXR,Date
5.681559085845947,2004-08-16
5.686107158660889,2004-08-17
5.686107158660889,2004-08-18
5.695198059082031,2004-08-19
5.704288959503174,2004-08-20
5.704288959503174,2004-08-23
5.8997321128845215,2004-08-24
5.908820629119873,2004-08-25
6.081541538238525,2004-08-26
6.11336088180542,2004-08-27
6.126997470855713,2004-08-30
6.272442817687988,2004-08-31
6.204265117645264,2004-09-01
6.267899990081787,2004-09-02
6.204265117645264,2004-09-03
6.272442817687988,2004-09-07
6.204265117645264,2004-09-08
6.131540298461914,2004-09-09
6.1815409660339355,2004-09-10
6.282815933227539,2004-09-13
6.191161632537842,2004-09-14
6.117838382720947,2004-09-15
6.108675479888916,2004-09-16
6.250736713409424,2004-09-17
6.117838382720947,2004-09-20
6.172831058502197,2004-09-21
6.186580181121826,2004-09-22
6.090342998504639,2004-09-23
6.186580181121826,2004-09-24
5.980358600616455,2004-09-27
5.916203022003174,2004-09-28
5.9024553298950195,2004-09-29
5.842880725860596,2004-09-30
5.957447052001953,2004-10-01
5.929950714111328,2004-10-04
5.8932905197143555,2004-10-05
6.003275394439697,2004-10-06
5.966613292694092,2004-10-07
6.05826473236084,2004-10-08
6.003275394439697,2004-10-11
6.003275394439697,2004-10-12
5.939117431640625,2004-10-13
5.9849419593811035,2004-10-14
5.948281764984131,2004-10-15
6.0124382972717285,2004-10-18
5.980358600616455,2004-10-19
6.003275394439697,2004-10-20
6.13158655166626,2004-10-21
6.094925880432129,2004-10-22
6.094925880432129,2004-10-25
6.20949125289917,2004-10-26
6.369887351989746,2004-10-27
6.379052639007568,2004-10-28
6.3515543937683105,2004-10-29
6.296562671661377,2004-11-01
6.3515543937683105,2004-11-02
6.369887351989746,2004-11-03
6.415710926055908,2004-11-04
6.438625335693359,2004-11-05
6.438625335693359,2004-11-08
6.452371597290039,2004-11-09
6.4752888679504395,2004-11-10
6.484449863433838,2004-11-11
6.461536884307861,2004-11-12
6.57610559463501,2004-11-15
6.461536884307861,2004-11-16
6.507365703582764,2004-11-17
6.438625335693359,2004-11-18
6.438625335693359,2004-11-19
6.498201370239258,2004-11-22
6.479869842529297,2004-11-23
6.406547546386719,2004-11-24
6.369887351989746,2004-11-26
6.415710926055908,2004-11-29
6.369887351989746,2004-11-30
6.415710926055908,2004-12-01
6.507365703582764,2004-12-02
6.57610559463501,2004-12-03
6.484449863433838,2004-12-06
6.415710926055908,2004-12-07
6.438625335693359,2004-12-08
6.405087471008301,2004-12-09
6.37247896194458,2004-12-10
6.377139091491699,2004-12-13
6.293288230895996,2004-12-14
6.223415851593018,2004-12-15
6.237390518188477,2004-12-16
6.190805435180664,2004-12-17
6.1861491203308105,2004-12-20
6.223415851593018,2004-12-21
6.3165788650512695,2004-12-22
6.311919689178467,2004-12-23
6.25602388381958,2004-12-27
6.335212707519531,2004-12-28
6.21875524520874,2004-12-29
6.242048263549805,2004-12-30
6.209441184997559,2004-12-31
6.190805435180664,2005-01-03
6.251365661621094,2005-01-04
6.055717945098877,2005-01-05
6.265336990356445,2005-01-06
6.409747123718262,2005-01-07
6.246706485748291,2005-01-10
6.269996166229248,2005-01-11
6.288630962371826,2005-01-12
6.079007148742676,2005-01-13
6.456326007843018,2005-01-14
6.172173500061035,2005-01-18
6.195464134216309,2005-01-19
6.125591278076172,2005-01-20
6.1395673751831055,2005-01-21
