DLTR,Date
1.1687239408493042,1995-03-07
1.0864200592041016,1995-03-08
1.111111044883728,1995-03-09
1.1604939699172974,1995-03-10
1.1522630453109741,1995-03-13
1.1687239408493042,1995-03-14
1.2016459703445435,1995-03-15
1.1687239408493042,1995-03-16
1.1687239408493042,1995-03-17
1.1687239408493042,1995-03-20
1.176954984664917,1995-03-21
1.1851849555969238,1995-03-22
1.1934159994125366,1995-03-23
1.1934159994125366,1995-03-24
1.267490029335022,1995-03-27
1.3333330154418945,1995-03-28
1.2839510440826416,1995-03-29
1.316872000694275,1995-03-30
1.3497940301895142,1995-03-31
1.4485599994659424,1995-04-03
1.3827159404754639,1995-04-04
1.4403289556503296,1995-04-05
1.4156379699707031,1995-04-06
1.4156379699707031,1995-04-07
1.42386794090271,1995-04-10
1.4320989847183228,1995-04-11
1.3991769552230835,1995-04-12
1.4320989847183228,1995-04-13
1.3991769552230835,1995-04-17
1.3827159404754639,1995-04-18
1.4320989847183228,1995-04-19
1.374485969543457,1995-04-20
1.374485969543457,1995-04-21
1.374485969543457,1995-04-24
1.3497940301895142,1995-04-25
1.3415640592575073,1995-04-26
1.3991769552230835,1995-04-27
1.4814809560775757,1995-04-28
1.5308640003204346,1995-05-01
1.5802470445632935,1995-05-02
1.6131689548492432,1995-05-03
1.6131689548492432,1995-05-04
1.6131689548492432,1995-05-05
1.5884770154953003,1995-05-08
1.5884770154953003,1995-05-09
1.6131689548492432,1995-05-10
1.5637860298156738,1995-05-11
1.6625510454177856,1995-05-12
1.6625510454177856,1995-05-15
1.6872429847717285,1995-05-16
1.6872429847717285,1995-05-17
1.5473250150680542,1995-05-18
1.5802470445632935,1995-05-19
1.5308640003204346,1995-05-22
1.5802470445632935,1995-05-23
1.4485599994659424,1995-05-24
1.4485599994659424,1995-05-25
1.4979419708251953,1995-05-26
1.4485599994659424,1995-05-30
1.4814809560775757,1995-05-31
1.4485599994659424,1995-06-01
1.4732509851455688,1995-06-02
1.4979419708251953,1995-06-05
1.4979419708251953,1995-06-06
1.5637860298156738,1995-06-07
1.6460909843444824,1995-06-08
1.6296299695968628,1995-06-09
1.6460909843444824,1995-06-12
1.6296299695968628,1995-06-13
1.6296299695968628,1995-06-14
1.6296299695968628,1995-06-15
1.6460909843444824,1995-06-16
1.5720160007476807,1995-06-19
1.596708059310913,1995-06-20
1.5802470445632935,1995-06-21
1.5802470445632935,1995-06-22
1.6460909843444824,1995-06-23
1.6378599405288696,1995-06-26
1.6790119409561157,1995-06-27
1.6954729557037354,1995-06-28
1.6954729557037354,1995-06-29
1.7448559999465942,1995-06-30
1.7448559999465942,1995-07-03
1.7613170146942139,1995-07-05
1.80246901512146,1995-07-06
1.80246901512146,1995-07-07
1.7777780294418335,1995-07-10
1.909464955329895,1995-07-11
1.909464955329895,1995-07-12
1.9917700290679932,1995-07-13
1.9917700290679932,1995-07-14
1.9753090143203735,1995-07-17
2.008229970932007,1995-07-18
1.9259259700775146,1995-07-19
1.909464955329895,1995-07-20
1.9259259700775146,1995-07-21
1.9259259700775146,1995-07-24
1.909464955329895,1995-07-25
1.958847999572754,1995-07-26
1.9753090143203735,1995-07-27
1.9259259700775146,1995-07-28
1.9917700290679932,1995-07-31
2.008229970932007,1995-08-01
1.958847999572754,1995-08-02
1.9670779705047607,1995-08-03
1.9259259700775146,1995-08-04
1.8930039405822754,1995-08-07
1.9176950454711914,1995-08-08
1.909464955329895,1995-08-09
1.9176950454711914,1995-08-10
1.8600820302963257,1995-08-11
1.7942390441894531,1995-08-14
1.8107000589370728,1995-08-15
1.7942390441894531,1995-08-16
1.8189300298690796,1995-08-17
1.9753090143203735,1995-08-18
2.008229970932007,1995-08-21
2.008229970932007,1995-08-22
1.9176950454711914,1995-08-23
1.9670779705047607,1995-08-24
1.9753090143203735,1995-08-25
1.9423869848251343,1995-08-28
1.9423869848251343,1995-08-29
1.9423869848251343,1995-08-30
1.958847999572754,1995-08-31
1.958847999572754,1995-09-01
1.9917700290679932,1995-09-05
2.008229970932007,1995-09-06
1.9753090143203735,1995-09-07
1.9917700290679932,1995-09-08
2.01646089553833,1995-09-11
1.9917700290679932,1995-09-12
1.9917700290679932,1995-09-13
2.0329220294952393,1995-09-14
2.0823049545288086,1995-09-15
2.041152000427246,1995-09-18
2.213992118835449,1995-09-19
2.213992118835449,1995-09-20
2.2880659103393555,1995-09-21
2.19753098487854,1995-09-22
2.189300060272217,1995-09-25
2.19753098487854,1995-09-26
2.041152000427246,1995-09-27
2.139918088912964,1995-09-28
2.238682985305786,1995-09-29
2.255143880844116,1995-10-02
2.1069960594177246,1995-10-03
1.9917700290679932,1995-10-04
2.008229970932007,1995-10-05
2.024691104888916,1995-10-06
1.9753090143203735,1995-10-09
1.9423869848251343,1995-10-10
1.9753090143203735,1995-10-11
1.9753090143203735,1995-10-12
2.008229970932007,1995-10-13
1.9753090143203735,1995-10-16
1.9176950454711914,1995-10-17
1.9423869848251343,1995-10-18
1.9423869848251343,1995-10-19
1.9423869848251343,1995-10-20
1.909464955329895,1995-10-23
1.8765430450439453,1995-10-24
1.8847739696502686,1995-10-25
1.8765430450439453,1995-10-26
1.7695469856262207,1995-10-27
1.7860080003738403,1995-10-30
1.7777780294418335,1995-10-31
1.753085970878601,1995-11-01
1.80246901512146,1995-11-02
1.8107000589370728,1995-11-03
1.7777780294418335,1995-11-06
1.7777780294418335,1995-11-07
1.7777780294418335,1995-11-08
1.7695469856262207,1995-11-09
1.711933970451355,1995-11-10
1.6790119409561157,1995-11-13
1.7037039995193481,1995-11-14
1.711933970451355,1995-11-15
1.7037039995193481,1995-11-16
1.7777780294418335,1995-11-17
1.7695469856262207,1995-11-20
1.7777780294418335,1995-11-21
1.7777780294418335,1995-11-22
1.7777780294418335,1995-11-24
1.7283949851989746,1995-11-27
1.753085970878601,1995-11-28
1.7448559999465942,1995-11-29
1.843621015548706,1995-11-30
1.8765430450439453,1995-12-01
1.909464955329895,1995-12-04
1.9753090143203735,1995-12-05
1.9423869848251343,1995-12-06
1.9506169557571411,1995-12-07
1.8847739696502686,1995-12-08
1.8847739696502686,1995-12-11
1.8765430450439453,1995-12-12
1.8765430450439453,1995-12-13
1.8765430450439453,1995-12-14
1.8600820302963257,1995-12-15
1.7448559999465942,1995-12-18
1.5679010152816772,1995-12-19
1.5637860298156738,1995-12-20
1.5308640003204346,1995-12-21
1.4485599994659424,1995-12-22
1.4897119998931885,1995-12-26
1.6378599405288696,1995-12-27
1.6790119409561157,1995-12-28
1.6296299695968628,1995-12-29
1.6460909843444824,1996-01-02
1.6790119409561157,1996-01-03
1.8271600008010864,1996-01-04
1.8930039405822754,1996-01-05
1.8518520593643188,1996-01-08
1.8312760591506958,1996-01-09
1.8189300298690796,1996-01-10
1.7942390441894531,1996-01-11
1.8518520593643188,1996-01-12
1.8518520593643188,1996-01-15
1.9423869848251343,1996-01-16
2.041152000427246,1996-01-17
2.0905349254608154,1996-01-18
2.057612895965576,1996-01-19
2.0864200592041016,1996-01-22
2.2716050148010254,1996-01-23
2.3456790447235107,1996-01-24
2.337449073791504,1996-01-25
2.3703699111938477,1996-01-26
2.3045270442962646,1996-01-29
2.3045270442962646,1996-01-30
2.3209879398345947,1996-01-31
2.255143880844116,1996-02-01
2.205760955810547,1996-02-02
2.2304530143737793,1996-02-05
2.3703699111938477,1996-02-06
2.2962958812713623,1996-02-07
2.2716050148010254,1996-02-08
2.3045270442962646,1996-02-09
2.3539090156555176,1996-02-12
2.3045270442962646,1996-02-13
2.2962958812713623,1996-02-14
2.3292179107666016,1996-02-15
2.2962958812713623,1996-02-16
2.2880659103393555,1996-02-20
2.2880659103393555,1996-02-21
2.337449073791504,1996-02-22
2.2962958812713623,1996-02-23
2.2880659103393555,1996-02-26
2.2798349857330322,1996-02-27
2.2880659103393555,1996-02-28
2.4855968952178955,1996-02-29
2.4526751041412354,1996-03-01
2.617284059524536,1996-03-04
2.59259295463562,1996-03-05
2.584362030029297,1996-03-06
2.633744955062866,1996-03-07
2.4855968952178955,1996-03-08
2.584362030029297,1996-03-11
2.5185189247131348,1996-03-12
2.617284059524536,1996-03-13
2.7160489559173584,1996-03-14
2.798353910446167,1996-03-15
2.9135799407958984,1996-03-18
2.962963104248047,1996-03-19
2.8312759399414062,1996-03-20
3.012346029281616,1996-03-21
2.8971190452575684,1996-03-22
2.8641979694366455,1996-03-25
2.8724279403686523,1996-03-26
2.962963104248047,1996-03-27
2.962963104248047,1996-03-28
2.8971190452575684,1996-03-29
2.9053499698638916,1996-04-01
2.8971190452575684,1996-04-02
2.8971190452575684,1996-04-03
2.979423999786377,1996-04-04
2.9465019702911377,1996-04-08
3.1275720596313477,1996-04-09
3.078188896179199,1996-04-10
2.962963104248047,1996-04-11
3.0288069248199463,1996-04-12
3.061728000640869,1996-04-15
3.037036895751953,1996-04-16
2.995884895324707,1996-04-17
3.0946500301361084,1996-04-18
3.22633695602417,1996-04-19
3.2469139099121094,1996-04-22
3.160494089126587,1996-04-23
3.2716050148010254,1996-04-24
3.2345681190490723,1996-04-25
3.3209879398345947,1996-04-26
3.259258985519409,1996-04-29
3.3086419105529785,1996-04-30
3.3086419105529785,1996-05-01
3.2098770141601562,1996-05-02
3.2345681190490723,1996-05-03
3.3333330154418945,1996-05-06
3.2345681190490723,1996-05-07
3.259258985519409,1996-05-08
3.3086419105529785,1996-05-09
3.3456790447235107,1996-05-10
3.7037041187286377,1996-05-13
3.555556058883667,1996-05-14
3.555556058883667,1996-05-15
3.5061728954315186,1996-05-16
3.555556058883667,1996-05-17
3.7283949851989746,1996-05-20
3.962963104248047,1996-05-21
3.7530860900878906,1996-05-22
