O,Date
1.2985140085220337,1994-10-18
1.4101054668426514,1994-10-19
1.4202498197555542,1994-10-20
1.3999601602554321,1994-10-21
1.3695257902145386,1994-10-24
1.3898158073425293,1994-10-25
1.3816269636154175,1994-10-26
1.3816269636154175,1994-10-27
1.3611607551574707,1994-10-28
1.3611607551574707,1994-10-31
1.3611607551574707,1994-11-01
1.350925087928772,1994-11-02
1.3406904935836792,1994-11-03
1.3099892139434814,1994-11-04
1.3099892139434814,1994-11-07
1.3304569721221924,1994-11-08
1.3202228546142578,1994-11-09
1.2895193099975586,1994-11-10
1.2792843580245972,1994-11-11
1.2895193099975586,1994-11-14
1.258817434310913,1994-11-15
1.2690504789352417,1994-11-16
1.2792843580245972,1994-11-17
1.248583197593689,1994-11-18
1.2690504789352417,1994-11-21
1.2690504789352417,1994-11-22
1.2792843580245972,1994-11-23
1.291685700416565,1994-11-25
1.3123517036437988,1994-11-28
1.3020191192626953,1994-11-29
1.322687029838562,1994-11-30
1.3330193758010864,1994-12-01
1.3123517036437988,1994-12-02
1.3123517036437988,1994-12-05
1.3123517036437988,1994-12-06
1.3123517036437988,1994-12-07
1.3020191192626953,1994-12-08
1.3020191192626953,1994-12-09
1.3020191192626953,1994-12-12
1.3020191192626953,1994-12-13
1.322687029838562,1994-12-14
1.322687029838562,1994-12-15
1.3640198707580566,1994-12-16
1.38468599319458,1994-12-19
1.38468599319458,1994-12-20
1.38468599319458,1994-12-21
1.38468599319458,1994-12-22
1.3743534088134766,1994-12-23
1.366011142730713,1994-12-27
1.3868663311004639,1994-12-28
1.3764399290084839,1994-12-29
1.4285783767700195,1994-12-30
1.4077212810516357,1995-01-03
1.3764399290084839,1995-01-04
1.3868663311004639,1995-01-05
1.3868663311004639,1995-01-06
1.4181509017944336,1995-01-09
1.4181509017944336,1995-01-10
1.4181509017944336,1995-01-11
1.4390053749084473,1995-01-12
1.4494329690933228,1995-01-13
1.4494329690933228,1995-01-16
1.4494329690933228,1995-01-17
1.4598594903945923,1995-01-18
1.4598594903945923,1995-01-19
1.4494329690933228,1995-01-20
1.4807145595550537,1995-01-23
1.470286250114441,1995-01-24
1.470286250114441,1995-01-25
1.4829069375991821,1995-01-26
1.5144569873809814,1995-01-27
1.5144569873809814,1995-01-30
1.493424654006958,1995-01-31
1.493424654006958,1995-02-01
1.4829069375991821,1995-02-02
1.4829069375991821,1995-02-03
1.493424654006958,1995-02-06
1.5144569873809814,1995-02-07
1.472389817237854,1995-02-08
1.5144569873809814,1995-02-09
1.5144569873809814,1995-02-10
1.5144569873809814,1995-02-13
1.5354926586151123,1995-02-14
1.5670446157455444,1995-02-15
1.5985950231552124,1995-02-16
1.5985950231552124,1995-02-17
1.5670446157455444,1995-02-21
1.5880769491195679,1995-02-22
1.5477927923202515,1995-02-23
1.5901983976364136,1995-02-24
1.5689960718154907,1995-02-27
1.6114006042480469,1995-02-28
1.6008001565933228,1995-03-01
1.5901983976364136,1995-03-02
1.5901983976364136,1995-03-03
1.5689960718154907,1995-03-06
1.5689960718154907,1995-03-07
1.5689960718154907,1995-03-08
1.5795975923538208,1995-03-09
1.5795975923538208,1995-03-10
1.5795975923538208,1995-03-13
1.5689960718154907,1995-03-14
1.5371904373168945,1995-03-15
1.5583946704864502,1995-03-16
1.5583946704864502,1995-03-17
1.5477927923202515,1995-03-20
1.5371904373168945,1995-03-21
1.5371904373168945,1995-03-22
1.5477927923202515,1995-03-23
1.5265899896621704,1995-03-24
1.5265899896621704,1995-03-27
1.53941810131073,1995-03-28
1.5608001947402954,1995-03-29
1.53941810131073,1995-03-30
1.5501093864440918,1995-03-31
1.53941810131073,1995-04-03
1.5501093864440918,1995-04-04
1.5501093864440918,1995-04-05
1.53941810131073,1995-04-06
1.5501093864440918,1995-04-07
1.5608001947402954,1995-04-10
1.5501093864440918,1995-04-11
1.5608001947402954,1995-04-12
1.5714890956878662,1995-04-13
1.5714890956878662,1995-04-17
