KLAC,Date
0.6175764203071594,1980-10-08
0.6231402158737183,1980-10-09
0.6787775158882141,1980-10-10
0.7288511991500854,1980-10-13
0.6843414902687073,1980-10-14
0.7065967321395874,1980-10-15
0.6899052858352661,1980-10-16
0.6954686641693115,1980-10-17
0.7177241444587708,1980-10-20
0.6843414902687073,1980-10-21
0.6954686641693115,1980-10-22
0.6843414902687073,1980-10-23
0.7010330557823181,1980-10-24
0.6899052858352661,1980-10-27
0.6787775158882141,1980-10-28
0.6843414902687073,1980-10-29
0.6565231680870056,1980-10-30
0.6620864272117615,1980-10-31
0.6676501035690308,1980-11-03
0.6732142567634583,1980-11-05
0.6453949809074402,1980-11-06
0.6287038326263428,1980-11-07
0.6565231680870056,1980-11-10
0.7121602892875671,1980-11-11
0.7399792671203613,1980-11-12
0.7455429434776306,1980-11-13
0.767797589302063,1980-11-14
0.8123076558113098,1980-11-17
0.8345629572868347,1980-11-18
0.8401269912719727,1980-11-19
0.8011804819107056,1980-11-20
0.8011804819107056,1980-11-21
0.7956164479255676,1980-11-24
0.856817901134491,1980-11-25
0.8512542247772217,1980-11-26
0.8512542247772217,1980-11-28
0.8345629572868347,1980-12-01
0.8289986252784729,1980-12-02
0.8289986252784729,1980-12-03
0.8289986252784729,1980-12-04
0.8178717494010925,1980-12-05
0.7232879996299744,1980-12-08
0.7232879996299744,1980-12-09
0.7344152927398682,1980-12-10
0.7232879996299744,1980-12-11
0.7232879996299744,1980-12-12
0.7177241444587708,1980-12-15
0.7177241444587708,1980-12-16
0.7177241444587708,1980-12-17
0.7177241444587708,1980-12-18
0.7121602892875671,1980-12-19
0.7121602892875671,1980-12-22
0.7121602892875671,1980-12-23
0.7121602892875671,1980-12-24
0.7121602892875671,1980-12-26
0.7121602892875671,1980-12-29
0.7121602892875671,1980-12-30
0.7121602892875671,1980-12-31
0.7121602892875671,1981-01-02
0.7010330557823181,1981-01-05
0.7121602892875671,1981-01-06
0.6565231680870056,1981-01-07
0.6453949809074402,1981-01-08
0.6453949809074402,1981-01-09
0.6732142567634583,1981-01-12
0.6676501035690308,1981-01-13
0.6565231680870056,1981-01-14
0.6565231680870056,1981-01-15
0.600885272026062,1981-01-16
0.6565231680870056,1981-01-19
0.6342676281929016,1981-01-20
0.6565231680870056,1981-01-21
0.6231402158737183,1981-01-22
0.6342676281929016,1981-01-23
0.6231402158737183,1981-01-26
0.6231402158737183,1981-01-27
0.6231402158737183,1981-01-28
0.6231402158737183,1981-01-29
0.6231402158737183,1981-01-30
0.600885272026062,1981-02-02
0.5897579193115234,1981-02-03
0.5897579193115234,1981-02-04
0.600885272026062,1981-02-05
0.600885272026062,1981-02-06
0.600885272026062,1981-02-09
0.600885272026062,1981-02-10
0.600885272026062,1981-02-11
0.578630268573761,1981-02-12
0.5118650197982788,1981-02-13
0.5341203212738037,1981-02-17
0.5452476143836975,1981-02-18
0.5897579193115234,1981-02-19
0.6342676281929016,1981-02-20
0.5563755631446838,1981-02-23
0.5619389414787292,1981-02-24
0.5508114695549011,1981-02-25
0.600885272026062,1981-02-26
0.6120126247406006,1981-02-27
0.600885272026062,1981-03-02
0.578630268573761,1981-03-03
0.578630268573761,1981-03-04
0.5841939449310303,1981-03-05
0.5619389414787292,1981-03-06
0.5452476143836975,1981-03-09
0.5452476143836975,1981-03-10
0.5563755631446838,1981-03-11
0.5563755631446838,1981-03-12
0.6175764203071594,1981-03-13
0.6565231680870056,1981-03-16
0.6787775158882141,1981-03-17
0.7010330557823181,1981-03-18
0.7455429434776306,1981-03-19
0.7900529503822327,1981-03-20
0.767797589302063,1981-03-23
0.7065967321395874,1981-03-24
0.7622339129447937,1981-03-25
0.7566706538200378,1981-03-26
0.7622339129447937,1981-03-27
0.767797589302063,1981-03-30
0.7566706538200378,1981-03-31
0.7455429434776306,1981-04-01
0.7455429434776306,1981-04-02
0.7566706538200378,1981-04-03
0.7566706538200378,1981-04-06
0.7566706538200378,1981-04-07
0.7344152927398682,1981-04-08
0.7344152927398682,1981-04-09
0.7232879996299744,1981-04-10
0.7344152927398682,1981-04-13
0.7455429434776306,1981-04-14
0.767797589302063,1981-04-15
0.767797589302063,1981-04-16
0.7566706538200378,1981-04-20
0.7455429434776306,1981-04-21
0.7344152927398682,1981-04-22
0.7900529503822327,1981-04-23
0.7900529503822327,1981-04-24
0.7900529503822327,1981-04-27
0.7566706538200378,1981-04-28
0.7566706538200378,1981-04-29
0.7566706538200378,1981-04-30
0.7455429434776306,1981-05-01
0.7344152927398682,1981-05-04
0.7121602892875671,1981-05-05
0.7232879996299744,1981-05-06
