LYB,Date
10.433232307434082,2010-04-28
10.907471656799316,2010-04-29
10.575504302978516,2010-04-30
10.812621116638184,2010-05-03
10.196115493774414,2010-05-04
9.764557838439941,2010-05-05
9.22392463684082,2010-05-06
8.82082462310791,2010-05-07
9.015262603759766,2010-05-10
8.963094711303711,2010-05-11
9.389910697937012,2010-05-12
9.318775177001953,2010-05-13
8.891961097717285,2010-05-14
8.939387321472168,2010-05-17
8.910930633544922,2010-05-18
8.394012451171875,2010-05-19
8.014622688293457,2010-05-20
7.848637104034424,2010-05-21
8.014622688293457,2010-05-24
7.858124256134033,2010-05-25
8.1331787109375,2010-05-26
8.488858222961426,2010-05-27
8.427207946777344,2010-05-28
8.299163818359375,2010-06-01
8.21854019165039,2010-06-02
8.21854019165039,2010-06-03
8.0857572555542,2010-06-04
8.009879112243652,2010-06-07
7.943485260009766,2010-06-08
7.9624552726745605,2010-06-09
8.047819137573242,2010-06-10
8.128438949584961,2010-06-11
8.29442024230957,2010-06-14
8.522052764892578,2010-06-15
8.365555763244629,2010-06-16
8.204315185546875,2010-06-17
8.161633491516113,2010-06-18
8.109469413757324,2010-06-21
7.98616361618042,2010-06-22
7.896060466766357,2010-06-23
7.967196464538574,2010-06-24
7.976682662963867,2010-06-25
8.000394821166992,2010-06-28
7.706366062164307,2010-06-29
7.658942699432373,2010-06-30
7.374398231506348,2010-07-01
7.341203212738037,2010-07-02
7.142022609710693,2010-07-06
7.113567352294922,2010-07-07
7.137279510498047,2010-07-08
7.492956638336182,2010-07-09
7.502441883087158,2010-07-12
7.777501106262207,2010-07-13
7.777501106262207,2010-07-14
7.763275146484375,2010-07-15
7.682656288146973,2010-07-16
7.801214694976807,2010-07-19
7.677912712097168,2010-07-20
7.701623439788818,2010-07-21
7.848637104034424,2010-07-22
7.957712650299072,2010-07-23
8.370299339294434,2010-07-26
8.645357131958008,2010-07-27
8.50308895111084,2010-07-28
8.50782585144043,2010-07-29
8.536280632019043,2010-07-30
8.564736366271973,2010-08-02
8.488858222961426,2010-08-03
8.678550720214844,2010-08-04
8.65009880065918,2010-08-05
8.536280632019043,2010-08-06
8.5599946975708,2010-08-09
8.531539916992188,2010-08-10
8.351330757141113,2010-08-11
8.299163818359375,2010-08-12
