CI,Date
2.2141661643981934,1982-03-31
2.2141661643981934,1982-04-01
2.288325548171997,1982-04-02
2.309514284133911,1982-04-05
2.298920154571533,1982-04-06
2.309514284133911,1982-04-07
2.3307013511657715,1982-04-08
2.298920154571533,1982-04-12
2.3201069831848145,1982-04-13
2.309514284133911,1982-04-14
2.3042166233062744,1982-04-15
2.3042166233062744,1982-04-16
2.309514284133911,1982-04-19
2.3042166233062744,1982-04-20
2.27773118019104,1982-04-21
2.283029079437256,1982-04-22
2.1717898845672607,1982-04-23
2.124117612838745,1982-04-26
2.087038516998291,1982-04-27
2.0764431953430176,1982-04-28
2.065850257873535,1982-04-29
2.0393643379211426,1982-04-30
2.0181753635406494,1982-05-03
2.0234732627868652,1982-05-04
2.0181753635406494,1982-05-05
2.0234732627868652,1982-05-06
1.991689920425415,1982-05-07
1.9969874620437622,1982-05-10
2.0393643379211426,1982-05-11
1.9387208223342896,1982-05-12
1.742728352546692,1982-05-13
1.7904030084609985,1982-05-14
1.7904030084609985,1982-05-17
1.7798086404800415,1982-05-18
1.7480250597000122,1982-05-19
1.7374321222305298,1982-05-20
1.7109469175338745,1982-05-21
1.6685701608657837,1982-05-24
1.6738669872283936,1982-05-25
1.6473817825317383,1982-05-26
1.6420854330062866,1982-05-27
1.6261951923370361,1982-05-28
1.610302448272705,1982-06-01
1.6208974123001099,1982-06-02
1.615599513053894,1982-06-03
1.557331919670105,1982-06-04
1.5390368700027466,1982-06-07
1.4852237701416016,1982-06-08
1.4421736001968384,1982-06-09
1.4529362916946411,1982-06-10
1.4852237701416016,1982-06-11
1.4206494092941284,1982-06-14
1.4529362916946411,1982-06-15
1.4583169221878052,1982-06-16
1.4206494092941284,1982-06-17
1.3775991201400757,1982-06-18
1.3775991201400757,1982-06-21
1.4367921352386475,1982-06-22
1.4529362916946411,1982-06-23
1.4529362916946411,1982-06-24
1.4690803289413452,1982-06-25
1.4690803289413452,1982-06-28
1.4636991024017334,1982-06-29
1.4636991024017334,1982-06-30
1.4421736001968384,1982-07-01
1.4206494092941284,1982-07-02
1.3883616924285889,1982-07-06
1.3453114032745361,1982-07-07
1.4098869562149048,1982-07-08
1.4098869562149048,1982-07-09
1.3991236686706543,1982-07-12
1.3883616924285889,1982-07-13
1.3991236686706543,1982-07-14
1.415268063545227,1982-07-15
1.4260307550430298,1982-07-16
1.4260307550430298,1982-07-19
1.415268063545227,1982-07-20
1.4314113855361938,1982-07-21
1.4798425436019897,1982-07-22
1.490604281425476,1982-07-23
1.4529362916946411,1982-07-26
1.4529362916946411,1982-07-27
1.4314113855361938,1982-07-28
1.4583169221878052,1982-07-29
1.4421736001968384,1982-07-30
1.4690803289413452,1982-08-02
1.4583169221878052,1982-08-03
1.474461555480957,1982-08-04
1.4529362916946411,1982-08-05
1.4421736001968384,1982-08-06
1.4206494092941284,1982-08-09
1.4045054912567139,1982-08-10
1.4636991024017334,1982-08-11
1.474461555480957,1982-08-12
1.5228923559188843,1982-08-13
1.5013670921325684,1982-08-16
1.5874671936035156,1982-08-17
1.6036115884780884,1982-08-18
1.5497982501983643,1982-08-19
1.6251364946365356,1982-08-20
1.6143745183944702,1982-08-23
1.6251364946365356,1982-08-24
1.6089924573898315,1982-08-25
1.6628049612045288,1982-08-26
1.6251364946365356,1982-08-27
1.619754672050476,1982-08-30
1.657423496246338,1982-08-31
1.6358983516693115,1982-09-01
1.6358983516693115,1982-09-02
1.5982301235198975,1982-09-03
1.5796456336975098,1982-09-07
1.5413857698440552,1982-09-08
1.5468497276306152,1982-09-09
1.5413857698440552,1982-09-10
1.601509690284729,1982-09-13
1.5796456336975098,1982-09-14
1.6397714614868164,1982-09-15
1.612441897392273,1982-09-16
1.6069748401641846,1982-09-17
1.6069748401641846,1982-09-20
1.6452364921569824,1982-09-21
1.6507023572921753,1982-09-22
1.6397714614868164,1982-09-23
1.6507023572921753,1982-09-24
1.6725656986236572,1982-09-27
1.6670995950698853,1982-09-28
1.6561685800552368,1982-09-29
1.6397714614868164,1982-09-30
1.6834980249404907,1982-10-01
1.7108268737792969,1982-10-04
1.7108268737792969,1982-10-05
1.7709521055221558,1982-10-06
1.8420087099075317,1982-10-07
1.852940559387207,1982-10-08
1.891202449798584,1982-10-11
1.9021342992782593,1982-10-12
1.9458614587783813,1982-10-13
1.9403952360153198,1982-10-14
1.8966689109802246,1982-10-15
1.9458614587783813,1982-10-18
1.934929609298706,1982-10-19
1.934929609298706,1982-10-20
1.97865629196167,1982-10-21
1.9458614587783813,1982-10-22
1.8365440368652344,1982-10-25
1.913065791130066,1982-10-26
1.8693392276763916,1982-10-27
1.8474751710891724,1982-10-28
1.8474751710891724,1982-10-29
1.8365440368652344,1982-11-01
1.9021342992782593,1982-11-02
2.022383451461792,1982-11-03
2.016918420791626,1982-11-04
2.1098387241363525,1982-11-05
2.0387814044952393,1982-11-08
2.0661120414733887,1982-11-09
2.071578025817871,1982-11-10
2.0934407711029053,1982-11-11
2.0989065170288086,1982-11-12
2.087975025177002,1982-11-15
2.1098387241363525,1982-11-16
2.1098387241363525,1982-11-17
2.0989065170288086,1982-11-18
2.0661120414733887,1982-11-19
2.0333166122436523,1982-11-22
2.000520944595337,1982-11-23
1.9677256345748901,1982-11-24
1.934929609298706,1982-11-26
1.891202449798584,1982-11-29
2.0333166122436523,1982-11-30
1.956794023513794,1982-12-01
1.97865629196167,1982-12-02
2.016918420791626,1982-12-03
2.087975025177002,1982-12-06
2.080228805541992,1982-12-07
2.063631772994995,1982-12-08
1.9806450605392456,1982-12-09
1.8865910768508911,1982-12-10
1.8865910768508911,1982-12-13
1.9031896591186523,1982-12-14
1.925318717956543,1982-12-15
1.8699934482574463,1982-12-16
1.9031896591186523,1982-12-17
1.858928918838501,1982-12-20
1.892124056816101,1982-12-21
1.9308507442474365,1982-12-22
1.991709589958191,1982-12-23
2.0027735233306885,1982-12-27
1.991709589958191,1982-12-28
1.9585137367248535,1982-12-29
1.9308507442474365,1982-12-30
1.9585137367248535,1982-12-31
1.892124056816101,1983-01-03
1.9031896591186523,1983-01-04
1.8976565599441528,1983-01-05
1.9308507442474365,1983-01-06
1.925318717956543,1983-01-07
1.9640462398529053,1983-01-10
1.9695789813995361,1983-01-11
2.0470337867736816,1983-01-12
2.013840436935425,1983-01-13
2.013840436935425,1983-01-14
1.9474486112594604,1983-01-17
1.8644603490829468,1983-01-18
1.858928918838501,1983-01-19
1.8533965349197388,1983-01-20
1.8202003240585327,1983-01-21
1.7482770681381226,1983-01-24
1.7482770681381226,1983-01-25
1.6929521560668945,1983-01-26
1.7261468172073364,1983-01-27
1.6929521560668945,1983-01-28
1.7427449226379395,1983-01-31
1.709550142288208,1983-02-01
1.709550142288208,1983-02-02
1.7593427896499634,1983-02-03
1.7925376892089844,1983-02-04
1.8091355562210083,1983-02-07
1.764876127243042,1983-02-08
1.709550142288208,1983-02-09
1.7538114786148071,1983-02-10
1.787006139755249,1983-02-11
1.8312656879425049,1983-02-14
1.8755255937576294,1983-02-15
1.8810585737228394,1983-02-16
1.9474486112594604,1983-02-17
1.991709589958191,1983-02-18
2.019371271133423,1983-02-22
2.0470337867736816,1983-02-23
2.0359690189361572,1983-02-24
1.9474486112594604,1983-02-25
1.9031896591186523,1983-02-28
1.9861774444580078,1983-03-01
1.9806450605392456,1983-03-02
1.991709589958191,1983-03-03
1.991709589958191,1983-03-04
2.008315086364746,1983-03-07
1.9634352922439575,1983-03-08
1.9746549129486084,1983-03-09
1.9914844036102295,1983-03-10
1.969045877456665,1983-03-11
1.9522159099578857,1983-03-14
1.969045877456665,1983-03-15
1.9970945119857788,1983-03-16
1.9802660942077637,1983-03-17
2.0195343494415283,1983-03-18
2.0644118785858154,1983-03-21
2.092461347579956,1983-03-22
2.1878297328948975,1983-03-23
2.1766083240509033,1983-03-24
2.1541695594787598,1983-03-25
2.1036808490753174,1983-03-28
2.1092898845672607,1983-03-29
2.1429498195648193,1983-03-30
2.148559331893921,1983-03-31
2.1429498195648193,1983-04-04
2.1597793102264404,1983-04-05
2.1261212825775146,1983-04-06
2.137341022491455,1983-04-07
2.148559331893921,1983-04-08
2.148559331893921,1983-04-11
2.1429498195648193,1983-04-12
2.137341022491455,1983-04-13
2.210268497467041,1983-04-14
2.243927001953125,1983-04-15
2.2383158206939697,1983-04-18
2.2214879989624023,1983-04-19
2.277585506439209,1983-04-20
2.2551462650299072,1983-04-21
2.243927001953125,1983-04-22
2.204658031463623,1983-04-25
2.266364574432373,1983-04-26
2.2551462650299072,1983-04-27
2.277585506439209,1983-04-28
2.2607550621032715,1983-04-29
2.193438768386841,1983-05-02
2.199047803878784,1983-05-03
2.2327070236206055,1983-05-04
2.2383158206939697,1983-05-05
2.2495369911193848,1983-05-06
2.2327070236206055,1983-05-09
2.2214879989624023,1983-05-10
2.170999526977539,1983-05-11
2.1092898845672607,1983-05-12
2.148559331893921,1983-05-13
2.120511293411255,1983-05-16
2.1261212825775146,1983-05-17
2.1597793102264404,1983-05-18
2.137341022491455,1983-05-19
2.120511293411255,1983-05-20
2.1541695594787598,1983-05-23
2.199047803878784,1983-05-24
2.199047803878784,1983-05-25
2.215877056121826,1983-05-26
2.1878297328948975,1983-05-27
2.210268497467041,1983-05-31
2.2270984649658203,1983-06-01
2.193438768386841,1983-06-02
2.1766083240509033,1983-06-03
2.210475444793701,1983-06-06
2.233206033706665,1983-06-07
2.221841812133789,1983-06-08
2.210475444793701,1983-06-09
2.204793930053711,1983-06-10
2.2275238037109375,1983-06-13
2.2161595821380615,1983-06-14
2.2161595821380615,1983-06-15
2.244569778442383,1983-06-16
2.221841812133789,1983-06-17
2.204793930053711,1983-06-20
2.1706995964050293,1983-06-21
2.1706995964050293,1983-06-22
2.1593334674835205,1983-06-23
2.1934287548065186,1983-06-24
2.1650166511535645,1983-06-27
2.1593334674835205,1983-06-28
2.1650166511535645,1983-06-29
2.187746286392212,1983-06-30
2.1650166511535645,1983-07-01
2.1422863006591797,1983-07-05
2.204793930053711,1983-07-06
2.1934287548065186,1983-07-07
2.204793930053711,1983-07-08
2.204793930053711,1983-07-11
2.1536529064178467,1983-07-12
2.1309211254119873,1983-07-13
2.1309211254119873,1983-07-14
2.108191967010498,1983-07-15
2.1309211254119873,1983-07-18
2.1422863006591797,1983-07-19
2.1650166511535645,1983-07-20
2.1422863006591797,1983-07-21
2.1422863006591797,1983-07-22
2.1934287548065186,1983-07-25
2.1593334674835205,1983-07-26
1.9434008598327637,1983-07-27
1.9206702709197998,1983-07-28
1.8752092123031616,1983-07-29
1.892257809638977,1983-08-01
1.892257809638977,1983-08-02
1.886576771736145,1983-08-03
1.8240687847137451,1983-08-04
1.818385124206543,1983-08-05
1.8070214986801147,1983-08-08
1.8127042055130005,1983-08-09
1.8752092123031616,1983-08-10
1.8524819612503052,1983-08-11
1.8752092123031616,1983-08-12
1.886576771736145,1983-08-15
1.897940754890442,1983-08-16
1.9320346117019653,1983-08-17
1.9263522624969482,1983-08-18
1.886576771736145,1983-08-19
1.8524819612503052,1983-08-22
1.8240687847137451,1983-08-23
1.8297510147094727,1983-08-24
1.8467988967895508,1983-08-25
1.886576771736145,1983-08-26
1.8581634759902954,1983-08-29
1.8752092123031616,1983-08-30
1.9093055725097656,1983-08-31
1.9149887561798096,1983-09-01
1.9493616819381714,1983-09-02
2.0474061965942383,1983-09-06
1.9839667081832886,1983-09-07
2.0070345401763916,1983-09-08
2.0128021240234375,1983-09-09
2.001268148422241,1983-09-12
2.030103921890259,1983-09-13
2.041639566421509,1983-09-14
1.9724310636520386,1983-09-15
1.9724310636520386,1983-09-16
1.995499849319458,1983-09-19
2.0070345401763916,1983-09-20
2.001268148422241,1983-09-21
2.0128021240234375,1983-09-22
2.0243377685546875,1983-09-23
2.030103921890259,1983-09-26
2.018569231033325,1983-09-27
2.0358715057373047,1983-09-28
2.041639566421509,1983-09-29
2.041639566421509,1983-09-30
2.0243377685546875,1983-10-03
2.053173780441284,1983-10-04
2.105079412460327,1983-10-05
2.139683961868286,1983-10-06
2.168520450592041,1983-10-07
2.180056095123291,1983-10-10
2.145451068878174,1983-10-11
2.105079412460327,1983-10-12
2.093546152114868,1983-10-13
2.1281487941741943,1983-10-14
2.145451068878174,1983-10-17
2.105079412460327,1983-10-18
2.093546152114868,1983-10-19
2.099313259124756,1983-10-20
2.082010507583618,1983-10-21
2.082010507583618,1983-10-24
2.0762436389923096,1983-10-25
2.082010507583618,1983-10-26
2.1166133880615234,1983-10-27
2.105079412460327,1983-10-28
2.1108479499816895,1983-10-31
2.133915424346924,1983-11-01
2.1166133880615234,1983-11-02
2.07047700881958,1983-11-03
2.082010507583618,1983-11-04
2.082010507583618,1983-11-07
2.030103921890259,1983-11-08
2.093546152114868,1983-11-09
2.058940887451172,1983-11-10
