MSCI,Date
23.581876754760742,2007-11-15
22.55185890197754,2007-11-16
23.265647888183594,2007-11-19
24.684167861938477,2007-11-20
24.078811645507812,2007-11-21
24.756450653076172,2007-11-23
25.117856979370117,2007-11-26
24.376972198486328,2007-11-27
24.666101455688477,2007-11-28
24.666101455688477,2007-11-29
24.982328414916992,2007-11-30
25.271453857421875,2007-12-03
26.518314361572266,2007-12-04
26.455066680908203,2007-12-05
26.120765686035156,2007-12-06
26.093658447265625,2007-12-07
26.202085494995117,2007-12-10
26.202085494995117,2007-12-11
25.73225212097168,2007-12-12
26.147865295410156,2007-12-13
25.9490966796875,2007-12-14
25.28049087524414,2007-12-17
25.750320434570312,2007-12-18
26.156906127929688,2007-12-19
26.102691650390625,2007-12-20
30.466693878173828,2007-12-21
30.64739990234375,2007-12-24
31.035919189453125,2007-12-26
33.023658752441406,2007-12-27
33.719364166259766,2007-12-28
34.6951789855957,2007-12-31
30.584152221679688,2008-01-02
27.819381713867188,2008-01-03
27.241130828857422,2008-01-04
25.425058364868164,2008-01-07
24.06073760986328,2008-01-08
25.081716537475586,2008-01-09
26.780330657958984,2008-01-10
27.49411392211914,2008-01-11
27.5573673248291,2008-01-14
27.747100830078125,2008-01-15
26.4731388092041,2008-01-16
26.193044662475586,2008-01-17
26.49120330810547,2008-01-18
26.111732482910156,2008-01-22
28.153688430786133,2008-01-23
29.066242218017578,2008-01-24
28.7138729095459,2008-01-25
29.87037467956543,2008-01-28
29.61738395690918,2008-01-29
29.54511070251465,2008-01-30
29.7890567779541,2008-01-31
31.26179313659668,2008-02-01
30.249853134155273,2008-02-04
29.698705673217773,2008-02-05
28.343429565429688,2008-02-06
26.843578338623047,2008-02-07
28.307287216186523,2008-02-08
28.39763832092285,2008-02-11
28.28017234802246,2008-02-12
30.566078186035156,2008-02-13
30.069149017333984,2008-02-14
28.67772674560547,2008-02-15
29.002994537353516,2008-02-19
29.10237693786621,2008-02-20
30.35826873779297,2008-02-21
30.47573471069336,2008-02-22
29.897476196289062,2008-02-25
30.64739990234375,2008-02-26
28.91264533996582,2008-02-27
28.090438842773438,2008-02-28
26.861648559570312,2008-02-29
26.265329360961914,2008-03-03
26.527353286743164,2008-03-04
28.596410751342773,2008-03-05
26.97911262512207,2008-03-06
25.533479690551758,2008-03-07
24.40407943725586,2008-03-10
27.36762809753418,2008-03-11
26.95199966430664,2008-03-12
27.051389694213867,2008-03-13
24.268550872802734,2008-03-14
21.29597282409668,2008-03-17
24.39504051208496,2008-03-18
24.114948272705078,2008-03-19
25.488306045532227,2008-03-20
27.168842315673828,2008-03-24
27.457979202270508,2008-03-25
26.572525024414062,2008-03-26
26.834552764892578,2008-03-27
28.235000610351562,2008-03-28
26.879718780517578,2008-03-31
27.909738540649414,2008-04-01
28.7048282623291,2008-04-02
28.939748764038086,2008-04-03
29.61738395690918,2008-04-04
28.379568099975586,2008-04-07
27.819381713867188,2008-04-08
25.28049087524414,2008-04-09
25.741289138793945,2008-04-10
25.235315322875977,2008-04-11
25.045576095581055,2008-04-14
24.54864501953125,2008-04-15
25.34373664855957,2008-04-16
25.795495986938477,2008-04-17
25.958131790161133,2008-04-18
25.741289138793945,2008-04-21
25.840669631958008,2008-04-22
26.617704391479492,2008-04-23
26.545421600341797,2008-04-24
25.632869720458984,2008-04-25
26.319543838500977,2008-04-28
27.259197235107422,2008-04-29
28.02719497680664,2008-04-30
29.454755783081055,2008-05-01
28.67772674560547,2008-05-02
28.560266494750977,2008-05-05
28.849401473999023,2008-05-06
29.030101776123047,2008-05-07
28.99395751953125,2008-05-08
29.030101776123047,2008-05-09
29.36440086364746,2008-05-12
29.246938705444336,2008-05-13
29.382474899291992,2008-05-14
30.403453826904297,2008-05-15
29.834239959716797,2008-05-16
30.014942169189453,2008-05-19
29.816162109375,2008-05-20
29.030101776123047,2008-05-21
29.861328125,2008-05-22
31.198545455932617,2008-05-23
32.45444869995117,2008-05-27
33.73744201660156,2008-05-28
31.821990966796875,2008-05-29
32.12013244628906,2008-05-30
32.33699417114258,2008-06-02
32.535762786865234,2008-06-03
32.300838470458984,2008-06-04
33.6561279296875,2008-06-05
32.93330764770508,2008-06-06
32.30987548828125,2008-06-09
32.40023422241211,2008-06-10
30.710649490356445,2008-06-11
31.487672805786133,2008-06-12
32.29180908203125,2008-06-13
31.632226943969727,2008-06-16
32.68031692504883,2008-06-17
32.12013244628906,2008-06-18
32.63515090942383,2008-06-19
33.023658752441406,2008-06-20
33.538665771484375,2008-06-23
33.31278991699219,2008-06-24
33.96330642700195,2008-06-25
32.517677307128906,2008-06-26
32.66225051879883,2008-06-27
