SRCL,Date
2.5625,1997-09-23
2.53125,1997-09-24
2.5,1997-09-25
2.4375,1997-09-26
2.375,1997-09-29
2.375,1997-09-30
2.375,1997-10-01
2.375,1997-10-02
2.375,1997-10-03
2.375,1997-10-06
2.34375,1997-10-07
2.3125,1997-10-08
2.375,1997-10-09
2.34375,1997-10-10
2.375,1997-10-13
2.296875,1997-10-14
2.3125,1997-10-15
2.34375,1997-10-16
2.328125,1997-10-17
2.3125,1997-10-20
2.3125,1997-10-21
2.34375,1997-10-22
2.375,1997-10-23
2.34375,1997-10-24
2.34375,1997-10-27
2.28125,1997-10-28
2.34375,1997-10-29
2.375,1997-10-30
2.34375,1997-10-31
2.5,1997-11-03
2.40625,1997-11-04
2.4375,1997-11-05
2.5,1997-11-06
2.5,1997-11-07
2.6875,1997-11-10
2.84375,1997-11-11
2.9375,1997-11-12
2.96875,1997-11-13
3.0,1997-11-14
2.875,1997-11-17
2.84375,1997-11-18
2.84375,1997-11-19
2.78125,1997-11-20
2.78125,1997-11-21
2.78125,1997-11-24
2.78125,1997-11-25
2.9375,1997-11-26
3.3125,1997-11-28
3.65625,1997-12-01
3.59375,1997-12-02
3.625,1997-12-03
3.625,1997-12-04
3.65625,1997-12-05
3.65625,1997-12-08
3.46875,1997-12-09
3.59375,1997-12-10
3.625,1997-12-11
3.609375,1997-12-12
3.53125,1997-12-15
3.5625,1997-12-16
3.5625,1997-12-17
3.46875,1997-12-18
3.53125,1997-12-19
3.5,1997-12-22
3.5625,1997-12-23
3.5,1997-12-24
3.5,1997-12-26
3.65625,1997-12-29
3.65625,1997-12-30
3.65625,1997-12-31
3.625,1998-01-02
3.5,1998-01-05
3.59375,1998-01-06
3.65625,1998-01-07
3.78125,1998-01-08
3.59375,1998-01-09
3.3125,1998-01-12
3.5,1998-01-13
3.3125,1998-01-14
3.40625,1998-01-15
3.34375,1998-01-16
3.34375,1998-01-20
3.59375,1998-01-21
3.65625,1998-01-22
3.6875,1998-01-23
3.625,1998-01-26
3.59375,1998-01-27
3.53125,1998-01-28
3.5625,1998-01-29
3.5625,1998-01-30
3.59375,1998-02-02
3.5,1998-02-03
3.46875,1998-02-04
3.53125,1998-02-05
3.578125,1998-02-06
3.34375,1998-02-09
3.375,1998-02-10
3.359375,1998-02-11
3.21875,1998-02-12
3.53125,1998-02-13
3.5,1998-02-17
3.484375,1998-02-18
3.40625,1998-02-19
3.25,1998-02-20
3.25,1998-02-23
3.34375,1998-02-24
3.25,1998-02-25
3.25,1998-02-26
3.25,1998-02-27
3.0625,1998-03-02
3.34375,1998-03-03
3.5625,1998-03-04
3.40625,1998-03-05
3.5,1998-03-06
3.5625,1998-03-09
3.5625,1998-03-10
3.59375,1998-03-11
3.59375,1998-03-12
3.65625,1998-03-13
3.78125,1998-03-16
3.6875,1998-03-17
3.703125,1998-03-18
3.59375,1998-03-19
3.78125,1998-03-20
3.890625,1998-03-23
4.125,1998-03-24
4.09375,1998-03-25
3.84375,1998-03-26
3.75,1998-03-27
3.78125,1998-03-30
3.71875,1998-03-31
3.75,1998-04-01
3.75,1998-04-02
3.75,1998-04-03
3.9375,1998-04-06
3.75,1998-04-07
3.90625,1998-04-08
3.84375,1998-04-09
3.90625,1998-04-13
3.84375,1998-04-14
3.8125,1998-04-15
3.875,1998-04-16
3.875,1998-04-17
4.09375,1998-04-20
4.1875,1998-04-21
4.3125,1998-04-22
4.125,1998-04-23
3.8125,1998-04-24
3.625,1998-04-27
3.5625,1998-04-28
3.546875,1998-04-29
3.625,1998-04-30
3.625,1998-05-01
3.53125,1998-05-04
3.53125,1998-05-05
3.59375,1998-05-06
3.46875,1998-05-07
3.53125,1998-05-08
3.515625,1998-05-11
3.28125,1998-05-12
3.28125,1998-05-13
3.4375,1998-05-14
3.40625,1998-05-15
3.4375,1998-05-18
3.46875,1998-05-19
3.4375,1998-05-20
3.46875,1998-05-21
3.40625,1998-05-22
3.03125,1998-05-26
2.96875,1998-05-27
2.9375,1998-05-28
2.78125,1998-05-29
2.890625,1998-06-01
2.90625,1998-06-02
3.125,1998-06-03
3.46875,1998-06-04
3.53125,1998-06-05
3.625,1998-06-08
3.6875,1998-06-09
3.6875,1998-06-10
3.5625,1998-06-11
3.5625,1998-06-12
3.625,1998-06-15
3.6875,1998-06-16
3.65625,1998-06-17
3.65625,1998-06-18
3.25,1998-06-19
3.46875,1998-06-22
3.59375,1998-06-23
3.65625,1998-06-24
3.59375,1998-06-25
3.65625,1998-06-26
3.6875,1998-06-29
3.625,1998-06-30
3.6875,1998-07-01
3.59375,1998-07-02
3.46875,1998-07-06
3.546875,1998-07-07
3.59375,1998-07-08
3.609375,1998-07-09
3.625,1998-07-10
3.5,1998-07-13
3.5,1998-07-14
3.59375,1998-07-15
3.8125,1998-07-16
3.84375,1998-07-17
3.90625,1998-07-20
3.90625,1998-07-21
4.0,1998-07-22
4.0,1998-07-23
4.0,1998-07-24
4.15625,1998-07-27
4.25,1998-07-28
4.5,1998-07-29
4.53125,1998-07-30
4.375,1998-07-31
4.4375,1998-08-03
4.03125,1998-08-04
4.28125,1998-08-05
4.25,1998-08-06
4.53125,1998-08-07
4.4375,1998-08-10
4.40625,1998-08-11
4.46875,1998-08-12
4.40625,1998-08-13
4.375,1998-08-14
4.40625,1998-08-17
4.453125,1998-08-18
4.28125,1998-08-19
4.3125,1998-08-20
4.28125,1998-08-21
4.3125,1998-08-24
4.25,1998-08-25
4.0625,1998-08-26
3.671875,1998-08-27
3.6875,1998-08-28
3.84375,1998-08-31
3.6875,1998-09-01
3.375,1998-09-02
3.375,1998-09-03
3.515625,1998-09-04
3.75,1998-09-08
3.84375,1998-09-09
3.542968988418579,1998-09-10
3.84375,1998-09-11
3.875,1998-09-14
3.875,1998-09-15
4.03125,1998-09-16
4.0,1998-09-17
4.0625,1998-09-18
4.1875,1998-09-21
4.1875,1998-09-22
4.125,1998-09-23
4.015625,1998-09-24
4.125,1998-09-25
4.390625,1998-09-28
4.515625,1998-09-29
4.9375,1998-09-30
