NIO,Date
49.11000061035156,2021-02-23
51.86000061035156,2021-02-24
46.810001373291016,2021-02-25
45.779998779296875,2021-02-26
49.7599983215332,2021-03-01
43.290000915527344,2021-03-02
41.529998779296875,2021-03-03
39.279998779296875,2021-03-04
38.11000061035156,2021-03-05
35.209999084472656,2021-03-08
41.349998474121094,2021-03-09
41.31999969482422,2021-03-10
46.029998779296875,2021-03-11
45.5,2021-03-12
44.93000030517578,2021-03-15
43.68000030517578,2021-03-16
44.7599983215332,2021-03-17
41.630001068115234,2021-03-18
43.349998474121094,2021-03-19
42.939998626708984,2021-03-22
41.18000030517578,2021-03-23
36.959999084472656,2021-03-24
37.939998626708984,2021-03-25
36.130001068115234,2021-03-26
35.5099983215332,2021-03-29
37.54999923706055,2021-03-30
38.97999954223633,2021-03-31
39.65999984741211,2021-04-01
39.310001373291016,2021-04-05
40.0,2021-04-06
37.27000045776367,2021-04-07
38.70000076293945,2021-04-08
38.119998931884766,2021-04-09
37.13999938964844,2021-04-12
38.47999954223633,2021-04-13
37.02000045776367,2021-04-14
35.65999984741211,2021-04-15
36.09000015258789,2021-04-16
36.779998779296875,2021-04-19
36.93000030517578,2021-04-20
38.900001525878906,2021-04-21
39.56999969482422,2021-04-22
41.08000183105469,2021-04-23
42.619998931884766,2021-04-26
41.209999084472656,2021-04-27
41.189998626708984,2021-04-28
38.9900016784668,2021-04-29
39.84000015258789,2021-04-30
39.540000915527344,2021-05-03
37.93000030517578,2021-05-04
37.709999084472656,2021-05-05
36.68000030517578,2021-05-06
36.939998626708984,2021-05-07
34.33000183105469,2021-05-10
34.869998931884766,2021-05-11
33.68000030517578,2021-05-12
31.219999313354492,2021-05-13
33.41999816894531,2021-05-14
33.810001373291016,2021-05-17
34.189998626708984,2021-05-18
33.459999084472656,2021-05-19
34.33000183105469,2021-05-20
34.060001373291016,2021-05-21
35.88999938964844,2021-05-24
36.06999969482422,2021-05-25
37.7599983215332,2021-05-26
38.90999984741211,2021-05-27
38.619998931884766,2021-05-28
42.34000015258789,2021-06-01
41.15999984741211,2021-06-02
40.900001525878906,2021-06-03
41.939998626708984,2021-06-04
43.68000030517578,2021-06-07
43.560001373291016,2021-06-08
42.7400016784668,2021-06-09
42.7599983215332,2021-06-10
45.68000030517578,2021-06-11
46.54999923706055,2021-06-14
45.150001525878906,2021-06-15
45.02000045776367,2021-06-16
47.36000061035156,2021-06-17
46.90999984741211,2021-06-18
46.5099983215332,2021-06-21
44.099998474121094,2021-06-22
45.40999984741211,2021-06-23
45.459999084472656,2021-06-24
45.06999969482422,2021-06-25
49.400001525878906,2021-06-28
50.34000015258789,2021-06-29
53.20000076293945,2021-06-30
50.900001525878906,2021-07-01
50.400001525878906,2021-07-02
50.290000915527344,2021-07-06
46.040000915527344,2021-07-07
45.599998474121094,2021-07-08
45.529998779296875,2021-07-09
46.34000015258789,2021-07-12
44.959999084472656,2021-07-13
43.04999923706055,2021-07-14
43.68000030517578,2021-07-15
42.79999923706055,2021-07-16
43.349998474121094,2021-07-19
44.16999816894531,2021-07-20
46.77000045776367,2021-07-21
46.06999969482422,2021-07-22
43.9900016784668,2021-07-23
43.16999816894531,2021-07-26
39.36000061035156,2021-07-27
41.84000015258789,2021-07-28
42.619998931884766,2021-07-29
44.68000030517578,2021-07-30
45.849998474121094,2021-08-02
44.56999969482422,2021-08-03
45.09000015258789,2021-08-04
45.599998474121094,2021-08-05
43.84000015258789,2021-08-06
45.209999084472656,2021-08-09
44.220001220703125,2021-08-10
43.970001220703125,2021-08-11
42.470001220703125,2021-08-12
41.029998779296875,2021-08-13
38.619998931884766,2021-08-16
38.099998474121094,2021-08-17
38.86000061035156,2021-08-18
36.290000915527344,2021-08-19
36.91999816894531,2021-08-20
38.16999816894531,2021-08-23
38.939998626708984,2021-08-24
38.95000076293945,2021-08-25
38.2599983215332,2021-08-26
38.04999923706055,2021-08-27
37.79999923706055,2021-08-30
39.310001373291016,2021-08-31
39.08000183105469,2021-09-01
40.349998474121094,2021-09-02
40.369998931884766,2021-09-03
40.59000015258789,2021-09-07
38.13999938964844,2021-09-08
38.45000076293945,2021-09-09
37.97999954223633,2021-09-10
38.38999938964844,2021-09-13
37.88999938964844,2021-09-14
38.029998779296875,2021-09-15
37.09000015258789,2021-09-16
37.5099983215332,2021-09-17
35.16999816894531,2021-09-20
34.900001525878906,2021-09-21
35.70000076293945,2021-09-22
36.0099983215332,2021-09-23
35.380001068115234,2021-09-24
36.77000045776367,2021-09-27
35.04999923706055,2021-09-28
35.130001068115234,2021-09-29
35.630001068115234,2021-09-30
35.380001068115234,2021-10-01
33.400001525878906,2021-10-04
33.869998931884766,2021-10-05
33.65999984741211,2021-10-06
35.9900016784668,2021-10-07
35.83000183105469,2021-10-08
35.63999938964844,2021-10-11
35.5099983215332,2021-10-12
36.2400016784668,2021-10-13
36.279998779296875,2021-10-14
37.709999084472656,2021-10-15
39.61000061035156,2021-10-18
40.029998779296875,2021-10-19
39.779998779296875,2021-10-20
39.970001220703125,2021-10-21
38.880001068115234,2021-10-22
41.27000045776367,2021-10-25
40.470001220703125,2021-10-26
39.310001373291016,2021-10-27
40.790000915527344,2021-10-28
39.40999984741211,2021-10-29
40.84000015258789,2021-11-01
41.29999923706055,2021-11-02
41.5,2021-11-03
43.119998931884766,2021-11-04
42.290000915527344,2021-11-05
43.20000076293945,2021-11-08
40.63999938964844,2021-11-09
39.54999923706055,2021-11-10
42.20000076293945,2021-11-11
42.66999816894531,2021-11-12
40.56999969482422,2021-11-15
40.66999816894531,2021-11-16
39.66999816894531,2021-11-17
38.40999984741211,2021-11-18
38.65999984741211,2021-11-19
41.4900016784668,2021-11-22
42.040000915527344,2021-11-23
41.41999816894531,2021-11-24
39.9900016784668,2021-11-26
40.459999084472656,2021-11-29
39.130001068115234,2021-11-30
38.310001373291016,2021-12-01
36.20000076293945,2021-12-02
32.150001525878906,2021-12-03
32.34000015258789,2021-12-06
33.119998931884766,2021-12-07
35.04999923706055,2021-12-08
34.04999923706055,2021-12-09
34.2599983215332,2021-12-10
33.65999984741211,2021-12-13
32.29999923706055,2021-12-14
30.790000915527344,2021-12-15
30.06999969482422,2021-12-16
30.0,2021-12-17
28.15999984741211,2021-12-20
30.15999984741211,2021-12-21
29.850000381469727,2021-12-22
30.520000457763672,2021-12-23
29.959999084472656,2021-12-27
29.6299991607666,2021-12-28
28.25,2021-12-29
32.41999816894531,2021-12-30
31.68000030517578,2021-12-31
33.470001220703125,2022-01-03
31.579999923706055,2022-01-04
29.8799991607666,2022-01-05
29.309999465942383,2022-01-06
29.299999237060547,2022-01-07
28.90999984741211,2022-01-10
30.020000457763672,2022-01-11
31.68000030517578,2022-01-12
30.479999542236328,2022-01-13
30.950000762939453,2022-01-14
29.610000610351562,2022-01-18
28.6299991607666,2022-01-19
29.1299991607666,2022-01-20
27.350000381469727,2022-01-21
24.8700008392334,2022-01-24
23.790000915527344,2022-01-25
22.65999984741211,2022-01-26
21.110000610351562,2022-01-27
20.899999618530273,2022-01-28
24.510000228881836,2022-01-31
24.84000015258789,2022-02-01
23.760000228881836,2022-02-02
23.1299991607666,2022-02-03
23.959999084472656,2022-02-04
23.989999771118164,2022-02-07
24.690000534057617,2022-02-08
26.100000381469727,2022-02-09
25.350000381469727,2022-02-10
24.100000381469727,2022-02-11
23.790000915527344,2022-02-14
25.790000915527344,2022-02-15
25.610000610351562,2022-02-16
24.719999313354492,2022-02-17
23.209999084472656,2022-02-18
21.770000457763672,2022-02-22
20.459999084472656,2022-02-23
21.219999313354492,2022-02-24
20.940000534057617,2022-02-25
22.84000015258789,2022-02-28
21.8700008392334,2022-03-01
21.770000457763672,2022-03-02
19.8799991607666,2022-03-03
18.6299991607666,2022-03-04
18.1200008392334,2022-03-07
17.979999542236328,2022-03-08
20.170000076293945,2022-03-09
17.770000457763672,2022-03-10
16.06999969482422,2022-03-11
14.100000381469727,2022-03-14
14.930000305175781,2022-03-15
18.75,2022-03-16
18.81999969482422,2022-03-17
20.860000610351562,2022-03-18
20.260000228881836,2022-03-21
21.770000457763672,2022-03-22
21.8700008392334,2022-03-23
21.979999542236328,2022-03-24
19.90999984741211,2022-03-25
21.209999084472656,2022-03-28
21.8799991607666,2022-03-29
22.170000076293945,2022-03-30
21.049999237060547,2022-03-31
21.93000030517578,2022-04-01
23.850000381469727,2022-04-04
22.469999313354492,2022-04-05
21.68000030517578,2022-04-06
20.360000610351562,2022-04-07
20.0,2022-04-08
19.700000762939453,2022-04-11
19.459999084472656,2022-04-12
20.420000076293945,2022-04-13
19.649999618530273,2022-04-14
19.170000076293945,2022-04-18
19.8700008392334,2022-04-19
18.149999618530273,2022-04-20
17.149999618530273,2022-04-21
17.18000030517578,2022-04-22
17.309999465942383,2022-04-25
16.360000610351562,2022-04-26
16.760000228881836,2022-04-27
16.93000030517578,2022-04-28
16.700000762939453,2022-04-29
17.5,2022-05-02
17.530000686645508,2022-05-03
18.1299991607666,2022-05-04
15.380000114440918,2022-05-05
14.920000076293945,2022-05-06
13.550000190734863,2022-05-09
13.4399995803833,2022-05-10
12.710000038146973,2022-05-11
13.100000381469727,2022-05-12
14.3100004196167,2022-05-13
