MO,Date
0.0028880322352051735,1962-01-02
0.0028350455686450005,1962-01-03
0.0028549148701131344,1962-01-04
0.0028880322352051735,1962-01-05
0.0028681603725999594,1962-01-08
0.0028151744045317173,1962-01-09
0.0028019275050610304,1962-01-10
0.0027953037060797215,1962-01-11
0.0028019275050610304,1962-01-12
0.00278205587528646,1962-01-15
0.002662818878889084,1962-01-16
0.002649571280926466,1962-01-17
0.002649571280926466,1962-01-18
0.0027025595773011446,1962-01-19
0.0027025595773011446,1962-01-22
0.0026561946142464876,1962-01-23
0.002649571280926466,1962-01-24
0.0026992468629032373,1962-01-25
0.0026760660111904144,1962-01-26
0.002639633370563388,1962-01-29
0.002689309185370803,1962-01-30
0.002689309185370803,1962-01-31
0.0027124937623739243,1962-02-01
0.0027025595773011446,1962-02-02
0.0027158071752637625,1962-02-05
0.002709182444959879,1962-02-06
0.002725742757320404,1962-02-07
0.002722429344430566,1962-02-08
0.002725742757320404,1962-02-09
0.002729053609073162,1962-02-12
0.0027158071752637625,1962-02-13
0.002689309185370803,1962-02-14
0.0027158071752637625,1962-02-15
0.002742311917245388,1962-02-16
0.0027025595773011446,1962-02-19
0.0027025595773011446,1962-02-20
0.0027025595773011446,1962-02-21
0.0027158071752637625,1962-02-23
0.002689309185370803,1962-02-26
0.0026760660111904144,1962-02-27
0.0026561946142464876,1962-02-28
0.0026561946142464876,1962-03-01
0.002666130429133773,1962-03-02
0.002623077481985092,1962-03-05
0.0026098305825144053,1962-03-06
0.002589958952739835,1962-03-07
0.002623077481985092,1962-03-08
0.0025998938363045454,1962-03-09
0.002589958952739835,1962-03-12
0.0025833372492343187,1962-03-13
0.0026341527700424194,1962-03-14
0.002627469366416335,1962-03-15
0.0026207827031612396,1962-03-16
0.002614097436890006,1962-03-19
0.0026207827031612396,1962-03-20
0.0026207827031612396,1962-03-21
0.002614097436890006,1962-03-22
0.00260072760283947,1962-03-23
0.0024670069105923176,1962-03-26
0.0024101808667182922,1962-03-27
0.0024168696254491806,1962-03-28
0.002413524780422449,1962-03-29
0.0024068388156592846,1962-03-30
0.002386784879490733,1962-04-02
0.0023333015851676464,1962-04-03
0.0022664351854473352,1962-04-04
0.0022597487550228834,1962-04-05
0.0022597487550228834,1962-04-06
0.0022597487550228834,1962-04-09
0.0022497205063700676,1962-04-10
0.0022731192875653505,1962-04-11
0.0022597487550228834,1962-04-12
0.0022597487550228834,1962-04-13
0.0022597487550228834,1962-04-16
0.0022664351854473352,1962-04-17
0.0023032184690237045,1962-04-18
0.0023132467176765203,1962-04-19
0.002353357383981347,1962-04-23
0.002360043814405799,1962-04-24
0.0023132467176765203,1962-04-25
0.002246379153802991,1962-04-26
0.002212951658293605,1962-04-27
0.0022196366917341948,1962-04-30
0.002246379153802991,1962-05-01
0.0022731192875653505,1962-05-02
0.0023132467176765203,1962-05-03
0.0023199296556413174,1962-05-04
0.0023132467176765203,1962-05-07
0.0023065623827278614,1962-05-08
0.0022965329699218273,1962-05-09
0.0022764611057937145,1962-05-10
0.002196239773184061,1962-05-11
0.0022196366917341948,1962-05-14
0.0022965329699218273,1962-05-15
0.0022597487550228834,1962-05-16
0.002212951658293605,1962-05-17
0.002139414893463254,1962-05-18
0.002105988096445799,1962-05-21
0.0020993053913116455,1962-05-22
0.002112672431394458,1962-05-23
0.002112672431394458,1962-05-24
0.002132728695869446,1962-05-25
0.0019121014047414064,1962-05-28
0.0018719894578680396,1962-05-29
0.0018987301737070084,1962-05-31
0.0019054164877161384,1962-06-01
0.0018786743748933077,1962-06-04
0.0018987301737070084,1962-06-05
0.0019889813847839832,1962-06-06
0.0019421849865466356,1962-06-07
0.0019121014047414064,1962-06-08
0.0019388420041650534,1962-06-11
0.0019121014047414064,1962-06-12
0.0018786743748933077,1962-06-13
0.0019098372431471944,1962-06-14
0.0019470823463052511,1962-06-15
0.0019606268033385277,1962-06-18
0.0020046441350132227,1962-06-19
0.0020181883592158556,1962-06-20
0.001991099212318659,1962-06-21
0.0019572407472878695,1962-06-22
0.0019436960574239492,1962-06-25
0.0019098372431471944,1962-06-26
0.0018692021258175373,1962-06-27
0.0019504677038639784,1962-06-28
0.0019741689320653677,1962-06-29
0.0020385049283504486,1962-07-02
0.0020689773373305798,1962-07-03
0.0020689773373305798,1962-07-05
0.002011416479945183,1962-07-06
0.0020046441350132227,1962-07-09
0.0019775554537773132,1962-07-10
0.001987714786082506,1962-07-11
0.0019436960574239492,1962-07-12
0.0019301524152979255,1962-07-13
0.0019098372431471944,1962-07-16
0.0018725901609286666,1962-07-17
0.0018556586001068354,1962-07-18
0.0018793612252920866,1962-07-19
0.001889518927782774,1962-07-20
0.001889518927782774,1962-07-23
0.001889518927782774,1962-07-24
0.0018692021258175373,1962-07-25
0.0019030635012313724,1962-07-26
0.0018725901609286666,1962-07-27
0.0018827466992661357,1962-07-30
0.001889518927782774,1962-07-31
0.0019030635012313724,1962-08-01
0.0019233793718740344,1962-08-02
0.0019267657771706581,1962-08-03
0.0019098372431471944,1962-08-06
0.0018556586001068354,1962-08-07
