AVGO,Date
11.606217384338379,2009-08-06
11.785548210144043,2009-08-07
11.455580711364746,2009-08-10
11.240384101867676,2009-08-11
11.477099418640137,2009-08-12
11.871623992919922,2009-08-13
11.907493591308594,2009-08-14
11.634909629821777,2009-08-17
12.244630813598633,2009-08-18
12.832837104797363,2009-08-19
12.739580154418945,2009-08-20
12.782624244689941,2009-08-21
12.553078651428223,2009-08-24
12.804142951965332,2009-08-25
12.804142951965332,2009-08-26
13.02651309967041,2009-08-27
13.248879432678223,2009-08-28
13.055201530456543,2009-08-31
12.804142951965332,2009-09-01
12.682198524475098,2009-09-02
12.51721477508545,2009-09-03
12.739580154418945,2009-09-04
12.696544647216797,2009-09-08
12.380924224853516,2009-09-09
12.23028564453125,2009-09-10
12.108341217041016,2009-09-11
11.943357467651367,2009-09-14
12.32353687286377,2009-09-15
12.610466957092285,2009-09-16
11.936184883117676,2009-09-17
11.620565414428711,2009-09-18
11.914666175842285,2009-09-21
12.373753547668457,2009-09-22
12.481348991394043,2009-09-23
12.545907974243164,2009-09-24
12.287672996520996,2009-09-25
12.660677909851074,2009-09-28
12.215940475463867,2009-09-29
12.244630813598633,2009-09-30
11.699469566345215,2009-10-01
11.54166030883789,2009-10-02
11.828588485717773,2009-10-05
11.814241409301758,2009-10-06
11.570351600646973,2009-10-07
11.484272003173828,2009-10-08
11.656431198120117,2009-10-09
11.720987319946289,2009-10-12
11.857282638549805,2009-10-13
12.093994140625,2009-10-14
12.309192657470703,2009-10-15
11.785548210144043,2009-10-16
11.64925765991211,2009-10-19
11.857282638549805,2009-10-20
11.828588485717773,2009-10-21
11.67795181274414,2009-10-22
11.51296615600586,2009-10-23
11.36233139038086,2009-10-26
11.082574844360352,2009-10-27
10.70957088470459,2009-10-28
10.78847599029541,2009-10-29
10.759784698486328,2009-10-30
10.666531562805176,2009-11-02
10.393952369689941,2009-11-03
10.601970672607422,2009-11-04
10.989326477050781,2009-11-05
10.967803001403809,2009-11-06
11.233208656311035,2009-11-09
11.082574844360352,2009-11-10
11.01801872253418,2009-11-11
11.19017505645752,2009-11-12
11.175825119018555,2009-11-13
11.484272003173828,2009-11-16
11.527311325073242,2009-11-17
11.498621940612793,2009-11-18
11.168657302856445,2009-11-19
11.07540225982666,2009-11-20
10.896078109741211,2009-11-23
10.946287155151367,2009-11-24
11.11844253540039,2009-11-25
11.376677513122559,2009-11-27
11.376677513122559,2009-11-30
11.448406219482422,2009-12-01
11.197343826293945,2009-12-02
11.42689323425293,2009-12-03
11.850104331970215,2009-12-04
12.101167678833008,2009-12-07
12.015090942382812,2009-12-08
12.058127403259277,2009-12-09
12.029439926147461,2009-12-10
11.893146514892578,2009-12-11
12.086819648742676,2009-12-14
12.007918357849121,2009-12-15
12.194419860839844,2009-12-16
11.699469566345215,2009-12-17
11.756853103637695,2009-12-18
11.828588485717773,2009-12-21
12.000746726989746,2009-12-22
12.036608695983887,2009-12-23
12.036608695983887,2009-12-24
12.467000007629395,2009-12-28
12.574597358703613,2009-12-29
12.689366340637207,2009-12-30
13.11976146697998,2009-12-31
13.528635025024414,2010-01-04
13.629055976867676,2010-01-05
13.736655235290527,2010-01-06
13.650581359863281,2010-01-07
13.750995635986328,2010-01-08
13.837078094482422,2010-01-11
13.629055976867676,2010-01-12
13.213014602661133,2010-01-13
13.220184326171875,2010-01-14
13.083898544311523,2010-01-15
12.775444984436035,2010-01-19
12.883048057556152,2010-01-20
12.904566764831543,2010-01-21
12.596115112304688,2010-01-22
12.660677909851074,2010-01-25
12.739580154418945,2010-01-26
12.488516807556152,2010-01-27
12.710888862609863,2010-01-28
12.467000007629395,2010-01-29
12.553078651428223,2010-02-01
12.696544647216797,2010-02-02
12.639156341552734,2010-02-03
12.3522310256958,2010-02-04
12.337884902954102,2010-02-05
12.201591491699219,2010-02-08
12.18724536895752,2010-02-09
12.050956726074219,2010-02-10
12.287672996520996,2010-02-11
12.452658653259277,2010-02-12
12.538729667663574,2010-02-16
12.488516807556152,2010-02-17
12.51721477508545,2010-02-18
12.574597358703613,2010-02-19
12.445481300354004,2010-02-22
12.467000007629395,2010-02-23
12.725234985351562,2010-02-24
12.976293563842773,2010-02-25
13.01933479309082,2010-02-26
13.126936912536621,2010-03-01
13.42820930480957,2010-03-02
13.564494132995605,2010-03-03
13.672096252441406,2010-03-04
13.887290000915527,2010-03-05
13.85142707824707,2010-03-08
13.880123138427734,2010-03-09
14.159879684448242,2010-03-10
14.245951652526855,2010-03-11
14.095314979553223,2010-03-12
13.93033218383789,2010-03-15
13.987723350524902,2010-03-16
14.267471313476562,2010-03-17
14.33203125,2010-03-18
14.425278663635254,2010-03-19
