CHRW,Date
3.5410258769989014,1997-10-16
3.482659339904785,1997-10-17
3.443746328353882,1997-10-20
3.482659339904785,1997-10-21
3.5604827404022217,1997-10-22
3.482659339904785,1997-10-23
3.5604827404022217,1997-10-24
3.3756496906280518,1997-10-27
3.482659339904785,1997-10-28
3.521571159362793,1997-10-29
3.424290657043457,1997-10-30
3.424290657043457,1997-10-31
3.5702126026153564,1997-11-03
3.5993950366973877,1997-11-04
3.677217483520508,1997-11-05
3.891237497329712,1997-11-06
4.007974624633789,1997-11-07
3.832869529724121,1997-11-10
3.7355892658233643,1997-11-11
3.5410258769989014,1997-11-12
3.424290657043457,1997-11-13
3.3853771686553955,1997-11-14
3.6188509464263916,1997-11-17
3.5604827404022217,1997-11-18
3.4632039070129395,1997-11-19
3.4632039070129395,1997-11-20
3.443746328353882,1997-11-21
3.443746328353882,1997-11-24
3.4340195655822754,1997-11-25
3.27107310295105,1997-11-26
3.2686398029327393,1997-11-28
3.2783684730529785,1997-12-01
3.327009916305542,1997-12-02
3.424290657043457,1997-12-03
3.4534735679626465,1997-12-04
3.5410258769989014,1997-12-05
3.5604827404022217,1997-12-08
3.482659339904785,1997-12-09
3.3554630279541016,1997-12-10
3.3164451122283936,1997-12-11
3.218904733657837,1997-12-12
3.2579214572906494,1997-12-15
3.2579214572906494,1997-12-16
3.140868663787842,1997-12-17
3.121361017227173,1997-12-18
3.082343578338623,1997-12-19
3.160377025604248,1997-12-22
3.121361017227173,1997-12-23
3.082343578338623,1997-12-24
3.160377025604248,1997-12-26
3.296938180923462,1997-12-29
3.296938180923462,1997-12-30
3.4920225143432617,1997-12-31
3.6090734004974365,1998-01-02
3.5115344524383545,1998-01-05
3.384726047515869,1998-01-06
3.4725162982940674,1998-01-07
3.5895652770996094,1998-01-08
3.4334969520568848,1998-01-09
3.3359549045562744,1998-01-12
3.394479990005493,1998-01-13
3.345707893371582,1998-01-14
3.3554630279541016,1998-01-15
3.4725162982940674,1998-01-16
3.6090734004974365,1998-01-20
3.5895652770996094,1998-01-21
3.531040668487549,1998-01-22
3.6285817623138428,1998-01-23
3.570056676864624,1998-01-26
3.5115344524383545,1998-01-27
3.531040668487549,1998-01-28
3.570056676864624,1998-01-29
3.570056676864624,1998-01-30
