VRTS,Date
8.524535179138184,2009-01-02
7.152487754821777,2009-01-05
9.653019905090332,2009-01-06
8.313446998596191,2009-01-07
8.045536041259766,2009-01-08
7.412281036376953,2009-01-09
6.226968288421631,2009-01-12
5.829156875610352,2009-01-13
5.447582721710205,2009-01-14
5.885987281799316,2009-01-15
5.999647617340088,2009-01-16
5.618073463439941,2009-01-20
5.642429351806641,2009-01-21
4.887399196624756,2009-01-22
4.830568313598633,2009-01-23
4.871160984039307,2009-01-26
4.871160984039307,2009-01-27
5.155312538146973,2009-01-28
4.676314830780029,2009-01-29
4.919873237609863,2009-01-30
4.789975166320801,2009-02-02
4.708789825439453,2009-02-03
4.668194770812988,2009-02-04
4.725026607513428,2009-02-05
4.733145713806152,2009-02-06
4.578891754150391,2009-02-09
4.489587783813477,2009-02-10
4.489587783813477,2009-02-11
5.163430690765381,2009-02-12
4.789975166320801,2009-02-13
4.578891754150391,2009-02-17
4.432755470275879,2009-02-18
4.262267589569092,2009-02-19
4.310978412628174,2009-02-20
3.840099811553955,2009-02-23
4.237910747528076,2009-02-24
3.9456398487091064,2009-02-25
4.059300899505615,2009-02-26
4.059300899505615,2009-02-27
3.4747629165649414,2009-03-02
3.2961535453796387,2009-03-03
3.2799150943756104,2009-03-04
3.2961535453796387,2009-03-05
3.8076248168945312,2009-03-06
3.750795364379883,2009-03-09
3.840099811553955,2009-03-10
4.051183700561523,2009-03-11
4.863043308258057,2009-03-12
4.668194770812988,2009-03-13
4.830568313598633,2009-03-16
5.382633209228516,2009-03-17
5.609954833984375,2009-03-18
5.480057239532471,2009-03-19
4.838688373565674,2009-03-20
5.074127674102783,2009-03-23
5.390752792358398,2009-03-24
5.609954833984375,2009-03-25
5.804800987243652,2009-03-26
5.471937656402588,2009-03-27
4.968583583831787,2009-03-30
5.285210132598877,2009-03-31
5.220262050628662,2009-04-01
5.195906639099121,2009-04-02
5.268974304199219,2009-04-03
5.22838020324707,2009-04-06
5.098483085632324,2009-04-07
5.260854244232178,2009-04-08
6.153902053833008,2009-04-09
5.975292205810547,2009-04-13
5.6830220222473145,2009-04-14
6.324392795562744,2009-04-15
6.503001689910889,2009-04-16
7.298624038696289,2009-04-17
7.631486415863037,2009-04-20
7.793858051300049,2009-04-21
8.110486030578613,2009-04-22
7.834450721740723,2009-04-23
7.590896129608154,2009-04-24
7.761384010314941,2009-04-27
7.550300598144531,2009-04-28
8.483938217163086,2009-04-29
9.214614868164062,2009-04-30
9.287679672241211,2009-05-01
9.133430480957031,2009-05-04
8.800566673278809,2009-05-05
8.88175106048584,2009-05-06
9.417579650878906,2009-05-07
11.268621444702148,2009-05-08
11.357925415039062,2009-05-11
11.463467597961426,2009-05-12
11.163078308105469,2009-05-13
11.34980583190918,2009-05-14
10.862692832946777,2009-05-15
11.739501953125,2009-05-18
12.697498321533203,2009-05-19
12.884224891662598,2009-05-20
12.54323959350586,2009-05-21
12.2996826171875,2009-05-22
12.535122871398926,2009-05-26
12.754324913024902,2009-05-27
12.429580688476562,2009-05-28
12.015532493591309,2009-05-29
12.957292556762695,2009-06-01
13.314510345458984,2009-06-02
13.314510345458984,2009-06-03
13.436285972595215,2009-06-04
13.338866233825684,2009-06-05
13.152134895324707,2009-06-08
12.794916152954102,2009-06-09
12.356514930725098,2009-06-10
12.567599296569824,2009-06-11
12.721853256225586,2009-06-12
12.40522575378418,2009-06-15
12.048005104064941,2009-06-16
11.820686340332031,2009-06-17
11.97493839263916,2009-06-18
11.422874450683594,2009-06-19
10.70843505859375,2009-06-22
10.67596435546875,2009-06-23
11.008829116821289,2009-06-24
11.284858703613281,2009-06-25
12.38086986541748,2009-06-26
12.039887428283691,2009-06-29
11.926227569580078,2009-06-30
12.673137664794922,2009-07-01
11.690789222717285,2009-07-02
11.504060745239258,2009-07-06
11.414756774902344,2009-07-07
11.01694107055664,2009-07-08
10.960114479064941,2009-07-09
11.106252670288086,2009-07-10
12.112956047058105,2009-07-13
11.609601974487305,2009-07-14
12.048005104064941,2009-07-15
12.17790412902832,2009-07-16
12.234733581542969,2009-07-17
12.218501091003418,2009-07-20
12.827394485473633,2009-07-21
12.827394485473633,2009-07-22
13.225202560424805,2009-07-23
13.184614181518555,2009-07-24
12.989765167236328,2009-07-27
12.989765167236328,2009-07-28
12.518887519836426,2009-07-29
12.527006149291992,2009-07-30
