FANG,Date
14.294666290283203,2012-10-12
14.498873710632324,2012-10-15
14.531548500061035,2012-10-16
14.458035469055176,2012-10-17
14.458035469055176,2012-10-18
14.221151351928711,2012-10-19
13.91075325012207,2012-10-22
13.99243450164795,2012-10-23
14.204812049865723,2012-10-24
13.91075325012207,2012-10-25
14.000603675842285,2012-10-26
13.91075325012207,2012-10-31
14.074117660522461,2012-11-01
13.886246681213379,2012-11-02
13.649362564086914,2012-11-05
13.894415855407715,2012-11-06
13.935256004333496,2012-11-07
13.682038307189941,2012-11-08
13.518667221069336,2012-11-09
13.47783088684082,2012-11-12
13.102081298828125,2012-11-13
13.110250473022461,2012-11-14
13.641196250915527,2012-11-15
13.739217758178711,2012-11-16
13.984270095825195,2012-11-19
13.99243450164795,2012-11-20
14.049616813659668,2012-11-21
14.147637367248535,2012-11-23
14.098621368408203,2012-11-26
14.074117660522461,2012-11-27
14.090456008911133,2012-11-28
14.833779335021973,2012-11-29
14.703088760375977,2012-11-30
14.78476619720459,2012-12-03
14.564224243164062,2012-12-04
14.686745643615723,2012-12-05
14.392690658569336,2012-12-06
14.498873710632324,2012-12-07
14.392690658569336,2012-12-10
14.327343940734863,2012-12-11
14.409022331237793,2012-12-12
14.605060577392578,2012-12-13
14.351851463317871,2012-12-14
14.686745643615723,2012-12-17
15.35655689239502,2012-12-18
15.66695785522461,2012-12-19
15.536259651184082,2012-12-20
15.503580093383789,2012-12-21
15.225860595703125,2012-12-24
15.234028816223145,2012-12-26
15.144177436828613,2012-12-27
15.340221405029297,2012-12-28
15.617945671081543,2012-12-31
15.715961456298828,2013-01-02
15.634279251098633,2013-01-03
16.37760353088379,2013-01-04
16.965728759765625,2013-01-07
16.82686996459961,2013-01-08
16.720678329467773,2013-01-09
17.668209075927734,2013-01-10
17.700881958007812,2013-01-11
17.807071685791016,2013-01-14
17.741724014282227,2013-01-15
17.3823184967041,2013-01-16
17.251615524291992,2013-01-17
16.77785873413086,2013-01-18
17.798906326293945,2013-01-22
17.504840850830078,2013-01-23
17.504840850830078,2013-01-24
17.97043800354004,2013-01-25
17.676372528076172,2013-01-28
18.076629638671875,2013-01-29
18.517719268798828,2013-01-30
18.31351089477539,2013-01-31
18.542221069335938,2013-02-01
18.411531448364258,2013-02-04
18.485042572021484,2013-02-05
18.485042572021484,2013-02-06
18.31351089477539,2013-02-07
18.011280059814453,2013-02-08
17.61103057861328,2013-02-11
17.61919593811035,2013-02-12
17.61103057861328,2013-02-13
17.97043800354004,2013-02-14
18.215486526489258,2013-02-15
18.640249252319336,2013-02-19
17.3823184967041,2013-02-20
16.933053970336914,2013-02-21
17.137264251708984,2013-02-22
16.124385833740234,2013-02-25
16.37760353088379,2013-02-26
17.12092399597168,2013-02-27
