ADSK,Date
0.44432753324508667,1985-06-28
0.44432753324508667,1985-07-01
0.4628409445285797,1985-07-02
0.4628409445285797,1985-07-03
0.472097784280777,1985-07-05
0.45358461141586304,1985-07-08
0.44432753324508667,1985-07-09
0.45358461141586304,1985-07-10
0.4628409445285797,1985-07-11
0.4628409445285797,1985-07-12
0.4628409445285797,1985-07-15
0.4998685419559479,1985-07-16
0.5183817744255066,1985-07-17
0.4998685419559479,1985-07-18
0.4998685419559479,1985-07-19
0.4998685419559479,1985-07-22
0.5091257095336914,1985-07-23
0.5091257095336914,1985-07-24
0.5276389718055725,1985-07-25
0.5368958115577698,1985-07-26
0.5461524724960327,1985-07-29
0.5368958115577698,1985-07-30
0.5554093718528748,1985-07-31
0.5739227533340454,1985-08-01
0.587807834148407,1985-08-02
0.5739227533340454,1985-08-05
0.5554093718528748,1985-08-06
0.5368958115577698,1985-08-07
0.5646663904190063,1985-08-08
0.5739227533340454,1985-08-09
0.5739227533340454,1985-08-12
0.5831798911094666,1985-08-13
0.587807834148407,1985-08-14
0.587807834148407,1985-08-15
0.5831798911094666,1985-08-16
0.5646663904190063,1985-08-19
0.5368958115577698,1985-08-20
0.5368958115577698,1985-08-21
0.5368958115577698,1985-08-22
0.5831798911094666,1985-08-23
0.5831798911094666,1985-08-26
0.5831798911094666,1985-08-27
0.587807834148407,1985-08-28
0.6109503507614136,1985-08-29
0.6109503507614136,1985-08-30
0.6109503507614136,1985-09-03
0.6016929745674133,1985-09-04
0.587807834148407,1985-09-05
0.6109503507614136,1985-09-06
0.6109503507614136,1985-09-09
0.6016929745674133,1985-09-10
0.587807834148407,1985-09-11
0.6016929745674133,1985-09-12
0.6016929745674133,1985-09-13
0.6016929745674133,1985-09-16
0.5554093718528748,1985-09-17
0.587807834148407,1985-09-18
0.6016929745674133,1985-09-19
0.6016929745674133,1985-09-20
0.6016929745674133,1985-09-23
0.6016929745674133,1985-09-24
0.6016929745674133,1985-09-25
0.5739227533340454,1985-09-26
0.5368958115577698,1985-09-30
0.5368958115577698,1985-10-01
0.5554093718528748,1985-10-02
0.5461524724960327,1985-10-03
0.5368958115577698,1985-10-04
0.5091257095336914,1985-10-07
0.49061110615730286,1985-10-08
0.48135507106781006,1985-10-09
0.48135507106781006,1985-10-10
0.4998685419559479,1985-10-11
0.5276389718055725,1985-10-14
0.5091257095336914,1985-10-15
0.5091257095336914,1985-10-16
0.5183817744255066,1985-10-17
0.5276389718055725,1985-10-18
0.5276389718055725,1985-10-21
0.5276389718055725,1985-10-22
0.5276389718055725,1985-10-23
0.5276389718055725,1985-10-24
0.5276389718055725,1985-10-25
0.5276389718055725,1985-10-28
0.5276389718055725,1985-10-29
0.5461524724960327,1985-10-30
0.5461524724960327,1985-10-31
0.5368958115577698,1985-11-01
0.5368958115577698,1985-11-04
0.5368958115577698,1985-11-05
0.5461524724960327,1985-11-06
0.5461524724960327,1985-11-07
0.5554093718528748,1985-11-08
0.5831798911094666,1985-11-11
0.6202073693275452,1985-11-12
0.6016929745674133,1985-11-13
0.6202073693275452,1985-11-14
0.6387210488319397,1985-11-15
0.6387210488319397,1985-11-18
