AON,Date
1.0957162380218506,1980-06-02
1.1108300685882568,1980-06-03
1.1108300685882568,1980-06-04
1.1183867454528809,1980-06-05
1.1032724380493164,1980-06-06
1.1108300685882568,1980-06-09
1.1410564184188843,1980-06-10
1.1863961219787598,1980-06-11
1.2090672254562378,1980-06-12
1.2241796255111694,1980-06-13
1.2317370176315308,1980-06-16
1.2241796255111694,1980-06-17
1.2166228294372559,1980-06-18
1.2015093564987183,1980-06-19
1.2090672254562378,1980-06-20
1.2166228294372559,1980-06-23
1.2166228294372559,1980-06-24
1.2015093564987183,1980-06-25
1.1712827682495117,1980-06-26
1.1712827682495117,1980-06-27
1.1561696529388428,1980-06-30
1.193953514099121,1980-07-01
1.1863961219787598,1980-07-02
1.2241796255111694,1980-07-03
1.2317370176315308,1980-07-07
1.2090672254562378,1980-07-08
1.2241796255111694,1980-07-09
1.1863961219787598,1980-07-10
1.1712827682495117,1980-07-11
1.2015093564987183,1980-07-14
1.1863961219787598,1980-07-15
1.2090672254562378,1980-07-16
1.2015093564987183,1980-07-17
1.2166228294372559,1980-07-18
1.2090672254562378,1980-07-21
1.2015093564987183,1980-07-22
1.193953514099121,1980-07-23
1.1863961219787598,1980-07-24
1.193953514099121,1980-07-25
1.1863961219787598,1980-07-28
1.193953514099121,1980-07-29
1.2015093564987183,1980-07-30
1.1863961219787598,1980-07-31
1.1712827682495117,1980-08-01
1.193953514099121,1980-08-04
1.1863961219787598,1980-08-05
1.1788400411605835,1980-08-06
1.1788400411605835,1980-08-07
1.2015093564987183,1980-08-08
1.193953514099121,1980-08-11
1.193953514099121,1980-08-12
1.2090672254562378,1980-08-13
1.2015093564987183,1980-08-14
1.2241796255111694,1980-08-15
1.2166228294372559,1980-08-18
1.2166228294372559,1980-08-19
1.2015093564987183,1980-08-20
1.2090672254562378,1980-08-21
1.2090672254562378,1980-08-22
1.2015093564987183,1980-08-25
1.193953514099121,1980-08-26
1.2015093564987183,1980-08-27
1.1863961219787598,1980-08-28
1.1637264490127563,1980-08-29
1.1712827682495117,1980-09-02
1.1788400411605835,1980-09-03
1.1712827682495117,1980-09-04
1.1637264490127563,1980-09-05
1.1712827682495117,1980-09-08
1.1788400411605835,1980-09-09
1.1788400411605835,1980-09-10
1.1863961219787598,1980-09-11
1.1863961219787598,1980-09-12
1.1788400411605835,1980-09-15
1.1863961219787598,1980-09-16
1.1788400411605835,1980-09-17
1.1712827682495117,1980-09-18
1.1561696529388428,1980-09-19
1.1788400411605835,1980-09-22
1.1637264490127563,1980-09-23
1.1561696529388428,1980-09-24
1.1788400411605835,1980-09-25
1.1863961219787598,1980-09-26
1.1335002183914185,1980-09-29
1.1561696529388428,1980-09-30
1.1410564184188843,1980-10-01
1.1410564184188843,1980-10-02
1.1788400411605835,1980-10-03
1.1410564184188843,1980-10-06
1.1712827682495117,1980-10-07
1.1561696529388428,1980-10-08
1.1712827682495117,1980-10-09
1.1637264490127563,1980-10-10
1.1788400411605835,1980-10-13
1.193953514099121,1980-10-14
1.1788400411605835,1980-10-15
1.1637264490127563,1980-10-16
1.148613452911377,1980-10-17
1.1788400411605835,1980-10-20
1.1712827682495117,1980-10-21
1.1712827682495117,1980-10-22
1.1335002183914185,1980-10-23
1.1335002183914185,1980-10-24
1.1335002183914185,1980-10-27
1.1259437799453735,1980-10-28
1.1259437799453735,1980-10-29
1.1183867454528809,1980-10-30
1.1108300685882568,1980-10-31
1.1108300685882568,1980-11-03
1.1183867454528809,1980-11-05
1.0503774881362915,1980-11-06
1.0881603956222534,1980-11-07
1.0579333305358887,1980-11-10
1.073047161102295,1980-11-11
1.1032724380493164,1980-11-12
1.1032724380493164,1980-11-13
1.0957162380218506,1980-11-14
1.0806028842926025,1980-11-17
1.0579333305358887,1980-11-18
1.065489411354065,1980-11-19
1.0806028842926025,1980-11-20
1.0579333305358887,1980-11-21
1.0579333305358887,1980-11-24
1.0806028842926025,1980-11-25
1.065489411354065,1980-11-26
1.065489411354065,1980-11-28
1.0579333305358887,1980-12-01
1.073047161102295,1980-12-02
1.065489411354065,1980-12-03
1.065489411354065,1980-12-04
1.0579333305358887,1980-12-05
1.0503774881362915,1980-12-08
1.065489411354065,1980-12-09
1.0503774881362915,1980-12-10
1.0201499462127686,1980-12-11
1.0277068614959717,1980-12-12
1.0352637767791748,1980-12-15
1.042820692062378,1980-12-16
1.042820692062378,1980-12-17
1.042820692062378,1980-12-18
1.0277068614959717,1980-12-19
1.073047161102295,1980-12-22
1.073047161102295,1980-12-23
1.065489411354065,1980-12-24
1.0881603956222534,1980-12-26
1.065489411354065,1980-12-29
1.073047161102295,1980-12-30
1.065489411354065,1980-12-31
1.065489411354065,1981-01-02
1.0806028842926025,1981-01-05
1.1108300685882568,1981-01-06
1.0957162380218506,1981-01-07
1.1108300685882568,1981-01-08
1.0806028842926025,1981-01-09
1.0806028842926025,1981-01-12
1.0806028842926025,1981-01-13
1.0957162380218506,1981-01-14
1.1108300685882568,1981-01-15
1.0806028842926025,1981-01-16
1.0806028842926025,1981-01-19
1.0806028842926025,1981-01-20
1.0806028842926025,1981-01-21
1.0806028842926025,1981-01-22
1.0881603956222534,1981-01-23
1.0806028842926025,1981-01-26
1.0881603956222534,1981-01-27
1.0806028842926025,1981-01-28
1.0806028842926025,1981-01-29
1.065489411354065,1981-01-30
1.0352637767791748,1981-02-02
1.042820692062378,1981-02-03
1.0352637767791748,1981-02-04
1.042820692062378,1981-02-05
1.0503774881362915,1981-02-06
1.0352637767791748,1981-02-09
1.042820692062378,1981-02-10
1.0277068614959717,1981-02-11
1.042820692062378,1981-02-12
1.042820692062378,1981-02-13
1.0579333305358887,1981-02-17
1.0352637767791748,1981-02-18
1.0352637767791748,1981-02-19
1.0125935077667236,1981-02-20
1.0277068614959717,1981-02-23
1.0277068614959717,1981-02-24
1.0352637767791748,1981-02-25
1.0352637767791748,1981-02-26
1.0579333305358887,1981-02-27
1.0881603956222534,1981-03-02
1.1108300685882568,1981-03-03
1.1637264490127563,1981-03-04
1.1561696529388428,1981-03-05
1.1335002183914185,1981-03-06
1.1108300685882568,1981-03-09
1.1183867454528809,1981-03-10
1.1108300685882568,1981-03-11
1.1335002183914185,1981-03-12
1.1183867454528809,1981-03-13
1.1637264490127563,1981-03-16
1.1863961219787598,1981-03-17
1.2241796255111694,1981-03-18
1.2544063329696655,1981-03-19
1.2997465133666992,1981-03-20
1.2770766019821167,1981-03-23
1.2695201635360718,1981-03-24
1.2695201635360718,1981-03-25
1.307303786277771,1981-03-26
1.2770766019821167,1981-03-27
1.2997465133666992,1981-03-30
1.2997465133666992,1981-03-31
1.2770766019821167,1981-04-01
1.2997465133666992,1981-04-02
1.2997465133666992,1981-04-03
1.2846333980560303,1981-04-06
1.2846333980560303,1981-04-07
1.2695201635360718,1981-04-08
1.2695201635360718,1981-04-09
1.307303786277771,1981-04-10
1.3148592710494995,1981-04-13
1.3224161863327026,1981-04-14
1.3224161863327026,1981-04-15
1.345086693763733,1981-04-16
1.345086693763733,1981-04-20
1.337530255317688,1981-04-21
1.2997465133666992,1981-04-22
1.307303786277771,1981-04-23
1.307303786277771,1981-04-24
1.2997465133666992,1981-04-27
