IRM,Date
1.2582676410675049,1996-02-01
1.268022060394287,1996-02-02
1.2485140562057495,1996-02-05
1.2485140562057495,1996-02-06
1.2485140562057495,1996-02-07
1.2485140562057495,1996-02-08
1.2485140562057495,1996-02-09
1.2485140562057495,1996-02-12
1.2485140562057495,1996-02-13
1.2485140562057495,1996-02-14
1.2485140562057495,1996-02-15
1.2290059328079224,1996-02-16
1.1314659118652344,1996-02-20
1.1314659118652344,1996-02-21
1.1314659118652344,1996-02-22
1.150973916053772,1996-02-23
1.1899895668029785,1996-02-26
1.2290059328079224,1996-02-27
1.2094982862472534,1996-02-28
1.238759994506836,1996-02-29
1.2485140562057495,1996-03-01
1.2290059328079224,1996-03-04
1.2290059328079224,1996-03-05
1.17048180103302,1996-03-06
1.1802356243133545,1996-03-07
1.1119571924209595,1996-03-08
1.1314659118652344,1996-03-11
1.17048180103302,1996-03-12
1.17048180103302,1996-03-13
1.1314659118652344,1996-03-14
1.1314659118652344,1996-03-15
1.1314659118652344,1996-03-18
1.1899895668029785,1996-03-19
1.1314659118652344,1996-03-20
1.150973916053772,1996-03-21
1.1119571924209595,1996-03-22
1.0729416608810425,1996-03-25
1.0729416608810425,1996-03-26
1.1119571924209595,1996-03-27
1.1314659118652344,1996-03-28
1.1899895668029785,1996-03-29
1.2094982862472534,1996-04-01
1.2094982862472534,1996-04-02
1.2094982862472534,1996-04-03
1.2094982862472534,1996-04-04
1.1899895668029785,1996-04-08
1.160727858543396,1996-04-09
1.1314659118652344,1996-04-10
1.17048180103302,1996-04-11
1.150973916053772,1996-04-12
1.1412198543548584,1996-04-15
1.17048180103302,1996-04-16
1.1314659118652344,1996-04-17
1.1314659118652344,1996-04-18
1.160727858543396,1996-04-19
1.17048180103302,1996-04-22
1.1314659118652344,1996-04-23
1.17048180103302,1996-04-24
1.17048180103302,1996-04-25
1.1314659118652344,1996-04-26
1.150973916053772,1996-04-29
1.3070377111434937,1996-04-30
1.2485140562057495,1996-05-01
