RSG,Date
10.965902328491211,1998-07-01
11.046534538269043,1998-07-02
11.12716293334961,1998-07-06
10.965902328491211,1998-07-07
11.046534538269043,1998-07-08
11.12716293334961,1998-07-09
11.100285530090332,1998-07-10
11.073410987854004,1998-07-13
10.992779731750488,1998-07-14
11.180914878845215,1998-07-15
11.046534538269043,1998-07-16
11.180914878845215,1998-07-17
11.772217750549316,1998-07-20
11.422815322875977,1998-07-21
11.019657135009766,1998-07-22
10.965902328491211,1998-07-23
11.180914878845215,1998-07-24
11.12716293334961,1998-07-27
10.750882148742676,1998-07-28
10.589621543884277,1998-07-29
10.750882148742676,1998-07-30
10.750882148742676,1998-07-31
10.482110977172852,1998-08-03
9.890812873840332,1998-08-04
9.433902740478516,1998-08-05
9.407021522521973,1998-08-06
9.514534950256348,1998-08-07
9.944570541381836,1998-08-10
9.460775375366211,1998-08-11
9.460775375366211,1998-08-12
9.353266716003418,1998-08-13
9.460775375366211,1998-08-14
9.460775375366211,1998-08-17
9.460775375366211,1998-08-18
9.433902740478516,1998-08-19
9.460775375366211,1998-08-20
8.815720558166504,1998-08-21
8.896357536315918,1998-08-24
8.950109481811523,1998-08-25
9.003866195678711,1998-08-26
8.116917610168457,1998-08-27
7.256846904754639,1998-08-28
6.934319019317627,1998-08-31
6.988073348999023,1998-09-01
6.826813697814941,1998-09-02
6.826813697814941,1998-09-03
6.826813697814941,1998-09-04
7.203090667724609,1998-09-08
6.934319019317627,1998-09-09
6.36989688873291,1998-09-10
6.423652172088623,1998-09-11
6.423652172088623,1998-09-14
5.912986755371094,1998-09-15
6.2355122566223145,1998-09-16
6.531161308288574,1998-09-17
6.55803918838501,1998-09-18
6.584914684295654,1998-09-21
7.418108940124512,1998-09-22
8.57382869720459,1998-09-23
8.385690689086914,1998-09-24
8.466317176818848,1998-09-25
8.546953201293945,1998-09-28
8.278179168701172,1998-09-29
8.385690689086914,1998-09-30
8.546953201293945,1998-10-01
8.170670509338379,1998-10-02
8.35881519317627,1998-10-05
8.143796920776367,1998-10-06
6.55803918838501,1998-10-07
6.2355122566223145,1998-10-08
7.04182767868042,1998-10-09
7.283721446990967,1998-10-12
7.09558629989624,1998-10-13
6.988073348999023,1998-10-14
6.961196422576904,1998-10-15
6.880565166473389,1998-10-16
7.203090667724609,1998-10-19
7.203090667724609,1998-10-20
7.122459411621094,1998-10-21
7.310600280761719,1998-10-22
7.337478160858154,1998-10-23
7.149338722229004,1998-10-26
7.176212787628174,1998-10-27
7.310600280761719,1998-10-28
8.116917610168457,1998-10-29
9.407021522521973,1998-10-30
9.541409492492676,1998-11-02
9.890812873840332,1998-11-03
10.32084846496582,1998-11-04
9.998324394226074,1998-11-05
9.299516677856445,1998-11-06
8.869475364685059,1998-11-09
8.439443588256836,1998-11-10
8.520075798034668,1998-11-11
8.466317176818848,1998-11-12
8.627584457397461,1998-11-13
8.654458999633789,1998-11-16
8.466317176818848,1998-11-17
8.2244291305542,1998-11-18
8.009408950805664,1998-11-19
8.063163757324219,1998-11-20
7.848147869110107,1998-11-23
8.143796920776367,1998-11-24
7.79439115524292,1998-11-25
8.063163757324219,1998-11-27
8.009408950805664,1998-11-30
7.9825286865234375,1998-12-01
8.009408950805664,1998-12-02
7.901900291442871,1998-12-03
7.767515659332275,1998-12-04
7.79439115524292,1998-12-07
7.579373359680176,1998-12-08
7.364356517791748,1998-12-09
6.934319019317627,1998-12-10
7.256846904754639,1998-12-11
7.176212787628174,1998-12-14
7.444984436035156,1998-12-15
7.74063777923584,1998-12-16
7.418108940124512,1998-12-17
7.337478160858154,1998-12-18
7.122459411621094,1998-12-21
6.880565166473389,1998-12-22
6.934319019317627,1998-12-23
7.04182767868042,1998-12-24
7.014953136444092,1998-12-28
7.364356517791748,1998-12-29
7.955649375915527,1998-12-30
7.928776264190674,1998-12-31
8.251302719116211,1999-01-04
8.170670509338379,1999-01-05
8.116917610168457,1999-01-06
8.116917610168457,1999-01-07
8.143796920776367,1999-01-08
8.116917610168457,1999-01-11
7.928776264190674,1999-01-12
7.8212690353393555,1999-01-13
7.848147869110107,1999-01-14
7.8212690353393555,1999-01-15
8.143796920776367,1999-01-19
8.036283493041992,1999-01-20
8.036283493041992,1999-01-21
8.063163757324219,1999-01-22
8.170670509338379,1999-01-25
8.305057525634766,1999-01-26
8.92323112487793,1999-01-27
9.030744552612305,1999-01-28
8.869475364685059,1999-01-29
8.896357536315918,1999-02-01
8.9769868850708,1999-02-02
9.19200611114502,1999-02-03
9.245758056640625,1999-02-04
8.761970520019531,1999-02-05
8.78884506225586,1999-02-08
8.681339263916016,1999-02-09
7.928776264190674,1999-02-10
8.170670509338379,1999-02-11
8.116917610168457,1999-02-12
7.848147869110107,1999-02-16
7.713757038116455,1999-02-17
7.713757038116455,1999-02-18
7.310600280761719,1999-02-19
6.961196422576904,1999-02-22
6.665547847747803,1999-02-23
7.09558629989624,1999-02-24
7.256846904754639,1999-02-25
7.4987406730651855,1999-02-26
7.525619983673096,1999-03-01
7.283721446990967,1999-03-02
7.176212787628174,1999-03-03
6.880565166473389,1999-03-04
6.961196422576904,1999-03-05
7.068707466125488,1999-03-08
6.988073348999023,1999-03-09
7.04182767868042,1999-03-10
7.014953136444092,1999-03-11
6.880565166473389,1999-03-12
6.4774065017700195,1999-03-15
6.343021392822266,1999-03-16
6.584914684295654,1999-03-17
6.692424297332764,1999-03-18
6.611794471740723,1999-03-19
6.4774065017700195,1999-03-22
6.343021392822266,1999-03-23
6.2892656326293945,1999-03-24
6.4774065017700195,1999-03-25
6.3967719078063965,1999-03-26
6.36989688873291,1999-03-29
6.423652172088623,1999-03-30
6.961196422576904,1999-03-31
6.7730560302734375,1999-04-01
6.961196422576904,1999-04-05
6.907439708709717,1999-04-06
6.853686809539795,1999-04-07
6.880565166473389,1999-04-08
7.09558629989624,1999-04-09
6.934319019317627,1999-04-12
7.014953136444092,1999-04-13
7.686882495880127,1999-04-14
7.928776264190674,1999-04-15
8.627584457397461,1999-04-16
8.869475364685059,1999-04-19
8.84260082244873,1999-04-20
8.385690689086914,1999-04-21
8.385690689086914,1999-04-22
8.143796920776367,1999-04-23
7.79439115524292,1999-04-26
7.256846904754639,1999-04-27
8.170670509338379,1999-04-28
8.600707054138184,1999-04-29
8.84260082244873,1999-04-30
9.514534950256348,1999-05-03
8.708213806152344,1999-05-04
9.272636413574219,1999-05-05
9.030744552612305,1999-05-06
8.9769868850708,1999-05-07
8.815720558166504,1999-05-10
8.92323112487793,1999-05-11
8.869475364685059,1999-05-12
8.92323112487793,1999-05-13
8.654458999633789,1999-05-14
8.735086441040039,1999-05-17
8.735086441040039,1999-05-18
9.084494590759277,1999-05-19
9.084494590759277,1999-05-20
9.084494590759277,1999-05-21
9.245758056640625,1999-05-24
9.111372947692871,1999-05-25
9.272636413574219,1999-05-26
9.326390266418457,1999-05-27
10.105831146240234,1999-05-28
9.944570541381836,1999-06-01
9.863936424255371,1999-06-02
9.7295503616333,1999-06-03
9.7295503616333,1999-06-04
9.56828498840332,1999-06-07
9.427181243896484,1999-06-08
9.460775375366211,1999-06-09
9.433902740478516,1999-06-10
9.460775375366211,1999-06-11
9.648914337158203,1999-06-14
9.702672004699707,1999-06-15
9.917689323425293,1999-06-16
9.890812873840332,1999-06-17
9.83705997467041,1999-06-18
9.8101806640625,1999-06-21
9.756424903869629,1999-06-22
9.890812873840332,1999-06-23
9.944570541381836,1999-06-24
10.347724914550781,1999-06-25
10.32084846496582,1999-06-28
10.482110977172852,1999-06-29
10.64337158203125,1999-06-30
10.912139892578125,1999-07-01
10.508991241455078,1999-07-02
10.37459945678711,1999-07-06
9.863936424255371,1999-07-07
9.433902740478516,1999-07-08
9.245758056640625,1999-07-09
9.19200611114502,1999-07-12
9.675795555114746,1999-07-13
9.675795555114746,1999-07-14
9.353266716003418,1999-07-15
9.353266716003418,1999-07-16
9.353266716003418,1999-07-19
9.19200611114502,1999-07-20
8.869475364685059,1999-07-21
8.896357536315918,1999-07-22
8.869475364685059,1999-07-23
8.708213806152344,1999-07-26
9.057622909545898,1999-07-27
9.084494590759277,1999-07-28
8.869475364685059,1999-07-29
8.681339263916016,1999-07-30
8.546953201293945,1999-08-02
8.546953201293945,1999-08-03
8.546953201293945,1999-08-04
8.600707054138184,1999-08-05
8.063163757324219,1999-08-06
8.170670509338379,1999-08-09
8.063163757324219,1999-08-10
8.090038299560547,1999-08-11
8.090038299560547,1999-08-12
8.090038299560547,1999-08-13
8.143796920776367,1999-08-16
8.143796920776367,1999-08-17
