SEE,Date
0.15489250421524048,1980-03-17
0.15352186560630798,1980-03-18
0.15352186560630798,1980-03-19
0.14803923666477203,1980-03-20
0.14392666518688202,1980-03-21
0.14255599677562714,1980-03-24
0.13707339763641357,1980-03-25
0.14118535816669464,1980-03-26
0.13707339763641357,1980-03-27
0.13707339763641357,1980-03-28
0.1452973186969757,1980-03-31
0.14666788280010223,1980-04-01
0.1521512269973755,1980-04-02
0.15078061819076538,1980-04-03
0.15078061819076538,1980-04-07
0.14803923666477203,1980-04-08
0.15489250421524048,1980-04-09
0.1768241971731186,1980-04-10
0.17271225154399872,1980-04-11
0.17271225154399872,1980-04-14
0.16722895205020905,1980-04-15
0.16997098922729492,1980-04-16
0.16722895205020905,1980-04-17
0.16722895205020905,1980-04-18
0.16722895205020905,1980-04-21
0.17545348405838013,1980-04-22
0.17271225154399872,1980-04-23
0.17545348405838013,1980-04-24
0.17545348405838013,1980-04-25
0.18504875898361206,1980-04-28
0.1768241971731186,1980-04-29
0.17271225154399872,1980-04-30
0.16859960556030273,1980-05-01
0.1781948357820511,1980-05-02
0.1795653998851776,1980-05-05
0.17545348405838013,1980-05-06
0.1768241971731186,1980-05-07
0.17271225154399872,1980-05-08
0.17271225154399872,1980-05-09
0.17271225154399872,1980-05-12
0.17134159803390503,1980-05-13
0.17271225154399872,1980-05-14
0.1768241971731186,1980-05-15
0.1781948357820511,1980-05-16
0.1768241971731186,1980-05-19
0.1795653998851776,1980-05-20
0.17545348405838013,1980-05-21
0.1795653998851776,1980-05-22
0.1795653998851776,1980-05-23
0.18504875898361206,1980-05-27
0.1836780309677124,1980-05-28
0.18504875898361206,1980-05-29
0.1836780309677124,1980-05-30
0.18641942739486694,1980-06-02
0.18504875898361206,1980-06-03
0.19053134322166443,1980-06-04
0.19053134322166443,1980-06-05
0.1960146129131317,1980-06-06
0.19738513231277466,1980-06-09
0.19738513231277466,1980-06-10
0.19464394450187683,1980-06-11
0.19738513231277466,1980-06-12
0.19190268218517303,1980-06-13
0.19190268218517303,1980-06-16
0.19464394450187683,1980-06-17
0.19875583052635193,1980-06-18
0.1960146129131317,1980-06-19
0.19053134322166443,1980-06-20
0.1877899020910263,1980-06-23
0.19053134322166443,1980-06-24
0.19875583052635193,1980-06-25
0.19738513231277466,1980-06-26
0.19738513231277466,1980-06-27
0.19464394450187683,1980-06-30
0.19464394450187683,1980-07-01
0.19738513231277466,1980-07-02
0.19875583052635193,1980-07-03
0.20149706304073334,1980-07-07
0.20012643933296204,1980-07-08
0.20835110545158386,1980-07-09
0.21246297657489777,1980-07-10
0.21383436024188995,1980-07-11
0.2261708378791809,1980-07-14
0.2302827388048172,1980-07-15
0.23576603829860687,1980-07-16
0.23302412033081055,1980-07-17
0.23439475893974304,1980-07-18
0.23302412033081055,1980-07-21
0.2302827388048172,1980-07-22
0.23302412033081055,1980-07-23
0.23439475893974304,1980-07-24
0.23576603829860687,1980-07-25
0.23987798392772675,1980-07-28
0.2481025606393814,1980-07-29
0.26318034529685974,1980-07-30
0.26180973649024963,1980-07-31
0.25358501076698303,1980-08-01
0.24124866724014282,1980-08-04
0.24261914193630219,1980-08-05
0.24261914193630219,1980-08-06
0.24398986995220184,1980-08-07
0.25221437215805054,1980-08-08
0.25221437215805054,1980-08-11
0.24673186242580414,1980-08-12
0.24124866724014282,1980-08-13
0.2549556791782379,1980-08-14
0.25221437215805054,1980-08-15
0.2453606128692627,1980-08-18
0.2481025606393814,1980-08-19
0.25358501076698303,1980-08-20
0.2700342833995819,1980-08-21
0.2727755308151245,1980-08-22
0.2700342833995819,1980-08-25
0.2782581150531769,1980-08-26
0.2755168080329895,1980-08-27
0.27140477299690247,1980-08-28
0.26729220151901245,1980-08-29
0.2741461992263794,1980-09-02
0.2851119935512543,1980-09-03
0.2933366298675537,1980-09-04
0.2933366298675537,1980-09-05
0.2796294391155243,1980-09-08
0.2796294391155243,1980-09-09
0.28100019693374634,1980-09-10
0.28785333037376404,1980-09-11
0.2933366298675537,1980-09-12
0.29744839668273926,1980-09-15
0.30704373121261597,1980-09-16
0.3207508325576782,1980-09-17
0.3111554682254791,1980-09-18
0.30704373121261597,1980-09-19
0.304302453994751,1980-09-22
0.29470720887184143,1980-09-23
0.2919659912586212,1980-09-24
0.28785333037376404,1980-09-25
0.2851119935512543,1980-09-26
0.26866355538368225,1980-09-29
0.2741461992263794,1980-09-30
0.2700342833995819,1980-10-01
0.2755168080329895,1980-10-02
0.27688756585121155,1980-10-03
0.2823707163333893,1980-10-06
0.28785333037376404,1980-10-07
0.29470720887184143,1980-10-08
0.2933366298675537,1980-10-09
0.2919659912586212,1980-10-10
0.2933366298675537,1980-10-13
0.29607781767845154,1980-10-14
0.29607781767845154,1980-10-15
0.30156123638153076,1980-10-16
0.29744839668273926,1980-10-17
0.2988191246986389,1980-10-20
0.29607781767845154,1980-10-21
0.29607781767845154,1980-10-22
0.29470720887184143,1980-10-23
0.2837413251399994,1980-10-24
0.2796294391155243,1980-10-27
0.28100019693374634,1980-10-28
0.29059523344039917,1980-10-29
0.29059523344039917,1980-10-30
0.30156123638153076,1980-10-31
0.300189733505249,1980-11-03
0.3029317557811737,1980-11-05
0.29744839668273926,1980-11-06
0.29059523344039917,1980-11-07
0.29470720887184143,1980-11-10
0.3084142506122589,1980-11-11
0.31252700090408325,1980-11-12
0.30978500843048096,1980-11-13
0.30978500843048096,1980-11-14
0.304302453994751,1980-11-17
0.3056729733943939,1980-11-18
0.3084142506122589,1980-11-19
0.30704373121261597,1980-11-20
