CHD,Date
0.10990176349878311,1980-03-17
0.10793893784284592,1980-03-18
0.10793893784284592,1980-03-19
0.10793893784284592,1980-03-20
0.10793893784284592,1980-03-21
0.10793893784284592,1980-03-24
0.10793893784284592,1980-03-25
0.10793893784284592,1980-03-26
0.10597662627696991,1980-03-27
0.10793893784284592,1980-03-28
0.10793893784284592,1980-03-31
0.10793893784284592,1980-04-01
0.10793893784284592,1980-04-02
0.10793893784284592,1980-04-03
0.10793893784284592,1980-04-07
0.10793893784284592,1980-04-08
0.10793893784284592,1980-04-09
0.10793893784284592,1980-04-10
0.10793893784284592,1980-04-11
0.10793893784284592,1980-04-14
0.10793893784284592,1980-04-15
0.10793893784284592,1980-04-16
0.10793893784284592,1980-04-17
0.10793893784284592,1980-04-18
0.10793893784284592,1980-04-21
0.10793893784284592,1980-04-22
0.10793893784284592,1980-04-23
0.10990176349878311,1980-04-24
0.10990176349878311,1980-04-25
0.10990176349878311,1980-04-28
0.10990176349878311,1980-04-29
0.10990176349878311,1980-04-30
0.10990176349878311,1980-05-01
0.11382637172937393,1980-05-02
0.11382637172937393,1980-05-05
0.11382637172937393,1980-05-06
0.11382637172937393,1980-05-07
0.11578919738531113,1980-05-08
0.11578919738531113,1980-05-09
0.11775150895118713,1980-05-12
0.11775150895118713,1980-05-13
0.11775150895118713,1980-05-14
0.11775150895118713,1980-05-15
0.11971438676118851,1980-05-16
0.1256018728017807,1980-05-19
0.13148921728134155,1980-05-20
0.12952695786952972,1980-05-21
0.12952695786952972,1980-05-22
0.12952695786952972,1980-05-23
0.13148921728134155,1980-05-27
0.13148921728134155,1980-05-28
0.13148921728134155,1980-05-29
0.13345207273960114,1980-05-30
0.13148921728134155,1980-06-02
0.12952695786952972,1980-06-03
0.1256018728017807,1980-06-04
0.1256018728017807,1980-06-05
0.1256018728017807,1980-06-06
0.1256018728017807,1980-06-09
0.1256018728017807,1980-06-10
0.1256018728017807,1980-06-11
0.1256018728017807,1980-06-12
0.1256018728017807,1980-06-13
