GF,Date
2.2711963653564453,1990-01-25
2.477668285369873,1990-01-26
2.542192220687866,1990-01-29
2.4905734062194824,1990-01-30
2.361527919769287,1990-01-31
2.4260506629943848,1990-02-01
2.4905734062194824,1990-02-02
2.5163819789886475,1990-02-05
2.451859951019287,1990-02-06
2.4131455421447754,1990-02-07
2.3744328022003174,1990-02-08
2.1679599285125732,1990-02-09
2.0776290893554688,1990-02-12
1.9872972965240479,1990-02-13
2.090532064437866,1990-02-14
2.0518195629119873,1990-02-15
2.090532064437866,1990-02-16
1.9872972965240479,1990-02-20
1.8324427604675293,1990-02-21
1.8711556196212769,1990-02-22
1.8324427604675293,1990-02-23
1.7808241844177246,1990-02-26
1.6775882244110107,1990-02-27
1.755015254020691,1990-02-28
1.6775882244110107,1990-03-01
1.7292066812515259,1990-03-02
1.6646835803985596,1990-03-05
1.6775882244110107,1990-03-06
1.690493106842041,1990-03-07
1.6775882244110107,1990-03-08
1.690493106842041,1990-03-09
1.6775882244110107,1990-03-12
1.6775882244110107,1990-03-13
1.690493106842041,1990-03-14
1.6646835803985596,1990-03-15
1.7421108484268188,1990-03-16
1.8324427604675293,1990-03-19
1.7808241844177246,1990-03-20
1.7679200172424316,1990-03-21
1.6775882244110107,1990-03-22
1.6775882244110107,1990-03-23
1.600161075592041,1990-03-26
1.6388746500015259,1990-03-27
1.5743517875671387,1990-03-28
1.5485429763793945,1990-03-29
1.5485429763793945,1990-03-30
1.5098291635513306,1990-04-02
1.4840197563171387,1990-04-03
1.4194973707199097,1990-04-04
1.4065932035446167,1990-04-05
1.4194973707199097,1990-04-06
1.458211064338684,1990-04-09
1.4453072547912598,1990-04-10
1.496924877166748,1990-04-11
1.4453072547912598,1990-04-12
1.4194973707199097,1990-04-16
1.3807843923568726,1990-04-17
1.342070460319519,1990-04-18
1.3291658163070679,1990-04-19
1.2904521226882935,1990-04-20
1.3291658163070679,1990-04-23
1.3033568859100342,1990-04-24
1.3162612915039062,1990-04-25
1.342070460319519,1990-04-26
1.342070460319519,1990-04-27
1.3291658163070679,1990-04-30
1.3162612915039062,1990-05-01
1.458211064338684,1990-05-02
1.5614477396011353,1990-05-03
1.6130656003952026,1990-05-04
1.6259698867797852,1990-05-07
1.6130656003952026,1990-05-08
1.600161075592041,1990-05-09
1.5485429763793945,1990-05-10
1.5227340459823608,1990-05-11
1.6259698867797852,1990-05-14
1.5872564315795898,1990-05-15
1.5227340459823608,1990-05-16
1.496924877166748,1990-05-17
1.5356380939483643,1990-05-18
1.5098291635513306,1990-05-21
1.458211064338684,1990-05-22
1.4453072547912598,1990-05-23
1.43240225315094,1990-05-24
1.4065932035446167,1990-05-25
1.3807843923568726,1990-05-29
1.3678791522979736,1990-05-30
1.4453072547912598,1990-05-31
1.43240225315094,1990-06-01
1.4711155891418457,1990-06-04
1.3936885595321655,1990-06-05
1.3678791522979736,1990-06-06
1.3678791522979736,1990-06-07
1.3678791522979736,1990-06-08
1.3807843923568726,1990-06-11
1.3549751043319702,1990-06-12
1.3162612915039062,1990-06-13
1.4065932035446167,1990-06-14
1.3936885595321655,1990-06-15
1.3678791522979736,1990-06-18
1.4065932035446167,1990-06-19
1.4065932035446167,1990-06-20
1.3936885595321655,1990-06-21
1.3936885595321655,1990-06-22
1.3936885595321655,1990-06-25
1.43240225315094,1990-06-26
1.4194973707199097,1990-06-27
1.3807843923568726,1990-06-28
1.342070460319519,1990-06-29
1.4453072547912598,1990-07-02
1.5356380939483643,1990-07-03
1.5356380939483643,1990-07-05
1.5227340459823608,1990-07-06
1.496924877166748,1990-07-09
