V,Date
12.652093887329102,2008-03-19
14.409950256347656,2008-03-20
13.375391960144043,2008-03-24
14.163628578186035,2008-03-25
14.322622299194336,2008-03-26
14.087491989135742,2008-03-27
14.053898811340332,2008-03-28
13.964329719543457,2008-03-31
13.796380996704102,2008-04-01
13.95537281036377,2008-04-02
14.66746997833252,2008-04-03
14.439065933227539,2008-04-04
14.56446647644043,2008-04-07
15.247457504272461,2008-04-08
14.732417106628418,2008-04-09
14.804075241088867,2008-04-10
14.804075241088867,2008-04-11
14.707780838012695,2008-04-14
14.409950256347656,2008-04-15
14.810790061950684,2008-04-16
15.01232624053955,2008-04-17
15.451231956481934,2008-04-18
15.892373085021973,2008-04-21
15.737861633300781,2008-04-22
15.693087577819824,2008-04-23
16.19020652770996,2008-04-24
16.81721305847168,2008-04-25
16.93589210510254,2008-04-28
18.111528396606445,2008-04-29
18.687034606933594,2008-04-30
19.12371063232422,2008-05-01
18.530275344848633,2008-05-02
19.047563552856445,2008-05-05
19.600669860839844,2008-05-06
19.81788444519043,2008-05-07
19.549165725708008,2008-05-08
18.554916381835938,2008-05-09
18.339941024780273,2008-05-12
18.447429656982422,2008-05-13
18.413833618164062,2008-05-14
18.418315887451172,2008-05-15
18.445192337036133,2008-05-16
18.657917022705078,2008-05-19
18.52803611755371,2008-05-20
18.10481071472168,2008-05-21
17.312095642089844,2008-05-22
17.09712791442871,2008-05-23
17.632314682006836,2008-05-27
18.34441375732422,2008-05-28
19.09010887145996,2008-05-29
19.33866310119629,2008-05-30
19.273733139038086,2008-06-02
19.607383728027344,2008-06-03
19.14161491394043,2008-06-04
19.53572654724121,2008-06-05
18.7318172454834,2008-06-06
18.39368438720703,2008-06-09
17.983890533447266,2008-06-10
17.40838623046875,2008-06-11
17.81593894958496,2008-06-12
18.257089614868164,2008-06-13
18.646730422973633,2008-06-16
18.960229873657227,2008-06-17
18.778844833374023,2008-06-18
18.87066078186035,2008-06-19
18.713909149169922,2008-06-20
18.151832580566406,2008-06-23
18.510122299194336,2008-06-24
18.375770568847656,2008-06-25
17.712936401367188,2008-06-26
18.496692657470703,2008-06-27
18.20781898498535,2008-06-30
18.23021125793457,2008-07-01
17.78460121154785,2008-07-02
17.482276916503906,2008-07-03
16.933658599853516,2008-07-07
17.703969955444336,2008-07-08
16.989639282226562,2008-07-09
17.29865264892578,2008-07-10
16.694047927856445,2008-07-11
16.252899169921875,2008-07-14
15.321354866027832,2008-07-15
16.17452621459961,2008-07-16
16.80825424194336,2008-07-17
16.436532974243164,2008-07-18
16.100629806518555,2008-07-21
16.582082748413086,2008-07-22
16.40293312072754,2008-07-23
15.693087577819824,2008-07-24
16.11406707763672,2008-07-25
15.79832935333252,2008-07-28
17.012022018432617,2008-07-29
17.567380905151367,2008-07-30
16.36038589477539,2008-07-31
16.062564849853516,2008-08-01
16.234987258911133,2008-08-04
16.481321334838867,2008-08-05
16.0065860748291,2008-08-06
15.563193321228027,2008-08-07
16.25737762451172,2008-08-08
16.747785568237305,2008-08-11
16.30217742919922,2008-08-12
16.579116821289062,2008-08-13
16.993988037109375,2008-08-14
16.996238708496094,2008-08-15
16.805627822875977,2008-08-18
16.536516189575195,2008-08-19
16.72264862060547,2008-08-20
16.680030822753906,2008-08-21
16.615005493164062,2008-08-22
16.442331314086914,2008-08-25
16.446805953979492,2008-08-26
16.69573974609375,2008-08-27
16.9648380279541,2008-08-28
17.020906448364258,2008-08-29
16.816823959350586,2008-09-02
16.381784439086914,2008-09-03
15.809925079345703,2008-09-04
16.09248924255371,2008-09-05
15.720220565795898,2008-09-08
15.134921073913574,2008-09-09
15.482522010803223,2008-09-10
15.910845756530762,2008-09-11
16.067825317382812,2008-09-12
15.55876350402832,2008-09-15
14.879267692565918,2008-09-16
14.372458457946777,2008-09-17
15.00261402130127,2008-09-18
15.60137939453125,2008-09-19
14.616894721984863,2008-09-22
