Date,SIAL
2015-11-18,139.97
2015-11-17,139.76
2015-11-16,139.81
2015-11-13,139.87
2015-11-12,139.87
2015-11-11,139.9
2015-11-10,139.91
2015-11-09,139.53
2015-11-06,139.56
2015-11-05,139.5
2015-11-04,139.49
2015-11-03,139.88
2015-11-02,139.74
2015-10-30,139.72
2015-10-29,139.76
2015-10-28,139.76
2015-10-27,139.73
2015-10-26,139.75
2015-10-23,139.75
2015-10-22,139.77
2015-10-21,139.72
2015-10-20,139.74
2015-10-19,139.6
2015-10-16,139.6
2015-10-15,139.52
2015-10-14,139.5
2015-10-13,139.56
2015-10-12,139.65
2015-10-09,139.65
2015-10-08,139.61
2015-10-07,139.57
2015-10-06,139.47
2015-10-05,139.5
2015-10-02,139.35
2015-10-01,139.06
2015-09-30,138.92
2015-09-29,138.58
2015-09-28,138.74
2015-09-25,139.51
2015-09-24,139.43
2015-09-23,139.6
2015-09-22,139.51
2015-09-21,139.63
2015-09-18,139.55
2015-09-17,139.71
2015-09-16,139.81
2015-09-15,139.62
2015-09-14,139.65
2015-09-11,139.69
2015-09-10,139.71
2015-09-09,139.59
2015-09-08,139.63
2015-09-04,139.46
2015-09-03,139.56
2015-09-02,139.56
2015-09-01,139.44
2015-08-31,139.41
2015-08-28,139.55
2015-08-27,139.65
2015-08-26,139.01
2015-08-25,139.06
2015-08-24,139.1
2015-08-21,139.32
2015-08-20,139.59
2015-08-19,139.62
2015-08-18,139.7
2015-08-17,139.71
2015-08-14,139.65
2015-08-13,139.63
2015-08-12,139.63
2015-08-11,139.66
2015-08-10,139.62
2015-08-07,139.62
2015-08-06,139.61
2015-08-05,139.7
2015-08-04,139.6
2015-08-03,139.77
2015-07-31,139.61
2015-07-30,139.67
2015-07-29,139.58
2015-07-28,139.64
2015-07-27,139.43
2015-07-24,139.55
2015-07-23,139.56
2015-07-22,139.53
2015-07-21,139.66
2015-07-20,139.65
2015-07-17,139.6
2015-07-16,139.55
2015-07-15,139.5
2015-07-14,139.56
2015-07-13,139.54
2015-07-10,139.36
2015-07-09,139.32
2015-07-08,139.43
2015-07-07,139.53
2015-07-06,139.47
2015-07-02,139.48
2015-07-01,139.44
2015-06-30,139.35
2015-06-29,139.33
2015-06-26,139.51
2015-06-25,139.34
2015-06-24,139.32
2015-06-23,139.34
2015-06-22,139.39
2015-06-19,139.45
2015-06-18,139.39
2015-06-17,139.41
2015-06-16,139.39
2015-06-15,139.45
2015-06-12,139.11
2015-06-11,138.39
2015-06-10,138.42
2015-06-09,138.24
2015-06-08,138.15
2015-06-05,138.25
2015-06-04,138.54
2015-06-03,138.65
2015-06-02,138.26
2015-06-01,139.15
2015-05-29,139.3
2015-05-28,138.88
2015-05-27,139.18
2015-05-26,139.13
2015-05-22,139.08
2015-05-21,139.09
2015-05-20,139.06
2015-05-19,139.13
2015-05-18,139.1
2015-05-15,139.08
2015-05-14,138.99
2015-05-13,138.94
2015-05-12,138.87
2015-05-11,139.0
2015-05-08,138.9
2015-05-07,138.88
2015-05-06,138.89
2015-05-05,138.72
2015-05-04,138.97
2015-05-01,138.94
2015-04-30,138.92
2015-04-29,138.87
2015-04-28,138.99
2015-04-27,138.9
2015-04-24,139.0
