GEHC,Date
59.904144287109375,2022-12-15
56.649356842041016,2022-12-16
56.40974044799805,2022-12-19
57.11860656738281,2022-12-20
56.8690071105957,2022-12-21
57.50798034667969,2022-12-22
57.408145904541016,2022-12-23
57.35822677612305,2022-12-27
57.408145904541016,2022-12-28
57.907344818115234,2022-12-29
58.286739349365234,2022-12-30
55.91053771972656,2023-01-03
60.393367767333984,2023-01-04
58.90574645996094,2023-01-05
58.8558235168457,2023-01-06
58.00718307495117,2023-01-09
59.904144287109375,2023-01-10
64.88616943359375,2023-01-11
65.54512786865234,2023-01-12
65.33545684814453,2023-01-13
63.22883224487305,2023-01-17
61.9808235168457,2023-01-18
63.837852478027344,2023-01-19
66.663330078125,2023-01-20
69.408935546875,2023-01-23
69.48880767822266,2023-01-24
68.60022735595703,2023-01-25
69.10942077636719,2023-01-26
69.96804809570312,2023-01-27
71.38577270507812,2023-01-30
69.408935546875,2023-01-31
69.89816284179688,2023-02-01
70.5371322631836,2023-02-02
70.43729400634766,2023-02-03
71.74520111083984,2023-02-06
71.51556396484375,2023-02-07
70.05789947509766,2023-02-08
68.30071258544922,2023-02-09
69.12938690185547,2023-02-10
69.319091796875,2023-02-13
72.49400329589844,2023-02-14
72.2044677734375,2023-02-15
70.79672241210938,2023-02-16
73.05310821533203,2023-02-17
72.3542251586914,2023-02-21
71.8250732421875,2023-02-22
75.77875518798828,2023-02-23
74.89016723632812,2023-02-24
75.91851806640625,2023-02-27
75.87858581542969,2023-02-28
75.1797103881836,2023-03-01
74.92012023925781,2023-03-02
76.24799346923828,2023-03-03
76.55750274658203,2023-03-06
76.1281967163086,2023-03-07
76.50758361816406,2023-03-08
76.25798797607422,2023-03-09
74.85022735595703,2023-03-10
76.11819458007812,2023-03-13
77.01676940917969,2023-03-14
76.63737487792969,2023-03-15
76.49759674072266,2023-03-16
75.71884155273438,2023-03-17
75.07986450195312,2023-03-20
76.39775848388672,2023-03-21
74.65055084228516,2023-03-22
75.58905029296875,2023-03-23
76.33786010742188,2023-03-24
76.25798797607422,2023-03-27
76.77715301513672,2023-03-28
79.1134033203125,2023-03-29
82.00877380371094,2023-03-30
81.89895629882812,2023-03-31
81.67930603027344,2023-04-03
81.45965576171875,2023-04-04
80.99041748046875,2023-04-05
80.03194427490234,2023-04-06
80.46125030517578,2023-04-10
80.46125030517578,2023-04-11
81.6194076538086,2023-04-12
82.80750274658203,2023-04-13
82.23841857910156,2023-04-14
82.58786010742188,2023-04-17
83.52635955810547,2023-04-18
85.6130142211914,2023-04-19
84.86421203613281,2023-04-20
86.34185028076172,2023-04-21
87.6497573852539,2023-04-24
80.2615737915039,2023-04-25
79.99200439453125,2023-04-26
81.3897705078125,2023-04-27
81.21005249023438,2023-04-28
80.65094757080078,2023-05-01
78.33466339111328,2023-05-02
79.5826644897461,2023-05-03
78.13497161865234,2023-05-04
78.86380004882812,2023-05-05
79.29312133789062,2023-05-08
76.24799346923828,2023-05-09
75.77875518798828,2023-05-10
74.87020111083984,2023-05-11
74.8003158569336,2023-05-12
74.81028747558594,2023-05-15
77.6557388305664,2023-05-16
80.17171478271484,2023-05-17
79.56269836425781,2023-05-18
79.21324157714844,2023-05-19
78.98353576660156,2023-05-22
77.0958480834961,2023-05-23
76.4366455078125,2023-05-24
79.76258087158203,2023-05-25
78.3343276977539,2023-05-26
77.86489868164062,2023-05-30
79.41300964355469,2023-05-31
79.73262786865234,2023-06-01
79.87244415283203,2023-06-02
80.39181518554688,2023-06-05
82.82884216308594,2023-06-06
80.3818359375,2023-06-07
77.65515899658203,2023-06-08
77.00594329833984,2023-06-09
78.17452239990234,2023-06-12
77.69511413574219,2023-06-13
78.4342041015625,2023-06-14
79.00350952148438,2023-06-15
78.55406188964844,2023-06-16
78.80375671386719,2023-06-20
79.52287292480469,2023-06-21
80.1121597290039,2023-06-22
79.72262573242188,2023-06-23
77.70509338378906,2023-06-26
76.97599029541016,2023-06-27
77.0958480834961,2023-06-28
78.58402252197266,2023-06-29
81.14089965820312,2023-06-30
80.59156799316406,2023-07-03
80.5516128540039,2023-07-05
79.02349090576172,2023-07-06
79.52287292480469,2023-07-07
80.56161499023438,2023-07-10
81.16088104248047,2023-07-11
81.5903549194336,2023-07-12
81.30070495605469,2023-07-13
81.7201919555664,2023-07-14
81.09095764160156,2023-07-17
82.3694076538086,2023-07-18
81.65028381347656,2023-07-19
81.78016662597656,2023-07-20
82.55950164794922,2023-07-21
80.56121063232422,2023-07-24
80.14156341552734,2023-07-25
77.36393737792969,2023-07-26
76.79442596435547,2023-07-27
77.8035659790039,2023-07-28
77.9334487915039,2023-07-31
77.62371826171875,2023-08-01
76.52465057373047,2023-08-02
75.95513153076172,2023-08-03
75.83525085449219,2023-08-04
75.52550506591797,2023-08-07
73.8669204711914,2023-08-08
73.85693359375,2023-08-09
72.23831939697266,2023-08-10
71.52891540527344,2023-08-11
71.7387466430664,2023-08-14
70.47982025146484,2023-08-15
70.60970306396484,2023-08-16
68.33164978027344,2023-08-17
68.30167388916016,2023-08-18
68.9111557006836,2023-08-21
68.8711929321289,2023-08-22
68.93113708496094,2023-08-23
68.37162017822266,2023-08-24
68.5314712524414,2023-08-25
69.25086212158203,2023-08-28
70.41986846923828,2023-08-29
70.32994842529297,2023-08-30
70.389892578125,2023-08-31
69.19091796875,2023-09-01
67.6022720336914,2023-09-05
66.9228515625,2023-09-06
65.8437728881836,2023-09-07
64.84463500976562,2023-09-08
66.56316375732422,2023-09-11
65.34420776367188,2023-09-12
64.47494506835938,2023-09-13
65.94368743896484,2023-09-14
66.37332916259766,2023-09-15
66.22344970703125,2023-09-18
66.06359100341797,2023-09-19
64.95453643798828,2023-09-20
63.835487365722656,2023-09-21
64.27511596679688,2023-09-22
66.42328643798828,2023-09-25
66.15351104736328,2023-09-26
68.22174072265625,2023-09-27
69.72046661376953,2023-09-28
67.98194885253906,2023-09-29
67.78211975097656,2023-10-02
66.9228515625,2023-10-03
67.82208251953125,2023-10-04
67.54232025146484,2023-10-05
68.4015884399414,2023-10-06
67.74215698242188,2023-10-09
68.13182067871094,2023-10-10
67.72216796875,2023-10-11
66.45326232910156,2023-10-12
67.06273651123047,2023-10-13
66.82293701171875,2023-10-16
66.74301147460938,2023-10-17
65.17435455322266,2023-10-18
65.42424774169922,2023-10-19
64.0248031616211,2023-10-20
63.96482467651367,2023-10-23
64.6445541381836,2023-10-24
64.484619140625,2023-10-25
63.88485336303711,2023-10-26
63.075172424316406,2023-10-27
63.145145416259766,2023-10-30
66.54380798339844,2023-10-31
68.25313568115234,2023-11-01
69.2227554321289,2023-11-02
71.54183959960938,2023-11-03
71.06202697753906,2023-11-06
70.67218017578125,2023-11-07
69.96246337890625,2023-11-08
68.28311920166016,2023-11-09
69.49264526367188,2023-11-10
69.98246002197266,2023-11-13
72.18158721923828,2023-11-14
71.49185943603516,2023-11-15
71.8917007446289,2023-11-16
72.97127532958984,2023-11-17
73.3011474609375,2023-11-20
73.35112762451172,2023-11-21
