GS,Date
50.894065856933594,1999-05-04
49.99008560180664,1999-05-05
49.13130187988281,1999-05-06
53.60600662231445,1999-05-07
51.12008285522461,1999-05-10
51.074867248535156,1999-05-11
53.154029846191406,1999-05-12
52.92805862426758,1999-05-13
50.75846862792969,1999-05-14
49.628509521484375,1999-05-17
49.628509521484375,1999-05-18
50.12569808959961,1999-05-19
49.447696685791016,1999-05-20
48.81492233276367,1999-05-21
47.23295593261719,1999-05-24
46.64537811279297,1999-05-25
47.77534484863281,1999-05-26
48.9957160949707,1999-05-27
49.13130187988281,1999-05-28
46.41937255859375,1999-06-01
45.741397857666016,1999-06-02
46.0125617980957,1999-06-03
47.278160095214844,1999-06-04
47.684932708740234,1999-06-07
46.10296630859375,1999-06-08
47.36853790283203,1999-06-09
45.83177185058594,1999-06-10
45.741397857666016,1999-06-11
44.29502487182617,1999-06-14
45.379791259765625,1999-06-15
47.18775939941406,1999-06-16
47.00695037841797,1999-06-17
46.871360778808594,1999-06-18
50.261287689208984,1999-06-21
49.176513671875,1999-06-22
47.00695037841797,1999-06-23
47.052154541015625,1999-06-24
47.910945892333984,1999-06-25
48.13694381713867,1999-06-28
48.9957160949707,1999-06-29
52.25004959106445,1999-06-30
51.2104606628418,1999-07-01
51.30085372924805,1999-07-02
50.98448181152344,1999-07-06
49.176513671875,1999-07-07
48.63410949707031,1999-07-08
48.63410949707031,1999-07-09
49.447696685791016,1999-07-12
49.08610916137695,1999-07-13
48.90531539916992,1999-07-14
49.13130187988281,1999-07-15
49.221710205078125,1999-07-16
50.216087341308594,1999-07-19
49.266910552978516,1999-07-20
49.08610916137695,1999-07-21
48.09172821044922,1999-07-22
46.328975677490234,1999-07-23
45.741397857666016,1999-07-26
47.36853790283203,1999-07-27
47.77534484863281,1999-07-28
47.00695037841797,1999-07-29
46.509765625,1999-07-30
45.424991607666016,1999-08-02
43.978614807128906,1999-08-03
43.39104080200195,1999-08-04
42.848655700683594,1999-08-05
40.67910385131836,1999-08-06
40.362701416015625,1999-08-09
41.310306549072266,1999-08-10
44.57164764404297,1999-08-11
43.98279571533203,1999-08-12
45.74934005737305,1999-08-13
45.56816101074219,1999-08-16
45.65874099731445,1999-08-17
45.160491943359375,1999-08-18
44.61692810058594,1999-08-19
45.160491943359375,1999-08-20
46.11172103881836,1999-08-23
45.9758186340332,1999-08-24
