APA,Date
1.9105576276779175,1979-05-15
2.0396511554718018,1979-05-16
2.0654680728912354,1979-05-17
2.130014181137085,1979-05-18
2.168741226196289,1979-05-21
2.1945595741271973,1979-05-22
2.130014181137085,1979-05-23
2.1041951179504395,1979-05-24
2.130014181137085,1979-05-25
2.207467794418335,1979-05-29
2.336559772491455,1979-05-30
2.3236496448516846,1979-05-31
2.3236496448516846,1979-06-01
2.3752870559692383,1979-06-04
2.452742099761963,1979-06-05
2.5043795108795166,1979-06-06
2.4914708137512207,1979-06-07
2.465651512145996,1979-06-08
2.478559732437134,1979-06-11
2.465651512145996,1979-06-12
2.4011049270629883,1979-06-13
2.4011049270629883,1979-06-14
2.478559732437134,1979-06-15
2.452742099761963,1979-06-18
2.478559732437134,1979-06-19
2.4914708137512207,1979-06-20
2.465651512145996,1979-06-21
2.452742099761963,1979-06-22
2.34946870803833,1979-06-25
2.3623781204223633,1979-06-26
2.388195753097534,1979-06-27
2.3623781204223633,1979-06-28
2.426924705505371,1979-06-29
2.3752870559692383,1979-07-02
2.414015054702759,1979-07-03
2.414015054702759,1979-07-05
2.426924705505371,1979-07-06
2.7238352298736572,1979-07-09
2.6334710121154785,1979-07-10
2.581833839416504,1979-07-11
2.5689258575439453,1979-07-12
2.478559732437134,1979-07-13
2.5043795108795166,1979-07-16
2.388195753097534,1979-07-17
2.34946870803833,1979-07-18
2.3752870559692383,1979-07-19
2.336559772491455,1979-07-20
2.3623781204223633,1979-07-23
2.426924705505371,1979-07-24
2.4398350715637207,1979-07-25
2.426924705505371,1979-07-26
2.414015054702759,1979-07-27
2.3623781204223633,1979-07-30
2.388195753097534,1979-07-31
2.414015054702759,1979-08-01
2.452742099761963,1979-08-02
2.426924705505371,1979-08-03
2.426924705505371,1979-08-06
2.452742099761963,1979-08-07
2.517289400100708,1979-08-08
2.5431063175201416,1979-08-09
2.478559732437134,1979-08-10
2.5043795108795166,1979-08-13
2.478559732437134,1979-08-14
2.5043795108795166,1979-08-15
2.517289400100708,1979-08-16
2.5689258575439453,1979-08-17
2.5689258575439453,1979-08-20
2.478559732437134,1979-08-21
2.5431063175201416,1979-08-22
2.5689258575439453,1979-08-23
2.581833839416504,1979-08-24
2.5689258575439453,1979-08-27
2.5043795108795166,1979-08-28
2.6592893600463867,1979-08-29
2.865835189819336,1979-08-30
2.930380344390869,1979-08-31
2.7496531009674072,1979-09-04
2.6721975803375244,1979-09-05
2.6721975803375244,1979-09-06
2.801290273666382,1979-09-07
2.7754716873168945,1979-09-10
2.7238352298736572,1979-09-11
2.7883806228637695,1979-09-12
2.852926254272461,1979-09-13
2.9691073894500732,1979-09-14
3.007836103439331,1979-09-17
2.956200361251831,1979-09-18
2.9045634269714355,1979-09-19
2.9045634269714355,1979-09-20
3.0207457542419434,1979-09-21
2.930380344390869,1979-09-24
2.982017993927002,1979-09-25
2.982017993927002,1979-09-26
2.943291425704956,1979-09-27
2.943291425704956,1979-09-28
2.956200361251831,1979-10-01
3.0465667247772217,1979-10-02
3.1240203380584717,1979-10-03
3.2272918224334717,1979-10-04
3.472566843032837,1979-10-05
3.4080214500427246,1979-10-08
2.982017993927002,1979-10-09
2.8787436485290527,1979-10-10
2.852926254272461,1979-10-11
2.9045634269714355,1979-10-12
2.8787436485290527,1979-10-15
2.930380344390869,1979-10-16
2.917471170425415,1979-10-17
3.0465667247772217,1979-10-18
2.982017993927002,1979-10-19
2.801290273666382,1979-10-22
2.7883806228637695,1979-10-23
2.865835189819336,1979-10-24
2.8141984939575195,1979-10-25
2.852926254272461,1979-10-26
2.8400182723999023,1979-10-29
2.943291425704956,1979-10-30
2.943291425704956,1979-10-31
2.982017993927002,1979-11-01
3.0336554050445557,1979-11-02
3.1240203380584717,1979-11-05
3.2272918224334717,1979-11-06
3.1627461910247803,1979-11-07
3.1627461910247803,1979-11-08
3.240200996398926,1979-11-09
3.2918379306793213,1979-11-12
3.3305647373199463,1979-11-13
3.446749210357666,1979-11-14
3.550020933151245,1979-11-15
3.6920247077941895,1979-11-16
3.846932888031006,1979-11-19
3.8340253829956055,1979-11-20
3.7823874950408936,1979-11-21
3.846932888031006,1979-11-23
4.053482532501221,1979-11-26
3.8340253829956055,1979-11-27
3.808208465576172,1979-11-28
