BKR,Date
6.463351726531982,1987-04-06
6.246460437774658,1987-04-07
6.50672721862793,1987-04-08
6.20307731628418,1987-04-09
6.2898335456848145,1987-04-10
6.116325855255127,1987-04-13
5.595780849456787,1987-04-14
6.072943210601807,1987-04-15
6.246460437774658,1987-04-16
6.159699440002441,1987-04-20
6.116325855255127,1987-04-21
5.98618745803833,1987-04-22
6.029565334320068,1987-04-23
5.856053352355957,1987-04-24
5.725917339324951,1987-04-27
5.984521389007568,1987-04-28
6.028199672698975,1987-04-29
6.290299892425537,1987-04-30
6.290299892425537,1987-05-01
6.465027809143066,1987-05-04
6.770805835723877,1987-05-05
7.251318454742432,1987-05-06
7.775510787963867,1987-05-07
7.644460201263428,1987-05-08
7.862879276275635,1987-05-11
7.862879276275635,1987-05-12
7.644460201263428,1987-05-13
7.600775241851807,1987-05-14
7.469727993011475,1987-05-15
7.338685035705566,1987-05-18
7.251318454742432,1987-05-19
7.032901287078857,1987-05-20
7.120267391204834,1987-05-21
7.251318454742432,1987-05-22
7.600775241851807,1987-05-26
7.557095050811768,1987-05-27
7.513411521911621,1987-05-28
7.644460201263428,1987-05-29
7.644460201263428,1987-06-01
7.557095050811768,1987-06-02
7.600775241851807,1987-06-03
7.688147068023682,1987-06-04
7.644460201263428,1987-06-05
7.775510787963867,1987-06-08
7.688147068023682,1987-06-09
7.688147068023682,1987-06-10
7.600775241851807,1987-06-11
7.426050662994385,1987-06-12
7.600775241851807,1987-06-15
7.644460201263428,1987-06-16
7.600775241851807,1987-06-17
7.469727993011475,1987-06-18
7.644460201263428,1987-06-19
7.688147068023682,1987-06-22
7.688147068023682,1987-06-23
7.600775241851807,1987-06-24
7.644460201263428,1987-06-25
7.513411521911621,1987-06-26
7.819189071655273,1987-06-29
7.950234889984131,1987-06-30
8.430747032165527,1987-07-01
8.605476379394531,1987-07-02
8.823892593383789,1987-07-06
9.173348426818848,1987-07-07
8.998621940612793,1987-07-08
9.34808349609375,1987-07-09
