SLB,Date
5.245169162750244,1981-12-31
5.139562129974365,1982-01-04
4.881412029266357,1982-01-05
4.834475517272949,1982-01-06
4.7406005859375,1982-01-07
4.79927396774292,1982-01-08
4.62326192855835,1982-01-11
4.7523345947265625,1982-01-12
4.646729469299316,1982-01-13
4.7523345947265625,1982-01-14
4.764072895050049,1982-01-15
4.79927396774292,1982-01-18
4.658466815948486,1982-01-19
4.576325416564941,1982-01-20
4.529388427734375,1982-01-21
4.4355149269104,1982-01-22
4.681928634643555,1982-01-25
4.576325416564941,1982-01-26
4.705402374267578,1982-01-27
4.904877662658691,1982-01-28
5.069161415100098,1982-01-29
4.775806427001953,1982-02-01
4.787539958953857,1982-02-02
4.588057518005371,1982-02-03
4.69366455078125,1982-02-04
4.7406005859375,1982-02-05
4.51765251159668,1982-02-08
4.564590930938721,1982-02-09
4.599793910980225,1982-02-10
4.482450485229492,1982-02-11
4.505918979644775,1982-02-12
4.670196056365967,1982-02-16
4.599793910980225,1982-02-17
4.634995937347412,1982-02-18
4.588057518005371,1982-02-19
4.388577461242676,1982-02-22
4.412045955657959,1982-02-23
4.611526966094971,1982-02-24
4.5411224365234375,1982-02-25
4.494182109832764,1982-02-26
4.412045955657959,1982-03-01
4.153896331787109,1982-03-02
4.036550998687744,1982-03-03
4.036550998687744,1982-03-04
4.048286437988281,1982-03-05
3.7784016132354736,1982-03-08
3.9977476596832275,1982-03-09
4.103880405426025,1982-03-10
4.080296039581299,1982-03-11
4.021332263946533,1982-03-12
4.151053428649902,1982-03-15
4.09208869934082,1982-03-16
4.021332263946533,1982-03-17
4.103880405426025,1982-03-18
4.044915199279785,1982-03-19
4.174637317657471,1982-03-22
4.174637317657471,1982-03-23
4.1982221603393555,1982-03-24
4.151053428649902,1982-03-25
4.00953483581543,1982-03-26
4.056710720062256,1982-03-29
4.021332263946533,1982-03-30
4.021332263946533,1982-03-31
4.174637317657471,1982-04-01
4.3161516189575195,1982-04-02
4.2218098640441895,1982-04-05
4.304356575012207,1982-04-06
4.351528644561768,1982-04-07
4.410494327545166,1982-04-08
4.351528644561768,1982-04-12
4.3161516189575195,1982-04-13
4.304356575012207,1982-04-14
4.268980503082275,1982-04-15
4.29256534576416,1982-04-16
4.233602523803711,1982-04-19
4.09208869934082,1982-04-20
3.985954523086548,1982-04-21
4.233602523803711,1982-04-22
4.43407678604126,1982-04-23
4.528418064117432,1982-04-26
4.386911869049072,1982-04-27
4.3986992835998535,1982-04-28
4.351528644561768,1982-04-29
4.339737892150879,1982-04-30
4.3986992835998535,1982-05-03
4.504834175109863,1982-05-04
4.469456195831299,1982-05-05
4.528418064117432,1982-05-06
4.622763156890869,1982-05-07
4.540212154388428,1982-05-10
4.610968112945557,1982-05-11
4.540212154388428,1982-05-12
4.599178314208984,1982-05-13
4.599178314208984,1982-05-14
4.504834175109863,1982-05-17
4.45766544342041,1982-05-18
4.339737892150879,1982-05-19
4.386911869049072,1982-05-20
4.422288417816162,1982-05-21
4.43407678604126,1982-05-24
4.36332368850708,1982-05-25
4.245391845703125,1982-05-26
4.233602523803711,1982-05-27
4.127467632293701,1982-05-28
4.2218098640441895,1982-06-01
4.068500995635986,1982-06-02
3.9741604328155518,1982-06-03
3.8680269718170166,1982-06-04
3.8562331199645996,1982-06-07
3.748523473739624,1982-06-08
3.6417601108551025,1982-06-09
3.748523473739624,1982-06-10
3.8908727169036865,1982-06-11
3.8078339099884033,1982-06-14
3.772246837615967,1982-06-15
3.6892096996307373,1982-06-16
3.6180362701416016,1982-06-17
3.6417601108551025,1982-06-18
3.653623104095459,1982-06-21
3.784108877182007,1982-06-22
3.9264557361602783,1982-06-23
3.784108877182007,1982-06-24
3.6892096996307373,1982-06-25
3.748523473739624,1982-06-28
3.6892096996307373,1982-06-29
3.6298987865448,1982-06-30
3.4994096755981445,1982-07-01
3.3926503658294678,1982-07-02
3.4994096755981445,1982-07-06
3.4875502586364746,1982-07-07
3.5231375694274902,1982-07-08
3.677346706390381,1982-07-09
3.558725595474243,1982-07-12
3.4875502586364746,1982-07-13
3.558725595474243,1982-07-14
3.4875502586364746,1982-07-15
3.4756875038146973,1982-07-16
3.4756875038146973,1982-07-19
3.511274814605713,1982-07-20
3.4875502586364746,1982-07-21
3.582448720932007,1982-07-22
3.748523473739624,1982-07-23
3.7247989177703857,1982-07-26
3.6417601108551025,1982-07-27
3.546860694885254,1982-07-28
