VTRS,Date
1.107862114906311,1980-03-17
1.0510488748550415,1980-03-18
1.022641658782959,1980-03-19
1.022641658782959,1980-03-20
1.022641658782959,1980-03-21
0.9942352771759033,1980-03-24
0.909014880657196,1980-03-25
0.909014880657196,1980-03-26
0.8522018194198608,1980-03-27
0.8522018194198608,1980-03-28
0.8806087970733643,1980-03-31
0.909014880657196,1980-04-01
0.909014880657196,1980-04-02
0.909014880657196,1980-04-03
0.9374222755432129,1980-04-07
0.8806087970733643,1980-04-08
0.8806087970733643,1980-04-09
0.8806087970733643,1980-04-10
0.8806087970733643,1980-04-11
0.8806087970733643,1980-04-14
0.8522018194198608,1980-04-15
0.8522018194198608,1980-04-16
0.8237954378128052,1980-04-17
0.8237954378128052,1980-04-18
0.8237954378128052,1980-04-21
0.8237954378128052,1980-04-22
0.8806087970733643,1980-04-23
0.8522018194198608,1980-04-24
0.8806087970733643,1980-04-25
0.8522018194198608,1980-04-28
0.8806087970733643,1980-04-29
0.8806087970733643,1980-04-30
0.8806087970733643,1980-05-01
0.8806087970733643,1980-05-02
0.8806087970733643,1980-05-05
0.909014880657196,1980-05-06
1.022641658782959,1980-05-07
0.9658284783363342,1980-05-08
0.9658284783363342,1980-05-09
0.9658284783363342,1980-05-12
0.9942352771759033,1980-05-13
0.9658284783363342,1980-05-14
0.9658284783363342,1980-05-15
0.9658284783363342,1980-05-16
0.9658284783363342,1980-05-19
0.9658284783363342,1980-05-20
0.9374222755432129,1980-05-21
0.9374222755432129,1980-05-22
0.9658284783363342,1980-05-23
1.022641658782959,1980-05-27
1.022641658782959,1980-05-28
1.022641658782959,1980-05-29
1.0510488748550415,1980-05-30
1.079455852508545,1980-06-02
1.107862114906311,1980-06-03
1.1930829286575317,1980-06-04
1.1930829286575317,1980-06-05
1.1930829286575317,1980-06-06
1.1930829286575317,1980-06-09
1.1930829286575317,1980-06-10
1.1646764278411865,1980-06-11
1.1646764278411865,1980-06-12
1.1646764278411865,1980-06-13
1.1646764278411865,1980-06-16
1.1646764278411865,1980-06-17
1.1362684965133667,1980-06-18
1.079455852508545,1980-06-19
1.079455852508545,1980-06-20
1.079455852508545,1980-06-23
1.022641658782959,1980-06-24
1.022641658782959,1980-06-25
1.079455852508545,1980-06-26
1.079455852508545,1980-06-27
1.079455852508545,1980-06-30
1.107862114906311,1980-07-01
1.107862114906311,1980-07-02
1.1362684965133667,1980-07-03
1.1646764278411865,1980-07-07
1.1646764278411865,1980-07-08
1.1646764278411865,1980-07-09
1.1646764278411865,1980-07-10
1.1646764278411865,1980-07-11
1.1646764278411865,1980-07-14
1.1362684965133667,1980-07-15
1.107862114906311,1980-07-16
1.107862114906311,1980-07-17
1.107862114906311,1980-07-18
1.107862114906311,1980-07-21
1.107862114906311,1980-07-22
1.107862114906311,1980-07-23
1.107862114906311,1980-07-24
1.107862114906311,1980-07-25
1.107862114906311,1980-07-28
1.107862114906311,1980-07-29
1.107862114906311,1980-07-30
1.107862114906311,1980-07-31
1.0936592817306519,1980-08-01
1.0936592817306519,1980-08-04
1.079455852508545,1980-08-05
1.0510488748550415,1980-08-06
1.0510488748550415,1980-08-07
1.022641658782959,1980-08-08
0.9658284783363342,1980-08-11
0.9942352771759033,1980-08-12
0.9658284783363342,1980-08-13
0.9658284783363342,1980-08-14
1.022641658782959,1980-08-15
0.9658284783363342,1980-08-18
0.9658284783363342,1980-08-19
0.9658284783363342,1980-08-20
0.9942352771759033,1980-08-21
1.079455852508545,1980-08-22
1.0510488748550415,1980-08-25
1.0368456840515137,1980-08-26
1.0368456840515137,1980-08-27
1.0510488748550415,1980-08-28
1.0652525424957275,1980-08-29
1.0510488748550415,1980-09-02
1.0510488748550415,1980-09-03
1.0368456840515137,1980-09-04
1.0510488748550415,1980-09-05
1.022641658782959,1980-09-08
1.0368456840515137,1980-09-09
1.0510488748550415,1980-09-10
1.0368456840515137,1980-09-11
1.022641658782959,1980-09-12
0.909014880657196,1980-09-15
0.9374222755432129,1980-09-16
0.8806087970733643,1980-09-17
0.909014880657196,1980-09-18
0.909014880657196,1980-09-19
0.9232187867164612,1980-09-22
0.9374222755432129,1980-09-23
0.9232187867164612,1980-09-24
0.9232187867164612,1980-09-25
0.909014880657196,1980-09-26
0.8806087970733643,1980-09-29
0.8806087970733643,1980-09-30
0.8806087970733643,1980-10-01
0.8522018194198608,1980-10-02
0.8522018194198608,1980-10-03
0.8522018194198608,1980-10-06
0.8522018194198608,1980-10-07
0.8806087970733643,1980-10-08
0.8806087970733643,1980-10-09
0.8806087970733643,1980-10-10
0.8806087970733643,1980-10-13
0.8522018194198608,1980-10-14
0.8522018194198608,1980-10-15
0.8379988670349121,1980-10-16
0.8237954378128052,1980-10-17
0.8237954378128052,1980-10-20
0.8237954378128052,1980-10-21
0.8237954378128052,1980-10-22
0.8237954378128052,1980-10-23
0.8237954378128052,1980-10-24
0.795388400554657,1980-10-27
0.7669817209243774,1980-10-28
0.8237954378128052,1980-10-29
0.9374222755432129,1980-10-30
0.8948123455047607,1980-10-31
0.9658284783363342,1980-11-03
1.0510488748550415,1980-11-05
1.0510488748550415,1980-11-06
1.0510488748550415,1980-11-07
1.0652525424957275,1980-11-10
1.0936592817306519,1980-11-11
1.0936592817306519,1980-11-12
1.079455852508545,1980-11-13
1.022641658782959,1980-11-14
1.0368456840515137,1980-11-17
1.0510488748550415,1980-11-18
1.079455852508545,1980-11-19
1.079455852508545,1980-11-20
1.079455852508545,1980-11-21
1.0936592817306519,1980-11-24
1.079455852508545,1980-11-25
