RPM,Date
0.39803969860076904,1980-03-17
0.40941229462623596,1980-03-18
0.39803969860076904,1980-03-19
0.39803969860076904,1980-03-20
0.39803969860076904,1980-03-21
0.38666731119155884,1980-03-24
0.3752947449684143,1980-03-25
0.3639219403266907,1980-03-26
0.35254985094070435,1980-03-27
0.3639219403266907,1980-03-28
0.3639219403266907,1980-03-31
0.3639219403266907,1980-04-01
0.3752947449684143,1980-04-02
0.3752947449684143,1980-04-03
0.3639219403266907,1980-04-07
0.3639219403266907,1980-04-08
0.3639219403266907,1980-04-09
0.3752947449684143,1980-04-10
0.39803969860076904,1980-04-11
0.39803969860076904,1980-04-14
0.39803969860076904,1980-04-15
0.38666731119155884,1980-04-16
0.38666731119155884,1980-04-17
0.38666731119155884,1980-04-18
0.3752947449684143,1980-04-21
0.38666731119155884,1980-04-22
0.38666731119155884,1980-04-23
0.39803969860076904,1980-04-24
0.38666731119155884,1980-04-25
0.40941229462623596,1980-04-28
0.40941229462623596,1980-04-29
0.39803969860076904,1980-04-30
0.39803969860076904,1980-05-01
0.39803969860076904,1980-05-02
0.39803969860076904,1980-05-05
0.39803969860076904,1980-05-06
0.38666731119155884,1980-05-07
0.38666731119155884,1980-05-08
0.38666731119155884,1980-05-09
0.38666731119155884,1980-05-12
0.38666731119155884,1980-05-13
0.39803969860076904,1980-05-14
0.39803969860076904,1980-05-15
0.39803969860076904,1980-05-16
0.40941229462623596,1980-05-19
0.40941229462623596,1980-05-20
0.39803969860076904,1980-05-21
0.40941229462623596,1980-05-22
0.40941229462623596,1980-05-23
0.40941229462623596,1980-05-27
0.4207850396633148,1980-05-28
0.4207850396633148,1980-05-29
0.4207850396633148,1980-05-30
0.4207850396633148,1980-06-02
0.4207850396633148,1980-06-03
0.4207850396633148,1980-06-04
0.4207850396633148,1980-06-05
0.4207850396633148,1980-06-06
0.4321576654911041,1980-06-09
0.4321576654911041,1980-06-10
0.4321576654911041,1980-06-11
0.4321576654911041,1980-06-12
0.4321576654911041,1980-06-13
0.4321576654911041,1980-06-16
0.4321576654911041,1980-06-17
0.4321576654911041,1980-06-18
0.4207850396633148,1980-06-19
0.4207850396633148,1980-06-20
0.4207850396633148,1980-06-23
0.4207850396633148,1980-06-24
0.4207850396633148,1980-06-25
0.40941229462623596,1980-06-26
0.40941229462623596,1980-06-27
0.39803969860076904,1980-06-30
0.40941229462623596,1980-07-01
0.40941229462623596,1980-07-02
0.40941229462623596,1980-07-03
0.4207850396633148,1980-07-07
0.4207850396633148,1980-07-08
0.40941229462623596,1980-07-09
0.40941229462623596,1980-07-10
0.40941229462623596,1980-07-11
0.40941229462623596,1980-07-14
0.4207850396633148,1980-07-15
0.45490291714668274,1980-07-16
0.45490291714668274,1980-07-17
0.45490291714668274,1980-07-18
0.44921639561653137,1980-07-21
0.44353029131889343,1980-07-22
0.44353029131889343,1980-07-23
0.44353029131889343,1980-07-24
0.44353029131889343,1980-07-25
0.44353029131889343,1980-07-28
0.4321576654911041,1980-07-29
0.40941229462623596,1980-07-30
0.40941229462623596,1980-07-31
0.4207850396633148,1980-08-01
0.40941229462623596,1980-08-04
0.40941229462623596,1980-08-05
0.40941229462623596,1980-08-06
0.4207850396633148,1980-08-07
0.4207850396633148,1980-08-08
0.4207850396633148,1980-08-11
0.4207850396633148,1980-08-12
0.4207850396633148,1980-08-13
0.4207850396633148,1980-08-14
0.4207850396633148,1980-08-15
0.4207850396633148,1980-08-18
0.39803969860076904,1980-08-19
0.39803969860076904,1980-08-20
0.39803969860076904,1980-08-21
0.40941229462623596,1980-08-22
0.38666731119155884,1980-08-25
0.39803969860076904,1980-08-26
0.39803969860076904,1980-08-27
0.39803969860076904,1980-08-28
0.39803969860076904,1980-08-29
0.40941229462623596,1980-09-02
0.40941229462623596,1980-09-03
0.4207850396633148,1980-09-04
0.44353029131889343,1980-09-05
0.4207850396633148,1980-09-08
0.4207850396633148,1980-09-09
0.4207850396633148,1980-09-10
0.44353029131889343,1980-09-11
0.4321576654911041,1980-09-12
0.44353029131889343,1980-09-15
0.44353029131889343,1980-09-16
0.5003928542137146,1980-09-17
0.5003928542137146,1980-09-18
0.6141184568405151,1980-09-19
0.6027460098266602,1980-09-22
0.5686278343200684,1980-09-23
