DD,Date
1.1020512580871582,1972-06-01
1.1140310764312744,1972-06-02
1.1110363006591797,1972-06-05
1.1080414056777954,1972-06-06
1.0885752439498901,1972-06-07
1.0780936479568481,1972-06-08
1.072104573249817,1972-06-09
1.0780936479568481,1972-06-12
1.0930674076080322,1972-06-13
1.1080414056777954,1972-06-14
1.1110363006591797,1972-06-15
1.1095387935638428,1972-06-16
1.1035490036010742,1972-06-19
1.1095387935638428,1972-06-20
1.1200205087661743,1972-06-21
1.1095387935638428,1972-06-22
1.1065444946289062,1972-06-23
1.0954091548919678,1972-06-26
1.0984184741973877,1972-06-27
1.0893901586532593,1972-06-28
1.0818672180175781,1972-06-29
1.0863817930221558,1972-06-30
1.087885856628418,1972-07-03
1.0954091548919678,1972-07-05
1.107446312904358,1972-07-06
1.1059420108795166,1972-07-07
1.107446312904358,1972-07-10
1.0969146490097046,1972-07-11
1.083370566368103,1972-07-12
1.0713343620300293,1972-07-13
1.0653152465820312,1972-07-14
1.0517735481262207,1972-07-17
1.0623066425323486,1972-07-18
1.0743434429168701,1972-07-19
1.0653152465820312,1972-07-20
1.0623066425323486,1972-07-21
1.0668197870254517,1972-07-24
1.0713343620300293,1972-07-25
1.0728384256362915,1972-07-26
1.0683252811431885,1972-07-27
1.0698288679122925,1972-07-28
1.0788581371307373,1972-07-31
1.092400074005127,1972-08-01
1.1059420108795166,1972-08-02
1.119484543800354,1972-08-03
1.1149705648422241,1972-08-04
1.1089510917663574,1972-08-07
1.1119617223739624,1972-08-08
1.1044375896453857,1972-08-09
1.1119617223739624,1972-08-10
1.1495777368545532,1972-08-11
1.161615014076233,1972-08-14
1.1631200313568115,1972-08-15
1.155597448348999,1972-08-16
1.1601102352142334,1972-08-17
1.161615014076233,1972-08-18
1.1661301851272583,1972-08-21
1.1691386699676514,1972-08-22
1.1586055755615234,1972-08-23
1.155597448348999,1972-08-24
1.161615014076233,1972-08-25
1.155597448348999,1972-08-28
1.161615014076233,1972-08-29
1.1751577854156494,1972-08-30
1.176662564277649,1972-08-31
1.1856896877288818,1972-09-01
1.176662564277649,1972-09-05
1.1691386699676514,1972-09-06
1.1706430912017822,1972-09-07
1.1706430912017822,1972-09-08
1.161615014076233,1972-09-11
1.1571016311645508,1972-09-12
1.1631200313568115,1972-09-13
1.1661301851272583,1972-09-14
1.1465684175491333,1972-09-15
1.1345306634902954,1972-09-18
1.1224936246871948,1972-09-19
1.119484543800354,1972-09-20
1.116475224494934,1972-09-21
1.119484543800354,1972-09-22
1.118879795074463,1972-09-25
1.1098076105117798,1972-09-26
1.118879795074463,1972-09-27
1.1430717706680298,1972-09-28
1.1597027778625488,1972-09-29
1.1536555290222168,1972-10-02
1.1536555290222168,1972-10-03
1.1430717706680298,1972-10-04
1.1249281167984009,1972-10-05
1.129462718963623,1972-10-06
1.1309760808944702,1972-10-09
1.132487177848816,1972-10-10
1.1279518604278564,1972-10-11
1.1249281167984009,1972-10-12
1.1158558130264282,1972-10-13
1.1037590503692627,1972-10-16
1.105271816253662,1972-10-17
1.129462718963623,1972-10-18
1.137023687362671,1972-10-19
1.1430717706680298,1972-10-20
1.1521432399749756,1972-10-23
1.1521432399749756,1972-10-24
1.1581913232803345,1972-10-25
1.1521432399749756,1972-10-26
1.1551676988601685,1972-10-27
1.1566786766052246,1972-10-30
1.1612162590026855,1972-10-31
1.1702876091003418,1972-11-01
1.1838946342468262,1972-11-02
1.2035506963729858,1972-11-03
1.2050639390945435,1972-11-06
