ADP,Date
0.4071654975414276,1980-03-17
0.4117927849292755,1980-03-18
0.4195042550563812,1980-03-19
0.4179620146751404,1980-03-20
0.41641944646835327,1980-03-21
0.4133349359035492,1980-03-24
0.4133349359035492,1980-03-25
0.4195042550563812,1980-03-26
0.40408140420913696,1980-03-27
0.41641944646835327,1980-03-28
0.42104634642601013,1980-03-31
0.42721545696258545,1980-04-01
0.4472651481628418,1980-04-02
0.4565189480781555,1980-04-03
0.44880765676498413,1980-04-07
0.4410959780216217,1980-04-08
0.4410959780216217,1980-04-09
0.44572320580482483,1980-04-10
0.4503500461578369,1980-04-11
0.4441806972026825,1980-04-14
0.4472651481628418,1980-04-15
0.4503500461578369,1980-04-16
0.4472651481628418,1980-04-17
0.4472651481628418,1980-04-18
0.4472651481628418,1980-04-21
0.4503500461578369,1980-04-22
0.4534350037574768,1980-04-23
0.4565189480781555,1980-04-24
0.45497649908065796,1980-04-25
0.46114590764045715,1980-04-28
0.45960357785224915,1980-04-29
0.45806142687797546,1980-04-30
0.47039994597435,1980-05-01
0.4657728672027588,1980-05-02
0.47194182872772217,1980-05-05
0.47194182872772217,1980-05-06
0.46885761618614197,1980-05-07
0.47194182872772217,1980-05-08
0.46885761618614197,1980-05-09
0.473484069108963,1980-05-12
0.47811099886894226,1980-05-13
0.4811956584453583,1980-05-14
0.47965356707572937,1980-05-15
0.47811099886894226,1980-05-16
0.46885761618614197,1980-05-19
0.473484069108963,1980-05-20
0.47811099886894226,1980-05-21
0.48273828625679016,1980-05-22
0.4873649477958679,1980-05-23
0.47965356707572937,1980-05-27
0.4811956584453583,1980-05-28
0.4811956584453583,1980-05-29
0.4811956584453583,1980-05-30
0.47502630949020386,1980-06-02
0.47656914591789246,1980-06-03
0.47965356707572937,1980-06-04
0.48273828625679016,1980-06-05
0.48582297563552856,1980-06-06
0.47811099886894226,1980-06-09
0.47194182872772217,1980-06-10
0.47656914591789246,1980-06-11
0.47502630949020386,1980-06-12
0.473484069108963,1980-06-13
0.47502630949020386,1980-06-16
0.47965356707572937,1980-06-17
0.473484069108963,1980-06-18
0.46885761618614197,1980-06-19
0.4565189480781555,1980-06-20
0.45960357785224915,1980-06-23
0.47194182872772217,1980-06-24
0.47502630949020386,1980-06-25
0.47656914591789246,1980-06-26
0.47656914591789246,1980-06-27
0.47194182872772217,1980-06-30
0.47656914591789246,1980-07-01
0.4811956584453583,1980-07-02
0.4935343563556671,1980-07-03
0.5135836601257324,1980-07-07
0.5305497646331787,1980-07-08
0.5382601618766785,1980-07-09
0.5089571475982666,1980-07-10
0.5074147582054138,1980-07-11
0.5243799686431885,1980-07-14
0.5382601618766785,1980-07-15
0.5305497646331787,1980-07-16
0.5444297194480896,1980-07-17
0.5490564703941345,1980-07-18
0.5505991578102112,1980-07-21
0.5428876280784607,1980-07-22
0.5444297194480896,1980-07-23
0.5475146174430847,1980-07-24
0.5505991578102112,1980-07-25
0.5475146174430847,1980-07-28
0.5444297194480896,1980-07-29
0.5459721684455872,1980-07-30
0.5444297194480896,1980-07-31
0.5521416068077087,1980-08-01
0.5629375576972961,1980-08-04
0.5876138806343079,1980-08-05
0.5860719084739685,1980-08-06
0.5968677997589111,1980-08-07
0.5891561508178711,1980-08-08
0.5737335681915283,1980-08-11
0.5706489086151123,1980-08-12
0.5675644278526306,1980-08-13
0.5721907019615173,1980-08-14
0.5768181085586548,1980-08-15
0.5675644278526306,1980-08-18
0.5783601403236389,1980-08-19
0.5706489086151123,1980-08-20
0.5922409892082214,1980-08-21
0.6215441823005676,1980-08-22
0.6138330698013306,1980-08-25
0.604578971862793,1980-08-26
0.601495087146759,1980-08-27
0.604578971862793,1980-08-28
0.5968677997589111,1980-08-29
0.5968677997589111,1980-09-02
0.6107483506202698,1980-09-03
0.6092064380645752,1980-09-04
0.6122910976409912,1980-09-05
0.6122910976409912,1980-09-08
0.6076638698577881,1980-09-09
0.6107483506202698,1980-09-10
0.6030363440513611,1980-09-11
0.5922409892082214,1980-09-12
0.5953254103660583,1980-09-15
0.5922409892082214,1980-09-16
