IR,Date
21.031574249267578,2017-05-12
21.948589324951172,2017-05-15
22.02833366394043,2017-05-16
22.02833366394043,2017-05-17
22.427034378051758,2017-05-18
22.646318435668945,2017-05-19
22.81576919555664,2017-05-22
23.37395668029785,2017-05-23
23.274274826049805,2017-05-24
22.437002182006836,2017-05-25
22.9553165435791,2017-05-26
22.875574111938477,2017-05-30
22.855640411376953,2017-05-31
22.855640411376953,2017-06-01
22.57654571533203,2017-06-02
22.55661392211914,2017-06-05
22.217716217041016,2017-06-06
21.68943214416504,2017-06-07
21.579790115356445,2017-06-08
22.41706657409668,2017-06-09
22.9553165435791,2017-06-12
23.4138240814209,2017-06-13
23.17460060119629,2017-06-14
22.915441513061523,2017-06-15
23.84242820739746,2017-06-16
23.84242820739746,2017-06-19
22.54664421081543,2017-06-20
20.65280532836914,2017-06-21
20.991703033447266,2017-06-22
20.403615951538086,2017-06-23
20.433521270751953,2017-06-26
21.220958709716797,2017-06-27
21.20102310180664,2017-06-28
21.360502243041992,2017-06-29
21.5399227142334,2017-06-30
22.267553329467773,2017-07-03
21.749238967895508,2017-07-05
20.901996612548828,2017-07-06
20.602970123291016,2017-07-07
21.270793914794922,2017-07-10
21.659528732299805,2017-07-11
22.058231353759766,2017-07-12
21.988462448120117,2017-07-13
22.00839614868164,2017-07-14
22.895509719848633,2017-07-17
22.96528434753418,2017-07-18
23.344051361083984,2017-07-19
23.473628997802734,2017-07-20
22.935380935668945,2017-07-21
23.064956665039062,2017-07-24
23.37395668029785,2017-07-25
22.745996475219727,2017-07-26
23.154666900634766,2017-07-27
23.015117645263672,2017-07-28
22.885540008544922,2017-07-31
22.427034378051758,2017-08-01
22.945348739624023,2017-08-02
23.1845703125,2017-08-03
23.991939544677734,2017-08-04
23.962039947509766,2017-08-07
24.051746368408203,2017-08-08
23.523468017578125,2017-08-09
22.58651351928711,2017-08-10
22.6064510345459,2017-08-11
22.51674461364746,2017-08-14
22.616416931152344,2017-08-15
22.67622184753418,2017-08-16
21.928651809692383,2017-08-17
21.89875030517578,2017-08-18
22.3173885345459,2017-08-21
22.706125259399414,2017-08-22
22.885540008544922,2017-08-23
22.62638282775879,2017-08-24
22.905479431152344,2017-08-25
22.875574111938477,2017-08-28
22.98521614074707,2017-08-29
23.224437713623047,2017-08-30
23.4138240814209,2017-08-31
23.623146057128906,2017-09-01
23.045026779174805,2017-09-05
23.274274826049805,2017-09-06
23.533435821533203,2017-09-07
23.682945251464844,2017-09-08
23.812524795532227,2017-09-11
24.450450897216797,2017-09-12
24.59000015258789,2017-09-13
24.889022827148438,2017-09-14
25.008634567260742,2017-09-15
25.696399688720703,2017-09-18
25.73626708984375,2017-09-19
25.895750045776367,2017-09-20
25.766170501708984,2017-09-21
26.19477653503418,2017-09-22
26.31438446044922,2017-09-25
26.224679946899414,2017-09-26
26.98221206665039,2017-09-27
27.24137306213379,2017-09-28
27.430757522583008,2017-09-29
27.460655212402344,2017-10-02
27.54039764404297,2017-10-03
26.802797317504883,2017-10-04
26.703123092651367,2017-10-05
26.51373863220215,2017-10-06
26.693153381347656,2017-10-09
26.81276512145996,2017-10-10
26.77289390563965,2017-10-11
26.802797317504883,2017-10-12
26.872570037841797,2017-10-13
26.832700729370117,2017-10-16
26.9024715423584,2017-10-17
26.663253784179688,2017-10-18
26.274517059326172,2017-10-19
26.493803024291992,2017-10-20
26.334320068359375,2017-10-23
26.51373863220215,2017-10-24
26.533672332763672,2017-10-25
29.00562858581543,2017-10-26
30.32135009765625,2017-10-27
29.02556800842285,2017-10-30
28.756437301635742,2017-10-31
28.846147537231445,2017-11-01
29.214950561523438,2017-11-02
28.48731803894043,2017-11-03
27.869325637817383,2017-11-06
27.909198760986328,2017-11-07
27.97896957397461,2017-11-08
28.048744201660156,2017-11-09
28.666732788085938,2017-11-10
29.31462287902832,2017-11-13
28.567058563232422,2017-11-14
27.45069122314453,2017-11-15
28.796310424804688,2017-11-16
29.952552795410156,2017-11-17
30.47086524963379,2017-11-20
30.63034439086914,2017-11-21
30.879533767700195,2017-11-22
31.039012908935547,2017-11-24
31.35797691345215,2017-11-27
31.128725051879883,2017-11-28
31.048982620239258,2017-11-29
32.304901123046875,2017-11-30
31.97596549987793,2017-12-01
31.348011016845703,2017-12-04
31.058950424194336,2017-12-05
31.367942810058594,2017-12-06
32.07563781738281,2017-12-07
32.225154876708984,2017-12-08
31.926128387451172,2017-12-11
31.577266693115234,2017-12-12
31.726776123046875,2017-12-13
31.587230682373047,2017-12-14
32.50424575805664,2017-12-15
33.271751403808594,2017-12-18
33.18204116821289,2017-12-19
33.89970016479492,2017-12-20
34.31834411621094,2017-12-21
34.08909225463867,2017-12-22
33.919647216796875,2017-12-26
33.999385833740234,2017-12-27
33.859840393066406,2017-12-28
33.81996536254883,2017-12-29
33.60068130493164,2018-01-02
33.80002975463867,2018-01-03
33.95951461791992,2018-01-04
34.43795394897461,2018-01-05
34.796791076660156,2018-01-08
34.97621154785156,2018-01-09
34.338279724121094,2018-01-10
34.776851654052734,2018-01-11
34.44792175292969,2018-01-12
34.986175537109375,2018-01-16
34.84662628173828,2018-01-17
35.08584976196289,2018-01-18
35.80351257324219,2018-01-19
36.072635650634766,2018-01-22
36.57101058959961,2018-01-23
36.152374267578125,2018-01-24
35.823448181152344,2018-01-25
36.1623420715332,2018-01-26
36.122474670410156,2018-01-29
35.354976654052734,2018-01-30
34.467857360839844,2018-01-31
34.926368713378906,2018-02-01
34.05918502807617,2018-02-02
33.40132141113281,2018-02-05
33.281715393066406,2018-02-06
32.70360565185547,2018-02-07
31.46761703491211,2018-02-08
31.647035598754883,2018-02-09
32.59395217895508,2018-02-12
32.97272491455078,2018-02-13
33.40132141113281,2018-02-14
34.41802215576172,2018-02-15
32.743465423583984,2018-02-16
31.62710189819336,2018-02-20
31.676939010620117,2018-02-21
31.956029891967773,2018-02-22
32.77337646484375,2018-02-23
32.892982482910156,2018-02-26
32.57402038574219,2018-02-27
31.90619468688965,2018-02-28
30.78982162475586,2018-03-01
31.696874618530273,2018-03-02
31.93609619140625,2018-03-05
31.70684051513672,2018-03-06
31.716808319091797,2018-03-07
32.26502227783203,2018-03-08
32.892982482910156,2018-03-09
32.534149169921875,2018-03-12
32.42450714111328,2018-03-13
32.85311508178711,2018-03-14
32.554080963134766,2018-03-15
32.85311508178711,2018-03-16
32.60392761230469,2018-03-19
32.44443893432617,2018-03-20
33.0225715637207,2018-03-21
31.10878562927246,2018-03-22
30.22167205810547,2018-03-23
30.63034439086914,2018-03-26
30.301410675048828,2018-03-27
29.952552795410156,2018-03-28
30.58050537109375,2018-03-29
29.035533905029297,2018-04-02
29.63358497619629,2018-04-03
29.69339370727539,2018-04-04
30.7100830078125,2018-04-05
29.733261108398438,2018-04-06
29.264789581298828,2018-04-09
30.78982162475586,2018-04-10
30.89946746826172,2018-04-11
31.44768524169922,2018-04-12
31.517459869384766,2018-04-13
31.93609619140625,2018-04-16
32.18528747558594,2018-04-17
32.56405258178711,2018-04-18
32.42450714111328,2018-04-19
32.065670013427734,2018-04-20
31.676939010620117,2018-04-23
31.128725051879883,2018-04-24
31.577266693115234,2018-04-25
30.759923934936523,2018-04-26
31.73674201965332,2018-04-27
31.527423858642578,2018-04-30
31.058950424194336,2018-05-01
31.298171997070312,2018-05-02
31.577266693115234,2018-05-03
31.96599578857422,2018-05-04
31.946060180664062,2018-05-07
31.40781593322754,2018-05-08
31.946060180664062,2018-05-09
33.3614616394043,2018-05-10
33.331546783447266,2018-05-11
33.35149002075195,2018-05-14
33.520938873291016,2018-05-15
33.64055252075195,2018-05-16
34.18876647949219,2018-05-17
34.348243713378906,2018-05-18
34.308372497558594,2018-05-21
34.298404693603516,2018-05-22
34.15886688232422,2018-05-23
33.75019454956055,2018-05-24
32.77337646484375,2018-05-25
32.50424575805664,2018-05-29
33.281715393066406,2018-05-30
32.76340103149414,2018-05-31
32.235130310058594,2018-06-01
32.39460372924805,2018-06-04
32.274993896484375,2018-06-05
32.71356964111328,2018-06-06
33.002620697021484,2018-06-07
31.73674201965332,2018-06-08
29.733261108398438,2018-06-11
29.354496002197266,2018-06-12
29.29469108581543,2018-06-13
29.9625186920166,2018-06-14
29.583751678466797,2018-06-15
29.88277244567871,2018-06-18
29.374427795410156,2018-06-19
28.148420333862305,2018-06-20
27.829456329345703,2018-06-21
28.73650550842285,2018-06-22
28.20822525024414,2018-06-25
28.93585777282715,2018-06-26
29.165109634399414,2018-06-27
29.27475929260254,2018-06-28
29.29469108581543,2018-06-29
28.46738052368164,2018-07-02
28.636829376220703,2018-07-03
28.696638107299805,2018-07-05
28.268028259277344,2018-07-06
29.424266815185547,2018-07-09
29.175081253051758,2018-07-10
28.73650550842285,2018-07-11
27.899229049682617,2018-07-12
28.08860969543457,2018-07-13
28.018840789794922,2018-07-16
27.988937377929688,2018-07-17
27.7098445892334,2018-07-18
28.098583221435547,2018-07-19
27.739748001098633,2018-07-20
27.07192039489746,2018-07-23
26.603445053100586,2018-07-24
26.394126892089844,2018-07-25
26.54364013671875,2018-07-26
27.012117385864258,2018-07-27
27.231403350830078,2018-07-30
28.51721954345703,2018-07-31
27.58026695251465,2018-08-01
27.640071868896484,2018-08-02
28.37767219543457,2018-08-03
29.06543731689453,2018-08-06
29.394365310668945,2018-08-07
29.185049057006836,2018-08-08
28.676698684692383,2018-08-09
28.766408920288086,2018-08-10
28.39760971069336,2018-08-13
28.08860969543457,2018-08-14
26.942346572875977,2018-08-15
27.28124237060547,2018-08-16
27.84939193725586,2018-08-17
28.21819305419922,2018-08-20
28.128482818603516,2018-08-21
27.859357833862305,2018-08-22
27.2513370513916,2018-08-23
27.420787811279297,2018-08-24
28.158388137817383,2018-08-27
28.178319931030273,2018-08-28
28.666732788085938,2018-08-29
27.988937377929688,2018-08-30
27.869325637817383,2018-08-31
27.261306762695312,2018-09-04
26.9024715423584,2018-09-05
24.849153518676758,2018-09-06
24.898990631103516,2018-09-07
25.556848526000977,2018-09-10
26.095102310180664,2018-09-11
26.503768920898438,2018-09-12
27.749717712402344,2018-09-13
28.52718734741211,2018-09-14
28.626861572265625,2018-09-17
29.175081253051758,2018-09-18
29.00562858581543,2018-09-19
29.28472137451172,2018-09-20
29.28472137451172,2018-09-21
29.444202423095703,2018-09-24
29.02556800842285,2018-09-25
28.37767219543457,2018-09-26
27.949068069458008,2018-09-27
28.248096466064453,2018-09-28
27.919166564941406,2018-10-01
27.988937377929688,2018-10-02
27.909198760986328,2018-10-03
27.679946899414062,2018-10-04
