CNTO,Date
0.25,2013-04-22
0.44999998807907104,2013-04-23
0.6000000238418579,2013-04-24
0.6399999856948853,2013-04-25
0.699999988079071,2013-04-26
0.6499999761581421,2013-04-29
0.7300000190734863,2013-04-30
0.75,2013-05-01
0.7599999904632568,2013-05-02
0.800000011920929,2013-05-03
0.8500000238418579,2013-05-06
0.8500000238418579,2013-05-07
0.8999999761581421,2013-05-08
0.8999999761581421,2013-05-09
0.9700000286102295,2013-05-10
0.9300000071525574,2013-05-13
1.0499999523162842,2013-05-14
1.0700000524520874,2013-05-15
1.0,2013-05-16
1.0,2013-05-17
1.0499999523162842,2013-05-20
1.059999942779541,2013-05-21
1.090000033378601,2013-05-22
1.0800000429153442,2013-05-23
1.0,2013-05-24
1.059999942779541,2013-05-28
0.9800000190734863,2013-05-29
0.8999999761581421,2013-05-30
0.8600000143051147,2013-05-31
0.8700000047683716,2013-06-03
0.9200000166893005,2013-06-04
0.9200000166893005,2013-06-05
0.925000011920929,2013-06-06
0.8600000143051147,2013-06-07
0.8399999737739563,2013-06-10
0.8389999866485596,2013-06-11
0.8899999856948853,2013-06-12
0.8700000047683716,2013-06-13
0.8899999856948853,2013-06-14
0.7799999713897705,2013-06-17
0.8299999833106995,2013-06-18
0.8299999833106995,2013-06-19
0.8299999833106995,2013-06-20
0.8600000143051147,2013-06-21
0.6100000143051147,2013-06-24
0.6100999712944031,2013-06-25
0.5705999732017517,2013-06-26
0.7599999904632568,2013-06-27
0.6899999976158142,2013-06-28
0.6499999761581421,2013-07-01
0.6100000143051147,2013-07-02
0.6100000143051147,2013-07-03
0.5101000070571899,2013-07-05
0.36000001430511475,2013-07-08
0.4000000059604645,2013-07-09
0.4000000059604645,2013-07-10
0.32499998807907104,2013-07-11
0.3799999952316284,2013-07-12
0.44999998807907104,2013-07-15
0.30000001192092896,2013-07-16
0.30000001192092896,2013-07-17
0.28999999165534973,2013-07-18
0.25,2013-07-19
0.2800000011920929,2013-07-22
0.2800000011920929,2013-07-23
0.2800000011920929,2013-07-24
0.1599999964237213,2013-07-25
0.25999999046325684,2013-07-26
0.23000000417232513,2013-07-29
0.20499999821186066,2013-07-30
0.1597999930381775,2013-07-31
0.11999999731779099,2013-08-01
0.11999999731779099,2013-08-02
0.18000000715255737,2013-08-05
0.18000000715255737,2013-08-06
0.18000000715255737,2013-08-07
0.11999999731779099,2013-08-08
0.17000000178813934,2013-08-09
0.11999999731779099,2013-08-12
0.17499999701976776,2013-08-13
0.17499999701976776,2013-08-14
0.1899999976158142,2013-08-15
0.1899999976158142,2013-08-16
0.1899999976158142,2013-08-19
0.1899999976158142,2013-08-20
0.1899999976158142,2013-08-21
0.1850000023841858,2013-08-22
0.1850000023841858,2013-08-23
0.1850000023841858,2013-08-26
0.1850000023841858,2013-08-27
0.1850000023841858,2013-08-28
0.1850000023841858,2013-08-29
0.1850000023841858,2013-08-30
0.15000000596046448,2013-09-03
0.15000000596046448,2013-09-04
0.15000000596046448,2013-09-05
0.1599999964237213,2013-09-06
0.1599999964237213,2013-09-09
0.1599999964237213,2013-09-10
0.1599999964237213,2013-09-11
0.12999999523162842,2013-09-12
0.11999999731779099,2013-09-13
0.11999999731779099,2013-09-16
0.11999999731779099,2013-09-17
0.11999999731779099,2013-09-18
0.15000000596046448,2013-09-19
0.14000000059604645,2013-09-20
0.14000000059604645,2013-09-23
0.11999999731779099,2013-09-24
0.11999999731779099,2013-09-25
