CMA,Date
0.8063430190086365,1980-03-17
0.8169527649879456,1980-03-18
0.827562689781189,1980-03-19
0.827562689781189,1980-03-20
0.8169527649879456,1980-03-21
0.7957333922386169,1980-03-24
0.7957333922386169,1980-03-25
0.8169527649879456,1980-03-26
0.8063430190086365,1980-03-27
0.8063430190086365,1980-03-28
0.8169527649879456,1980-03-31
0.8593921065330505,1980-04-01
0.954879641532898,1980-04-02
0.9124401211738586,1980-04-03
0.8806114792823792,1980-04-07
0.8806114792823792,1980-04-08
0.8912213444709778,1980-04-09
0.8487815856933594,1980-04-10
0.8487815856933594,1980-04-11
0.827562689781189,1980-04-14
0.8063430190086365,1980-04-15
0.8487815856933594,1980-04-16
0.8487815856933594,1980-04-17
0.8487815856933594,1980-04-18
0.8487815856933594,1980-04-21
0.8487815856933594,1980-04-22
0.8593921065330505,1980-04-23
0.8593921065330505,1980-04-24
0.8487815856933594,1980-04-25
0.8593921065330505,1980-04-28
0.8700017929077148,1980-04-29
0.8593921065330505,1980-04-30
0.8487815856933594,1980-05-01
0.8487815856933594,1980-05-02
0.8593921065330505,1980-05-05
0.8806114792823792,1980-05-06
0.9018310308456421,1980-05-07
0.9018310308456421,1980-05-08
0.9018310308456421,1980-05-09
0.9124401211738586,1980-05-12
0.9124401211738586,1980-05-13
0.9230503439903259,1980-05-14
0.9230503439903259,1980-05-15
0.9230503439903259,1980-05-16
0.9230503439903259,1980-05-19
0.9018310308456421,1980-05-20
0.9018310308456421,1980-05-21
0.9230503439903259,1980-05-22
0.9230503439903259,1980-05-23
0.9654892086982727,1980-05-27
0.9867094159126282,1980-05-28
0.9760991930961609,1980-05-29
0.9760991930961609,1980-05-30
0.9760991930961609,1980-06-02
0.9760991930961609,1980-06-03
1.0185388326644897,1980-06-04
1.0185388326644897,1980-06-05
1.0609771013259888,1980-06-06
1.0397582054138184,1980-06-09
1.0397582054138184,1980-06-10
1.0397582054138184,1980-06-11
1.0397582054138184,1980-06-12
1.0503679513931274,1980-06-13
1.0503679513931274,1980-06-16
1.0503679513931274,1980-06-17
1.0503679513931274,1980-06-18
1.0503679513931274,1980-06-19
1.0503679513931274,1980-06-20
1.0609771013259888,1980-06-23
1.0609771013259888,1980-06-24
1.0609771013259888,1980-06-25
1.0609771013259888,1980-06-26
1.0609771013259888,1980-06-27
1.0503679513931274,1980-06-30
1.0609771013259888,1980-07-01
1.0609771013259888,1980-07-02
1.0609771013259888,1980-07-03
1.0715878009796143,1980-07-07
1.0715878009796143,1980-07-08
1.0715878009796143,1980-07-09
1.0715878009796143,1980-07-10
1.0821975469589233,1980-07-11
1.0821975469589233,1980-07-14
1.0715878009796143,1980-07-15
1.0715878009796143,1980-07-16
1.0715878009796143,1980-07-17
1.1140263080596924,1980-07-18
1.1140263080596924,1980-07-21
1.1140263080596924,1980-07-22
1.1140263080596924,1980-07-23
1.1140263080596924,1980-07-24
1.1140263080596924,1980-07-25
1.1140263080596924,1980-07-28
1.1140263080596924,1980-07-29
1.1458557844161987,1980-07-30
1.124635934829712,1980-07-31
1.1193307638168335,1980-08-01
1.1034164428710938,1980-08-04
1.1034164428710938,1980-08-05
1.1034164428710938,1980-08-06
1.1034164428710938,1980-08-07
1.0928064584732056,1980-08-08
1.0609771013259888,1980-08-11
1.0609771013259888,1980-08-12
1.0609771013259888,1980-08-13
1.0609771013259888,1980-08-14
1.0609771013259888,1980-08-15
1.0503679513931274,1980-08-18
1.0503679513931274,1980-08-19
1.0397582054138184,1980-08-20
1.0397582054138184,1980-08-21
1.0291483402252197,1980-08-22
1.0291483402252197,1980-08-25
1.0291483402252197,1980-08-26
1.0291483402252197,1980-08-27
1.0185388326644897,1980-08-28
1.0185388326644897,1980-08-29
1.0185388326644897,1980-09-02
1.0291483402252197,1980-09-03
1.0185388326644897,1980-09-04
1.0185388326644897,1980-09-05
1.0185388326644897,1980-09-08
0.9973187446594238,1980-09-09
0.9973187446594238,1980-09-10
0.9867094159126282,1980-09-11
0.9973187446594238,1980-09-12
0.9867094159126282,1980-09-15
0.9973187446594238,1980-09-16
1.0079286098480225,1980-09-17
1.0185388326644897,1980-09-18
1.0291483402252197,1980-09-19
1.0503679513931274,1980-09-22
1.0397582054138184,1980-09-23
1.0503679513931274,1980-09-24
1.0609771013259888,1980-09-25
1.0715878009796143,1980-09-26
1.0715878009796143,1980-09-29
1.0715878009796143,1980-09-30
1.0715878009796143,1980-10-01
1.0715878009796143,1980-10-02
1.0715878009796143,1980-10-03
1.0715878009796143,1980-10-06
1.0715878009796143,1980-10-07
1.0715878009796143,1980-10-08
1.0609771013259888,1980-10-09
1.0609771013259888,1980-10-10
1.0609771013259888,1980-10-13
1.0503679513931274,1980-10-14
1.0397582054138184,1980-10-15
1.0397582054138184,1980-10-16
1.0185388326644897,1980-10-17
1.0185388326644897,1980-10-20
1.0079286098480225,1980-10-21
1.0079286098480225,1980-10-22
0.9973187446594238,1980-10-23
0.9973187446594238,1980-10-24
0.9867094159126282,1980-10-27
0.9973187446594238,1980-10-28
0.9867094159126282,1980-10-29
0.9654892086982727,1980-10-30
0.954879641532898,1980-10-31
0.954879641532898,1980-11-03
0.954879641532898,1980-11-05
0.9442700743675232,1980-11-06
0.954879641532898,1980-11-07
0.9442700743675232,1980-11-10
0.9442700743675232,1980-11-11
0.954879641532898,1980-11-12
0.954879641532898,1980-11-13
0.954879641532898,1980-11-14
0.954879641532898,1980-11-17
0.954879641532898,1980-11-18
0.954879641532898,1980-11-19
0.9442700743675232,1980-11-20
0.9018310308456421,1980-11-21
0.8593921065330505,1980-11-24
0.9018310308456421,1980-11-25
0.9018310308456421,1980-11-26
0.8912213444709778,1980-11-28
0.8912213444709778,1980-12-01
0.8806114792823792,1980-12-02
0.8806114792823792,1980-12-03
0.8806114792823792,1980-12-04
0.8700017929077148,1980-12-05
0.8593921065330505,1980-12-08
0.8593921065330505,1980-12-09
0.8593921065330505,1980-12-10
0.8487815856933594,1980-12-11
0.8487815856933594,1980-12-12
0.8487815856933594,1980-12-15
0.8487815856933594,1980-12-16
0.8593921065330505,1980-12-17
0.8806114792823792,1980-12-18
0.8912213444709778,1980-12-19
0.8912213444709778,1980-12-22
0.8912213444709778,1980-12-23
0.8912213444709778,1980-12-24
0.8912213444709778,1980-12-26
0.8806114792823792,1980-12-29
0.8806114792823792,1980-12-30
0.8912213444709778,1980-12-31
0.8912213444709778,1981-01-02
0.8912213444709778,1981-01-05
0.8912213444709778,1981-01-06
0.8912213444709778,1981-01-07
0.9018310308456421,1981-01-08
0.9018310308456421,1981-01-09
0.9124401211738586,1981-01-12
0.9018310308456421,1981-01-13
0.9018310308456421,1981-01-14
0.9018310308456421,1981-01-15
0.9018310308456421,1981-01-16
0.8912213444709778,1981-01-19
0.8806114792823792,1981-01-20
0.8700017929077148,1981-01-21
0.8487815856933594,1981-01-22
0.8487815856933594,1981-01-23
0.8487815856933594,1981-01-26
0.8487815856933594,1981-01-27
0.8487815856933594,1981-01-28
0.8487815856933594,1981-01-29
0.8593921065330505,1981-01-30
0.8487815856933594,1981-02-02
0.8487815856933594,1981-02-03
0.8487815856933594,1981-02-04
0.8487815856933594,1981-02-05
0.8593921065330505,1981-02-06
0.8593921065330505,1981-02-09
0.8593921065330505,1981-02-10
0.8593921065330505,1981-02-11
0.8593921065330505,1981-02-12
0.8487815856933594,1981-02-13
0.838172197341919,1981-02-17
0.838172197341919,1981-02-18
0.838172197341919,1981-02-19
0.838172197341919,1981-02-20
0.838172197341919,1981-02-23
0.838172197341919,1981-02-24
0.838172197341919,1981-02-25
0.838172197341919,1981-02-26
0.838172197341919,1981-02-27
0.838172197341919,1981-03-02
0.8487815856933594,1981-03-03
0.8487815856933594,1981-03-04
0.8487815856933594,1981-03-05
0.8487815856933594,1981-03-06
0.838172197341919,1981-03-09
0.838172197341919,1981-03-10
0.838172197341919,1981-03-11
0.838172197341919,1981-03-12
0.8487815856933594,1981-03-13
0.8593921065330505,1981-03-16
0.8700017929077148,1981-03-17
0.8700017929077148,1981-03-18
0.8912213444709778,1981-03-19
0.9336608052253723,1981-03-20
0.954879641532898,1981-03-23
0.954879641532898,1981-03-24
0.9442700743675232,1981-03-25
0.9442700743675232,1981-03-26
0.9336608052253723,1981-03-27
0.9336608052253723,1981-03-30
0.9336608052253723,1981-03-31
0.9336608052253723,1981-04-01
0.9336608052253723,1981-04-02
0.9230503439903259,1981-04-03
0.8912213444709778,1981-04-06
0.9018310308456421,1981-04-07
0.9018310308456421,1981-04-08
0.9124401211738586,1981-04-09
0.9124401211738586,1981-04-10
0.9124401211738586,1981-04-13
0.954879641532898,1981-04-14
0.954879641532898,1981-04-15
0.9654892086982727,1981-04-16
0.954879641532898,1981-04-20
0.954879641532898,1981-04-21
0.954879641532898,1981-04-22
0.954879641532898,1981-04-23
0.954879641532898,1981-04-24
0.954879641532898,1981-04-27
0.9389653205871582,1981-04-28
0.9336608052253723,1981-04-29
0.9230503439903259,1981-04-30
0.9230503439903259,1981-05-01
0.9018310308456421,1981-05-04
0.9018310308456421,1981-05-05
