BALL,Date
0.1312279999256134,1973-02-21
0.1293928027153015,1973-02-22
0.12388657033443451,1973-02-23
0.1165451779961586,1973-02-26
0.1165451779961586,1973-02-27
0.11929810792207718,1973-02-28
0.11746282130479813,1973-03-01
0.11838040500879288,1973-03-02
0.12021563947200775,1973-03-05
0.12480418384075165,1973-03-06
0.12480418384075165,1973-03-07
0.12480418384075165,1973-03-08
0.12021563947200775,1973-03-09
0.11838040500879288,1973-03-12
0.11838040500879288,1973-03-13
0.11929810792207718,1973-03-14
0.11929810792207718,1973-03-15
0.11838040500879288,1973-03-16
0.11746282130479813,1973-03-19
0.11746282130479813,1973-03-20
0.11746282130479813,1973-03-21
0.111038938164711,1973-03-22
0.111038938164711,1973-03-23
0.111038938164711,1973-03-26
0.111038938164711,1973-03-27
0.10553279519081116,1973-03-28
0.11195659637451172,1973-03-29
0.11929810792207718,1973-03-30
0.1165451779961586,1973-04-02
0.11470995098352432,1973-04-03
0.12113376706838608,1973-04-04
0.12113376706838608,1973-04-05
0.11929810792207718,1973-04-06
0.12021563947200775,1973-04-09
0.12113376706838608,1973-04-10
0.12572182714939117,1973-04-11
0.12572182714939117,1973-04-12
0.12755705416202545,1973-04-13
0.12755705416202545,1973-04-16
0.12755705416202545,1973-04-17
0.13031035661697388,1973-04-18
0.13031035661697388,1973-04-19
0.13031035661697388,1973-04-23
0.13214562833309174,1973-04-24
0.13031035661697388,1973-04-25
0.13031035661697388,1973-04-26
0.1266394555568695,1973-04-27
0.12480418384075165,1973-04-30
0.12113376706838608,1973-05-01
0.12205138057470322,1973-05-02
0.11929810792207718,1973-05-03
0.12021563947200775,1973-05-04
0.12021563947200775,1973-05-07
0.12113376706838608,1973-05-08
0.11929810792207718,1973-05-09
0.11929810792207718,1973-05-10
0.11838040500879288,1973-05-11
0.10645094513893127,1973-05-14
0.10461524873971939,1973-05-15
0.10461524873971939,1973-05-16
0.09543851763010025,1973-05-17
0.08993230015039444,1973-05-18
0.09176807105541229,1973-05-21
0.09360329806804657,1973-05-22
0.09910949319601059,1973-05-23
0.10277993232011795,1973-05-24
0.10645094513893127,1973-05-25
0.10461524873971939,1973-05-29
0.10461524873971939,1973-05-30
0.10277993232011795,1973-05-31
0.09727372229099274,1973-06-01
0.09727372229099274,1973-06-04
0.09727372229099274,1973-06-05
0.09543851763010025,1973-06-06
0.09727372229099274,1973-06-07
0.09910949319601059,1973-06-08
0.09543851763010025,1973-06-11
0.09543851763010025,1973-06-12
0.09543851763010025,1973-06-13
0.09543851763010025,1973-06-14
0.0945209190249443,1973-06-15
0.09360329806804657,1973-06-18
0.09176807105541229,1973-06-19
0.09176807105541229,1973-06-20
0.08901472389698029,1973-06-21
0.08901472389698029,1973-06-22
0.0862618163228035,1973-06-25
0.07892041653394699,1973-06-26
0.07249663025140762,1973-06-27
0.07433188706636429,1973-06-28
0.07708516716957092,1973-06-29
0.07708516716957092,1973-07-02
0.07892041653394699,1973-07-03
0.07983801513910294,1973-07-05
0.08350853621959686,1973-07-06
0.08259090036153793,1973-07-09
0.07892041653394699,1973-07-10
0.08350853621959686,1973-07-11
0.08442658185958862,1973-07-12
0.08350853621959686,1973-07-13
0.08442658185958862,1973-07-16
0.08534423261880875,1973-07-17
0.08350853621959686,1973-07-18
0.08259090036153793,1973-07-19
0.08167331665754318,1973-07-20
0.08442658185958862,1973-07-23
0.09360329806804657,1973-07-24
0.10277993232011795,1973-07-25
0.10277993232011795,1973-07-26
0.08809711784124374,1973-07-27
0.08259090036153793,1973-07-30
0.08259090036153793,1973-07-31
0.07892041653394699,1973-08-01
0.07892041653394699,1973-08-02
0.07892041653394699,1973-08-03
0.07983801513910294,1973-08-06
0.07892041653394699,1973-08-07
0.07800286263227463,1973-08-08
0.07892041653394699,1973-08-09
0.07708516716957092,1973-08-10
0.07800286263227463,1973-08-13
0.07800286263227463,1973-08-14
0.07892041653394699,1973-08-15
0.08075568079948425,1973-08-16
0.08075568079948425,1973-08-17
0.08075568079948425,1973-08-20
0.07616706192493439,1973-08-21
0.07249663025140762,1973-08-22
0.07524947077035904,1973-08-23
0.07616706192493439,1973-08-24
0.07708516716957092,1973-08-27
0.07800286263227463,1973-08-28
0.07983801513910294,1973-08-29
0.09176807105541229,1973-08-30
0.09176807105541229,1973-08-31
0.09819138050079346,1973-09-04
0.09819138050079346,1973-09-05
0.09543851763010025,1973-09-06
0.09727372229099274,1973-09-07
0.09819138050079346,1973-09-10
0.09727372229099274,1973-09-11
0.0945209190249443,1973-09-12
0.09360329806804657,1973-09-13
