FWONK,Date
24.212926864624023,2014-07-08
24.550275802612305,2014-07-09
23.870136260986328,2014-07-10
24.02248764038086,2014-07-11
24.212926864624023,2014-07-14
24.267337799072266,2014-07-15
24.64821434020996,2014-07-16
24.6754207611084,2014-07-17
24.757036209106445,2014-07-18
24.903945922851562,2014-07-21
24.86585807800293,2014-07-22
25.02909278869629,2014-07-23
25.72011375427246,2014-07-24
25.295705795288086,2014-07-25
25.246736526489258,2014-07-28
25.627613067626953,2014-07-29
26.019372940063477,2014-07-30
25.57320213317871,2014-07-31
25.322912216186523,2014-08-01
25.36644172668457,2014-08-04
25.208648681640625,2014-08-05
25.28482437133789,2014-08-06
25.246736526489258,2014-08-07
25.322912216186523,2014-08-08
25.246736526489258,2014-08-11
25.21409034729004,2014-08-12
25.507909774780273,2014-08-13
26.29142951965332,2014-08-14
26.601572036743164,2014-08-15
26.552602767944336,2014-08-18
26.454662322998047,2014-08-19
26.62877655029297,2014-08-20
26.650541305541992,2014-08-21
26.476425170898438,2014-08-22
26.383928298950195,2014-08-25
26.171724319458008,2014-08-26
26.302310943603516,2014-08-27
26.383928298950195,2014-08-28
26.373044967651367,2014-08-29
26.503631591796875,2014-09-02
26.498191833496094,2014-09-03
26.34039878845215,2014-09-04
26.498191833496094,2014-09-05
26.44378089904785,2014-09-08
26.356721878051758,2014-09-09
26.699512481689453,2014-09-10
26.672306060791016,2014-09-11
26.547161102294922,2014-09-12
26.48186683654785,2014-09-15
26.57980728149414,2014-09-16
26.76480484008789,2014-09-17
26.726716995239258,2014-09-18
26.688629150390625,2014-09-19
25.796287536621094,2014-09-22
25.507909774780273,2014-09-23
25.60584831237793,2014-09-24
25.409969329833984,2014-09-25
25.769081115722656,2014-09-26
25.409969329833984,2014-09-29
25.56776237487793,2014-09-30
24.925710678100586,2014-10-01
24.925710678100586,2014-10-02
25.350116729736328,2014-10-03
25.078062057495117,2014-10-06
24.83321189880371,2014-10-07
25.11614990234375,2014-10-08
24.37615966796875,2014-10-09
23.690580368041992,2014-10-10
22.994117736816406,2014-10-13
23.135587692260742,2014-10-14
23.01588249206543,2014-10-15
22.96691131591797,2014-10-16
23.57087516784668,2014-10-17
23.92454719543457,2014-10-20
24.958358764648438,2014-10-21
24.299983978271484,2014-10-22
24.800565719604492,2014-10-23
24.93659210205078,2014-10-24
25.039974212646484,2014-10-27
25.312028884887695,2014-10-28
25.3011474609375,2014-10-29
25.46982192993164,2014-10-30
26.079225540161133,2014-10-31
26.264223098754883,2014-11-03
26.198930740356445,2014-11-04
25.375009536743164,2014-11-05
25.857315063476562,2014-11-06
25.68454933166504,2014-11-07
25.331819534301758,2014-11-10
25.389406204223633,2014-11-11
25.281429290771484,2014-11-12
25.339017868041992,2014-11-13
25.223840713500977,2014-11-14
25.590967178344727,2014-11-17
25.936500549316406,2014-11-18
25.641357421875,2014-11-19
25.763734817504883,2014-11-20
25.53337860107422,2014-11-21
25.619762420654297,2014-11-24
26.24603843688965,2014-11-25
26.35401725769043,2014-11-26
26.296428680419922,2014-11-28
26.09486961364746,2014-12-01
25.994089126586914,2014-12-02
26.00128746032715,2014-12-03
25.814123153686523,2014-12-04
25.252634048461914,2014-12-05
24.583166122436523,2014-12-08
24.741535186767578,2014-12-09
24.482385635375977,2014-12-10
24.92869758605957,2014-12-11
24.647953033447266,2014-12-12
24.208839416503906,2014-12-15
24.115257263183594,2014-12-16
24.201641082763672,2014-12-17
24.388803482055664,2014-12-18
24.467988967895508,2014-12-19
24.410400390625,2014-12-22
24.280824661254883,2014-12-23
24.503982543945312,2014-12-24
24.590364456176758,2014-12-26
25.173450469970703,2014-12-29
25.432598114013672,2014-12-30
25.21664047241211,2014-12-31
24.935897827148438,2015-01-02
24.467988967895508,2015-01-05
23.964088439941406,2015-01-06
24.53277587890625,2015-01-07
25.331819534301758,2015-01-08
25.187847137451172,2015-01-09
25.375009536743164,2015-01-12
25.497386932373047,2015-01-13
25.03667640686035,2015-01-14
24.61195945739746,2015-01-15
24.979087829589844,2015-01-16
24.871109008789062,2015-01-20
25.072669982910156,2015-01-21
25.482988357543945,2015-01-22
24.842315673828125,2015-01-23
25.763734817504883,2015-01-26
25.511783599853516,2015-01-27
24.691144943237305,2015-01-28
24.741535186767578,2015-01-29
24.561569213867188,2015-01-30
24.885507583618164,2015-02-02
25.677350997924805,2015-02-03
25.734939575195312,2015-02-04
26.33962059020996,2015-02-05
26.325223922729492,2015-02-06
26.195648193359375,2015-02-09
26.433202743530273,2015-02-10
26.598770141601562,2015-02-11
27.304231643676758,2015-02-12
27.405010223388672,2015-02-13
27.44820213317871,2015-02-17
27.836925506591797,2015-02-18
27.678556442260742,2015-02-19
27.707351684570312,2015-02-20
27.894514083862305,2015-02-23
27.93050765991211,2015-02-24
27.93050765991211,2015-02-25
27.80813217163086,2015-02-26
27.786535263061523,2015-02-27
28.045684814453125,2015-03-02
28.801536560058594,2015-03-03
28.542387008666992,2015-03-04
28.391216278076172,2015-03-05
28.18965721130371,2015-03-06
28.391216278076172,2015-03-09
27.692955017089844,2015-03-10
28.016891479492188,2015-03-11
28.268840789794922,2015-03-12
27.90171241760254,2015-03-13
28.261642456054688,2015-03-16
28.0960750579834,2015-03-17
28.420011520385742,2015-03-18
28.563983917236328,2015-03-19
28.77994155883789,2015-03-20
28.28323745727539,2015-03-23
27.880117416381836,2015-03-24
27.131465911865234,2015-03-25
27.059478759765625,2015-03-26
27.145862579345703,2015-03-27
27.361820220947266,2015-03-30
27.498592376708984,2015-03-31
27.61376953125,2015-04-01
28.146465301513672,2015-04-02
28.254444122314453,2015-04-06
28.232847213745117,2015-04-07
28.074478149414062,2015-04-08
28.08167839050293,2015-04-09
28.1176700592041,2015-04-10
28.103273391723633,2015-04-13
28.12487030029297,2015-04-14
28.211252212524414,2015-04-15
27.988096237182617,2015-04-16
27.282634735107422,2015-04-17
27.620969772338867,2015-04-20
27.772138595581055,2015-04-21
27.664159774780273,2015-04-22
27.649763107299805,2015-04-23
28.024089813232422,2015-04-24
27.570579528808594,2015-04-27
27.75054359436035,2015-04-28
27.952104568481445,2015-04-29
27.318628311157227,2015-04-30
27.556180953979492,2015-05-01
27.786535263061523,2015-05-04
27.210649490356445,2015-05-05
26.994691848754883,2015-05-06
27.059478759765625,2015-05-07
26.908309936523438,2015-05-08
26.6275634765625,2015-05-11
26.692350387573242,2015-05-12
26.90110969543457,2015-05-13
27.06667709350586,2015-05-14
27.124265670776367,2015-05-15
27.153060913085938,2015-05-18
27.181854248046875,2015-05-19
27.088272094726562,2015-05-20
27.333024978637695,2015-05-21
27.38341522216797,2015-05-22
27.21784782409668,2015-05-26
27.59937286376953,2015-05-27
27.304231643676758,2015-05-28
27.32582664489746,2015-05-29
27.318628311157227,2015-06-01
27.20345115661621,2015-06-02
27.671358108520508,2015-06-03
27.664159774780273,2015-06-04
27.772138595581055,2015-06-05
27.50579071044922,2015-06-08
27.311429977416992,2015-06-09
27.829727172851562,2015-06-10
27.772138595581055,2015-06-11
27.39781379699707,2015-06-12
27.02348518371582,2015-06-15
26.908309936523438,2015-06-16
27.01628875732422,2015-06-17
27.441003799438477,2015-06-18
27.390613555908203,2015-06-19
27.32582664489746,2015-06-22
27.124265670776367,2015-06-23
26.836322784423828,2015-06-24
26.69955062866211,2015-06-25
26.375614166259766,2015-06-26
25.922103881835938,2015-06-29
25.842918395996094,2015-06-30
25.95809555053711,2015-07-01
25.98689079284668,2015-07-02
25.605365753173828,2015-07-06
25.734939575195312,2015-07-07
25.065471649169922,2015-07-08
25.144655227661133,2015-07-09
25.346216201782227,2015-07-10
25.760135650634766,2015-07-13
26.044479370117188,2015-07-14
26.044479370117188,2015-07-15
26.1236629486084,2015-07-16
25.922103881835938,2015-07-17
25.9005069732666,2015-07-20
25.893308639526367,2015-07-21
25.799726486206055,2015-07-22
25.734939575195312,2015-07-23
25.605365753173828,2015-07-24
25.56217384338379,2015-07-27
26.145259857177734,2015-07-28
26.605968475341797,2015-07-29
27.01628875732422,2015-07-30
27.13866424560547,2015-07-31
27.145862579345703,2015-08-03
27.405010223388672,2015-08-04
27.390613555908203,2015-08-05
27.117067337036133,2015-08-06
27.09547233581543,2015-08-07
27.498592376708984,2015-08-10
27.02348518371582,2015-08-11
27.34022331237793,2015-08-12
27.311429977416992,2015-08-13
27.17465591430664,2015-08-14
27.225046157836914,2015-08-17
27.08107566833496,2015-08-18
26.8867130279541,2015-08-19
26.166854858398438,2015-08-20
25.540578842163086,2015-08-21
24.482385635375977,2015-08-24
24.80632209777832,2015-08-25
25.38220977783203,2015-08-26
26.138059616088867,2015-08-27
26.202848434448242,2015-08-28
26.073272705078125,2015-08-31
25.886110305786133,2015-09-01
26.202848434448242,2015-09-02
26.18844985961914,2015-09-03
25.907705307006836,2015-09-04
26.296428680419922,2015-09-08
25.994089126586914,2015-09-09
26.30362892150879,2015-09-10
26.195648193359375,2015-09-11
26.02288246154785,2015-09-14
26.09486961364746,2015-09-15
26.102067947387695,2015-09-16
26.015684127807617,2015-09-17
25.62696075439453,2015-09-18
26.015684127807617,2015-09-21
25.68454933166504,2015-09-22
25.569372177124023,2015-09-23
25.418201446533203,2015-09-24
25.209442138671875,2015-09-25
24.511180877685547,2015-09-28
24.25922966003418,2015-09-29
24.80632209777832,2015-09-30
25.360612869262695,2015-10-01
25.864513397216797,2015-10-02
26.10926628112793,2015-10-05
26.27483367919922,2015-10-06
26.27483367919922,2015-10-07
26.69955062866211,2015-10-08
26.73554229736328,2015-10-09
26.965896606445312,2015-10-12
26.980295181274414,2015-10-13
26.958698272705078,2015-10-14
27.160259246826172,2015-10-15
27.037883758544922,2015-10-16
27.09547233581543,2015-10-19
27.239444732666016,2015-10-20
26.65635871887207,2015-10-21
