LRCX,Date
1.9214637279510498,1984-05-04
1.8974452018737793,1984-05-07
1.8974452018737793,1984-05-08
1.8974452018737793,1984-05-09
1.8494091033935547,1984-05-10
1.8253905773162842,1984-05-11
1.8253905773162842,1984-05-14
1.8734278678894043,1984-05-15
1.8734278678894043,1984-05-16
1.8734278678894043,1984-05-17
1.6332441568374634,1984-05-18
1.6332441568374634,1984-05-21
1.6332441568374634,1984-05-22
1.6572624444961548,1984-05-23
1.6572624444961548,1984-05-24
1.6572624444961548,1984-05-25
1.6572624444961548,1984-05-29
1.6572624444961548,1984-05-30
1.6572624444961548,1984-05-31
1.705298900604248,1984-06-01
1.729317545890808,1984-06-04
1.753335952758789,1984-06-05
1.753335952758789,1984-06-06
1.801371693611145,1984-06-07
1.801371693611145,1984-06-08
1.801371693611145,1984-06-11
1.8253905773162842,1984-06-12
1.8253905773162842,1984-06-13
1.8253905773162842,1984-06-14
1.8253905773162842,1984-06-15
1.8253905773162842,1984-06-18
1.8494091033935547,1984-06-19
1.8494091033935547,1984-06-20
1.8494091033935547,1984-06-21
1.8494091033935547,1984-06-22
1.8253905773162842,1984-06-25
1.77735435962677,1984-06-26
1.77735435962677,1984-06-27
1.729317545890808,1984-06-28
1.729317545890808,1984-06-29
1.729317545890808,1984-07-02
1.6332441568374634,1984-07-03
1.6332441568374634,1984-07-05
1.6332441568374634,1984-07-06
1.5852075815200806,1984-07-09
1.5852075815200806,1984-07-10
1.609225869178772,1984-07-11
1.609225869178772,1984-07-12
1.609225869178772,1984-07-13
1.609225869178772,1984-07-16
1.609225869178772,1984-07-17
1.6332441568374634,1984-07-18
1.6572624444961548,1984-07-19
1.6572624444961548,1984-07-20
1.6572624444961548,1984-07-23
1.6572624444961548,1984-07-24
1.6572624444961548,1984-07-25
1.6572624444961548,1984-07-26
1.6572624444961548,1984-07-27
1.6332441568374634,1984-07-30
1.6332441568374634,1984-07-31
1.6332441568374634,1984-08-01
1.6572624444961548,1984-08-02
1.753335952758789,1984-08-03
1.8494091033935547,1984-08-06
1.8253905773162842,1984-08-07
1.8253905773162842,1984-08-08
1.8253905773162842,1984-08-09
1.8253905773162842,1984-08-10
1.8734278678894043,1984-08-13
1.8734278678894043,1984-08-14
1.8734278678894043,1984-08-15
1.8734278678894043,1984-08-16
1.8734278678894043,1984-08-17
1.8734278678894043,1984-08-20
1.8734278678894043,1984-08-21
1.9695003032684326,1984-08-22
1.9214637279510498,1984-08-23
1.9214637279510498,1984-08-24
1.8734278678894043,1984-08-27
1.8734278678894043,1984-08-28
1.8734278678894043,1984-08-29
1.8974452018737793,1984-08-30
1.8974452018737793,1984-08-31
1.9214637279510498,1984-09-04
1.9214637279510498,1984-09-05
1.9214637279510498,1984-09-06
2.0415544509887695,1984-09-07
2.0415544509887695,1984-09-10
2.0895917415618896,1984-09-11
2.1136090755462646,1984-09-12
2.1856651306152344,1984-09-13
2.23370099067688,1984-09-14
2.281738042831421,1984-09-17
2.281738042831421,1984-09-18
2.281738042831421,1984-09-19
2.065573215484619,1984-09-20
2.065573215484619,1984-09-21
2.065573215484619,1984-09-24
1.9214637279510498,1984-09-25
1.8974452018737793,1984-09-26
1.8494091033935547,1984-09-27
1.729317545890808,1984-09-28
1.6812801361083984,1984-10-01
1.6332441568374634,1984-10-02
1.6332441568374634,1984-10-03
1.609225869178772,1984-10-04
1.609225869178772,1984-10-05
1.609225869178772,1984-10-08
1.609225869178772,1984-10-09
1.609225869178772,1984-10-10
1.609225869178772,1984-10-11
1.609225869178772,1984-10-12
1.5371708869934082,1984-10-15
1.4891340732574463,1984-10-16
1.441097617149353,1984-10-17
1.441097617149353,1984-10-18
1.441097617149353,1984-10-19
1.441097617149353,1984-10-22
1.441097617149353,1984-10-23
1.441097617149353,1984-10-24
1.441097617149353,1984-10-25
1.441097617149353,1984-10-26
1.441097617149353,1984-10-29
1.5371708869934082,1984-10-30
1.561189889907837,1984-10-31
1.5852075815200806,1984-11-01
1.5852075815200806,1984-11-02
1.6572624444961548,1984-11-05
1.6332441568374634,1984-11-06
1.6332441568374634,1984-11-07
1.6332441568374634,1984-11-08
1.6332441568374634,1984-11-09
1.6572624444961548,1984-11-12
1.6812801361083984,1984-11-13
1.6812801361083984,1984-11-14
1.6812801361083984,1984-11-15
1.6812801361083984,1984-11-16
1.6812801361083984,1984-11-19
1.6572624444961548,1984-11-20
1.561189889907837,1984-11-21
1.561189889907837,1984-11-23
1.561189889907837,1984-11-26
1.561189889907837,1984-11-27
1.5852075815200806,1984-11-28
1.5852075815200806,1984-11-29
1.5852075815200806,1984-11-30
1.5852075815200806,1984-12-03
1.5852075815200806,1984-12-04
1.5852075815200806,1984-12-05
1.609225869178772,1984-12-06
1.6332441568374634,1984-12-07
1.6332441568374634,1984-12-10
1.6332441568374634,1984-12-11
1.6332441568374634,1984-12-12
1.6332441568374634,1984-12-13
1.5852075815200806,1984-12-14
1.5852075815200806,1984-12-17
1.609225869178772,1984-12-18
1.5852075815200806,1984-12-19
1.5131527185440063,1984-12-20
1.4891340732574463,1984-12-21
1.4891340732574463,1984-12-24
1.4891340732574463,1984-12-26
1.5131527185440063,1984-12-27
1.5852075815200806,1984-12-28
1.5852075815200806,1984-12-31
1.5852075815200806,1985-01-02
1.561189889907837,1985-01-03
1.4891340732574463,1985-01-04
1.3450247049331665,1985-01-07
1.2729694843292236,1985-01-08
1.3210065364837646,1985-01-09
1.3690422773361206,1985-01-10
1.3930611610412598,1985-01-11
1.4891340732574463,1985-01-14
1.561189889907837,1985-01-15
1.609225869178772,1985-01-16
1.6572624444961548,1985-01-17
1.729317545890808,1985-01-18
1.729317545890808,1985-01-21
1.705298900604248,1985-01-22
1.729317545890808,1985-01-23
1.9214637279510498,1985-01-24
2.0415544509887695,1985-01-25
1.8974452018737793,1985-01-28
1.9695003032684326,1985-01-29
2.0175364017486572,1985-01-30
2.0175364017486572,1985-01-31
1.9695003032684326,1985-02-01
1.9935179948806763,1985-02-04
2.0415544509887695,1985-02-05
2.23370099067688,1985-02-06
2.281738042831421,1985-02-07
2.281738042831421,1985-02-08
2.257720470428467,1985-02-11
2.2096831798553467,1985-02-12
2.2096831798553467,1985-02-13
2.1376283168792725,1985-02-14
2.161646604537964,1985-02-15
2.161646604537964,1985-02-19
2.0895917415618896,1985-02-20
2.065573215484619,1985-02-21
1.9695003032684326,1985-02-22
1.9695003032684326,1985-02-25
1.9454816579818726,1985-02-26
1.9214637279510498,1985-02-27
2.0415544509887695,1985-02-28
2.1136090755462646,1985-03-01
2.1856651306152344,1985-03-04
2.257720470428467,1985-03-05
2.257720470428467,1985-03-06
2.2096831798553467,1985-03-07
2.1856651306152344,1985-03-08
2.1376283168792725,1985-03-11
2.1136090755462646,1985-03-12
2.0415544509887695,1985-03-13
2.0895917415618896,1985-03-14
2.0895917415618896,1985-03-15
2.0415544509887695,1985-03-18
2.0415544509887695,1985-03-19
1.9935179948806763,1985-03-20
1.9214637279510498,1985-03-21
1.9214637279510498,1985-03-22
1.9935179948806763,1985-03-25
1.9935179948806763,1985-03-26
1.9695003032684326,1985-03-27
1.8974452018737793,1985-03-28
1.9214637279510498,1985-03-29
1.9214637279510498,1985-04-01
1.9214637279510498,1985-04-02
1.9695003032684326,1985-04-03
1.9214637279510498,1985-04-04
1.9454816579818726,1985-04-08
1.9454816579818726,1985-04-09
1.9454816579818726,1985-04-10
1.9454816579818726,1985-04-11
1.9214637279510498,1985-04-12
1.9454816579818726,1985-04-15
2.0175364017486572,1985-04-16
1.9695003032684326,1985-04-17
1.9935179948806763,1985-04-18
1.9695003032684326,1985-04-19
1.9214637279510498,1985-04-22
1.9454816579818726,1985-04-23
1.9214637279510498,1985-04-24
1.9454816579818726,1985-04-25
1.9454816579818726,1985-04-26
1.8734278678894043,1985-04-29
1.8253905773162842,1985-04-30
1.77735435962677,1985-05-01
1.8253905773162842,1985-05-02
1.77735435962677,1985-05-03
1.801371693611145,1985-05-06
1.8253905773162842,1985-05-07
1.8253905773162842,1985-05-08
1.8734278678894043,1985-05-09
1.9214637279510498,1985-05-10
1.8974452018737793,1985-05-13
1.9214637279510498,1985-05-14
1.8734278678894043,1985-05-15
1.9214637279510498,1985-05-16
2.0175364017486572,1985-05-17
1.9935179948806763,1985-05-20
1.9935179948806763,1985-05-21
1.9695003032684326,1985-05-22
1.9695003032684326,1985-05-23
1.9214637279510498,1985-05-24
1.9454816579818726,1985-05-28
1.9454816579818726,1985-05-29
1.9454816579818726,1985-05-30
1.8734278678894043,1985-05-31
1.8253905773162842,1985-06-03
1.801371693611145,1985-06-04
1.705298900604248,1985-06-05
1.729317545890808,1985-06-06
1.77735435962677,1985-06-07
1.729317545890808,1985-06-10
1.705298900604248,1985-06-11
1.729317545890808,1985-06-12
1.6572624444961548,1985-06-13
1.6572624444961548,1985-06-14
1.6332441568374634,1985-06-17
1.6332441568374634,1985-06-18
1.6332441568374634,1985-06-19
1.6332441568374634,1985-06-20
1.6572624444961548,1985-06-21
1.6572624444961548,1985-06-24
1.77735435962677,1985-06-25
1.8253905773162842,1985-06-26
1.8253905773162842,1985-06-27
1.8253905773162842,1985-06-28
1.801371693611145,1985-07-01
1.753335952758789,1985-07-02
1.705298900604248,1985-07-03
1.705298900604248,1985-07-05
1.6572624444961548,1985-07-08
1.6812801361083984,1985-07-09
1.705298900604248,1985-07-10
1.729317545890808,1985-07-11
1.6812801361083984,1985-07-12
1.6812801361083984,1985-07-15
1.77735435962677,1985-07-16
1.8253905773162842,1985-07-17
1.8494091033935547,1985-07-18
1.8253905773162842,1985-07-19
1.77735435962677,1985-07-22
1.801371693611145,1985-07-23
1.801371693611145,1985-07-24
1.8253905773162842,1985-07-25
1.8253905773162842,1985-07-26
1.8253905773162842,1985-07-29
1.801371693611145,1985-07-30
1.8974452018737793,1985-07-31
1.9214637279510498,1985-08-01
1.9214637279510498,1985-08-02
1.8734278678894043,1985-08-05
1.8734278678894043,1985-08-06
1.801371693611145,1985-08-07
1.77735435962677,1985-08-08
1.801371693611145,1985-08-09
1.801371693611145,1985-08-12
1.77735435962677,1985-08-13
1.77735435962677,1985-08-14
1.801371693611145,1985-08-15
1.753335952758789,1985-08-16
1.729317545890808,1985-08-19
1.77735435962677,1985-08-20
1.729317545890808,1985-08-21
1.729317545890808,1985-08-22
1.801371693611145,1985-08-23
1.753335952758789,1985-08-26
1.9214637279510498,1985-08-27
1.9695003032684326,1985-08-28
1.9214637279510498,1985-08-29
1.801371693611145,1985-08-30
1.77735435962677,1985-09-03
1.729317545890808,1985-09-04
1.77735435962677,1985-09-05
