NI,Date
0.8336833119392395,1973-02-21
0.8081621527671814,1973-02-22
0.8209224343299866,1973-02-23
0.812415599822998,1973-02-26
0.812415599822998,1973-02-27
0.7996554374694824,1973-02-28
0.7954019904136658,1973-03-01
0.7868943810462952,1973-03-02
0.7868943810462952,1973-03-05
0.7826412320137024,1973-03-06
0.7826412320137024,1973-03-07
0.7826412320137024,1973-03-08
0.7783871293067932,1973-03-09
0.7698807716369629,1973-03-12
0.7826412320137024,1973-03-13
0.7826412320137024,1973-03-14
0.7656273245811462,1973-03-15
0.7528667449951172,1973-03-16
0.7571198344230652,1973-03-19
0.7528667449951172,1973-03-20
0.7613731622695923,1973-03-21
0.7613731622695923,1973-03-22
0.7486134171485901,1973-03-23
0.7486134171485901,1973-03-26
0.7443597912788391,1973-03-27
0.7486134171485901,1973-03-28
0.7613731622695923,1973-03-29
0.7656273245811462,1973-03-30
0.7698807716369629,1973-04-02
0.7698807716369629,1973-04-03
0.7783871293067932,1973-04-04
0.7783871293067932,1973-04-05
0.7783871293067932,1973-04-06
0.7826412320137024,1973-04-09
0.7656273245811462,1973-04-10
0.7783871293067932,1973-04-11
0.7868943810462952,1973-04-12
0.7698807716369629,1973-04-13
0.7783871293067932,1973-04-16
0.7826412320137024,1973-04-17
0.7783871293067932,1973-04-18
0.7656273245811462,1973-04-19
0.77413409948349,1973-04-23
0.7698807716369629,1973-04-24
0.7571198344230652,1973-04-25
0.7571198344230652,1973-04-26
0.7486134171485901,1973-04-27
0.7401062846183777,1973-04-30
0.7315999865531921,1973-05-01
0.7315999865531921,1973-05-02
0.7443597912788391,1973-05-03
0.7613731622695923,1973-05-04
0.7613731622695923,1973-05-07
0.7783871293067932,1973-05-08
0.7826412320137024,1973-05-09
0.7783871293067932,1973-05-10
0.7783871293067932,1973-05-11
0.7783871293067932,1973-05-14
0.77413409948349,1973-05-15
0.7783871293067932,1973-05-16
0.7698807716369629,1973-05-17
0.77413409948349,1973-05-18
0.7783871293067932,1973-05-21
0.7826412320137024,1973-05-22
0.7911479473114014,1973-05-23
0.7868943810462952,1973-05-24
0.7911479473114014,1973-05-25
0.7954019904136658,1973-05-29
0.7996554374694824,1973-05-30
0.8081621527671814,1973-05-31
0.7954019904136658,1973-06-01
0.7996554374694824,1973-06-04
0.7911479473114014,1973-06-05
0.7954019904136658,1973-06-06
0.7954019904136658,1973-06-07
0.8039090037345886,1973-06-08
0.812415599822998,1973-06-11
0.8166693449020386,1973-06-12
0.8294295072555542,1973-06-13
0.8209224343299866,1973-06-14
0.8166693449020386,1973-06-15
0.812415599822998,1973-06-18
0.7996554374694824,1973-06-19
0.812415599822998,1973-06-20
0.8039090037345886,1973-06-21
0.812415599822998,1973-06-22
0.812415599822998,1973-06-25
0.8039090037345886,1973-06-26
0.8081621527671814,1973-06-27
0.8039090037345886,1973-06-28
0.7996554374694824,1973-06-29
0.7911479473114014,1973-07-02
0.7783871293067932,1973-07-03
0.77413409948349,1973-07-05
0.7656273245811462,1973-07-06
0.7528667449951172,1973-07-09
0.7656273245811462,1973-07-10
0.7613731622695923,1973-07-11
0.7230921387672424,1973-07-12
0.7145856618881226,1973-07-13
0.7230921387672424,1973-07-16
0.7230921387672424,1973-07-17
0.7230921387672424,1973-07-18
0.7145856618881226,1973-07-19
0.7145856618881226,1973-07-20
0.7103318572044373,1973-07-23
0.7018250823020935,1973-07-24
0.6975715756416321,1973-07-25
0.689064621925354,1973-07-26
0.6805576086044312,1973-07-27
0.6720505356788635,1973-07-30
0.6720505356788635,1973-07-31
0.6677969098091125,1973-08-01
0.6507830023765564,1973-08-02
0.6507830023765564,1973-08-03
0.6507830023765564,1973-08-06
0.6465291380882263,1973-08-07
0.6507830023765564,1973-08-08
0.6635438203811646,1973-08-09
0.6635438203811646,1973-08-10
0.6422758102416992,1973-08-13
0.6422758102416992,1973-08-14
0.6295157074928284,1973-08-15
0.6507830023765564,1973-08-16
0.6507830023765564,1973-08-17
0.6592901349067688,1973-08-20
0.6550366878509521,1973-08-21
0.6465291380882263,1973-08-22
0.6635438203811646,1973-08-23
0.6507830023765564,1973-08-24
0.6380224227905273,1973-08-27
0.6380224227905273,1973-08-28
0.6465291380882263,1973-08-29
0.6550366878509521,1973-08-30
0.6465291380882263,1973-08-31
0.6380224227905273,1973-09-04
0.6465291380882263,1973-09-05
0.6592901349067688,1973-09-06
0.6635438203811646,1973-09-07
0.6677969098091125,1973-09-10
0.6592901349067688,1973-09-11
0.6550366878509521,1973-09-12
0.6550366878509521,1973-09-13
0.6550366878509521,1973-09-14
