JNJ,Date
0.06449826806783676,1962-01-02
0.06349548697471619,1962-01-03
0.06282734125852585,1962-01-04
0.061824534088373184,1962-01-05
0.06082209572196007,1962-01-08
0.0614905022084713,1962-01-09
0.06282734125852585,1962-01-10
0.062492936849594116,1962-01-11
0.061824534088373184,1962-01-12
0.061824534088373184,1962-01-15
0.0614905022084713,1962-01-16
0.061824534088373184,1962-01-17
0.061323296278715134,1962-01-18
0.061991751194000244,1962-01-19
0.061323296278715134,1962-01-22
0.06082209572196007,1962-01-23
0.06065491959452629,1962-01-24
0.060487985610961914,1962-01-25
0.06032080203294754,1962-01-26
0.06115641072392464,1962-01-29
0.06082209572196007,1962-01-30
0.06215887889266014,1962-01-31
0.06266014277935028,1962-02-01
0.06566790491342545,1962-02-02
0.06850854307413101,1962-02-05
0.07151602953672409,1962-02-06
0.0721844807267189,1962-02-07
0.07134884595870972,1962-02-08
0.07118198275566101,1962-02-09
0.07051357626914978,1962-02-12
0.07001108676195145,1962-02-13
0.06800135225057602,1962-02-14
0.06800135225057602,1962-02-15
0.06766621768474579,1962-02-16
0.06716375797986984,1962-02-19
0.06599129736423492,1962-02-20
0.06431636959314346,1962-02-21
0.06364637613296509,1962-02-23
0.0649864450097084,1962-02-26
0.0658239796757698,1962-02-27
0.0649864450097084,1962-02-28
0.06515395641326904,1962-03-01
0.0648188441991806,1962-03-02
0.0649864450097084,1962-03-05
0.0658239796757698,1962-03-06
0.06599129736423492,1962-03-07
0.06632640212774277,1962-03-08
0.06599129736423492,1962-03-09
0.06666133552789688,1962-03-12
0.06883861869573593,1962-03-13
0.07001108676195145,1962-03-14
0.07051362097263336,1962-03-15
0.06883861869573593,1962-03-16
0.06867135316133499,1962-03-19
0.06867135316133499,1962-03-20
0.06833618879318237,1962-03-21
0.06816862523555756,1962-03-22
0.06749889999628067,1962-03-23
0.06766621768474579,1962-03-26
0.06666133552789688,1962-03-27
0.06632640212774277,1962-03-28
0.06632640212774277,1962-03-29
0.0648188441991806,1962-03-30
0.06448398530483246,1962-04-02
0.0648188441991806,1962-04-03
0.06465154886245728,1962-04-04
0.0649864450097084,1962-04-05
0.06448398530483246,1962-04-06
0.06431636959314346,1962-04-09
0.06364637613296509,1962-04-10
0.06398153305053711,1962-04-11
0.06230659782886505,1962-04-12
0.06347908824682236,1962-04-13
0.06331156194210052,1962-04-16
0.06331156194210052,1962-04-17
0.06297659873962402,1962-04-18
0.06331156194210052,1962-04-19
0.06314393877983093,1962-04-23
0.06230659782886505,1962-04-24
0.062139056622982025,1962-04-25
0.06096664071083069,1962-04-26
0.059961676597595215,1962-04-27
0.05761680006980896,1962-04-30
0.059961676597595215,1962-05-01
0.060464173555374146,1962-05-02
0.06079908087849617,1962-05-03
0.061469003558158875,1962-05-04
0.061636634171009064,1962-05-07
0.061134204268455505,1962-05-08
0.06079908087849617,1962-05-09
0.05945931747555733,1962-05-10
0.05895683541893959,1962-05-11
0.059291720390319824,1962-05-14
0.06012933328747749,1962-05-15
0.059961676597595215,1962-05-16
0.06029658019542694,1962-05-17
0.059291720390319824,1962-05-18
0.05862167105078697,1962-05-21
0.058117784559726715,1962-05-22
0.05643812566995621,1962-05-23
0.05585033819079399,1962-05-24
0.052407074719667435,1962-05-25
0.047871872782707214,1962-05-28
0.05039123818278313,1962-05-29
0.05307874456048012,1962-05-31
0.053750716149806976,1962-06-01
0.051735132932662964,1962-06-04
0.0504751093685627,1962-06-05
0.0512312613427639,1962-06-06
0.051399026066064835,1962-06-07
0.05156708508729935,1962-06-08
0.0512312613427639,1962-06-11
0.04803963005542755,1962-06-12
0.046359941363334656,1962-06-13
0.044176362454891205,1962-06-14
0.049047380685806274,1962-06-15
0.04803963005542755,1962-06-18
0.047031842172145844,1962-06-19
0.04837573319673538,1962-06-20
0.046359941363334656,1962-06-21
0.046611860394477844,1962-06-22
0.04803963005542755,1962-06-25
0.047871872782707214,1962-06-26
0.047031842172145844,1962-06-27
0.0493834987282753,1962-06-28
0.05215514078736305,1962-06-29
0.052910931408405304,1962-07-02
0.052742891013622284,1962-07-03
0.052910931408405304,1962-07-05
0.05072733759880066,1962-07-06
0.051399026066064835,1962-07-09
0.051735132932662964,1962-07-10
0.05055931955575943,1962-07-11
0.05190284922719002,1962-07-12
0.05257485434412956,1962-07-13
0.05156708508729935,1962-07-16
0.05156708508729935,1962-07-17
0.05055931955575943,1962-07-18
0.05005545914173126,1962-07-19
0.05005545914173126,1962-07-20
0.04955154284834862,1962-07-23
0.047367654740810394,1962-07-24
0.047703780233860016,1962-07-25
0.04921545833349228,1962-07-26
0.04921545833349228,1962-07-27
0.049047380685806274,1962-07-30
0.05013927072286606,1962-07-31
0.05005545914173126,1962-08-01
0.05005545914173126,1962-08-02
0.04803963005542755,1962-08-03
0.047703780233860016,1962-08-06
0.047199904918670654,1962-08-07
0.049047380685806274,1962-08-08
0.049047380685806274,1962-08-09
0.0493834987282753,1962-08-10
0.049047380685806274,1962-08-13
0.04854352027177811,1962-08-14
0.0493834987282753,1962-08-15
0.049047380685806274,1962-08-16
0.04921545833349228,1962-08-17
0.04887962341308594,1962-08-20
0.04854261502623558,1962-08-21
0.04938521981239319,1962-08-22
0.04921658709645271,1962-08-23
0.048710986971855164,1962-08-24
0.047531113028526306,1962-08-27
0.04736274108290672,1962-08-28
0.04727828875184059,1962-08-29
0.04727828875184059,1962-08-30
0.047699760645627975,1962-08-31
0.047868382185697556,1962-09-04
0.04719414561986923,1962-09-05
0.047699760645627975,1962-09-06
0.047699760645627975,1962-09-07
