META,Date
38.18947982788086,2012-05-18
33.99393081665039,2012-05-21
30.967144012451172,2012-05-22
31.966083526611328,2012-05-23
32.994991302490234,2012-05-24
31.876178741455078,2012-05-25
28.809432983398438,2012-05-29
28.16012191772461,2012-05-30
29.568628311157227,2012-05-31
27.69061851501465,2012-06-01
26.871488571166992,2012-06-04
25.842580795288086,2012-06-05
26.781583786010742,2012-06-06
26.282114028930664,2012-06-07
27.071277618408203,2012-06-08
26.981372833251953,2012-06-11
27.37095832824707,2012-06-12
27.24109649658203,2012-06-13
28.26001739501953,2012-06-14
29.978193283081055,2012-06-15
31.376708984375,2012-06-18
31.876178741455078,2012-06-19
31.56650733947754,2012-06-20
31.80625343322754,2012-06-21
33.01496887207031,2012-06-22
32.02602005004883,2012-06-25
33.06491470336914,2012-06-26
32.195838928222656,2012-06-27
31.326763153076172,2012-06-28
31.06703758239746,2012-06-29
30.73738670349121,2012-07-02
31.166933059692383,2012-07-03
31.4366455078125,2012-07-05
31.696369171142578,2012-07-06
32.135902404785156,2012-07-09
31.4366455078125,2012-07-10
30.93717384338379,2012-07-11
30.77734375,2012-07-12
30.68743896484375,2012-07-13
28.22005844116211,2012-07-16
28.06022834777832,2012-07-17
29.079147338867188,2012-07-18
28.969263076782227,2012-07-19
28.729516983032227,2012-07-20
28.719528198242188,2012-07-23
28.41984748840332,2012-07-24
29.308902740478516,2012-07-25
26.821542739868164,2012-07-26
23.68486976623535,2012-07-27
23.125463485717773,2012-07-30
21.686988830566406,2012-07-31
20.857868194580078,2012-08-01
20.018760681152344,2012-08-02
21.06764793395996,2012-08-03
21.896766662597656,2012-08-06
20.69803810119629,2012-08-07
20.69803810119629,2012-08-08
20.98773193359375,2012-08-09
21.786882400512695,2012-08-10
21.577106475830078,2012-08-13
20.3583984375,2012-08-14
21.17753028869629,2012-08-15
19.848939895629883,2012-08-16
19.029808044433594,2012-08-17
19.988792419433594,2012-08-20
19.139692306518555,2012-08-21
19.419395446777344,2012-08-22
19.419395446777344,2012-08-23
19.389427185058594,2012-08-24
19.129703521728516,2012-08-27
19.319501876831055,2012-08-28
19.079755783081055,2012-08-29
19.069766998291016,2012-08-30
18.040857315063477,2012-08-31
17.71120834350586,2012-09-04
18.560306549072266,2012-09-05
18.939903259277344,2012-09-06
18.959882736206055,2012-09-07
18.790063858032227,2012-09-10
19.409406661987305,2012-09-11
20.90781593322754,2012-09-12
20.68804931640625,2012-09-13
21.976682662963867,2012-09-14
21.4971923828125,2012-09-17
21.846820831298828,2012-09-18
23.265316009521484,2012-09-19
22.566057205200195,2012-09-20
22.835771560668945,2012-09-21
20.76796531677246,2012-09-24
20.258506774902344,2012-09-25
20.598146438598633,2012-09-26
20.2984619140625,2012-09-27
21.637042999267578,2012-09-28
21.966691970825195,2012-10-01
22.246397018432617,2012-10-02
21.806861877441406,2012-10-03
21.92673683166504,2012-10-04
20.88783836364746,2012-10-05
20.37837791442871,2012-10-08
20.20855712890625,2012-10-09
19.619182586669922,2012-10-10
19.729066848754883,2012-10-11
19.499311447143555,2012-10-12
19.499311447143555,2012-10-15
19.459352493286133,2012-10-16
19.858928680419922,2012-10-17
18.959882736206055,2012-10-18
18.979862213134766,2012-10-19
19.299522399902344,2012-10-22
19.479331970214844,2012-10-23
23.20537757873535,2012-10-24
22.536088943481445,2012-10-25
21.916746139526367,2012-10-26
21.08762550354004,2012-10-31
21.187519073486328,2012-11-01
21.15755271911621,2012-11-02
21.22747802734375,2012-11-05
21.14756202697754,2012-11-06
20.44830322265625,2012-11-07
19.968812942504883,2012-11-08
19.189638137817383,2012-11-09
20.04872703552246,2012-11-12
19.838951110839844,2012-11-13
22.336301803588867,2012-11-14
22.146501541137695,2012-11-15
23.5350284576416,2012-11-16
22.895708084106445,2012-11-19
23.075517654418945,2012-11-20
24.29422378540039,2012-11-21
23.974563598632812,2012-11-23
25.912506103515625,2012-11-26
26.122283935546875,2012-11-27
26.332061767578125,2012-11-28
27.291044235229492,2012-11-29
27.97032356262207,2012-11-30
27.011341094970703,2012-12-03
27.43089485168457,2012-12-04
27.68062973022461,2012-12-05
26.94141387939453,2012-12-06
27.46086311340332,2012-12-07
27.81049346923828,2012-12-10
27.95034408569336,2012-12-11
27.55076789855957,2012-12-12
28.210067749023438,2012-12-13
26.781583786010742,2012-12-14
26.721647262573242,2012-12-17
27.68062973022461,2012-12-18
27.380949020385742,2012-12-19
27.33100128173828,2012-12-20
26.232168197631836,2012-12-21
26.901456832885742,2012-12-24
26.481903076171875,2012-12-26
26.022388458251953,2012-12-27
25.882537841796875,2012-12-28
26.591787338256836,2012-12-31
27.97032356262207,2013-01-02
27.740568161010742,2013-01-03
28.729516983032227,2013-01-04
29.388818740844727,2013-01-07
29.029199600219727,2013-01-08
30.557579040527344,2013-01-09
31.26682472229004,2013-01-10
31.68638038635254,2013-01-11
30.91719627380371,2013-01-14
30.068098068237305,2013-01-15
29.818363189697266,2013-01-16
30.108055114746094,2013-01-17
29.628562927246094,2013-01-18
30.697429656982422,2013-01-22
30.787334442138672,2013-01-23
31.04705810546875,2013-01-24
31.506572723388672,2013-01-25
32.435585021972656,2013-01-28
30.757366180419922,2013-01-29
31.20688819885254,2013-01-30
30.94716453552246,2013-01-31
29.698488235473633,2013-02-01
28.08020782470703,2013-02-04
28.609643936157227,2013-02-05
29.019208908081055,2013-02-06
28.6196346282959,2013-02-07
28.519739151000977,2013-02-08
28.23004722595215,2013-02-11
27.340991973876953,2013-02-12
27.88041877746582,2013-02-13
28.46979331970215,2013-02-14
28.28998374938965,2013-02-15
28.899337768554688,2013-02-19
28.429834365844727,2013-02-20
27.251087188720703,2013-02-21
27.10124397277832,2013-02-22
27.24109649658203,2013-02-25
27.36096954345703,2013-02-26
26.841522216796875,2013-02-27
27.221118927001953,2013-02-28
27.75055694580078,2013-03-01
27.69061851501465,2013-03-04
27.49083137512207,2013-03-05
27.42090606689453,2013-03-06
28.549707412719727,2013-03-07
27.93036460876465,2013-03-08
28.11017417907715,2013-03-11
27.80050277709961,2013-03-12
27.051298141479492,2013-03-13
27.011341094970703,2013-03-14
26.621753692626953,2013-03-15
26.461923599243164,2013-03-18
26.52185821533203,2013-03-19
25.832592010498047,2013-03-20
25.712718963623047,2013-03-21
25.702728271484375,2013-03-22
25.103364944458008,2013-03-25
25.183279037475586,2013-03-26
26.062347412109375,2013-03-27
25.552888870239258,2013-03-28
25.502941131591797,2013-04-01
25.393056869506836,2013-04-02
26.222177505493164,2013-04-03
27.041309356689453,2013-04-04
27.36096954345703,2013-04-05
26.821542739868164,2013-04-08
26.561817169189453,2013-04-09
27.54077911376953,2013-04-10
27.99030303955078,2013-04-11
27.37095832824707,2013-04-12
26.491891860961914,2013-04-15
26.891468048095703,2013-04-16
26.601774215698242,2013-04-17
25.662771224975586,2013-04-18
25.702728271484375,2013-04-19
25.942474365234375,2013-04-22
25.952463150024414,2013-04-23
26.082326889038086,2013-04-24
26.112293243408203,2013-04-25
26.821542739868164,2013-04-26
26.951404571533203,2013-04-29
27.740568161010742,2013-04-30
27.40092658996582,2013-05-01
28.939294815063477,2013-05-02
28.279993057250977,2013-05-03
27.54077911376953,2013-05-06
26.861499786376953,2013-05-07
27.091257095336914,2013-05-08
27.011341094970703,2013-05-09
26.651721954345703,2013-05-10
26.79157257080078,2013-05-13
27.041309356689453,2013-05-14
26.571807861328125,2013-05-15
26.102304458618164,2013-05-16
26.222177505493164,2013-05-17
25.732696533203125,2013-05-20
25.632802963256836,2013-05-21
25.133333206176758,2013-05-22
25.033437728881836,2013-05-23
24.28423309326172,2013-05-24
24.0744571685791,2013-05-28
23.2952823638916,2013-05-29
24.52397918701172,2013-05-30
24.32419204711914,2013-05-31
23.824722290039062,2013-06-03
23.495071411132812,2013-06-04
22.875728607177734,2013-06-05
22.945653915405273,2013-06-06
23.265316009521484,2013-06-07
24.30421257019043,2013-06-10
24.004531860351562,2013-06-11
23.74480628967285,2013-06-12
23.704849243164062,2013-06-13
23.60495376586914,2013-06-14
23.99454116821289,2013-06-17
24.18433952331543,2013-06-18
24.28423309326172,2013-06-19
23.87466812133789,2013-06-20
24.50400161743164,2013-06-21
23.914627075195312,2013-06-24
24.22429847717285,2013-06-25
24.1343936920166,2013-06-26
24.63386344909668,2013-06-27
24.853628158569336,2013-06-28
24.783702850341797,2013-07-01
24.38412857055664,2013-07-02
24.4940128326416,2013-07-03
24.34417152404785,2013-07-05
24.683809280395508,2013-07-08
25.452993392944336,2013-07-09
25.772653579711914,2013-07-10
25.782644271850586,2013-07-11
25.882537841796875,2013-07-12
26.252147674560547,2013-07-15
26.292102813720703,2013-07-16
26.621753692626953,2013-07-17
26.152252197265625,2013-07-18
25.852569580078125,2013-07-19
26.022388458251953,2013-07-22
26.102304458618164,2013-07-23
26.481903076171875,2013-07-24
34.32358169555664,2013-07-25
33.97395324707031,2013-07-26
35.39244842529297,2013-07-29
37.590118408203125,2013-07-30
36.76099395751953,2013-07-31
37.45026779174805,2013-08-01
38.00967025756836,2013-08-02
39.148460388183594,2013-08-05
38.50914001464844,2013-08-06
38.828800201416016,2013-08-07
38.49915313720703,2013-08-08
38.45919418334961,2013-08-09
38.17949295043945,2013-08-12
36.98076248168945,2013-08-13
36.61115646362305,2013-08-14
36.5212516784668,2013-08-15
37.04070281982422,2013-08-16
37.769927978515625,2013-08-19
38.36928939819336,2013-08-20
38.27938461303711,2013-08-21
38.50914001464844,2013-08-22
40.50701904296875,2013-08-23
41.29618453979492,2013-08-26
39.597984313964844,2013-08-27
40.50701904296875,2013-08-28
41.23624801635742,2013-08-29
41.246238708496094,2013-08-30
41.82562255859375,2013-09-03
41.7357177734375,2013-09-04
42.614784240722656,2013-09-05
43.903419494628906,2013-09-06
43.993324279785156,2013-09-09
43.55378723144531,2013-09-10
44.99226379394531,2013-09-11
44.70256805419922,2013-09-12
44.263038635253906,2013-09-13
42.464942932128906,2013-09-16
45.02223205566406,2013-09-17
45.18206024169922,2013-09-18
45.93126678466797,2013-09-19
47.439666748046875,2013-09-20
47.139984130859375,2013-09-23
48.39864730834961,2013-09-24
49.40757751464844,2013-09-25
50.33658981323242,2013-09-26
51.185691833496094,2013-09-27
50.176761627197266,2013-09-30
50.36655807495117,2013-10-01
50.226707458496094,2013-10-02
49.12787628173828,2013-10-03
50.985904693603516,2013-10-04
50.466453552246094,2013-10-07
47.09003448486328,2013-10-08
46.720428466796875,2013-10-09
48.99801254272461,2013-10-10
49.05794906616211,2013-10-11
49.457523345947266,2013-10-14
49.44753646850586,2013-10-15
51.08579635620117,2013-10-16
52.1546630859375,2013-10-17
54.162532806396484,2013-10-18
53.79292297363281,2013-10-21
52.62416458129883,2013-10-22
51.844993591308594,2013-10-23
52.3944091796875,2013-10-24
51.89493942260742,2013-10-25
50.176761627197266,2013-10-28
49.3476448059082,2013-10-29
48.95805358886719,2013-10-30
50.15678024291992,2013-10-31
49.697269439697266,2013-11-01
48.16889190673828,2013-11-04
50.056888580322266,2013-11-05
49.067935943603516,2013-11-06
47.50959396362305,2013-11-07
47.47962188720703,2013-11-08
46.15103530883789,2013-11-11
46.56060028076172,2013-11-12
48.65837097167969,2013-11-13
48.93807601928711,2013-11-14
48.95805358886719,2013-11-15
45.78142547607422,2013-11-18
46.31086349487305,2013-11-19
46.38079071044922,2013-11-20
46.65050506591797,2013-11-21
46.180999755859375,2013-11-22
44.77249526977539,2013-11-25
45.84136199951172,2013-11-26
46.44072723388672,2013-11-27
46.960174560546875,2013-11-29
47.01012420654297,2013-12-02
46.68046951293945,2013-12-03
48.56846618652344,2013-12-04
48.28876495361328,2013-12-05
47.88918685913086,2013-12-06
48.78823471069336,2013-12-09
50.196739196777344,2013-12-10
49.32766342163086,2013-12-11
51.77506637573242,2013-12-12
53.263484954833984,2013-12-13
53.752967834472656,2013-12-16
54.80185317993164,2013-12-17
55.51110076904297,2013-12-18
54.99165344238281,2013-12-19
55.06157684326172,2013-12-20
57.708770751953125,2013-12-23
57.89856719970703,2013-12-24
57.6688117980957,2013-12-26
55.3812370300293,2013-12-27
53.653072357177734,2013-12-30
54.592079162597656,2013-12-31
54.65201187133789,2014-01-02
54.502174377441406,2014-01-03
