AJG,Date
0.6392953991889954,1984-06-20
0.6176245808601379,1984-06-21
0.6176245808601379,1984-06-22
0.6067892909049988,1984-06-25
0.5959535241127014,1984-06-26
0.6067892909049988,1984-06-27
0.6067892909049988,1984-06-28
0.6284606456756592,1984-06-29
0.6284606456756592,1984-07-02
0.6284606456756592,1984-07-03
0.6392953991889954,1984-07-05
0.6392953991889954,1984-07-06
0.6392953991889954,1984-07-09
0.6392953991889954,1984-07-10
0.6392953991889954,1984-07-11
0.6284606456756592,1984-07-12
0.6284606456756592,1984-07-13
0.6284606456756592,1984-07-16
0.6284606456756592,1984-07-17
0.6284606456756592,1984-07-18
0.6284606456756592,1984-07-19
0.6284606456756592,1984-07-20
0.6392953991889954,1984-07-23
0.6501312851905823,1984-07-24
0.6501312851905823,1984-07-25
0.6826379895210266,1984-07-26
0.7043087482452393,1984-07-27
0.7043087482452393,1984-07-30
0.7043087482452393,1984-07-31
0.7043087482452393,1984-08-01
0.7259800434112549,1984-08-02
0.7368152141571045,1984-08-03
0.7476508617401123,1984-08-06
0.7476508617401123,1984-08-07
0.769321858882904,1984-08-08
0.769321858882904,1984-08-09
0.7801573276519775,1984-08-10
0.7801573276519775,1984-08-13
0.7801573276519775,1984-08-14
0.7801573276519775,1984-08-15
0.7909932136535645,1984-08-16
0.8126644492149353,1984-08-17
0.8234992623329163,1984-08-20
0.8343350887298584,1984-08-21
0.8451709151268005,1984-08-22
0.8560059666633606,1984-08-23
0.8560059666633606,1984-08-24
0.8560059666633606,1984-08-27
0.8668414354324341,1984-08-28
0.9101832509040833,1984-08-29
0.9210196733474731,1984-08-30
0.9210196733474731,1984-08-31
0.9210196733474731,1984-09-04
0.9210196733474731,1984-09-05
0.9210196733474731,1984-09-06
0.9318549633026123,1984-09-07
0.9318549633026123,1984-09-10
0.9318549633026123,1984-09-11
0.9318549633026123,1984-09-12
0.9318549633026123,1984-09-13
0.9318549633026123,1984-09-14
0.9426896572113037,1984-09-17
0.9426896572113037,1984-09-18
0.9426896572113037,1984-09-19
0.9426896572113037,1984-09-20
1.051045298576355,1984-09-21
1.051045298576355,1984-09-24
1.051045298576355,1984-09-25
1.051045298576355,1984-09-26
1.051045298576355,1984-09-27
1.051045298576355,1984-09-28
1.051045298576355,1984-10-01
1.0618817806243896,1984-10-02
1.0618817806243896,1984-10-03
1.0618817806243896,1984-10-04
1.0618817806243896,1984-10-05
1.0618817806243896,1984-10-08
1.0618817806243896,1984-10-09
1.0618817806243896,1984-10-10
1.0618817806243896,1984-10-11
1.0618817806243896,1984-10-12
1.0727157592773438,1984-10-15
1.0727157592773438,1984-10-16
1.083552598953247,1984-10-17
1.083552598953247,1984-10-18
1.083552598953247,1984-10-19
1.083552598953247,1984-10-22
1.0943872928619385,1984-10-23
1.1268938779830933,1984-10-24
1.1594001054763794,1984-10-25
1.1268938779830933,1984-10-26
1.116058349609375,1984-10-29
1.116058349609375,1984-10-30
1.1268938779830933,1984-10-31
1.1377301216125488,1984-11-01
1.1377301216125488,1984-11-02
1.1377301216125488,1984-11-05
1.1377301216125488,1984-11-06
1.1485652923583984,1984-11-07
1.1702357530593872,1984-11-08
1.1594001054763794,1984-11-09
1.1594001054763794,1984-11-12
1.1594001054763794,1984-11-13
1.1702357530593872,1984-11-14
1.1702357530593872,1984-11-15
1.1702357530593872,1984-11-16
1.1702357530593872,1984-11-19
1.1810721158981323,1984-11-20
1.1810721158981323,1984-11-21
1.1810721158981323,1984-11-23
1.1810721158981323,1984-11-26
1.1810721158981323,1984-11-27
1.1810721158981323,1984-11-28
1.1810721158981323,1984-11-29
1.1810721158981323,1984-11-30
1.1810721158981323,1984-12-03
1.1810721158981323,1984-12-04
1.1810721158981323,1984-12-05
1.1810721158981323,1984-12-06
1.1810721158981323,1984-12-07
1.1810721158981323,1984-12-10
1.1810721158981323,1984-12-11
1.1810721158981323,1984-12-12
1.1810721158981323,1984-12-13
1.1810721158981323,1984-12-14
1.1810721158981323,1984-12-17
1.2027418613433838,1984-12-18
1.2027418613433838,1984-12-19
1.2135785818099976,1984-12-20
1.2135785818099976,1984-12-21
1.2135785818099976,1984-12-24
1.2135785818099976,1984-12-26
1.2135785818099976,1984-12-27
1.2352491617202759,1984-12-28
1.2894268035888672,1984-12-31
1.2894268035888672,1985-01-02
1.3002625703811646,1985-01-03
1.3002625703811646,1985-01-04
1.3002625703811646,1985-01-07
1.3002625703811646,1985-01-08
1.2894268035888672,1985-01-09
1.2785907983779907,1985-01-10
1.2894268035888672,1985-01-11
1.2894268035888672,1985-01-14
1.2894268035888672,1985-01-15
1.2894268035888672,1985-01-16
1.2894268035888672,1985-01-17
1.3002625703811646,1985-01-18
1.3110973834991455,1985-01-21
1.3219330310821533,1985-01-22
1.3219330310821533,1985-01-23
1.3219330310821533,1985-01-24
1.3219330310821533,1985-01-25
1.343604564666748,1985-01-28
1.343604564666748,1985-01-29
1.4086174964904785,1985-01-30
1.4519600868225098,1985-01-31
1.538643717765808,1985-02-01
1.6686701774597168,1985-02-04
1.6686701774597168,1985-02-05
1.6144919395446777,1985-02-06
1.6036566495895386,1985-02-07
1.6036566495895386,1985-02-08
1.6036566495895386,1985-02-11
1.6036566495895386,1985-02-12
1.6036566495895386,1985-02-13
1.6144919395446777,1985-02-14
1.6144919395446777,1985-02-15
1.6144919395446777,1985-02-19
1.6144919395446777,1985-02-20
1.6036566495895386,1985-02-21
1.6036566495895386,1985-02-22
1.581986427307129,1985-02-25
1.5928219556808472,1985-02-26
1.5928219556808472,1985-02-27
