UAL,Date
31.701358795166016,2006-02-06
30.850378036499023,2006-02-07
29.924585342407227,2006-02-08
32.26244354248047,2006-02-09
32.01930618286133,2006-02-10
32.76742172241211,2006-02-13
33.45942687988281,2006-02-14
34.16078186035156,2006-02-15
33.38461685180664,2006-02-16
34.53484344482422,2006-02-17
33.13212585449219,2006-02-21
33.73997116088867,2006-02-22
33.796077728271484,2006-02-23
33.47813034057617,2006-02-24
33.19758605957031,2006-02-27
33.169532775878906,2006-02-28
33.758670806884766,2006-03-01
33.73061752319336,2006-03-02
34.24494552612305,2006-03-03
34.525489807128906,2006-03-06
34.806034088134766,2006-03-07
34.98371124267578,2006-03-08
34.8995475769043,2006-03-09
35.66636276245117,2006-03-10
35.74117660522461,2006-03-13
36.461238861083984,2006-03-14
37.00362014770508,2006-03-15
36.72307586669922,2006-03-16
36.65761947631836,2006-03-17
37.54600524902344,2006-03-20
38.28476333618164,2006-03-21
39.874507904052734,2006-03-22
38.99547576904297,2006-03-23
39.004825592041016,2006-03-24
39.565914154052734,2006-03-27
38.153846740722656,2006-03-28
37.892005920410156,2006-03-29
36.47993850708008,2006-03-30
37.34027099609375,2006-03-31
36.592159271240234,2006-04-03
36.54540252685547,2006-04-04
36.788536071777344,2006-04-05
36.395774841308594,2006-04-06
36.30226135253906,2006-04-07
35.31100845336914,2006-04-10
35.81598663330078,2006-04-11
36.35837173461914,2006-04-12
36.87269973754883,2006-04-13
36.10588455200195,2006-04-17
35.413875579833984,2006-04-18
35.572853088378906,2006-04-19
34.40392303466797,2006-04-20
32.20633316040039,2006-04-21
33.73061752319336,2006-04-24
33.5716438293457,2006-04-25
33.44072341918945,2006-04-26
34.44132995605469,2006-04-27
33.67450714111328,2006-04-28
32.99185562133789,2006-05-01
33.67450714111328,2006-05-02
35.18008804321289,2006-05-03
36.12458801269531,2006-05-04
36.442535400390625,2006-05-05
33.19758605957031,2006-05-08
32.91704559326172,2006-05-09
32.36531066894531,2006-05-10
31.49562644958496,2006-05-11
31.327301025390625,2006-05-12
31.63589859008789,2006-05-15
30.569833755493164,2006-05-16
30.682052612304688,2006-05-17
30.33604621887207,2006-05-18
30.784915924072266,2006-05-19
30.064857482910156,2006-05-22
29.52247428894043,2006-05-23
28.419004440307617,2006-05-24
28.615385055541992,2006-05-25
29.036197662353516,2006-05-26
27.109804153442383,2006-05-30
27.52126693725586,2006-05-31
27.91402816772461,2006-06-01
27.044343948364258,2006-06-02
25.688385009765625,2006-06-05
25.884767532348633,2006-06-06
26.23076820373535,2006-06-07
25.809955596923828,2006-06-08
25.80060386657715,2006-06-09
25.03378677368164,2006-06-12
25.27692413330078,2006-06-13
26.00633430480957,2006-06-14
28.447059631347656,2006-06-15
29.438310623168945,2006-06-16
29.550527572631836,2006-06-19
29.73755645751953,2006-06-20
30.158370971679688,2006-06-21
30.39215660095215,2006-06-22
30.429563522338867,2006-06-23
29.812366485595703,2006-06-26
28.16651725769043,2006-06-27
27.86726951599121,2006-06-28
28.082353591918945,2006-06-29
29.008146286010742,2006-06-30
28.961387634277344,2006-07-03
29.036197662353516,2006-07-05
29.36349868774414,2006-07-06
29.12971305847168,2006-07-07
29.438310623168945,2006-07-10
28.821115493774414,2006-07-11
28.77435874938965,2006-07-12
26.76380157470703,2006-07-13
25.02443504333496,2006-07-14
24.949623107910156,2006-07-17
25.061840057373047,2006-07-18
26.707691192626953,2006-07-19
25.875415802001953,2006-07-20
25.202112197875977,2006-07-21
26.371042251586914,2006-07-24
25.725791931152344,2006-07-25
25.604223251342773,2006-07-26
25.239517211914062,2006-07-27
25.735143661499023,2006-07-28
24.444644927978516,2006-07-31
23.51885414123535,2006-08-01
22.67722511291504,2006-08-02
23.724586486816406,2006-08-03
23.013877868652344,2006-08-04
23.331825256347656,2006-08-07
23.1728515625,2006-08-08
22.28446388244629,2006-08-09
21.994569778442383,2006-08-10
20.881750106811523,2006-08-11
21.27450942993164,2006-08-14
21.798189163208008,2006-08-15
23.02322769165039,2006-08-16
23.107389450073242,2006-08-17
23.26636505126953,2006-08-18
22.452791213989258,2006-08-21
22.649169921875,2006-08-22
23.1728515625,2006-08-23
22.705280303955078,2006-08-24
22.181598663330078,2006-08-25
22.89230728149414,2006-08-28
23.13544464111328,2006-08-29
23.565610885620117,2006-08-30
23.378582000732422,2006-08-31
23.219608306884766,2006-09-01
23.574960708618164,2006-09-05
23.27571678161621,2006-09-06
23.322473526000977,2006-09-07
23.462745666503906,2006-09-08
23.481449127197266,2006-09-11
24.734540939331055,2006-09-12
24.968326568603516,2006-09-13
25.828659057617188,2006-09-14
25.809955596923828,2006-09-15
24.856107711791992,2006-09-18
25.99698257446289,2006-09-19
26.8853702545166,2006-09-20
26.099849700927734,2006-09-21
26.01568603515625,2006-09-22
26.604827880859375,2006-09-25
26.464553833007812,2006-09-26
25.632278442382812,2006-09-27
25.080543518066406,2006-09-28
24.846757888793945,2006-09-29
26.090497970581055,2006-10-02
27.49321174621582,2006-10-03
27.820512771606445,2006-10-04
28.14781379699707,2006-10-05
28.091705322265625,2006-10-06
27.839216232299805,2006-10-09
28.51251792907715,2006-10-10
28.998794555664062,2006-10-11
29.3822021484375,2006-10-12
28.942686080932617,2006-10-13
28.269380569458008,2006-10-16
28.344192504882812,2006-10-17
30.37345314025879,2006-10-18
31.701358795166016,2006-10-19
33.10407257080078,2006-10-20
33.11342239379883,2006-10-23
32.720664978027344,2006-10-24
32.25309371948242,2006-10-25
33.39396667480469,2006-10-26
33.01055908203125,2006-10-27
34.38521957397461,2006-10-30
33.609046936035156,2006-10-31
32.95445251464844,2006-11-01
32.7580680847168,2006-11-02
32.51493453979492,2006-11-03
33.35655975341797,2006-11-06
33.19758605957031,2006-11-07
32.67390441894531,2006-11-08
32.49623107910156,2006-11-09
33.319156646728516,2006-11-10
34.600303649902344,2006-11-13
34.319759368896484,2006-11-14
37.39638137817383,2006-11-15
38.80844497680664,2006-11-16
37.82654571533203,2006-11-17
37.58340835571289,2006-11-20
39.53785705566406,2006-11-21
41.146305084228516,2006-11-22
41.55776596069336,2006-11-24
38.930015563964844,2006-11-27
37.882652282714844,2006-11-28
38.35957717895508,2006-11-29
37.948116302490234,2006-11-30
37.84524917602539,2006-12-01
39.135746002197266,2006-12-04
39.20120620727539,2006-12-05
39.509803771972656,2006-12-06
39.837100982666016,2006-12-07
40.155052185058594,2006-12-08
41.641929626464844,2006-12-11
40.42624282836914,2006-12-12
42.305885314941406,2006-12-13
41.6606330871582,2006-12-14
41.52971267700195,2006-12-15
41.81025695800781,2006-12-18
42.24977493286133,2006-12-19
41.00603103637695,2006-12-20
40.5665168762207,2006-12-21
40.0428352355957,2006-12-22
41.146305084228516,2006-12-26
41.13695526123047,2006-12-27
40.809654235839844,2006-12-28
41.146305084228516,2006-12-29
43.35324478149414,2007-01-03
44.27903366088867,2007-01-04
43.53091812133789,2007-01-05
43.764705657958984,2007-01-08
43.8021125793457,2007-01-09
45.68174743652344,2007-01-10
46.83197784423828,2007-01-11
46.90678787231445,2007-01-12
47.88868713378906,2007-01-16
45.91553497314453,2007-01-17
46.392459869384766,2007-01-18
45.96229553222656,2007-01-19
45.588233947753906,2007-01-22
41.903770446777344,2007-01-23
42.71734619140625,2007-01-24
42.259124755859375,2007-01-25
40.72549057006836,2007-01-26
