AFM,Date
980.0,2017-12-06
980.0,2017-12-07
980.0,2017-12-08
980.0,2017-12-11
980.0,2017-12-12
994.0,2017-12-13
995.0,2017-12-14
995.0,2017-12-15
980.0,2017-12-18
980.0,2017-12-19
980.0,2017-12-20
980.0,2017-12-21
975.0,2017-12-22
975.0,2017-12-26
975.0,2017-12-27
975.0,2017-12-28
1000.0,2017-12-29
995.0,2018-01-02
995.0,2018-01-03
997.0,2018-01-04
983.0,2018-01-05
1004.0,2018-01-08
991.0,2018-01-09
989.0,2018-01-10
989.0,2018-01-11
1007.0,2018-01-12
998.0,2018-01-16
1000.0,2018-01-17
998.0,2018-01-18
1005.0,2018-01-19
1000.0,2018-01-22
1000.0,2018-01-23
1000.0,2018-01-24
1001.0,2018-01-25
1005.0,2018-01-26
999.0,2018-01-29
1008.0,2018-01-30
1020.0,2018-01-31
1018.0,2018-02-01
1018.0,2018-02-02
1018.0,2018-02-05
1018.0,2018-02-06
1018.0,2018-02-07
1006.0,2018-02-08
1008.0,2018-02-09
1008.0,2018-02-12
1008.0,2018-02-13
1018.0,2018-02-14
1018.0,2018-02-15
1010.0,2018-02-16
1010.0,2018-02-20
1010.0,2018-02-21
1010.0,2018-02-22
1049.0,2018-02-23
1038.0,2018-02-26
1036.0,2018-02-27
1036.0,2018-02-28
1024.0,2018-03-01
1036.0,2018-03-02
1036.0,2018-03-05
1023.0,2018-03-06
1010.0,2018-03-07
1021.0,2018-03-08
1021.0,2018-03-09
1021.0,2018-03-12
1021.0,2018-03-13
1011.0,2018-03-14
1020.0,2018-03-15
1020.0,2018-03-16
1020.0,2018-03-19
1026.0,2018-03-20
1011.0,2018-03-21
1025.0,2018-03-22
1025.0,2018-03-23
1025.0,2018-03-26
1025.0,2018-03-27
1025.0,2018-03-28
1013.0,2018-03-29
1026.0,2018-04-02
1023.0,2018-04-03
1023.0,2018-04-04
1036.0,2018-04-05
1018.0,2018-04-06
1020.0,2018-04-09
1050.0,2018-04-10
1030.0,2018-04-11
1023.0,2018-04-12
1122.0,2018-04-13
1090.0,2018-04-16
