MET,Date
8.075464248657227,2000-04-05
8.108028411865234,2000-04-06
7.9777750968933105,2000-04-07
8.042901992797852,2000-04-10
7.880090713500977,2000-04-11
8.433650970458984,2000-04-12
8.85696029663086,2000-04-13
8.270838737487793,2000-04-14
8.401089668273926,2000-04-17
8.401089668273926,2000-04-18
8.335962295532227,2000-04-19
8.042901992797852,2000-04-20
8.3034029006958,2000-04-24
8.335962295532227,2000-04-25
8.368528366088867,2000-04-26
8.3034029006958,2000-04-27
8.629024505615234,2000-04-28
9.377959251403809,2000-05-01
9.280271530151367,2000-05-02
9.117459297180176,2000-05-03
9.117459297180176,2000-05-04
9.150022506713867,2000-05-05
9.377959251403809,2000-05-08
8.922088623046875,2000-05-09
9.150022506713867,2000-05-10
9.377959251403809,2000-05-11
9.6058931350708,2000-05-12
9.866392135620117,2000-05-15
9.931520462036133,2000-05-16
9.931520462036133,2000-05-17
9.858251571655273,2000-05-18
9.475646018981934,2000-05-19
9.508207321166992,2000-05-22
9.833830833435059,2000-05-23
10.094332695007324,2000-05-24
9.996644020080566,2000-05-25
10.289702415466309,2000-05-26
10.354829788208008,2000-05-30
10.68045425415039,2000-05-31
10.419954299926758,2000-06-01
10.940951347351074,2000-06-02
10.713011741638184,2000-06-05
10.647889137268066,2000-06-06
10.778141021728516,2000-06-07
10.647889137268066,2000-06-08
10.940951347351074,2000-06-09
10.647889137268066,2000-06-12
10.843268394470215,2000-06-13
10.419954299926758,2000-06-14
10.419954299926758,2000-06-15
10.452516555786133,2000-06-16
10.419954299926758,2000-06-19
9.801270484924316,2000-06-20
9.638459205627441,2000-06-21
9.996644020080566,2000-06-22
10.061767578125,2000-06-23
9.996644020080566,2000-06-26
10.354829788208008,2000-06-27
10.224579811096191,2000-06-28
11.103765487670898,2000-06-29
10.92466926574707,2000-06-30
11.13632583618164,2000-07-03
11.00607681274414,2000-07-05
11.396829605102539,2000-07-06
11.396829605102539,2000-07-07
11.168890953063965,2000-07-10
10.843268394470215,2000-07-11
10.647889137268066,2000-07-12
10.322265625,2000-07-13
10.875828742980957,2000-07-14
10.582762718200684,2000-07-17
10.615326881408691,2000-07-18
10.647889137268066,2000-07-19
10.713011741638184,2000-07-20
10.81070327758789,2000-07-21
10.68045425415039,2000-07-24
10.940951347351074,2000-07-25
10.843268394470215,2000-07-26
10.647889137268066,2000-07-27
10.582762718200684,2000-07-28
10.940951347351074,2000-07-31
11.00607681274414,2000-08-01
10.875828742980957,2000-08-02
10.485075950622559,2000-08-03
10.582762718200684,2000-08-04
11.657319068908691,2000-08-07
12.145756721496582,2000-08-08
11.852699279785156,2000-08-09
11.98294734954834,2000-08-10
12.503941535949707,2000-08-11
11.98294734954834,2000-08-14
12.40626049041748,2000-08-15
12.243447303771973,2000-08-16
12.471385955810547,2000-08-17
12.471385955810547,2000-08-18
12.243447303771973,2000-08-21
12.503941535949707,2000-08-22
12.99238395690918,2000-08-23
