RYAAY,Date
2.684215784072876,1997-05-29
2.6052682399749756,1997-05-30
2.71053147315979,1997-06-02
2.6578993797302246,1997-06-03
2.697373151779175,1997-06-04
2.6710574626922607,1997-06-05
2.736847162246704,1997-06-06
2.8552684783935547,1997-06-09
2.8026368618011475,1997-06-10
2.7500052452087402,1997-06-11
2.71053147315979,1997-06-12
2.697373151779175,1997-06-13
2.6710574626922607,1997-06-16
2.6184263229370117,1997-06-17
2.55263614654541,1997-06-18
2.5657942295074463,1997-06-19
2.5657942295074463,1997-06-20
2.526320457458496,1997-06-23
2.6184263229370117,1997-06-24
2.730268716812134,1997-06-25
2.8552684783935547,1997-06-26
2.8157944679260254,1997-06-27
2.8552684783935547,1997-06-30
2.8552684783935547,1997-07-01
2.86842679977417,1997-07-02
2.86842679977417,1997-07-03
2.8026368618011475,1997-07-07
2.736847162246704,1997-07-08
2.7631633281707764,1997-07-09
2.8026368618011475,1997-07-10
2.8552684783935547,1997-07-11
2.8026368618011475,1997-07-14
2.8026368618011475,1997-07-15
2.8026368618011475,1997-07-16
2.8289530277252197,1997-07-17
2.8157944679260254,1997-07-18
2.8421103954315186,1997-07-21
2.881584405899048,1997-07-22
2.90790057182312,1997-07-23
3.0263214111328125,1997-07-24
3.078953266143799,1997-07-25
3.0657951831817627,1997-07-28
2.9736900329589844,1997-07-29
2.947374105453491,1997-07-30
2.9736900329589844,1997-07-31
2.9736900329589844,1997-08-01
2.9868478775024414,1997-08-04
3.0000054836273193,1997-08-05
3.0657951831817627,1997-08-06
3.0592164993286133,1997-08-07
3.0394792556762695,1997-08-08
2.8157944679260254,1997-08-11
2.697373151779175,1997-08-12
2.684215784072876,1997-08-13
2.684215784072876,1997-08-14
2.6710574626922607,1997-08-15
2.644742250442505,1997-08-18
2.6052682399749756,1997-08-19
2.4210574626922607,1997-08-20
2.4210574626922607,1997-08-21
2.473689317703247,1997-08-22
2.55263614654541,1997-08-25
2.71053147315979,1997-08-26
2.86842679977417,1997-08-27
2.8552684783935547,1997-08-28
2.894742012023926,1997-08-29
2.86842679977417,1997-09-02
2.8421103954315186,1997-09-03
2.8552684783935547,1997-09-04
2.8421103954315186,1997-09-05
2.8289530277252197,1997-09-08
2.8750057220458984,1997-09-09
2.881584405899048,1997-09-10
2.8289530277252197,1997-09-11
2.8289530277252197,1997-09-12
2.8421103954315186,1997-09-15
2.86842679977417,1997-09-16
2.881584405899048,1997-09-17
2.881584405899048,1997-09-18
2.894742012023926,1997-09-19
