LCID,Date
9.890000343322754,2020-09-18
9.859999656677246,2020-09-21
9.880000114440918,2020-09-22
9.850000381469727,2020-09-23
9.770000457763672,2020-09-24
9.8100004196167,2020-09-25
9.829999923706055,2020-09-28
9.779999732971191,2020-09-29
9.779999732971191,2020-09-30
9.760000228881836,2020-10-01
9.739999771118164,2020-10-02
9.710000038146973,2020-10-05
9.680000305175781,2020-10-06
9.710000038146973,2020-10-07
9.717000007629395,2020-10-08
9.75,2020-10-09
9.729999542236328,2020-10-12
9.699999809265137,2020-10-13
9.680000305175781,2020-10-14
9.680000305175781,2020-10-15
9.680000305175781,2020-10-16
9.680000305175781,2020-10-19
9.670000076293945,2020-10-20
9.65999984741211,2020-10-21
9.649999618530273,2020-10-22
9.630000114440918,2020-10-23
9.649999618530273,2020-10-26
9.649999618530273,2020-10-27
9.649999618530273,2020-10-28
9.649999618530273,2020-10-29
9.630000114440918,2020-10-30
9.630000114440918,2020-11-02
9.6899995803833,2020-11-03
9.6899995803833,2020-11-04
9.770000457763672,2020-11-05
9.720000267028809,2020-11-06
9.670000076293945,2020-11-09
9.699999809265137,2020-11-10
9.680000305175781,2020-11-11
9.699999809265137,2020-11-12
9.6899995803833,2020-11-13
9.699999809265137,2020-11-16
9.710000038146973,2020-11-17
9.739999771118164,2020-11-18
9.720000267028809,2020-11-19
9.710000038146973,2020-11-20
9.75,2020-11-23
9.760000228881836,2020-11-24
9.760000228881836,2020-11-25
9.829999923706055,2020-11-27
9.880000114440918,2020-11-30
9.880000114440918,2020-12-01
9.869999885559082,2020-12-02
9.869999885559082,2020-12-03
9.880000114440918,2020-12-04
9.9399995803833,2020-12-07
9.859999656677246,2020-12-08
9.920000076293945,2020-12-09
9.90999984741211,2020-12-10
9.9399995803833,2020-12-11
9.979999542236328,2020-12-14
9.970000267028809,2020-12-15
9.944999694824219,2020-12-16
9.970000267028809,2020-12-17
9.960000038146973,2020-12-18
9.970000267028809,2020-12-21
10.0,2020-12-22
10.029999732971191,2020-12-23
10.039999961853027,2020-12-24
10.079999923706055,2020-12-28
10.0600004196167,2020-12-29
10.069999694824219,2020-12-30
10.010000228881836,2020-12-31
10.039999961853027,2021-01-04
10.020000457763672,2021-01-05
10.010000228881836,2021-01-06
10.029999732971191,2021-01-07
10.029999732971191,2021-01-08
13.199999809265137,2021-01-11
14.149999618530273,2021-01-12
16.719999313354492,2021-01-13
17.360000610351562,2021-01-14
18.360000610351562,2021-01-15
17.899999618530273,2021-01-19
18.059999465942383,2021-01-20
17.809999465942383,2021-01-21
22.350000381469727,2021-01-22
24.950000762939453,2021-01-25
24.440000534057617,2021-01-26
21.149999618530273,2021-01-27
22.329999923706055,2021-01-28
22.8799991607666,2021-01-29
25.200000762939453,2021-02-01
32.13999938964844,2021-02-02
29.489999771118164,2021-02-03
30.219999313354492,2021-02-04
34.650001525878906,2021-02-05
32.880001068115234,2021-02-08
33.310001373291016,2021-02-09
32.869998931884766,2021-02-10
31.5,2021-02-11
39.97999954223633,2021-02-12
52.70000076293945,2021-02-16
56.22999954223633,2021-02-17
58.04999923706055,2021-02-18
52.939998626708984,2021-02-19
57.369998931884766,2021-02-22
35.209999084472656,2021-02-23
28.700000762939453,2021-02-24
27.81999969482422,2021-02-25
30.75,2021-02-26
30.6299991607666,2021-03-01
27.770000457763672,2021-03-02
24.200000762939453,2021-03-03
24.34000015258789,2021-03-04
24.399999618530273,2021-03-05
22.09000015258789,2021-03-08
24.459999084472656,2021-03-09
24.700000762939453,2021-03-10
26.84000015258789,2021-03-11
26.770000457763672,2021-03-12
28.690000534057617,2021-03-15
31.100000381469727,2021-03-16
29.5,2021-03-17
26.899999618530273,2021-03-18
26.8799991607666,2021-03-19
26.149999618530273,2021-03-22
24.049999237060547,2021-03-23
22.559999465942383,2021-03-24
24.030000686645508,2021-03-25
23.020000457763672,2021-03-26
21.350000381469727,2021-03-29
23.510000228881836,2021-03-30
23.18000030517578,2021-03-31
23.780000686645508,2021-04-01
23.0,2021-04-05
24.459999084472656,2021-04-06
22.81999969482422,2021-04-07
23.15999984741211,2021-04-08
22.969999313354492,2021-04-09
22.030000686645508,2021-04-12
22.09000015258789,2021-04-13
21.729999542236328,2021-04-14
20.1200008392334,2021-04-15
19.520000457763672,2021-04-16
19.540000915527344,2021-04-19
18.450000762939453,2021-04-20
19.889999389648438,2021-04-21
19.65999984741211,2021-04-22
20.549999237060547,2021-04-23
23.8700008392334,2021-04-26
22.739999771118164,2021-04-27
23.040000915527344,2021-04-28
22.06999969482422,2021-04-29
21.09000015258789,2021-04-30
19.90999984741211,2021-05-03
19.170000076293945,2021-05-04
19.18000030517578,2021-05-05
18.959999084472656,2021-05-06
19.280000686645508,2021-05-07
18.639999389648438,2021-05-10
18.600000381469727,2021-05-11
17.799999237060547,2021-05-12
17.25,2021-05-13
17.940000534057617,2021-05-14
18.309999465942383,2021-05-17
19.3799991607666,2021-05-18
18.969999313354492,2021-05-19
19.790000915527344,2021-05-20
19.809999465942383,2021-05-21
19.399999618530273,2021-05-24
20.280000686645508,2021-05-25
19.989999771118164,2021-05-26
19.8799991607666,2021-05-27
19.719999313354492,2021-05-28
21.559999465942383,2021-06-01
23.559999465942383,2021-06-02
22.959999084472656,2021-06-03
23.950000762939453,2021-06-04
26.5,2021-06-07
26.639999389648438,2021-06-08
26.489999771118164,2021-06-09
25.3799991607666,2021-06-10
25.139999389648438,2021-06-11
24.1200008392334,2021-06-14
22.610000610351562,2021-06-15
24.040000915527344,2021-06-16
23.549999237060547,2021-06-17
23.399999618530273,2021-06-18
22.959999084472656,2021-06-21
23.420000076293945,2021-06-22
25.059999465942383,2021-06-23
24.850000381469727,2021-06-24
25.18000030517578,2021-06-25
27.0,2021-06-28
26.31999969482422,2021-06-29
28.81999969482422,2021-06-30
27.719999313354492,2021-07-01
27.020000457763672,2021-07-02
26.3799991607666,2021-07-06
25.520000457763672,2021-07-07
24.959999084472656,2021-07-08
25.549999237060547,2021-07-09
26.850000381469727,2021-07-12
25.90999984741211,2021-07-13
23.790000915527344,2021-07-14
22.959999084472656,2021-07-15
22.790000915527344,2021-07-16
22.200000762939453,2021-07-19
24.280000686645508,2021-07-20
23.43000030517578,2021-07-21
22.899999618530273,2021-07-22
24.25,2021-07-23
26.829999923706055,2021-07-26
25.18000030517578,2021-07-27
24.079999923706055,2021-07-28
23.350000381469727,2021-07-29
23.719999313354492,2021-07-30
23.770000457763672,2021-08-02
23.579999923706055,2021-08-03
22.6299991607666,2021-08-04
22.75,2021-08-05
23.3799991607666,2021-08-06
23.5,2021-08-09
24.459999084472656,2021-08-10
24.469999313354492,2021-08-11
23.850000381469727,2021-08-12
23.479999542236328,2021-08-13
22.829999923706055,2021-08-16
22.559999465942383,2021-08-17
22.549999237060547,2021-08-18
21.709999084472656,2021-08-19
21.670000076293945,2021-08-20
21.649999618530273,2021-08-23
22.829999923706055,2021-08-24
21.809999465942383,2021-08-25
21.479999542236328,2021-08-26
21.030000686645508,2021-08-27
20.6299991607666,2021-08-30
19.959999084472656,2021-08-31
17.790000915527344,2021-09-01
18.65999984741211,2021-09-02
19.559999465942383,2021-09-03
19.889999389648438,2021-09-07
18.93000030517578,2021-09-08
19.850000381469727,2021-09-09
19.93000030517578,2021-09-10
20.059999465942383,2021-09-13
18.950000762939453,2021-09-14
19.90999984741211,2021-09-15
21.170000076293945,2021-09-16
22.959999084472656,2021-09-17
24.06999969482422,2021-09-20
26.809999465942383,2021-09-21
24.950000762939453,2021-09-22
25.420000076293945,2021-09-23
25.43000030517578,2021-09-24
25.889999389648438,2021-09-27
24.540000915527344,2021-09-28
26.280000686645508,2021-09-29
25.3799991607666,2021-09-30
24.610000610351562,2021-10-01
24.139999389648438,2021-10-04
24.020000457763672,2021-10-05
24.290000915527344,2021-10-06
24.3799991607666,2021-10-07
23.229999542236328,2021-10-08
22.8700008392334,2021-10-11
23.059999465942383,2021-10-12
22.59000015258789,2021-10-13
24.010000228881836,2021-10-14
24.079999923706055,2021-10-15
25.34000015258789,2021-10-18
24.729999542236328,2021-10-19
24.239999771118164,2021-10-20
24.459999084472656,2021-10-21
24.110000610351562,2021-10-22
26.850000381469727,2021-10-25
26.3799991607666,2021-10-26
27.020000457763672,2021-10-27
35.47999954223633,2021-10-28
36.9900016784668,2021-10-29
36.529998779296875,2021-11-01
35.130001068115234,2021-11-02
36.54499816894531,2021-11-03
37.119998931884766,2021-11-04
41.79999923706055,2021-11-05
45.91999816894531,2021-11-08
44.779998779296875,2021-11-09
40.75,2021-11-10
