WST,Date
0.4335366487503052,1980-03-17
0.42486581206321716,1980-03-18
0.4335366487503052,1980-03-19
0.42486581206321716,1980-03-20
0.42486581206321716,1980-03-21
0.42486581206321716,1980-03-24
0.4161950349807739,1980-03-25
0.4161950349807739,1980-03-26
0.3815123438835144,1980-03-27
0.3901830315589905,1980-03-28
0.4075244963169098,1980-03-31
0.39885371923446655,1980-04-01
0.39885371923446655,1980-04-02
0.39885371923446655,1980-04-03
0.39885371923446655,1980-04-07
0.3901830315589905,1980-04-08
0.4075244963169098,1980-04-09
0.4335366487503052,1980-04-10
0.4422072768211365,1980-04-11
0.4335366487503052,1980-04-14
0.42486581206321716,1980-04-15
0.42486581206321716,1980-04-16
0.42486581206321716,1980-04-17
0.42486581206321716,1980-04-18
0.42486581206321716,1980-04-21
0.4335366487503052,1980-04-22
0.42486581206321716,1980-04-23
0.42486581206321716,1980-04-24
0.4161950349807739,1980-04-25
0.4335366487503052,1980-04-28
0.42486581206321716,1980-04-29
0.42486581206321716,1980-04-30
0.4161950349807739,1980-05-01
0.4075244963169098,1980-05-02
0.4075244963169098,1980-05-05
0.39885371923446655,1980-05-06
0.4422072768211365,1980-05-07
0.4422072768211365,1980-05-08
0.4422072768211365,1980-05-09
0.4422072768211365,1980-05-12
0.45087793469429016,1980-05-13
0.45087793469429016,1980-05-14
0.45087793469429016,1980-05-15
0.45087793469429016,1980-05-16
0.4422072768211365,1980-05-19
0.4422072768211365,1980-05-20
0.4422072768211365,1980-05-21
0.4422072768211365,1980-05-22
0.4422072768211365,1980-05-23
0.45087793469429016,1980-05-27
0.45087793469429016,1980-05-28
0.4422072768211365,1980-05-29
0.4422072768211365,1980-05-30
0.4422072768211365,1980-06-02
0.45087793469429016,1980-06-03
0.45954862236976624,1980-06-04
0.45954862236976624,1980-06-05
0.45087793469429016,1980-06-06
0.45087793469429016,1980-06-09
0.45087793469429016,1980-06-10
0.45954862236976624,1980-06-11
0.45954862236976624,1980-06-12
0.45954862236976624,1980-06-13
0.46821925044059753,1980-06-16
0.45954862236976624,1980-06-17
0.45954862236976624,1980-06-18
0.45954862236976624,1980-06-19
0.45954862236976624,1980-06-20
0.46821925044059753,1980-06-23
0.46821925044059753,1980-06-24
0.4768902063369751,1980-06-25
0.4768902063369751,1980-06-26
0.4855607748031616,1980-06-27
0.46821925044059753,1980-06-30
0.4768902063369751,1980-07-01
0.4855607748031616,1980-07-02
0.4855607748031616,1980-07-03
0.4855607748031616,1980-07-07
0.4855607748031616,1980-07-08
0.4855607748031616,1980-07-09
0.46821925044059753,1980-07-10
0.46821925044059753,1980-07-11
0.45954862236976624,1980-07-14
0.45954862236976624,1980-07-15
0.45954862236976624,1980-07-16
0.5029022097587585,1980-07-17
0.5202437043190002,1980-07-18
0.5202437043190002,1980-07-21
0.511573076248169,1980-07-22
0.5722682476043701,1980-07-23
0.5462560653686523,1980-07-24
0.5289146304130554,1980-07-25
0.511573076248169,1980-07-28
0.554926872253418,1980-07-29
0.554926872253418,1980-07-30
0.5462560653686523,1980-07-31
0.5289146304130554,1980-08-01
0.537585437297821,1980-08-04
0.537585437297821,1980-08-05
0.5722682476043701,1980-08-06
0.5722682476043701,1980-08-07
0.554926872253418,1980-08-08
0.554926872253418,1980-08-11
0.5982804894447327,1980-08-12
0.6242926120758057,1980-08-13
0.6242926120758057,1980-08-14
0.606951117515564,1980-08-15
0.5896095633506775,1980-08-18
0.5722682476043701,1980-08-19
0.5635977387428284,1980-08-20
0.5722682476043701,1980-08-21
0.5896095633506775,1980-08-22
0.5982804894447327,1980-08-25
0.6242926120758057,1980-08-26
0.6242926120758057,1980-08-27
0.6242926120758057,1980-08-28
0.6242926120758057,1980-08-29
0.6589756608009338,1980-09-02
0.6849880218505859,1980-09-03
0.6676461100578308,1980-09-04
0.6676461100578308,1980-09-05
0.6589756608009338,1980-09-08
0.6503051519393921,1980-09-09
0.6849880218505859,1980-09-10
0.7110000848770142,1980-09-11
0.7110000848770142,1980-09-12
0.7023295164108276,1980-09-15
0.7370123267173767,1980-09-16
0.7630246877670288,1980-09-17
0.7283415794372559,1980-09-18
0.7456831932067871,1980-09-19
0.7456831932067871,1980-09-22
0.7196703553199768,1980-09-23
0.7196703553199768,1980-09-24
0.7023295164108276,1980-09-25
0.6849880218505859,1980-09-26
0.6589756608009338,1980-09-29
0.6676461100578308,1980-09-30
0.6589756608009338,1980-10-01
0.6676461100578308,1980-10-02
0.7110000848770142,1980-10-03
0.7370123267173767,1980-10-06
0.7283415794372559,1980-10-07
0.7283415794372559,1980-10-08
0.7283415794372559,1980-10-09
0.7283415794372559,1980-10-10
0.7196703553199768,1980-10-13
0.7110000848770142,1980-10-14
0.7110000848770142,1980-10-15
0.6936584115028381,1980-10-16
0.6936584115028381,1980-10-17
0.7110000848770142,1980-10-20
0.6936584115028381,1980-10-21
0.7023295164108276,1980-10-22
0.6763172149658203,1980-10-23
0.6763172149658203,1980-10-24
0.7066646814346313,1980-10-27
0.7023295164108276,1980-10-28
0.7283415794372559,1980-10-29
0.7196703553199768,1980-10-30
0.7153355479240417,1980-10-31
0.7066646814346313,1980-11-03
0.7196703553199768,1980-11-05
0.6979938745498657,1980-11-06
0.6936584115028381,1980-11-07
0.6676461100578308,1980-11-10
0.6849880218505859,1980-11-11
0.6849880218505859,1980-11-12
0.7023295164108276,1980-11-13
0.7326771020889282,1980-11-14
0.724005937576294,1980-11-17
0.7630246877670288,1980-11-18
0.754353940486908,1980-11-19
0.7456831932067871,1980-11-20
0.7326771020889282,1980-11-21
