BR,Date
14.341814041137695,2007-03-22
14.505922317504883,2007-03-23
14.748514175415039,2007-03-26
14.520191192626953,2007-03-27
14.199113845825195,2007-03-28
14.056400299072266,2007-03-29
14.056400299072266,2007-03-30
13.920835494995117,2007-04-02
13.606886863708496,2007-04-03
13.492714881896973,2007-04-04
13.828071594238281,2007-04-05
13.599750518798828,2007-04-09
13.713910102844238,2007-04-10
13.63542366027832,2007-04-11
13.699641227722168,2007-04-12
13.970782279968262,2007-04-13
14.170563697814941,2007-04-16
14.570143699645996,2007-04-17
14.755648612976074,2007-04-18
15.083868026733398,2007-04-19
15.041064262390137,2007-04-20
14.769919395446777,2007-04-23
14.705707550048828,2007-04-24
14.455972671508789,2007-04-25
14.313273429870605,2007-04-26
14.427436828613281,2007-04-27
14.299003601074219,2007-04-30
14.299003601074219,2007-05-01
14.284725189208984,2007-05-02
14.484519004821777,2007-05-03
14.827004432678223,2007-05-04
14.991121292114258,2007-05-07
15.176634788513184,2007-05-08
15.269393920898438,2007-05-09
15.069602012634277,2007-05-10
15.29079818725586,2007-05-11
15.205177307128906,2007-05-14
14.869823455810547,2007-05-15
14.627227783203125,2007-05-16
14.73425006866455,2007-05-17
14.598682403564453,2007-05-18
14.627227783203125,2007-05-21
14.548730850219727,2007-05-22
14.520191192626953,2007-05-23
14.284725189208984,2007-05-24
14.270464897155762,2007-05-25
14.270464897155762,2007-05-29
14.249056816101074,2007-05-30
14.441703796386719,2007-05-31
14.22050952911377,2007-06-01
14.163433074951172,2007-06-04
14.22050952911377,2007-06-05
13.878022193908691,2007-06-06
13.535530090332031,2007-06-07
13.656830787658691,2007-06-08
13.749588012695312,2007-06-11
13.792400360107422,2007-06-12
13.849660873413086,2007-06-13
13.799554824829102,2007-06-14
13.94986629486084,2007-06-15
13.906920433044434,2007-06-18
13.66356372833252,2007-06-19
13.677879333496094,2007-06-20
13.91407585144043,2007-06-21
14.243321418762207,2007-06-22
14.400777816772461,2007-06-25
14.243321418762207,2007-06-26
14.171746253967285,2007-06-27
13.892602920532227,2007-06-28
13.685038566589355,2007-06-29
13.842497825622559,2007-07-02
14.114487648010254,2007-07-03
14.028594970703125,2007-07-05
14.14311695098877,2007-07-06
14.558243751525879,2007-07-09
14.171746253967285,2007-07-10
14.014286041259766,2007-07-11
14.329200744628906,2007-07-12
14.236161231994629,2007-07-13
14.450883865356445,2007-07-16
14.415096282958984,2007-07-17
14.343526840209961,2007-07-18
14.508143424987793,2007-07-19
14.350677490234375,2007-07-20
14.322052955627441,2007-07-23
13.821033477783203,2007-07-24
13.69935417175293,2007-07-25
13.320009231567383,2007-07-26
12.861929893493652,2007-07-27
12.790356636047363,2007-07-30
12.589948654174805,2007-07-31
12.210603713989258,2007-08-01
12.29649829864502,2007-08-02
12.203447341918945,2007-08-03
12.57563304901123,2007-08-06
12.56131649017334,2007-08-07
13.012237548828125,2007-08-08
12.876249313354492,2007-08-09
13.119600296020508,2007-08-10
12.73309326171875,2007-08-13
12.962138175964355,2007-08-14
12.604259490966797,2007-08-15
12.48974609375,2007-08-16
12.525532722473145,2007-08-17
12.403857231140137,2007-08-20
12.768888473510742,2007-08-21
12.110398292541504,2007-08-22
11.659480094909668,2007-08-23
12.81182861328125,2007-08-24
12.72594165802002,2007-08-27
12.597110748291016,2007-08-28
12.790356636047363,2007-08-29
12.976449966430664,2007-08-30
13.005077362060547,2007-08-31
13.24843692779541,2007-09-04
12.461112976074219,2007-09-05
12.26070785522461,2007-09-06
11.96009349822998,2007-09-07
12.49690055847168,2007-09-10
12.332284927368164,2007-09-11
12.849416732788086,2007-09-12
13.388105392456055,2007-09-13
13.395281791687012,2007-09-14
12.985883712768555,2007-09-17
13.531750679016113,2007-09-18
13.610755920410156,2007-09-19
13.75440502166748,2007-09-20
13.732864379882812,2007-09-21
13.186991691589355,2007-09-24
13.316279411315918,2007-09-25
13.560480117797852,2007-09-26
13.646668434143066,2007-09-27
13.610755920410156,2007-09-28
13.646668434143066,2007-10-01
13.589212417602539,2007-10-02
13.87651252746582,2007-10-03
14.127902030944824,2007-10-04
13.984246253967285,2007-10-05
13.95551872253418,2007-10-08
14.0488862991333,2007-10-09
14.056071281433105,2007-10-10
13.998612403869629,2007-10-11
14.063255310058594,2007-10-12
14.214085578918457,2007-10-15
13.847779273986816,2007-10-16
13.898059844970703,2007-10-17
14.20690631866455,2007-10-18
14.084797859191895,2007-10-19
14.178171157836914,2007-10-22
13.984246253967285,2007-10-23
13.977063179016113,2007-10-24
13.797503471374512,2007-10-25
13.977063179016113,2007-10-26
14.056071281433105,2007-10-29
14.192538261413574,2007-10-30
14.364920616149902,2007-10-31
14.005791664123535,2007-11-01
13.589212417602539,2007-11-02
13.258814811706543,2007-11-05
13.093621253967285,2007-11-06
14.853325843811035,2007-11-07
15.801407814025879,2007-11-08
15.90914535522461,2007-11-09
15.15498161315918,2007-11-12
15.550020217895508,2007-11-13
15.384824752807617,2007-11-14
15.930694580078125,2007-11-15
15.73676872253418,2007-11-16
15.772671699523926,2007-11-19
15.930694580078125,2007-11-20
15.39919662475586,2007-11-21
15.183710098266602,2007-11-23
14.968241691589355,2007-11-26
15.226807594299316,2007-11-27
15.851694107055664,2007-11-28
16.103069305419922,2007-11-29
16.35445785522461,2007-11-30
16.074344635009766,2007-12-03
16.46938133239746,2007-12-04
16.53401756286621,2007-12-05
16.864412307739258,2007-12-06
17.022424697875977,2007-12-07
17.194807052612305,2007-12-10
16.692033767700195,2007-12-11
17.209169387817383,2007-12-12
17.245174407958984,2007-12-13
17.07956314086914,2007-12-14
16.51072120666504,2007-12-17
16.51072120666504,2007-12-18
16.251506805419922,2007-12-19
16.352310180664062,2007-12-20
16.481918334960938,2007-12-21
16.481918334960938,2007-12-24
16.49631690979004,2007-12-26
16.33071517944336,2007-12-27
16.17949867248535,2007-12-28
16.15068817138672,2007-12-31
16.021089553833008,2008-01-02
16.30190658569336,2008-01-03
16.37390899658203,2008-01-04
16.43151092529297,2008-01-07
16.633127212524414,2008-01-08
16.597124099731445,2008-01-09
16.805946350097656,2008-01-10
16.935550689697266,2008-01-11
16.784339904785156,2008-01-14
16.46752166748047,2008-01-15
16.316308975219727,2008-01-16
16.028284072875977,2008-01-17
16.09309196472168,2008-01-18
15.682665824890137,2008-01-22
15.538650512695312,2008-01-23
16.12190055847168,2008-01-24
16.15068817138672,2008-01-25
15.81947135925293,2008-01-28
15.697070121765137,2008-01-29
15.214637756347656,2008-01-30
15.596259117126465,2008-01-31
16.215499877929688,2008-02-01
15.747467994689941,2008-02-04
15.812273979187012,2008-02-05
16.561128616333008,2008-02-06
15.488251686096191,2008-02-07
15.574650764465332,2008-02-08
15.517056465148926,2008-02-11
15.279437065124512,2008-02-12
15.265034675598145,2008-02-13
14.530583381652832,2008-02-14
14.43697738647461,2008-02-15
13.889744758605957,2008-02-19
14.012150764465332,2008-02-20
13.695335388183594,2008-02-21
14.112956047058105,2008-02-22
13.65932846069336,2008-02-25
14.761002540588379,2008-02-26
14.249767303466797,2008-02-27
14.350571632385254,2008-02-28
13.788935661315918,2008-02-29
14.300167083740234,2008-03-03
14.069751739501953,2008-03-04
14.177766799926758,2008-03-05
13.407307624816895,2008-03-06
13.702534675598145,2008-03-07
13.284899711608887,2008-03-10
13.428910255432129,2008-03-11
13.500917434692383,2008-03-12
13.363677024841309,2008-03-13
12.9663724899292,2008-03-14
12.337918281555176,2008-03-17
12.677421569824219,2008-03-18
12.605192184448242,2008-03-19
13.161406517028809,2008-03-20
12.951919555664062,2008-03-24
13.038606643676758,2008-03-25
13.031384468078613,2008-03-26
12.944701194763184,2008-03-27
12.800227165222168,2008-03-28
12.713546752929688,2008-03-31
13.363677024841309,2008-04-01
13.42145824432373,2008-04-02
13.450349807739258,2008-04-03
13.320323944091797,2008-04-04
13.233641624450684,2008-04-07
12.207892417907715,2008-04-08
12.402929306030273,2008-04-09
12.410155296325684,2008-04-10
12.106760025024414,2008-04-11
12.280130386352539,2008-04-14
12.706319808959961,2008-04-15
13.002486228942871,2008-04-16
12.9663724899292,2008-04-17
12.959147453308105,2008-04-18
12.980815887451172,2008-04-21
12.597967147827148,2008-04-22
12.778556823730469,2008-04-23
12.727993965148926,2008-04-24
13.089173316955566,2008-04-25
13.34921646118164,2008-04-28
13.695955276489258,2008-04-29
13.450349807739258,2008-04-30
13.652615547180176,2008-05-01
13.724844932556152,2008-05-02
13.327550888061523,2008-05-05
13.341996192932129,2008-05-06
13.41423225402832,2008-05-07
14.317182540893555,2008-05-08
14.158265113830566,2008-05-09
14.346077919006348,2008-05-12
15.14790153503418,2008-05-13
15.501848220825195,2008-05-14
15.393500328063965,2008-05-15
15.66077709197998,2008-05-16
15.855810165405273,2008-05-19
15.877481460571289,2008-05-20
16.101415634155273,2008-05-21
16.318126678466797,2008-05-22
16.086971282958984,2008-05-23
15.82691478729248,2008-05-27
16.34701156616211,2008-05-28
16.1953182220459,2008-05-29
16.282001495361328,2008-05-30
16.15199089050293,2008-06-02
16.318126678466797,2008-06-03
16.14475440979004,2008-06-04
16.54205322265625,2008-06-05
