AIG,Date
14.271503448486328,1973-01-02
14.333817481994629,1973-01-03
14.167625427246094,1973-01-04
14.250714302062988,1973-01-05
14.209177017211914,1973-01-08
14.292272567749023,1973-01-09
14.292272567749023,1973-01-10
14.396137237548828,1973-01-11
14.416906356811523,1973-01-12
14.458459854125977,1973-01-15
14.229947090148926,1973-01-16
14.001444816589355,1973-01-17
13.918351173400879,1973-01-18
13.73138427734375,1973-01-19
13.752147674560547,1973-01-22
13.835243225097656,1973-01-23
13.752147674560547,1973-01-24
13.378225326538086,1973-01-26
12.962759971618652,1973-01-29
12.962759971618652,1973-01-30
13.004301071166992,1973-01-31
12.962759971618652,1973-02-01
12.941987037658691,1973-02-02
12.941987037658691,1973-02-05
13.004301071166992,1973-02-06
12.962759971618652,1973-02-07
12.817350387573242,1973-02-08
12.879659652709961,1973-02-09
13.04584789276123,1973-02-12
13.21203899383545,1973-02-13
12.983525276184082,1973-02-14
12.67192268371582,1973-02-15
12.692695617675781,1973-02-16
12.796557426452637,1973-02-20
12.713472366333008,1973-02-21
12.67192268371582,1973-02-22
12.48496150970459,1973-02-23
12.422639846801758,1973-02-26
11.90329647064209,1973-02-27
11.882527351379395,1973-02-28
11.882527351379395,1973-03-01
12.069499015808105,1973-03-02
12.131813049316406,1973-03-05
12.422639846801758,1973-03-06
12.692695617675781,1973-03-07
12.713472366333008,1973-03-08
12.713472366333008,1973-03-09
12.755017280578613,1973-03-12
12.77579402923584,1973-03-13
12.796557426452637,1973-03-14
12.755017280578613,1973-03-15
12.796557426452637,1973-03-16
12.526510238647461,1973-03-19
12.422639846801758,1973-03-20
12.235676765441895,1973-03-21
11.882527351379395,1973-03-22
11.924072265625,1973-03-23
11.924072265625,1973-03-26
12.027942657470703,1973-03-27
12.464192390441895,1973-03-28
12.755017280578613,1973-03-29
12.547283172607422,1973-03-30
12.297995567321777,1973-04-02
12.173358917236328,1973-04-03
11.757883071899414,1973-04-04
11.882527351379395,1973-04-05
11.96562385559082,1973-04-06
11.96562385559082,1973-04-09
11.882527351379395,1973-04-10
11.924072265625,1973-04-11
12.131813049316406,1973-04-12
12.173358917236328,1973-04-13
12.152583122253418,1973-04-16
12.069499015808105,1973-04-17
12.027942657470703,1973-04-18
12.007170677185059,1973-04-19
11.861749649047852,1973-04-23
11.67479133605957,1973-04-24
11.59169864654541,1973-04-25
11.508596420288086,1973-04-26
11.38396167755127,1973-04-27
11.342418670654297,1973-04-30
11.134674072265625,1973-05-01
11.197000503540039,1973-05-02
11.197000503540039,1973-05-03
11.550148010253906,1973-05-04
11.342418670654297,1973-05-07
11.238543510437012,1973-05-08
11.176224708557129,1973-05-09
11.072357177734375,1973-05-10
10.947711944580078,1973-05-11
10.262178421020508,1973-05-14
10.303728103637695,1973-05-15
10.345277786254883,1973-05-16
10.303728103637695,1973-05-17
10.033671379089355,1973-05-18
9.992125511169434,1973-05-21
10.033671379089355,1973-05-22
10.179081916809082,1973-05-23
11.134674072265625,1973-05-24
11.051576614379883,1973-05-25
10.843842506408691,1973-05-29
10.345277786254883,1973-05-30
10.179081916809082,1973-05-31
10.137537956237793,1973-06-01
10.137537956237793,1973-06-04
10.345277786254883,1973-06-05
10.19986343383789,1973-06-06
10.324504852294922,1973-06-07
10.615336418151855,1973-06-08
10.594563484191895,1973-06-11
11.217766761779785,1973-06-12
11.197000503540039,1973-06-13
11.010030746459961,1973-06-14
10.69842529296875,1973-06-15
10.469917297363281,1973-06-18
10.51146411895752,1973-06-19
10.51146411895752,1973-06-20
10.51146411895752,1973-06-21
10.802295684814453,1973-06-22
10.407594680786133,1973-06-25
10.719202041625977,1973-06-26
10.760744094848633,1973-06-27
10.864617347717285,1973-06-28
10.802295684814453,1973-06-29
10.843842506408691,1973-07-02
10.843842506408691,1973-07-03
10.96848201751709,1973-07-05
11.176224708557129,1973-07-06
11.799432754516602,1973-07-09
12.131813049316406,1973-07-10
12.381092071533203,1973-07-11
12.277227401733398,1973-07-12
12.318775177001953,1973-07-13
12.464192390441895,1973-07-16
12.796557426452637,1973-07-17
12.796557426452637,1973-07-18
12.755017280578613,1973-07-19
13.544414520263672,1973-07-20
13.21203899383545,1973-07-23
13.21203899383545,1973-07-24
13.336679458618164,1973-07-25
13.295132637023926,1973-07-26
13.253583908081055,1973-07-27
13.17049503326416,1973-07-30
13.191263198852539,1973-07-31
12.838107109069824,1973-08-01
12.796557426452637,1973-08-02
12.630380630493164,1973-08-03
12.962759971618652,1973-08-06
12.921205520629883,1973-08-07
12.921205520629883,1973-08-08
13.04584789276123,1973-08-09
12.879659652709961,1973-08-10
13.128949165344238,1973-08-13
13.087403297424316,1973-08-14
12.879659652709961,1973-08-15
12.838107109069824,1973-08-16
12.921205520629883,1973-08-17
12.422639846801758,1973-08-20
12.381092071533203,1973-08-21
12.755017280578613,1973-08-22
13.17049503326416,1973-08-23
13.17049503326416,1973-08-24
13.128949165344238,1973-08-27
13.17049503326416,1973-08-28
13.21203899383545,1973-08-29
13.21203899383545,1973-08-30
13.461322784423828,1973-08-31
13.959892272949219,1973-09-04
14.292272567749023,1973-09-05
14.250714302062988,1973-09-06
14.624650955200195,1973-09-07
14.209177017211914,1973-09-10
13.752147674560547,1973-09-11
13.253583908081055,1973-09-12
13.087403297424316,1973-09-13
13.461322784423828,1973-09-14
13.419770240783691,1973-09-17
13.461322784423828,1973-09-18
14.001444816589355,1973-09-19
14.001444816589355,1973-09-20
14.001444816589355,1973-09-21
14.001444816589355,1973-09-24
14.001444816589355,1973-09-25
13.959892272949219,1973-09-26
14.042990684509277,1973-09-27
14.001444816589355,1973-09-28
13.918351173400879,1973-10-01
14.001444816589355,1973-10-02
14.001444816589355,1973-10-03
13.835243225097656,1973-10-04
13.835243225097656,1973-10-05
13.87679386138916,1973-10-08
13.87679386138916,1973-10-09
13.87679386138916,1973-10-10
13.87679386138916,1973-10-11
13.87679386138916,1973-10-12
13.87679386138916,1973-10-15
14.001444816589355,1973-10-16
14.001444816589355,1973-10-17
14.042990684509277,1973-10-18
14.042990684509277,1973-10-19
14.042990684509277,1973-10-22
14.167625427246094,1973-10-23
14.499996185302734,1973-10-24
14.541552543640137,1973-10-25
14.416906356811523,1973-10-26
14.333817481994629,1973-10-29
14.250714302062988,1973-10-30
14.167625427246094,1973-10-31
14.209177017211914,1973-11-01
14.042990684509277,1973-11-02
13.627508163452148,1973-11-05
13.336679458618164,1973-11-06
13.419770240783691,1973-11-07
13.502870559692383,1973-11-08
13.128949165344238,1973-11-09
13.128949165344238,1973-11-12
13.128949165344238,1973-11-13
13.128949165344238,1973-11-14
12.879659652709961,1973-11-15
12.796557426452637,1973-11-16
12.090262413024902,1973-11-19
12.214898109436035,1973-11-20
12.464192390441895,1973-11-21
12.422639846801758,1973-11-23
12.339543342590332,1973-11-26
