CNC,Date
1.4333330392837524,2001-12-13
1.3916670083999634,2001-12-14
1.4149999618530273,2001-12-17
1.4383330345153809,2001-12-18
1.7258330583572388,2001-12-19
1.6541670560836792,2001-12-20
1.6583329439163208,2001-12-21
1.662500023841858,2001-12-24
1.6933330297470093,2001-12-26
1.7333329916000366,2001-12-27
1.7916669845581055,2001-12-28
1.8291670083999634,2001-12-31
1.8333330154418945,2002-01-02
1.8333330154418945,2002-01-03
1.8125,2002-01-04
1.7141669988632202,2002-01-07
1.7666670083999634,2002-01-08
1.726667046546936,2002-01-09
1.713333010673523,2002-01-10
1.7666670083999634,2002-01-11
1.7466670274734497,2002-01-14
1.75,2002-01-15
1.6708329916000366,2002-01-16
1.6291669607162476,2002-01-17
1.625,2002-01-18
1.6833330392837524,2002-01-22
1.8091670274734497,2002-01-23
1.7958329916000366,2002-01-24
1.8041670322418213,2002-01-25
1.6933330297470093,2002-01-28
1.7083330154418945,2002-01-29
1.6766669750213623,2002-01-30
1.5416669845581055,2002-01-31
1.6166670322418213,2002-02-01
1.5666669607162476,2002-02-04
1.5916670560836792,2002-02-05
1.6749999523162842,2002-02-06
1.6008330583572388,2002-02-07
1.6008330583572388,2002-02-08
1.6041669845581055,2002-02-11
1.6058330535888672,2002-02-12
1.565000057220459,2002-02-13
1.6058330535888672,2002-02-14
1.5833330154418945,2002-02-15
1.5633330345153809,2002-02-19
1.571666955947876,2002-02-20
1.5791670083999634,2002-02-21
1.5666669607162476,2002-02-22
1.5750000476837158,2002-02-25
1.5758329629898071,2002-02-26
1.5691670179367065,2002-02-27
1.5625,2002-02-28
1.565000057220459,2002-03-01
1.5700000524520874,2002-03-04
1.574167013168335,2002-03-05
1.5750000476837158,2002-03-06
1.5750000476837158,2002-03-07
1.5916670560836792,2002-03-08
1.5724999904632568,2002-03-11
1.625,2002-03-12
1.7283329963684082,2002-03-13
1.8333330154418945,2002-03-14
1.8833329677581787,2002-03-15
1.9083329439163208,2002-03-18
1.9249999523162842,2002-03-19
1.9166669845581055,2002-03-20
1.9208329916000366,2002-03-21
1.9233330488204956,2002-03-22
1.912500023841858,2002-03-25
1.9166669845581055,2002-03-26
1.912500023841858,2002-03-27
1.9083329439163208,2002-03-28
1.912500023841858,2002-04-01
1.9083329439163208,2002-04-02
1.914167046546936,2002-04-03
1.9083329439163208,2002-04-04
1.9083329439163208,2002-04-05
1.912500023841858,2002-04-08
2.0916669368743896,2002-04-09
2.2125000953674316,2002-04-10
2.365833044052124,2002-04-11
2.4124999046325684,2002-04-12
2.3833329677581787,2002-04-15
2.4149999618530273,2002-04-16
2.3233330249786377,2002-04-17
2.4166669845581055,2002-04-18
2.438333034515381,2002-04-19
2.434999942779541,2002-04-22
2.499166965484619,2002-04-23
2.4691669940948486,2002-04-24
2.389167070388794,2002-04-25
2.2916669845581055,2002-04-26
2.250833034515381,2002-04-29
