EQR,Date
2.922003746032715,1993-08-12
2.8326854705810547,1993-08-13
2.8582029342651367,1993-08-16
2.8709628582000732,1993-08-17
2.8709628582000732,1993-08-18
2.819923162460327,1993-08-19
2.8454432487487793,1993-08-20
2.8582029342651367,1993-08-23
2.89648175239563,1993-08-24
2.8582029342651367,1993-08-25
2.922003746032715,1993-08-26
2.8837239742279053,1993-08-27
2.8837239742279053,1993-08-30
2.9347615242004395,1993-08-31
2.922003746032715,1993-09-01
2.9602818489074707,1993-09-02
2.985801935195923,1993-09-03
2.9985616207122803,1993-09-07
2.9602818489074707,1993-09-08
2.985801935195923,1993-09-09
3.087878465652466,1993-09-10
3.062361478805542,1993-09-13
3.0113208293914795,1993-09-14
3.0113208293914795,1993-09-15
3.0368409156799316,1993-09-16
3.075122117996216,1993-09-17
3.0324597358703613,1993-09-20
3.0453097820281982,1993-09-21
3.0710091590881348,1993-09-22
3.0453097820281982,1993-09-23
3.0967092514038086,1993-09-24
3.2252018451690674,1993-09-27
3.238050937652588,1993-09-28
3.238050937652588,1993-09-29
3.1995019912719727,1993-09-30
3.1995019912719727,1993-10-01
3.135255813598633,1993-10-04
3.135255813598633,1993-10-05
3.1866536140441895,1993-10-06
3.1995019912719727,1993-10-07
3.5207371711730957,1993-10-08
3.495037794113159,1993-10-11
3.700629949569702,1993-10-12
3.649232864379883,1993-10-13
3.649232864379883,1993-10-14
3.7263286113739014,1993-10-15
3.71347975730896,1993-10-18
3.597834348678589,1993-10-19
3.5849852561950684,1993-10-20
3.5464375019073486,1993-10-21
3.597834348678589,1993-10-22
3.572134256362915,1993-10-25
3.4821901321411133,1993-10-26
3.4436402320861816,1993-10-27
3.495037794113159,1993-10-28
3.559285879135132,1993-10-29
3.572134256362915,1993-11-01
3.559285879135132,1993-11-02
3.597834348678589,1993-11-03
3.4693408012390137,1993-11-04
3.572134256362915,1993-11-05
3.687779426574707,1993-11-08
3.687779426574707,1993-11-09
3.6235334873199463,1993-11-10
3.572134256362915,1993-11-11
3.5849852561950684,1993-11-12
3.5464375019073486,1993-11-15
3.4821901321411133,1993-11-16
3.379394769668579,1993-11-17
3.238050937652588,1993-11-18
3.238050937652588,1993-11-19
3.2252018451690674,1993-11-22
3.1995019912719727,1993-11-23
3.1995019912719727,1993-11-24
3.1866536140441895,1993-11-26
3.1866536140441895,1993-11-29
3.340846061706543,1993-11-30
3.250901460647583,1993-12-01
3.260812520980835,1993-12-02
3.234726905822754,1993-12-03
3.273857593536377,1993-12-06
3.286898374557495,1993-12-07
3.234726905822754,1993-12-08
3.247770309448242,1993-12-09
3.260812520980835,1993-12-10
3.260812520980835,1993-12-13
3.1042933464050293,1993-12-14
3.234726905822754,1993-12-15
3.286898374557495,1993-12-16
3.260812520980835,1993-12-17
3.260812520980835,1993-12-20
3.208641290664673,1993-12-21
3.234726905822754,1993-12-22
3.234726905822754,1993-12-23
3.234726905822754,1993-12-27
3.32602858543396,1993-12-28
3.2999422550201416,1993-12-29
3.286898374557495,1993-12-30
3.32602858543396,1993-12-31
3.1825544834136963,1994-01-03
3.2216835021972656,1994-01-04
3.130380153656006,1994-01-05
3.1173369884490967,1994-01-06
3.0129923820495605,1994-01-07
3.026034116744995,1994-01-10
3.052121877670288,1994-01-11
3.1042933464050293,1994-01-12
3.130380153656006,1994-01-13
3.1042933464050293,1994-01-14
3.026034116744995,1994-01-17
2.999948501586914,1994-01-18
3.026034116744995,1994-01-19
3.0651657581329346,1994-01-20
3.0390782356262207,1994-01-21
3.0390782356262207,1994-01-24
2.999948501586914,1994-01-25
2.999948501586914,1994-01-26
3.0390782356262207,1994-01-27
2.999948501586914,1994-01-28
3.0390782356262207,1994-01-31
3.0390782356262207,1994-02-01
3.052121877670288,1994-02-02
3.0390782356262207,1994-02-03
2.986905813217163,1994-02-04
3.026034116744995,1994-02-07
3.026034116744995,1994-02-08
3.0390782356262207,1994-02-09
3.052121877670288,1994-02-10
3.1173369884490967,1994-02-11
3.1955974102020264,1994-02-14
3.1695094108581543,1994-02-15
3.1955974102020264,1994-02-16
3.32602858543396,1994-02-17
3.3782031536102295,1994-02-18
3.4695050716400146,1994-02-22
3.4695050716400146,1994-02-23
3.33907413482666,1994-02-24
3.352116584777832,1994-02-25
3.4303765296936035,1994-02-28
3.404289722442627,1994-03-01
3.33907413482666,1994-03-02
3.33907413482666,1994-03-03
3.33907413482666,1994-03-04
3.3651604652404785,1994-03-07
3.33907413482666,1994-03-08
3.273857593536377,1994-03-09
3.31298565864563,1994-03-10
3.32602858543396,1994-03-11
3.3912482261657715,1994-03-14
3.33907413482666,1994-03-15
3.32602858543396,1994-03-16
3.404289722442627,1994-03-17
3.417332649230957,1994-03-18
3.4681620597839355,1994-03-21
3.44169020652771,1994-03-22
3.5343501567840576,1994-03-23
3.5343501567840576,1994-03-24
3.5343501567840576,1994-03-25
3.4681620597839355,1994-03-28
3.3093159198760986,1994-03-29
3.2298941612243652,1994-03-30
3.1901824474334717,1994-03-31
3.150468111038208,1994-04-04
3.176943302154541,1994-04-05
3.3622641563415527,1994-04-06
3.5211122035980225,1994-04-07
3.4019784927368164,1994-04-08
3.5211122035980225,1994-04-11
3.4681620597839355,1994-04-12
3.335789442062378,1994-04-13
3.3093159198760986,1994-04-14
3.3622641563415527,1994-04-15
3.3887410163879395,1994-04-18
3.3887410163879395,1994-04-19
3.3622641563415527,1994-04-20
3.3622641563415527,1994-04-21
3.3755030632019043,1994-04-22
3.4549272060394287,1994-04-25
3.428453207015991,1994-04-26
3.4681620597839355,1994-04-28
3.4681620597839355,1994-04-29
3.44169020652771,1994-05-02
3.428453207015991,1994-05-03
3.415214776992798,1994-05-04
3.415214776992798,1994-05-05
3.415214776992798,1994-05-06
3.4681620597839355,1994-05-09
3.6137747764587402,1994-05-10
3.6799588203430176,1994-05-11
3.6931986808776855,1994-05-12
3.7196710109710693,1994-05-13
3.706434965133667,1994-05-16
3.6667234897613525,1994-05-17
3.706472873687744,1994-05-18
3.6527554988861084,1994-05-19
3.6527554988861084,1994-05-20
3.679612874984741,1994-05-23
3.706472873687744,1994-05-24
3.719902992248535,1994-05-25
3.679612874984741,1994-05-26
3.719902992248535,1994-05-27
3.625898838043213,1994-05-31
3.6527554988861084,1994-06-01
3.6930432319641113,1994-06-02
3.679612874984741,1994-06-03
3.719902992248535,1994-06-06
3.760192394256592,1994-06-07
3.733332872390747,1994-06-08
3.706472873687744,1994-06-09
3.6527554988861084,1994-06-10
3.63932728767395,1994-06-13
3.6527554988861084,1994-06-14
3.625898838043213,1994-06-15
3.679612874984741,1994-06-16
3.61246919631958,1994-06-17
3.502885580062866,1994-06-20
3.502885580062866,1994-06-21
3.5437750816345215,1994-06-22
3.3938441276550293,1994-06-23
3.380216121673584,1994-06-24
3.3529560565948486,1994-06-27
3.2984373569488525,1994-06-28
3.2711760997772217,1994-06-29
3.2439169883728027,1994-06-30
3.325695753097534,1994-07-01
3.325695753097534,1994-07-05
3.2984373569488525,1994-07-06
3.3529560565948486,1994-07-07
3.366583824157715,1994-07-08
3.366583824157715,1994-07-11
3.3529560565948486,1994-07-12
3.3529560565948486,1994-07-13
3.434734344482422,1994-07-14
3.502885580062866,1994-07-15
3.46199369430542,1994-07-18
3.421104669570923,1994-07-19
3.4074747562408447,1994-07-20
3.502885580062866,1994-07-21
3.46199369430542,1994-07-22
3.516514301300049,1994-07-25
3.516514301300049,1994-07-26
3.5301461219787598,1994-07-27
3.516514301300049,1994-07-28
3.5710339546203613,1994-07-29
3.502885580062866,1994-08-01
3.489253044128418,1994-08-02
3.448364019393921,1994-08-03
3.489253044128418,1994-08-04
3.4756243228912354,1994-08-05
3.516514301300049,1994-08-08
3.502885580062866,1994-08-09
3.5574023723602295,1994-08-10
3.502885580062866,1994-08-11
3.5301461219787598,1994-08-12
3.5437750816345215,1994-08-15
3.5710339546203613,1994-08-16
3.5710339546203613,1994-08-17
3.5301461219787598,1994-08-18
3.489253044128418,1994-08-19
3.5301461219787598,1994-08-22
3.46199369430542,1994-08-23
3.516514301300049,1994-08-24
3.516514301300049,1994-08-25
3.516514301300049,1994-08-26
3.5710339546203613,1994-08-29
3.6119258403778076,1994-08-30
3.5982940196990967,1994-08-31
3.5574023723602295,1994-09-01
3.584664821624756,1994-09-02
3.584664821624756,1994-09-06
3.5982940196990967,1994-09-07
3.5710339546203613,1994-09-08
3.584664821624756,1994-09-09
3.5982940196990967,1994-09-12
3.516514301300049,1994-09-13
3.434734344482422,1994-09-14
3.4756243228912354,1994-09-15
3.502885580062866,1994-09-16
3.5710339546203613,1994-09-19
3.489253044128418,1994-09-20
3.516514301300049,1994-09-21
3.502885580062866,1994-09-22
3.516514301300049,1994-09-23
3.515407085418701,1994-09-26
3.487727403640747,1994-09-27
3.473886251449585,1994-09-28
3.5015664100646973,1994-09-29
3.515407085418701,1994-09-30
3.5430874824523926,1994-10-03
3.349325656890869,1994-10-04
3.3216447830200195,1994-10-05
3.377004861831665,1994-10-06
3.418524742126465,1994-10-07
3.4323651790618896,1994-10-10
3.487727403640747,1994-10-11
